	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_2	OM4_C_1D_1	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2B_2	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2F_1	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3A_2	OM4_C_3B_1	OM4_C_3B_3	OM4_C_3C_2	OM4_C_3E_1	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3G_1	OM4_C_3H_1	OM4_C_3H_2	OM4_H_4A_1	OM4_H_4A_3	OM4_H_4B_1	OM4_H_4B_2	OM4_H_4B_3	OM4_H_4E_1	OM4_H_4F_3
OM4_B_B_2	0	0.00545301735997666	0.0180301633086079	0.0354015576229424	0.0131351773554654	0.0135968600400354	0.0359163410573544	0.0658316559854328	0.0199871948136929	0.0221214435514034	0.0435713478490696	0.0377364648331514	0.0363209065610185	0.0472356771002559	0.0395509305134392	0.0147525529827189	0.0195188923022683	0.0325800161658508	0.0612762406982399	0.00474694600284124	0.0193125887575339	0.0192371687429493	0.020227616131901	0.041476120374734	0.0211476347625777	0.0146703980915612	0.0854573260090064	0.0592920257769622	0.0194901407006924	0.00757359194234953	0.00744919369984418	0.0470176726598638	0.00627692547360422	0.0492196165025504	0.0252554705651886	0.0352769629908154	0.0461818569939003	0.0188427110722091	0.0235333417403388	0.0220071782040763	0.0275380647508864	0.00833007810303283	0.0562835772383599	0.03142420681198	0.0590442039641256	0.0521026406421671
OM4_B_B_3	0.00545301735997666	0	0.0160647013155	0.0325272315495128	0.00987114770299317	0.0111280129157774	0.0335935265566521	0.0621001250981327	0.0146048076974199	0.0195328973725497	0.0470831218615533	0.0413113848066723	0.0397488898848393	0.0513684559831124	0.0441289875779363	0.00997938931245437	0.0161585144222842	0.0280280746080023	0.0580497578092908	0.000891633940959715	0.0242268731866716	0.0243042004438197	0.0181409670724294	0.0379962734719227	0.0243758991811419	0.0117207262519104	0.0816417888377533	0.0562111131783929	0.0146001891470883	0.012397533607207	0.00356778769351142	0.0436489203450421	0.00428369869441309	0.0445629614780309	0.024373760323174	0.0322018226703457	0.0422631163258302	0.0159624506802691	0.0207746292393583	0.0196927506546032	0.0236159144783899	0.0114311515752609	0.0525469851175699	0.0302342329412086	0.054478281103133	0.0493637572097583
OM4_C_1A_2	0.0180301633086079	0.0160647013155	0	0.0175887352569377	0.00678553331887556	0.0049760353707779	0.0178917250681679	0.0487263669571724	0.0169607314676146	0.00448834627693902	0.0614568119290052	0.0556166657938625	0.0542641092220079	0.0646152741249369	0.0563330022868435	0.0109192966872161	0.00517731453244998	0.0191848180209424	0.0435769564938635	0.0157467358694888	0.035931148582685	0.0354349092596555	0.00220139710480358	0.0242782447350063	0.0391695386518319	0.00493915537223733	0.0683962374086946	0.0414844278678393	0.0123167691834263	0.0251262936899363	0.0125340493243034	0.0295673411958211	0.0122369687199529	0.0350166437406155	0.00890329926929699	0.0176626230501313	0.0297161804783031	0.00324127940725901	0.00602765921531201	0.00405490519788246	0.012414351937238	0.0262858847989455	0.0392717598245107	0.0142862233258073	0.0441602328151233	0.0341336747170125
OM4_C_1A_3	0.0354015576229424	0.0325272315495128	0.0175887352569377	0	0.0226776219087671	0.0218240752723259	0.00403234660082176	0.0314655216351316	0.0260524785511452	0.0132919139009956	0.0789093401624626	0.0730800596222044	0.0716816743492789	0.0821613137391842	0.0738341178639084	0.0240062839332228	0.0164148820137101	0.0142332833040246	0.0259973233160963	0.0324331273300682	0.0534782598051294	0.0529417556771561	0.0154189283824522	0.00766663519773767	0.0564782035030567	0.0209010874007749	0.0510728091817576	0.0239266851175161	0.0214853724960575	0.0426605983626968	0.0290026074615544	0.0121987698500724	0.0293001609356796	0.0226210646940046	0.0145872301880759	0.00150407084941443	0.0140296076414361	0.0166422920089025	0.0118772445450092	0.0135342809154626	0.0111146033898445	0.0434853015490796	0.0222262256407203	0.0112456534239538	0.0297726121729142	0.0168506976801823
OM4_C_1C_2	0.0131351773554654	0.00987114770299317	0.00678553331887556	0.0226776219087671	0	0.00221302027229638	0.0237571393656196	0.0527270188550324	0.0119403928501689	0.00969783618493182	0.0565510399806509	0.0507379285951892	0.0492575862350186	0.060353223796661	0.0525757278847834	0.00502568670316469	0.00641881080913157	0.0199494528274311	0.0483465509244995	0.00975972872773664	0.0322107295734907	0.0319631346704575	0.00860457057801477	0.0284041505909919	0.0339444061878218	0.00192336277915427	0.0723616418768089	0.0464479467919078	0.00853619176979913	0.0206748606088629	0.00632786151674529	0.0339976973334359	0.00685984335578108	0.0365783818171926	0.0156547005099331	0.0223995425572832	0.033060886454041	0.00609583779539554	0.0109063859353574	0.00996069186757389	0.0144412049094207	0.0209130583403581	0.0431699351734253	0.021018832449312	0.0462578011651306	0.0395137354331368
OM4_C_1D_1	0.0135968600400354	0.0111280129157774	0.0049760353707779	0.0218240752723259	0.00221302027229638	0	0.0225644181700984	0.0523935848563037	0.0140044393557613	0.00857332084931859	0.0571530249557255	0.0513215414245996	0.0499006505061015	0.06066954804232	0.0526727338018658	0.00717885588541793	0.0062402568841096	0.0205622255846247	0.0476985272870485	0.0108595891289995	0.032248708679712	0.0318990338090671	0.00701377593809907	0.027960151927042	0.0346750756392801	0.00154466798497289	0.0720602837155633	0.0457150025490659	0.0102392911475931	0.0209801616111071	0.00757730779295948	0.0334584866747427	0.00750020004537026	0.0370563825841126	0.0136818946707116	0.0216851608474373	0.0329240754967386	0.00526299193808323	0.00994799751663376	0.00860461996541937	0.0145523553981247	0.0216875114449269	0.0428596244340896	0.0192527817864536	0.0465894845992154	0.0385861892420513
OM4_C_1E_2	0.0359163410573544	0.0335935265566521	0.0178917250681679	0.00403234660082176	0.0237571393656196	0.0225644181700984	0	0.0327927171934402	0.0287071151108536	0.0140660825860546	0.0792305718135254	0.0733960673205489	0.0720803238556929	0.082083207529134	0.0735122368529646	0.0258250842782268	0.0178776271975464	0.0180946516380925	0.0264747158147307	0.0333954063627592	0.0532932502322314	0.0526514629511391	0.0156966027486929	0.0105970439330828	0.0570413284798083	0.0218795463957497	0.0521378534418545	0.024149966900182	0.0239081611036843	0.0429171631635555	0.0300287676168799	0.013881343055345	0.0300394748787767	0.0262371988047713	0.0128738571552968	0.00553583189119654	0.0170113434317948	0.0176718882321334	0.0128980845830053	0.013968585027521	0.0141459389501277	0.0441590299966379	0.0239796584352667	0.00819849263146614	0.0327955349056901	0.0164244470773407
OM4_C_1E_3	0.0658316559854328	0.0621001250981327	0.0487263669571724	0.0314655216351316	0.0527270188550324	0.0523935848563037	0.0327927171934402	0	0.0513528297937356	0.0442676501874409	0.109033916856894	0.103270123826342	0.101735040880532	0.112886504582033	0.104877272951894	0.0524278897135722	0.0463400705450554	0.0352314770163775	0.00862420465018776	0.0622118446017214	0.0845150912742883	0.0840742289161059	0.0466369843531542	0.0244816767056759	0.0864173554533661	0.0512055631561758	0.0197072000608513	0.0112259678016351	0.0484304165605801	0.0733103220705315	0.0588107175904306	0.0192707914091242	0.0595744344769967	0.0225666178724815	0.0456180590364299	0.0311374698160284	0.0199414490905422	0.0471493488574252	0.0427479599036416	0.0447280005552944	0.0385096689497496	0.0734649012283501	0.00957116047501432	0.0406651806512679	0.0160813380312881	0.0185551387895122
OM4_C_1F_1	0.0199871948136929	0.0146048076974199	0.0169607314676146	0.0260524785511452	0.0119403928501689	0.0140044393557613	0.0287071151108536	0.0513528297937356	0	0.0170355012184455	0.0594412582865494	0.0538788044888693	0.0521294483320405	0.0646190018175006	0.0580434067521176	0.00697860482299131	0.0127056401957388	0.0161368677718953	0.0488437682967329	0.0152436874577146	0.0386271061966094	0.0388045957276394	0.0177274500250741	0.0289974651616207	0.037031535528148	0.012839950753063	0.0703796305699024	0.0474848931219141	0.00504356899935742	0.0268891852600808	0.0131692329323253	0.0346220899055874	0.0152169403140778	0.0315452500498582	0.0252521725478272	0.0251168674582838	0.0315910884629929	0.0142459907608452	0.0172632350635959	0.017980067895266	0.0149958479524781	0.0250190057931808	0.0420280741342193	0.0291382404339219	0.0415457960578541	0.0419261013035358
OM4_C_1F_2	0.0221214435514034	0.0195328973725497	0.00448834627693902	0.0132919139009956	0.00969783618493182	0.00857332084931859	0.0140660825860546	0.0442676501874409	0.0170355012184455	0	0.0656486731425383	0.059814276807586	0.0584197736939993	0.0689673174778556	0.0607587562372766	0.0123772133628792	0.00443006785535103	0.0154996099318804	0.0392490521028724	0.0193493505311289	0.040347126527187	0.039877503079654	0.00262287445896854	0.019805143081262	0.0432311001286284	0.00781457605113264	0.0639461962502363	0.0372118800365874	0.0120114889179745	0.029384449259765	0.015968133806946	0.0251420836782358	0.0160727045955458	0.0308168966800345	0.0085179896898581	0.0132593514679881	0.0252376833239578	0.00364598656099645	0.00154049661914539	0.00117129531710054	0.00852924735087022	0.0302572021533628	0.0347980155444263	0.0122130363544823	0.039809718396073	0.0300192350984853
