	OM4_B_B_1	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_2	OM4_C_1D_1	OM4_C_1D_2	OM4_C_1E_1	OM4_C_1E_2	OM4_C_1F_1	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_2B_2	OM4_C_2B_3	OM4_C_2C_1	OM4_C_2D_1	OM4_C_2E_2	OM4_C_2F_1	OM4_C_2F_2	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3A_3	OM4_C_3C_1	OM4_C_3C_3	OM4_C_3D_1	OM4_C_3E_2	OM4_C_3E_3	OM4_C_3F_1	OM4_C_3F_3	OM4_C_3G_1	OM4_C_3G_2	OM4_C_3H_1	OM4_C_3H_3	OM4_H_4A_3	OM4_H_4B_2	OM4_H_4E_1	OM4_H_4E_2	OM4_H_4F_2
OM4_B_B_1	0	0.122350625514038	0.083264857782924	0.0758269777741354	0.0849882842925045	0.0882120505418206	0.107896123690305	0.0886557450484644	0.09991507491842	0.116086850008413	0.11041030444027	0.106033942931834	0.0894342612985656	0.0846099149752182	0.0979645778201064	0.0805277776839796	0.108483991602418	0.130480154322725	0.112653310335878	0.103650349617485	0.0979618057231481	0.113956163356866	0.108582205924591	0.0955569253081436	0.0769465527487835	0.0915438439484773	0.0937601531511882	0.100647602334545	0.100788731992752	0.0904415051239372	0.0781569189786296	0.10489310757798	0.105125385912675	0.111658463809481	0.111515561220575	0.120738785622792	0.0948418501984841	0.098380850479365	0.0994864870188892	0.0980715665355484	0.119600298089401	0.115506482609347
OM4_B_B_2	0.122350625514038	0	0.0392375275158768	0.0466889137768058	0.0375102559401172	0.0342785796214546	0.0145261845140222	0.0338337234318499	0.0225390504510486	0.00629704697564985	0.0120008307015771	0.0163962866635682	0.0330531262848374	0.0378894923690763	0.0244964740347128	0.0419801624232143	0.0139357532650545	0.00817770079341828	0.00974739451916577	0.0187895781665663	0.0244992557372007	0.0084382834266055	0.0138371077620073	0.0269122135629324	0.0455676278907031	0.0309376327641605	0.0287146865485783	0.0218038352488616	0.0216621823407177	0.0320431097990473	0.0443552832065162	0.0175418256614673	0.0173085988542989	0.0107469209303313	0.0108904887219113	0.00162072253831774	0.0276295917607071	0.0240787512672805	0.0229691890430943	0.0243891140773498	0.00276535027856133	0.00688032671952827
OM4_B_B_3	0.083264857782924	0.0392375275158768	0	0.00745635309765595	0.00172819246137984	0.00496136028390912	0.024716392959828	0.00540639823032209	0.0167037900962953	0.0329433888931294	0.0272412903812727	0.0228465137184879	0.00618730056250822	0.00134876124136192	0.0147461554323024	0.0027442748852082	0.0253067334799123	0.047409821559671	0.0294941689746211	0.0204533642565634	0.0147433733525804	0.0308028911861423	0.0254053628732958	0.0123300055325724	0.00633421618251973	0.00830353326499905	0.0105271181871624	0.017439056561786	0.017580717590959	0.00719768596673513	0.00512099277403924	0.021701062797285	0.0219342746610884	0.0284949073570495	0.0283513753125743	0.0376176582217605	0.0116124735112977	0.0151639323575446	0.0162736144227937	0.0148535297813716	0.0364735894095513	0.0323603230008156
OM4_C_1A_2	0.0758269777741354	0.0466889137768058	0.00745635309765595	0	0.00918450167096203	0.0124175433448051	0.0321705746520133	0.0128625594462711	0.0241590365368044	0.0403961228665965	0.034695065780499	0.0303009745042341	0.013643420833229	0.00880508149468101	0.0222016097844269	0.00471211405967178	0.0327608232035598	0.0548591501647233	0.0369475533869266	0.0279081550925356	0.0221988279855133	0.0382560361758468	0.0328594370513803	0.0197856880436096	0.00112215666058981	0.015759525863179	0.0179829504046125	0.0248942195961026	0.0250358642225999	0.0146537483234428	0.00233539352271595	0.0291556853654776	0.029388864857115	0.0359484684984736	0.0358049614061821	0.0450694111189113	0.0190682177105709	0.0226193440688799	0.0237289083157767	0.022308973263917	0.0439255929998445	0.0398131713203731
OM4_C_1A_3	0.0849882842925045	0.0375102559401172	0.00172819246137984	0.00918450167096203	0	0.00323317803212802	0.0229885584696579	0.00367821842269725	0.0149757558697881	0.03121584174363	0.0255135352534043	0.0211186255127756	0.0044591256497522	0.000379431546234487	0.0130180845226777	0.00447245950165423	0.0235789168430522	0.0456829792617337	0.0277664912653867	0.0187254136021244	0.0130153023942247	0.0290752613037351	0.0236775492610392	0.0106018959468237	0.00806237593663307	0.00657537549204034	0.00879898450616163	0.0157110373463987	0.0158527013449888	0.00546951853179246	0.00684916278715063	0.0199731438177138	0.0202063618155816	0.0267671945412523	0.0266236575546004	0.0358903111297707	0.00988435384733308	0.0134358688752744	0.014545571725933	0.0131254607598803	0.0347461908985778	0.0306327527611317
OM4_C_1C_2	0.0882120505418206	0.0342785796214546	0.00496136028390912	0.0124175433448051	0.00323317803212802	0	0.019755914444595	0.000445042334177163	0.0117427854268957	0.0279836868505926	0.0222810248266424	0.017885892016478	0.00122595410556141	0.00361260794749389	0.00978505700647348	0.00770559643637568	0.0203463027398224	0.0424520581613408	0.0245341124108529	0.0154925773865443	0.00978227480328766	0.025842964222887	0.0204449402351806	0.00736881033883903	0.0112954451544761	0.00334222351310063	0.00556586446640959	0.0124780906477966	0.0126197593657243	0.00223635500893157	0.0100822583630381	0.0167403595023285	0.0169735876008548	0.0235347558909998	0.0233912105034777	0.0326585030423355	0.00665125362164889	0.0102028527882817	0.0113125879752072	0.00989243614221725	0.0315142933342166	0.0274005580993965
OM4_C_1D_1	0.107896123690305	0.0145261845140222	0.024716392959828	0.0321705746520133	0.0229885584696579	0.019755914444595	0	0.0193109337483032	0.00801380044267959	0.00822940414975074	0.00252551003972936	0.00187026045717207	0.0185301232068582	0.0233679157592086	0.00997155421761182	0.0274599873251017	0.00059047369268464	0.0227029343673558	0.00477902993085098	0.00426380759084577	0.00997433641791955	0.00608816558325739	0.000689125934790522	0.0123877566880417	0.0310488298660897	0.0164140838515409	0.0141906150950516	0.00727847158642741	0.00713679743043221	0.0175198402035885	0.0298360042976615	0.00301591437395524	0.00278266306321734	0.0037794728637369	0.0036358998214973	0.0129055694266198	0.0131052841812349	0.00955375761470713	0.00844400815152255	0.00986417510882863	0.0117610013735839	0.00764612850590414
OM4_C_1D_2	0.0886557450484644	0.0338337234318499	0.00540639823032209	0.0128625594462711	0.00367821842269725	0.000445042334177163	0.0193109337483032	0	0.0112977646100402	0.0275387685513612	0.0218360610055542	0.0174409001266224	0.000780911927479409	0.0040576478854637	0.00934002950963868	0.00815062848169617	0.0199013258080718	0.042007301049206	0.0240891653499451	0.0150475727940677	0.00933724729783652	0.0253980276337881	0.0199999639431655	0.00692377629761616	0.0117404657214705	0.00289718275607616	0.00512082676922679	0.012033072657649	0.0121747419401011	0.00179131332760727	0.0105272832871183	0.0162953613048072	0.0165285906536909	0.0230898011982431	0.0229462547404009	0.0322136296833414	0.00620621799953693	0.00975782661365613	0.0108675655849539	0.00944740897984971	0.031069408343101	0.0269556346752247
OM4_C_1E_1	0.09991507491842	0.0225390504510486	0.0167037900962953	0.0241590365368044	0.0149757558697881	0.0117427854268957	0.00801380044267959	0.0112977646100402	0	0.0162428221725431	0.0105392341647365	0.00614357298827516	0.0105168864768124	0.0153551555019532	0.00195781003687217	0.0194477379249151	0.00860425955695488	0.0307147502364657	0.0127926552335122	0.00375003882270815	0.00196059233292125	0.0141017202020437	0.00870290916885316	0.00437411256411242	0.0230371103604069	0.00840068189946392	0.00617706772754283	0.000735344263348227	0.000877021029126253	0.0095065213203639	0.0218240971311532	0.00499792938368722	0.0052311792055798	0.0117931455700369	0.0116495788693741	0.0209185988558255	0.00509167630010896	0.00153999956551855	0.000430218171485827	0.00185042726717485	0.0197741373429483	0.0156595863159961
OM4_C_1E_2	0.116086850008413	0.00629704697564985	0.0329433888931294	0.0403961228665965	0.03121584174363	0.0279836868505926	0.00822940414975074	0.0275387685513612	0.0162428221725431	0	0.00570393626842903	0.0100996092395776	0.026758064619197	0.0315951374942429	0.0182004247747458	0.0356864897859455	0.00763894366667606	0.0144744855549728	0.00345042243901571	0.0124930554634483	0.0182032067440152	0.00214127667114223	0.00754029343208074	0.0206164092533874	0.0392746176222359	0.0246422957684024	0.0224190823334052	0.0155075442215785	0.0153658795051959	0.0257479141186145	0.0380620423807885	0.0112452190711059	0.0110119773630217	0.00444998048516006	0.0045935531879369	0.00467634127322662	0.0213338653117304	0.017782662343523	0.0166729986123521	0.0180930545475707	0.00353171839935679	0.000583288672901428
