	OM4_B_B	OM4_C_1A	OM4_C_1C	OM4_C_1D	OM4_C_1E	OM4_C_1F	OM4_C_1G	OM4_C_1H	OM4_C_2A	OM4_C_2B	OM4_C_2C	OM4_C_2D	OM4_C_2E	OM4_C_2F	OM4_C_2G	OM4_C_3A	OM4_C_3B	OM4_C_3C	OM4_C_3D	OM4_C_3E	OM4_C_3F	OM4_C_3G	OM4_C_3H	OM4_H_4A	OM4_H_4B	OM4_H_4E	OM4_H_4F
OM4_B_B	0	0.00901947757856122	0.00993211585657064	0.00796265524662129	0.0204294676937886	0.0258097978476696	0.00624803067610633	0.0130190662089136	0.00510131047111002	0.00810252050923896	0.00461591401598593	0.0107356709738936	0.0161344264238867	0.0143597397806787	0.00596436469499007	0.0121222429748869	0.0127361871796464	0.00600796172416641	0.0121159443618616	0.00834681228961421	0.00987135423922268	0.022768829783115	0.024237067441306	0.00798557647931155	0.0100395169055128	0.00583036856472818	0.0136263957304816
OM4_C_1A	0.00901947757856122	0	0.00476700685887646	0.00309081656206935	0.0119485935542796	0.0179406985005525	0.00755735666624162	0.00442572490873278	0.0100091283756055	0.00901953304698862	0.00514502141491934	0.0160300796972906	0.0175228609491294	0.0119406646729518	0.00537582156389847	0.00780743238639244	0.00778780022878721	0.0124226122101821	0.00649711097479417	0.0047978744433404	0.00466610654570895	0.0141020411243867	0.0158697039699946	0.00277952416236844	0.0127696857542183	0.00355002725868023	0.00837725502437433
OM4_C_1C	0.00993211585657064	0.00476700685887646	0	0.00240361510857965	0.0110281076546407	0.0212792220134212	0.00522724880778922	0.0047984232291952	0.00832640570816562	0.00565316010880112	0.00800193299824566	0.0132360556867898	0.0131563086078321	0.00717536238637008	0.00406209352727999	0.00309650778190431	0.00327398627116615	0.0107997392447005	0.00226254494446592	0.0016627290476476	0.000102978086223192	0.0135097759399432	0.0187717111961763	0.00724130082552484	0.00927399264917906	0.00463316794753837	0.00404915172517123
OM4_C_1D	0.00796265524662129	0.00309081656206935	0.00240361510857965	0	0.0125120122865606	0.0207863034877168	0.00469660285633581	0.0053419740954962	0.00749027117307912	0.00596440786871459	0.0056050417201406	0.0131897017402251	0.0144507289874619	0.00922761135668695	0.00271818577043324	0.00541611849292902	0.00567257581533585	0.00998821015702599	0.00463135757062146	0.00175273677168087	0.00230904316418071	0.0149034422019958	0.0185353281590232	0.00508960460483284	0.00972935195143447	0.00230606996084478	0.00645161893934755
OM4_C_1E	0.0204294676937886	0.0119485935542796	0.0110281076546407	0.0125120122865606	0	0.0162099340026326	0.0162262507676555	0.00754511297345285	0.0193355646026661	0.0162118969483534	0.0170792545976325	0.0235956985369694	0.0207964037937253	0.013435855352018	0.0149698495061614	0.010754933155554	0.00989386870974009	0.0217800455151111	0.00948795704374342	0.0126695625207687	0.0110474153311904	0.00251728922283549	0.0130229115091168	0.0143503661818497	0.0192566594023556	0.0146085787581298	0.00927669881632128
OM4_C_1F	0.0258097978476696	0.0179406985005525	0.0212792220134212	0.0207863034877168	0.0162099340026326	0	0.0254505238501075	0.0166742198772695	0.0279220561411211	0.0266712048357707	0.0211949624659104	0.033946755808742	0.0342131288166701	0.0272351687640249	0.0233053885960803	0.023203452257196	0.0226034845724913	0.03027781298835	0.0214388677617675	0.0222000597039942	0.0212162155661487	0.015456861449759	0.00320341316564478	0.0178978735695651	0.030424268798651	0.021387761506804	0.022525409502889
OM4_C_1G	0.00624803067610633	0.00755735666624162	0.00522724880778922	0.00469660285633581	0.0162262507676555	0.0254505238501075	0	0.00975456400311489	0.00311023279557329	0.00207296998011941	0.00706930965695361	0.00850216575337364	0.0109657487795789	0.00811201490311728	0.00221664281206082	0.00634155720627504	0.00710071192339597	0.00557268678637373	0.00690451026961402	0.00367089479930006	0.00522242262367371	0.0187202612058255	0.0232307703858632	0.00861313752803772	0.00540115831922968	0.00449270539277005	0.0079859810447664
OM4_C_1H	0.0130190662089136	0.00442572490873278	0.0047984232291952	0.0053419740954962	0.00754511297345285	0.0166742198772695	0.00975456400311489	0	0.0127371982022943	0.0104406882673857	0.0095373296003811	0.0180078932961042	0.0175489627017463	0.0107550979642181	0.00802515714044082	0.00657273009606946	0.00606392745153975	0.015244191572223	0.0048094106446331	0.00610723059955015	0.00475833260698587	0.00977998327794135	0.0140470263200385	0.00698983082630271	0.0140676805986934	0.00719753810961871	0.00619415839988941
OM4_C_2A	0.00510131047111002	0.0100091283756055	0.00832640570816562	0.00749027117307912	0.0193355646026661	0.0279220561411211	0.00311023279557329	0.0127371982022943	0	0.00389097172177326	0.00793136754332028	0.00633976611877825	0.0110398439184368	0.0102361839219414	0.00477739332742873	0.00928479836533008	0.0100877178943869	0.00250720956701685	0.00999146675854387	0.00673266194674901	0.0083171280101729	0.021827903688345	0.0258674604633983	0.0103982982790036	0.00494219925800077	0.00654193679021452	0.0109544313681043
OM4_C_2B	0.00810252050923896	0.00901953304698862	0.00565316010880112	0.00596440786871459	0.0162118969483534	0.0266712048357707	0.00207296998011941	0.0104406882673857	0.00389097172177326	0	0.00912041994797694	0.00758777007481266	0.00894832572162176	0.00640815221493046	0.00400660849473252	0.00566573210600665	0.00651743823703318	0.00590179117795554	0.0067248595637816	0.00447608639214965	0.00568626477749735	0.0187285494625813	0.0242966727093572	0.0104269218613788	0.00376817254540567	0.00633570297766711	0.0073315728580851
