	OM4_B_B_1	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1D_1	OM4_C_1D_2	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2B_2	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2F_1	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3A_2	OM4_C_3A_3	OM4_C_3B_1	OM4_C_3B_2	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3C_2	OM4_C_3D_2	OM4_C_3E_1	OM4_C_3E_2	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3F_3	OM4_C_3G_1	OM4_C_3H_1	OM4_C_3H_2	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4A_3	OM4_H_4B_2	OM4_H_4B_3	OM4_H_4E_1	OM4_H_4E_2	OM4_H_4F_1	OM4_H_4F_2	OM4_H_4F_3
OM4_B_B_1	0	0.090995352488122	0.00863015870746817	0.0187573066023079	0.0331160795551155	0.00205753348125785	0.0101269963930077	0.00419619371978593	0.0147884951867874	0.0298876082759932	0.0462826969972868	0.00201457647858504	0.032246705630784	0.00482982100189203	0.00494765072670419	0.0210544061560349	0.0128429612998182	0.0164609004080072	0.00520627926086389	0.00625130295993975	0.0156804481562336	0.0401702047688217	0.0902317145839263	0.0385656461818514	0.0286822706517266	0.00534980951940124	0.0262693542217677	0.0171245093361236	0.0621808481228825	0.0392048385818659	0.0538765426791996	0.00537600379589356	0.00523899271835069	0.0189746384905768	0.0359348670921831	0.0163422573988201	0.0460158552957739	0.012193456953563	0.020280172383908	0.0243146893045684	0.0379220928646072	0.0329047365949495	0.029097399136851	0.0299222616075966	0.030861719352829	0.0265990188472202	0.0262812453383377	0.0253009902913477	0.00321006241451475	0.0226453282374292	0.048905641130867	0.0275086837233729	0.0934480473226663	0.0282680142706687	0.0059050479042187	0.01816034998005	0.0136309659809651	0.00624790491638794
OM4_B_B_2	0.090995352488122	0	0.0968064993103856	0.0726174470619292	0.0584662919815546	0.091945890605849	0.0810223373415517	0.0872634816989771	0.0762534701552954	0.0614556248877153	0.0449262430352036	0.0913049884243184	0.0588266981182597	0.0863186753590818	0.0903382509027544	0.111826684348521	0.0782461632662186	0.07489876746467	0.09615190024591	0.0943295439283443	0.0763052396646077	0.0511115056487074	0.00508825349110112	0.0624216421065019	0.0627488631949888	0.0857330761280663	0.0648023392920923	0.0739430424208702	0.0344877888175561	0.0523573374587557	0.0377868313172856	0.0858821971282433	0.085774622630708	0.0721356565196117	0.0556628802480889	0.0748412889986711	0.0458977049909429	0.102794350401087	0.070813410066381	0.067111864149076	0.0531891154035894	0.058169336946484	0.0620762200927135	0.0613808685548287	0.060748552021478	0.0644755585748028	0.0650300636828736	0.0658305146528381	0.0933925308119937	0.0685260009094935	0.0425717997424799	0.0644767437080706	0.125106954356229	0.0628630029931625	0.0885824725553252	0.0729899610509559	0.0782572925704754	0.0851027957672227
OM4_B_B_3	0.00863015870746817	0.0968064993103856	0	0.0259752225361278	0.0399991444952649	0.00664715815508473	0.0175740236210241	0.0104913339779292	0.0214679881627625	0.0354664467759037	0.0519962400243349	0.0070111812543762	0.0384104927396659	0.0116627879868335	0.00661935954392687	0.0157961708771523	0.0192085515856262	0.0221199203693304	0.00600164849417053	0.0121707441378754	0.0234920533112219	0.0466605423266604	0.0963756376996224	0.0469047596813908	0.0355786489057609	0.0131661680296094	0.0326495360598746	0.0234505813933662	0.0664397548256711	0.0459274412605994	0.0603764377030059	0.0118628750442104	0.0126784703397034	0.0257786258580218	0.0427554178900231	0.0234314461965513	0.0527675848663085	0.00710918999697273	0.0269778278496227	0.0313515304521388	0.0442022280196736	0.039061897651832	0.0356887555608307	0.035551946739581	0.037826161514867	0.0329879483829022	0.033137145764395	0.0319192349836871	0.00546164720544748	0.0294327726011896	0.0553934355932748	0.0347922482564824	0.100505888431025	0.0347994005898203	0.0144199452394624	0.0250949750527582	0.0186421712852701	0.0143436660738503
OM4_C_1A_2	0.0187573066023079	0.0726174470619292	0.0259752225361278	0	0.0143772474921338	0.0200522441016047	0.00863574113034926	0.0155471283338128	0.00476044432591376	0.0129122676766225	0.0282721132438503	0.0194678639952326	0.014112640507228	0.0144293417192404	0.0194280626948429	0.0397944632351658	0.00707436493933274	0.00643700542007345	0.0239558018568769	0.0218084533813712	0.00403024815585374	0.02156443457787	0.0716756893563351	0.0226701700495337	0.00995878814213734	0.0134085511350772	0.00819187844719792	0.0041048497631	0.0456836478753664	0.0204942281632819	0.0352086035093193	0.0141458082347864	0.0136194045404066	0.00182183678651281	0.0172042878168233	0.00255817254276915	0.0272853028481558	0.0309195439719943	0.0026470906563184	0.00557083315588933	0.0195009130453623	0.0147512500390005	0.0105831294565493	0.0128430531817717	0.0121121060856081	0.0084781575589111	0.00760808907024783	0.00692360942497649	0.0215319769457175	0.00422005093263255	0.0302554913450109	0.00883097637824969	0.0907983205460507	0.0098475049856517	0.0160690014151963	0.0014522718195924	0.00936263831319991	0.0126164042033301
OM4_C_1A_3	0.0331160795551155	0.0584662919815546	0.0399991444952649	0.0143772474921338	0	0.0343408625392472	0.0229929813055615	0.0297447038191768	0.0185639799272195	0.00852861317967718	0.0151705186883119	0.0337376687781101	0.0047422048428157	0.0286746214883375	0.0333876007364461	0.0541504188543221	0.0207993694954615	0.0182289504043983	0.0383169820496211	0.0359870208632259	0.0179016753120393	0.00744651317632544	0.0573837933200413	0.0164549622222915	0.0044434301618608	0.0277693705861962	0.00773039741035571	0.0165892273557879	0.0340177063579111	0.00614062982096045	0.0208664005490972	0.0283337364213047	0.027941156339882	0.0142550793335081	0.00283144216725514	0.0167863846044928	0.0129111907215188	0.0452444682265774	0.013029577695144	0.0088079885855969	0.00615418050067369	0.00469557756554763	0.00457685155523862	0.00827096230012999	0.00228897698989042	0.00740886680766997	0.00687649459964843	0.00813844341291383	0.0358201587658142	0.0105782351200614	0.0159454860658504	0.00607104822040541	0.0921691934155729	0.00550296576600619	0.0302157811913496	0.0150028011332672	0.021850413591248	0.0269905171624238
OM4_C_1C_2	0.00205753348125785	0.091945890605849	0.00664715815508473	0.0200522441016047	0.0343408625392472	0	0.0114433079049496	0.00470091931097766	0.01584572658367	0.0306759125342516	0.0471596512789183	0.000666661058863486	0.0332296447832898	0.00568236804474929	0.00350645540318867	0.0199752998525534	0.0137543901298735	0.0171723695548955	0.00442339214327927	0.00755142152367967	0.0172040408684679	0.0412788949430825	0.091281053507936	0.0403630198220602	0.0298997943563537	0.00676745110901025	0.027300855132766	0.0180763611729777	0.0626649168706214	0.0403880715252359	0.05500854118449	0.00608749110145606	0.00644103410208967	0.0201149403852334	0.037144558183326	0.0175715421416227	0.0472195625848228	0.0109368279666955	0.0213903391747877	0.0255673554881891	0.0389581197781652	0.0338876483393307	0.0302112283460235	0.0307266076013017	0.0321091680363445	0.0276349110506769	0.0274765440802453	0.0264094403815866	0.00148073329159491	0.0238008924320098	0.050027641168125	0.0288618774316098	0.0953417474184042	0.0293586128934193	0.00796222324097303	0.0193436455066308	0.0140742870961866	0.00784440476587722
OM4_C_1C_3	0.0101269963930077	0.0810223373415517	0.0175740236210241	0.00863574113034926	0.0229929813055615	0.0114433079049496	0	0.00708465268570544	0.00495539424965162	0.0202584225019622	0.036414131138776	0.0108761354263265	0.0222833700509743	0.00591403887217364	0.011206912853371	0.0311763286887421	0.00377304928996724	0.00757656758067971	0.0153305794752761	0.0137760959433707	0.00596287284026265	0.0300821916032303	0.0801853844008231	0.0296838993221383	0.018559269633003	0.00477788994178596	0.0162756914715234	0.00743054694367202	0.052995546279669	0.0290881052052224	0.0437767953358907	0.00574053955337599	0.00500263141958239	0.00890988067798231	0.0258134517071952	0.00622587397133538	0.0358976793187564	0.0222873176678297	0.0102366132757108	0.0141894637678069	0.027888717658946	0.0229389516572984	0.0190172099534925	0.0202606789868817	0.0207382407204179	0.0165984739590337	0.0161635818195194	0.0152340200535696	0.0129201947889471	0.0125515130588981	0.038809338445403	0.0174254073013341	0.0917617079866085	0.0182072112514232	0.00837028458601493	0.00806399296937245	0.00654015854693962	0.00411188628943798
OM4_C_1D_1	0.00419619371978593	0.0872634816989771	0.0104913339779292	0.0155471283338128	0.0297447038191768	0.00470091931097766	0.00708465268570544	0	0.0112001941616816	0.025981802206546	0.0424629788958664	0.00405649201291327	0.0285399031848418	0.00119424679048321	0.00424634051007759	0.0246719872588629	0.00906629696103733	0.0124827203987686	0.00903167780070411	0.010032550832682	0.0130218266182788	0.0366212598706858	0.0866132162845134	0.0366085179835064	0.0253046569393242	0.00308602730350729	0.022624433180876	0.0133890823174312	0.0580863534893472	0.0357637730712643	0.0503580588797444	0.00141163914206697	0.00236771511450518	0.0154956818031999	0.0325367935521995	0.013025427316613	0.042603410315957	0.0156150154341757	0.0167517833287342	0.0210051025911618	0.0342785592772158	0.0291977948875119	0.0255613746233829	0.0260307043571599	0.0275305377646326	0.0229595159321652	0.0228716140928562	0.021761322260706	0.00615390894818641	0.0191802574375635	0.0453735233989885	0.0243762914108824	0.09508731708189	0.0247001935886145	0.00726214757648259	0.0147537533089185	0.00948531408638009	0.00438084594892693
OM4_C_1D_2	0.0147884951867874	0.0762534701552954	0.0214679881627625	0.00476044432591376	0.0185639799272195	0.01584572658367	0.00495539424965162	0.0112001941616816	0	0.0153081951209348	0.0315426680620983	0.0152258225637942	0.0174633626003337	0.0101638324200534	0.0148677565733294	0.0357821272011725	0.00232761715815963	0.00334536572709523	0.0199745699530396	0.0187307244858	0.00478344007931804	0.0254414921461776	0.075510001507873	0.0273162831137209	0.0141287704903638	0.00952963564952303	0.0114848097484584	0.0024814916745047	0.0480514814644457	0.0245687569803253	0.0391794035151006	0.00978949056059114	0.00955014340649879	0.00431367523629532	0.0213471086446543	0.00230792180480143	0.0314119614747001	0.0267799503568026	0.00555211377635061	0.00989359592330436	0.0231463418667864	0.0181214358221068	0.0143691676980201	0.0153141306111891	0.0163701368121036	0.0118157277009817	0.011688903249908	0.0105665127725229	0.0173203429500633	0.00798788828355919	0.0341949460353778	0.0134022471613143	0.0933728680240682	0.0135168105573429	0.0132625352352284	0.00365607252237282	0.00490122132981701	0.0090389515917017
OM4_C_1E_2	0.0298876082759932	0.0614556248877153	0.0354664467759037	0.0129122676766225	0.00852861317967718	0.0306759125342516	0.0202584225019622	0.025981802206546	0.0153081951209348	0	0.0165514888069088	0.0300226560081753	0.0041187347652257	0.0251017489008634	0.0289581048576764	0.0505946762710258	0.0170552574786955	0.0135107421805817	0.0349846208374438	0.034020831553059	0.0169372997399888	0.0121442008298902	0.0610350544713977	0.0245342362504274	0.00720323444266466	0.024768804187678	0.00513300223818806	0.0128544965595292	0.0328720646361948	0.0121967856882748	0.0253873226104897	0.0246230436882319	0.024688873263445	0.0117356408239237	0.0100198436232923	0.0144588192020256	0.0185288770276981	0.0415035564755744	0.0104417986214811	0.00893735814706433	0.00936987351366321	0.0045668177395913	0.00539148723034892	0.000259922797639218	0.00804679769364859	0.00498476748932652	0.0072980050654409	0.00661391582483861	0.0321065158085166	0.00887812093863095	0.0204826377821459	0.0096735934169358	0.0990644643575278	0.00510030726310022	0.0284587122171122	0.0126653304431132	0.0168408377812102	0.0243443710279066
