	OM4_B_B_1	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_1	OM4_C_1A_2	OM4_C_1C_1	OM4_C_1C_2	OM4_C_1D_1	OM4_C_1E_1	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1F_3	OM4_C_1G_1	OM4_C_1H_1	OM4_C_1H_3	OM4_C_2B_1	OM4_C_2B_3	OM4_C_2C_1	OM4_C_2D_1	OM4_C_2E_1	OM4_C_2E_2	OM4_C_2F_1	OM4_C_2F_3	OM4_C_2G_1	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3D_1	OM4_C_3D_3	OM4_C_3E_2	OM4_C_3E_3	OM4_C_3F_2	OM4_C_3F_3	OM4_C_3G_3	OM4_C_3H_1	OM4_C_3H_3	OM4_H_4A_1	OM4_H_4A_3	OM4_H_4B_1	OM4_H_4B_3	OM4_H_4E_1	OM4_H_4E_3	OM4_H_4F_2
OM4_B_B_1	0	0.00605492353516646	0.010148855157361	0.0108848462193604	0.0222344829424809	0.0158969407737909	0.0116891279729597	0.00559394554346025	0.0101147723973537	0.0158525343554517	0.024048156133639	0.0130569190953664	0.0600121253073843	0.0194300609516144	0.0199805350174971	0.00842870555077948	0.0129260532788967	0.00847113732174241	0.00847408107471555	0.00742133268224245	0.0111672719868656	0.0115095126222089	0.0168430129020503	0.0171510761229324	0.00939924872176109	0.0191271094375849	0.0159004095351055	0.00802857865477085	0.0115768664857859	0.0131475343073136	0.0146341063683214	0.02417809602368	0.00734278785027155	0.0144906481956681	0.0181163833455923	0.0162118197352383	0.0344849584818425	0.0367398481114044	0.0146833666489491	0.0467588866743193	0.0269083933857194	0.00665572699491916	0.00676310373128274	0.0143543141502439	0.0121700352130748
OM4_B_B_2	0.00605492353516646	0	0.00857827241220059	0.00985270538811641	0.0224043272992547	0.0208550171915125	0.0126774613081425	0.00739832751776566	0.01073313663557	0.020997502589977	0.0192763414332094	0.00773141454372508	0.0553034293340196	0.0153619680737533	0.016738961190111	0.0142852838107642	0.0189416065204003	0.013373354461106	0.0103537578821132	0.0088809159416801	0.0156994400724578	0.0166597886208738	0.0215776500527347	0.0140998338346645	0.0114354660674636	0.0146261029862654	0.0140976755563618	0.0137192765801995	0.0176137579635781	0.0179240843391068	0.0138285431948467	0.0194565737342998	0.00433897232505014	0.0181591412514743	0.02376164455745	0.0137056028117873	0.030728726764335	0.0418117712184422	0.013003756196852	0.0426377979282085	0.0221050876530846	0.0113796825279281	0.00207203205246704	0.0104396173742696	0.0178406366523948
OM4_B_B_3	0.010148855157361	0.00857827241220059	0	0.0164028688223322	0.0286323678903673	0.0257078091266147	0.00550338731867684	0.00536462907384573	0.00378813619022195	0.0246515827188064	0.0166781383028283	0.0115261229599228	0.0517818127289002	0.0104851295649282	0.0100122524583379	0.0146657779960922	0.0200617110782896	0.0123903481890481	0.00553401094405736	0.00688801122321793	0.0152952237665516	0.0211786368372461	0.0266386692164522	0.00802445634229544	0.0186796177255562	0.0106829487454233	0.00730197795596119	0.015523954463167	0.0185576970253016	0.0231676713934314	0.020325226539237	0.0245462379714371	0.0121290565740943	0.0245873577512984	0.0268295528807347	0.0072212219784813	0.0259139619277768	0.0450717293561357	0.00549726926720881	0.0383801444090499	0.020172834656365	0.0131757342392476	0.00853860315379578	0.00698243032695236	0.0192758273459852
OM4_C_1A_1	0.0108848462193604	0.00985270538811641	0.0164028688223322	0	0.0126151154257679	0.0200402514197941	0.0200157740705069	0.0144906902911865	0.01807121905592	0.0227667891605498	0.0225639921581146	0.0101880355204246	0.057195377436849	0.021156408763778	0.0240422781450411	0.0175692615610303	0.0209801891701537	0.0190059471193075	0.017570592367627	0.0126503638101687	0.0218706224947271	0.0147351053215458	0.0181121919362061	0.0196256331339059	0.00780486777921703	0.0205016191706789	0.0190706229428829	0.0176344113094845	0.0194421225474142	0.0164366222813836	0.00404959996076244	0.0157069658224881	0.00568888183653342	0.0148965154885489	0.0243451582862173	0.0190614092651717	0.0334648581099394	0.0426993790812836	0.0189075235364438	0.0446169598605906	0.024054015741779	0.0114620174623989	0.00863679624857554	0.0157674243568775	0.021280828961207
OM4_C_1A_2	0.0222344829424809	0.0224043272992547	0.0286323678903673	0.0126151154257679	0	0.0241060470428794	0.031710525160031	0.026341214438244	0.0299019726756233	0.0289095153506254	0.0321319238106376	0.0215138522045366	0.0633327912685463	0.0324078666252457	0.0358733612101379	0.0265710634014909	0.0281480662242882	0.0293242533782745	0.0292405662206743	0.023703543535156	0.0320426648212284	0.0196659974432227	0.019642674336136	0.0308702559637788	0.0150773776225375	0.0318205378766767	0.03004141721527	0.0268340775034696	0.026834102799192	0.0209420416692799	0.00871245348757811	0.0196981964085949	0.0181486048839728	0.0178056444364089	0.0291330899591195	0.0302566695599272	0.0416826338557534	0.045494141672216	0.0303257949273344	0.0514331810916547	0.032415341142047	0.0203427587676043	0.0212479638467302	0.0273088604879183	0.0294362885209239
OM4_C_1C_1	0.0158969407737909	0.0208550171915125	0.0257078091266147	0.0200402514197941	0.0241060470428794	0	0.025375859134364	0.0204840615402464	0.02451880749508	0.00577957016074815	0.039567280180995	0.0273019274167355	0.075423997488193	0.0353172822508101	0.0356413564766685	0.0135511069448499	0.0106385980748138	0.016414046866588	0.0221578149995258	0.0216936218012729	0.016095037127653	0.0066344981795355	0.00596437952158667	0.0328916039263185	0.0126984525417435	0.0349795506423897	0.0311720752253074	0.0116061044930863	0.0114364299856624	0.00363899307832375	0.0212909972889533	0.034753419779926	0.0199125033745726	0.00683483566675455	0.00615301618293255	0.0317949908083261	0.0499555511317508	0.0227233197696985	0.0300416573167553	0.0621385021387772	0.0420802926439112	0.0156189463113539	0.0216489656443823	0.0301382693375169	0.0106396788272972
OM4_C_1C_2	0.0116891279729597	0.0126774613081425	0.00550338731867684	0.0200157740705069	0.031710525160031	0.025375859134364	0	0.00616249872048223	0.00203883149243729	0.0235107659284034	0.0210864105489685	0.0168377349822515	0.0549221273593742	0.0144238349012741	0.0124293622166019	0.0126632018112065	0.0177745911379196	0.00981859224077963	0.00334655556263952	0.00820917209745568	0.0126800177692409	0.0212245593111836	0.0267306491651363	0.0114238597502335	0.0209696977204432	0.0150684176520058	0.00947614605943441	0.0141448251918912	0.0164106432163955	0.0233512246091401	0.0238882379597531	0.0298154587516199	0.0161250684343861	0.0256489748658192	0.0252118364158817	0.0102308889774012	0.0285860977540624	0.0430112257078506	0.007665140198138	0.0411495537584342	0.0246041969234671	0.0133891832035334	0.0129169043411124	0.0118997954271454	0.017158270461439
OM4_C_1D_1	0.00559394554346025	0.00739832751776566	0.00536462907384573	0.0144906902911865	0.026341214438244	0.0204840615402464	0.00616249872048223	0	0.00452387449802883	0.0194459515635854	0.0213293783561811	0.0132024079111785	0.0568042867046034	0.0156619006765146	0.0153275729623447	0.00947596822866592	0.0148376674069508	0.00764341032578221	0.00319999247842276	0.00496915040724199	0.0109390946160473	0.0161036217916235	0.0216137426846251	0.0129937750358368	0.0148548152542128	0.0157263050783705	0.0114667841029407	0.0102564279141949	0.0133635306163053	0.0180750285891233	0.0184292774285096	0.02582902390496	0.0104822726788281	0.0199025743622344	0.0214825392506781	0.0119155883283244	0.0307771951679693	0.0399308124960599	0.0099310586765078	0.0432784752827111	0.0245731471002107	0.0088169782520758	0.007824289456424	0.0112927569922577	0.0141094765053884
OM4_C_1E_1	0.0101147723973537	0.01073313663557	0.00378813619022195	0.01807121905592	0.0299019726756233	0.02451880749508	0.00203883149243729	0.00452387449802883	0	0.0230050544379736	0.0199424070753323	0.0148772835141967	0.0544085605975597	0.013514766049447	0.0121558986805297	0.0122771350597944	0.0175843940835052	0.0097290727207419	0.0025550666265713	0.00661373192017021	0.0128184396148386	0.0201609032239482	0.0256833137901371	0.0105446562147067	0.0192956772836947	0.0140030784692328	0.00874590918562462	0.0136089855052122	0.0161274641698373	0.0222900406059699	0.0219674526677853	0.0278479208600558	0.0141352729060999	0.024327610712021	0.0248290096187641	0.0093675548203541	0.0281279588847119	0.0429450977868754	0.0069269507491843	0.0407048459259882	0.0234072356361168	0.0121704377661804	0.0108958882822204	0.0103900594080848	0.0169695226240508
OM4_C_1E_3	0.0158525343554517	0.020997502589977	0.0246515827188064	0.0227667891605498	0.0289095153506254	0.00577957016074815	0.0235107659284034	0.0194459515635854	0.0230050544379736	0	0.0398269837900812	0.0282698110836344	0.0757683188598271	0.0347827298847459	0.0343095629950417	0.0121407303358307	0.00879738293957548	0.0139010030471099	0.0204870248324473	0.0217437446984225	0.0122614824047086	0.0100949206549292	0.0114226861039646	0.0323879211435607	0.015732406645746	0.0345166845052844	0.0306962062719145	0.00947074129433029	0.0103223023154379	0.00804644633330816	0.0248202392435427	0.037229452175686	0.0212415206087195	0.011743218098434	0.00480965176543875	0.0313033427020097	0.0500283078495075	0.0209066462495778	0.0292834138181415	0.0624335110276753	0.0427291171018752	0.0167004028356331	0.0221701355939704	0.0300520241870481	0.00712839157348972
