	OM4_B_B_1	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3A_3	OM4_C_3B_1	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3D_2	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3F_3	OM4_C_3G_1	OM4_C_3H_1	OM4_C_3H_2	OM4_H_4A_1	OM4_H_4A_3	OM4_H_4B_1	OM4_H_4B_3	OM4_H_4E_1	OM4_H_4F_3
OM4_B_B_1	0	0.0300683980294593	0.0169243167302142	0.0830006833855083	0.0737483782983004	0.00271984305050927	0.00973674017083063	0.0378963285543831	0.0170678057344239	0.0114862053510897	0.0100122159378717	0.0207935213872262	0.025612860602791	0.0324217821989034	0.044318957817878	0.0362998178450849	0.0395195148961051	0.0287455658583685	0.0433912925246617	0.0512424360450463	0.0338547796389151	0.0323061136077211	0.0628676225175179	0.073740679311973	0.0317113545815294	0.03513359576441	0.0311645443455698	0.029160206633126	0.0317691188967595	0.0141575221376335	0.0152557350339093	0.0352774313732322	0.0403673416615461	0.0284758503125334	0.0248431058885671	0.046852169576155	0.0296266938275319	0.0330876886948976	0.0430656227315569	0.0301723592515086	0.0436312939579141	0.0286538097034672	0.0392397860953818	0.0278954374251385	0.0392543732301675
OM4_C_1A_2	0.0300683980294593	0	0.0181447863733565	0.0538424070247573	0.0440440388702742	0.0285008213242852	0.0390271164988701	0.067693500796649	0.0203242303833446	0.0235433710326355	0.0254735556921268	0.0507575959794452	0.0552634874729781	0.0622561149195499	0.0742291773818885	0.0645582763470909	0.0694108282324017	0.0586757584558137	0.0730773573037391	0.0812127516717046	0.0629656590619509	0.0623338801804162	0.0928097629569282	0.103699769453694	0.0610368561272345	0.0645574717414101	0.0609804216806431	0.00906649930984693	0.00472354644628761	0.0204662354825835	0.0185826339177345	0.0652583513043854	0.0703486297989668	0.0577824521585856	0.0547656535123607	0.0766829305003828	0.059253968577106	0.0621070082889237	0.0729491796142314	0.0572682496631114	0.0729777153383761	0.0586097475053801	0.0688220657060937	0.057902782328933	0.0687759151729871
OM4_C_1A_3	0.0169243167302142	0.0181447863733565	0	0.0675543039021601	0.0590068101767497	0.0168963662110451	0.0235347878756207	0.0530376779734648	0.00831897371966346	0.00667038959173684	0.00860574796543667	0.0356932836269227	0.0393044463830692	0.0470241418548098	0.0599820636137021	0.0501457868970331	0.0538062575416498	0.0437002638728968	0.0571111816138413	0.0664815076987472	0.0471744979206305	0.0472387737444772	0.0775302470758719	0.088434692903187	0.0455900887166667	0.0485588751132119	0.0452200031865812	0.0145168481855587	0.0187602946689565	0.00379946255598693	0.00243409604936309	0.0507219359612191	0.0549058121655467	0.0426280859782344	0.0394563926519256	0.0618813958396608	0.043210666800933	0.0466110292599761	0.057143276615338	0.0413013095128863	0.0575136236987024	0.0432032455942985	0.0525988351690948	0.0435116130265348	0.0524521017010829
OM4_C_1C_2	0.0830006833855083	0.0538424070247573	0.0675543039021601	0	0.0111524873604072	0.0818272631079552	0.0909225921768632	0.120073469182057	0.0695732017777084	0.0739633774754253	0.076037633238164	0.102977668565783	0.10671024258847	0.114259819904545	0.126989900424322	0.115961752031071	0.121084014818842	0.110937947270931	0.124284559650009	0.133636397109359	0.114036912631829	0.114548679781438	0.144680641313284	0.155534273131691	0.112550853364172	0.115671903028321	0.112593538022373	0.0545944266479077	0.0519480977600653	0.070560321607471	0.0688986286875058	0.117832206722411	0.122228984114916	0.109540216493786	0.10678913069752	0.128946184222789	0.110566155470625	0.113346329662708	0.124440124023185	0.106974139897478	0.124308594782358	0.110579375549719	0.119797991186397	0.110587955463941	0.119622369478992
OM4_C_1C_3	0.0737483782983004	0.0440440388702742	0.0590068101767497	0.0111524873604072	0	0.0723876502154495	0.0820917469069104	0.111119643889631	0.0609636098243884	0.0653527188898859	0.067430564787497	0.094068717584503	0.0981061722081082	0.105467549572602	0.117870371832933	0.107195391315206	0.112423536716955	0.102040278780336	0.115818610382506	0.124690147102955	0.105544615287567	0.105677093623749	0.135984157015234	0.146852777808115	0.103901959217812	0.107202497316936	0.10395421384695	0.045729667572724	0.0423936623621567	0.0619265941906074	0.0602048723181861	0.108793549340917	0.113504846289073	0.100786034895949	0.0979653448111671	0.120053687501086	0.102026210139336	0.104771596071959	0.11587252922961	0.0987842680215953	0.115741545681753	0.101799763802857	0.111404879387932	0.101500210478031	0.111272916616603
OM4_C_1E_2	0.00271984305050927	0.0285008213242852	0.0168963662110451	0.0818272631079552	0.0723876502154495	0	0.0122314812434007	0.039533575899088	0.0170298864691203	0.0121601761976086	0.0110798224563967	0.022717928426621	0.0277810387798652	0.0342801390336172	0.0457775459934782	0.0379427161605934	0.0414200594085025	0.0305472997713099	0.0454035834546892	0.0528307411262518	0.0359085305569673	0.0341002338515922	0.0645894581239281	0.0754292363617666	0.0336684460382282	0.0372264756386699	0.0331988730268349	0.0282118225992985	0.0303713335083403	0.0143050955719664	0.0151536005282582	0.0368613965473727	0.0422156258395879	0.0303690237303154	0.0267891997914978	0.0484926824728053	0.031773621634497	0.0350600774463296	0.045014139946814	0.0323536537846584	0.0455156864866618	0.0305925564997408	0.04135580839261	0.0294848100641165	0.041401256153157
OM4_C_1E_3	0.00973674017083063	0.0390271164988701	0.0235347878756207	0.0909225921768632	0.0820917469069104	0.0122314812434007	0	0.0296964121693067	0.0232095943819101	0.0171935251624175	0.0151108851924856	0.012327310255172	0.0162671010459563	0.0237113828337439	0.0365152438527903	0.0286109605277291	0.0306797458112311	0.0202538669639509	0.034206945455912	0.0429956543380562	0.0248260167132242	0.0237736817523524	0.0542229482037015	0.0651497319328052	0.0229072514317847	0.0258822292551046	0.0220224958405702	0.0370753191414902	0.040453537362488	0.0206799935579168	0.022149356976827	0.027309102074904	0.0315902649171651	0.0199445132669636	0.0161408835171068	0.0385189388876403	0.0202591523833416	0.0243259823185474	0.0340300996826678	0.0217195406628501	0.0348367404598469	0.0197952731109223	0.0298702989783295	0.0201039525078368	0.0298306858955179
OM4_C_1F_1	0.0378963285543831	0.067693500796649	0.0530376779734648	0.120073469182057	0.111119643889631	0.039533575899088	0.0296964121693067	0	0.0511577182884473	0.0464953728024061	0.0444818361784316	0.0186952683172626	0.0157043868472793	0.00659849804866783	0.0101063350897935	0.0114402995410667	0.0106667019441323	0.00955049674054178	0.00976786065240692	0.014478934669726	0.0100308194980426	0.00857150829772209	0.0255992434493524	0.0368821360887745	0.00933368278901348	0.00915046046081902	0.0102366596513623	0.0666255800780755	0.0695886019948735	0.0503443019279238	0.0514799805498809	0.00859295588656182	0.00841921400289947	0.0113664143379054	0.0156003204850114	0.00902542238747833	0.0125181775216898	0.0100291799837735	0.010486873021839	0.0192584408106803	0.00881489906976221	0.0114190836366164	0.0102742215635546	0.0119017455738393	0.0110739992875091
OM4_C_1G_1	0.0170678057344239	0.0203242303833446	0.00831897371966346	0.0695732017777084	0.0609636098243884	0.0170298864691203	0.0232095943819101	0.0511577182884473	0	0.00795758489248482	0.00971228698920515	0.0354322418734959	0.0387513445353156	0.0454296519161504	0.0589968110668859	0.0466366856238005	0.0534465647737621	0.0422884627306189	0.0556764144779868	0.0652103336536161	0.0449286705080253	0.0464776232221502	0.0761142597967622	0.0873333093640719	0.0433733434519873	0.0468572413509067	0.0442573480451141	0.0197868688956254	0.0225487244375763	0.0104638399274531	0.00652108348388981	0.0501356648789442	0.0541520204546337	0.0403114552939545	0.0391830653311327	0.060038837777331	0.042306113653321	0.0440924152655266	0.0563393259400614	0.0380478089051756	0.0551394998386327	0.0424126535889268	0.0514937271072203	0.0428317459240084	0.051429448925743
OM4_C_1G_2	0.0114862053510897	0.0235433710326355	0.00667038959173684	0.0739633774754253	0.0653527188898859	0.0121601761976086	0.0171935251624175	0.0464953728024061	0.00795758489248482	0	0.0021473101731399	0.0294794055934926	0.0329954470505706	0.0405015901155601	0.0536717904000124	0.0434905496864936	0.0476039696418471	0.0372140994363294	0.0506658825496374	0.0600759979586013	0.040588002753994	0.0409112910550933	0.0710986988760511	0.0820903065633514	0.0389799380598891	0.0420507004449012	0.0388261646713846	0.0209999620310118	0.0247755015461391	0.00536127431523015	0.00518343575932049	0.0444880465088411	0.0485916529423956	0.0359979132345786	0.0332373401322645	0.0553506621777144	0.0368348875020029	0.0399849672180266	0.0508282290963808	0.0347910533013282	0.0509138737382611	0.0368449299732283	0.0462290810428123	0.0372540524178673	0.0461110842656731
