	OM4_B_B_1	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2F_1	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3A_3	OM4_C_3B_2	OM4_C_3B_3	OM4_C_3C_2	OM4_C_3D_2	OM4_C_3E_1	OM4_C_3E_2	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3G_1	OM4_C_3H_1	OM4_C_3H_2	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4A_3	OM4_H_4E_1	OM4_H_4E_2	OM4_H_4F_2	OM4_H_4F_3
OM4_B_B_1	0	0.0160990649106585	0.0048172690314875	0.0133422499852684	0.0255284517461181	0.0131164184786414	0.027848908011447	0.0152894318721285	0.0285768691573296	0.0176576144701769	0.0105726927111726	0.0424514451330696	0.00283375627752383	0.0148238305243453	0.0131080287967437	0.035540819953095	0.0232396147668095	0.0488075313811994	0.0424579325662874	0.0736683810618717	0.0526763446194965	0.0487039028994792	0.0545568421912363	0.0585441231591674	0.0284840706645292	0.0265355101513212	0.0272593618639554	0.00525361053969692	0.0160612232580742	0.0415795001451554	0.00344506975952235	0.00267831164068513	0.0576473236301964	0.0752481171791888	0.0204441928390715	0.0262419365457177	0.0512124478206013	0.00128535155709982	0.0138397748403717	0.0332712380139779	0.0422591705140181	0.0231433957207541	0.00584894624848394	0.0367995938896372
OM4_C_1A_2	0.0160990649106585	0	0.011336141040665	0.025701837722679	0.0396441784636896	0.00406749337159051	0.0140332989725952	0.02992622825772	0.0433131115912548	0.0306541456977071	0.020150243735193	0.0571051973173366	0.0172560760884515	0.0296672286299868	0.0238761091528189	0.0508376491935158	0.0101609374655995	0.0342572333211093	0.0571469679219313	0.0887542313886015	0.0671624548060634	0.0637893361060137	0.0697981120857879	0.0738931810677633	0.0438080325419942	0.0419057515642658	0.0123903366429828	0.0186360981798396	0.0310559407201847	0.0568025365970426	0.0141607755116378	0.015160359148639	0.073118900101202	0.0904790707813172	0.0343036034472373	0.0415916472128478	0.0659529283344347	0.0164837714173159	0.0289451059666264	0.0482556508274288	0.0580851742384426	0.0373587725119428	0.0160213541145135	0.0524242045415208
OM4_C_1A_3	0.0048172690314875	0.011336141040665	0	0.0167720409969095	0.0298233239309735	0.00831547618493036	0.0231975642224347	0.0196757630292939	0.0330826097614339	0.0214637705181502	0.0125734221654851	0.0469688444931487	0.00609017764195906	0.0192812732437265	0.0158509408411914	0.0402200065852818	0.0186117393741833	0.0441458943522161	0.0469850985903831	0.0783230496970508	0.0571639265169388	0.0533439338065892	0.059239069073792	0.0632529479471733	0.0331592461678159	0.0312194130196809	0.0224941700306226	0.0079284928024656	0.020584228714714	0.0462470626962511	0.00416472836447822	0.00407570028679643	0.0623823769999717	0.0799360943747425	0.0246084307343427	0.0305316941290033	0.0557661460242706	0.00543922989026661	0.0183834550146534	0.0378624842405423	0.0470568551430958	0.0274545835911927	0.00731024229931552	0.0415579870272332
OM4_C_1E_2	0.0133422499852684	0.025701837722679	0.0167720409969095	0	0.0141109966201864	0.0241947990112399	0.0392483441986483	0.00614855123934679	0.018133760156882	0.00495654953953388	0.0059163044592738	0.0316429009007233	0.0152874908809249	0.00647375042750768	0.00279701045244684	0.0261468511491536	0.0348180421025613	0.0598958223510958	0.0317056508408222	0.0634847078291134	0.0415832294381341	0.0386135011674262	0.0447500880133921	0.0489591349473089	0.0194511921749504	0.0177699587188063	0.038010317662175	0.0170673722531899	0.0077214804605243	0.0318715949877014	0.0126369483953041	0.0160068539060328	0.0483799404170772	0.0653469999855466	0.00879444130528217	0.0274660473880084	0.0404940341111096	0.0121126459104561	0.00682264421578998	0.0232007955379409	0.0344980957787673	0.0119535087101436	0.00986482873230971	0.0283710353628879
OM4_C_1E_3	0.0255284517461181	0.0396441784636896	0.0298233239309735	0.0141109966201864	0	0.0377850364811737	0.0528699160663627	0.0102512539675029	0.00447332031649806	0.00924489642711208	0.0199958699281938	0.0175376420908047	0.0264891686975814	0.0107789027965715	0.0164555779971174	0.0126565501968856	0.0483446932186421	0.0736768467558834	0.0175985552982811	0.0493955501518301	0.0275509156684471	0.0245561891610091	0.0307253152719578	0.0349687166449669	0.00732376707115713	0.00671693307659899	0.0518307433918864	0.0274002718624319	0.00973206649877472	0.017997607092277	0.0259403680473345	0.0279104524574817	0.0344832794523196	0.0512761487069847	0.0053480124379785	0.025325536175776	0.0263963351787909	0.0245332099748952	0.0119000427430432	0.00940876594060108	0.0217597204061447	0.00238769750953506	0.0236387934747794	0.0154995217252097
OM4_C_1F_1	0.0131164184786414	0.00406749337159051	0.00831547618493036	0.0241947990112399	0.0377850364811737	0	0.0151031067748331	0.0277776077767137	0.0412159680553981	0.0290785101595598	0.0190823251894812	0.0550861805564544	0.013829455442175	0.0274340223173973	0.0227290092454546	0.0484785257007034	0.0106274983594784	0.0359695480686883	0.0551114560382691	0.0865395847093994	0.0652389667308382	0.0615631899536039	0.0674880307269844	0.0715189616443842	0.041420964857163	0.0394884334064341	0.0142015421858959	0.0149561412204021	0.0287726509381023	0.0544929348522702	0.0118619310209151	0.0117449471733755	0.0706650439874733	0.0881788294334808	0.032492714468937	0.0379114743025534	0.0639068659217664	0.0137317499903283	0.02659495387961	0.0460571853992064	0.0553597737474129	0.0354442302973327	0.0143315177600738	0.0498600420168144
OM4_C_1F_2	0.027848908011447	0.0140332989725952	0.0231975642224347	0.0392483441986483	0.0528699160663627	0.0151031067748331	0	0.0428266266594935	0.0562462303665651	0.0441520186497826	0.0339489329478434	0.0701154271479023	0.0279288394065565	0.0424568642105552	0.037648904574999	0.0633599274329665	0.00462017078648534	0.0209717170566367	0.070135460084727	0.101419917747575	0.0802786463945347	0.0764906322765703	0.0823493959987702	0.0863232548578736	0.0563092656117184	0.0543646011230436	0.00299978377217223	0.028348899821634	0.043770053353388	0.0693883660382262	0.0269482191215392	0.0259922324311077	0.0854053568723022	0.10299842406791	0.047584869040273	0.0503160409203965	0.0789121814106292	0.0286250842613259	0.0415729028823249	0.061035869279622	0.0698697414662034	0.0505258710109188	0.0293976816315201	0.0645715694252616
OM4_C_1G_2	0.0152894318721285	0.02992622825772	0.0196757630292939	0.00614855123934679	0.0102512539675029	0.0277776077767137	0.0428266266594935	0	0.0134461833696781	0.00476415804133659	0.0115498426148081	0.0273286223992288	0.0162779848216017	0.000769786941434715	0.00893944865335687	0.0209753116383458	0.0382652782089048	0.0637173473775037	0.0273526495451738	0.0589063303357935	0.0375121101197069	0.0338942892778216	0.0399149385710165	0.0440370481624345	0.0140089806911331	0.012179274582712	0.0419258635742147	0.0173362133853694	0.00157471701747687	0.0269084438283543	0.0159277276588559	0.0176623823400013	0.04331584880838	0.0606287603848831	0.00542702346447517	0.022088761586102	0.0361585115834349	0.0143235389607638	0.00200163366187415	0.0183438888606758	0.0288328889601846	0.00786366751383566	0.0139875177789573	0.0228456123219819
OM4_C_1G_3	0.0285768691573296	0.0433131115912548	0.0330826097614339	0.018133760156882	0.00447332031649806	0.0412159680553981	0.0562462303665651	0.0134461833696781	0	0.0134342855685483	0.0240488768191079	0.0138957678355061	0.0291981284077637	0.0138056828574889	0.0206241735541967	0.00820897312807873	0.0516777722761127	0.0771316213302052	0.0139136447455681	0.045529633024666	0.0241159015061044	0.0205417063504178	0.0266459183885232	0.0308426584792975	0.00364701900030895	0.0042294196523437	0.0553562355326754	0.0298103873931161	0.0125200897680976	0.0137457069681375	0.0293708510354648	0.0307967556559022	0.0302652705500212	0.0473151322175619	0.00938241295108235	0.0239549266722676	0.0227175121399308	0.0276875713008913	0.0147397883365426	0.005073756312357	0.0172943020914189	0.00621406730696252	0.0273161850130515	0.01103917009963
OM4_C_1H_1	0.0176576144701769	0.0306541456977071	0.0214637705181502	0.00495654953953388	0.00924489642711208	0.0290785101595598	0.0441520186497826	0.00476415804133659	0.0134342855685483	0	0.0107705195196093	0.0267465545529039	0.0192302442332576	0.00550803202531051	0.00721448361188594	0.0215757438700003	0.0396977650952061	0.064830354738857	0.0268161862155194	0.0586103165832973	0.0366447234471017	0.0337960594602801	0.0399579665785415	0.0441913263462071	0.0151646989438443	0.0136661930337881	0.0429496930991357	0.0206906399201522	0.00591553363140539	0.0271616606318204	0.0173895749322676	0.0202518066138213	0.0436697330061141	0.0605048846008376	0.00407084540605976	0.0266253860523665	0.0355881381263384	0.0165039068069455	0.00661335838452209	0.0185033392696741	0.0302440725216387	0.00722217596885742	0.0147638672882819	0.0240283219653788
OM4_C_1H_2	0.0105726927111726	0.020150243735193	0.0125734221654851	0.0059163044592738	0.0199958699281938	0.0190823251894812	0.0339489329478434	0.0115498426148081	0.0240488768191079	0.0107705195196093	0	0.0375110356556152	0.0131869104531712	0.0116463312187767	0.00372780708769223	0.0320444406790905	0.02963600795035	0.0543880494006432	0.0375790301422496	0.0693565411003735	0.0473876049187536	0.0445170806794637	0.0506570024932662	0.054867304268049	0.0252908626086766	0.0235614903256794	0.0325289096645053	0.0154418245802709	0.0130447320209175	0.0377840313769867	0.00851467654435688	0.0131322542837895	0.0542876688627627	0.0712345066061224	0.014701834691179	0.030906020124091	0.0463505598440734	0.00930672479354443	0.0115358713417738	0.029114873948434	0.0402835520449395	0.0178656480083859	0.00527435113620792	0.0342027633413742
OM4_C_1H_3	0.0424514451330696	0.0571051973173366	0.0469688444931487	0.0316429009007233	0.0175376420908047	0.0550861805564544	0.0701154271479023	0.0273286223992288	0.0138957678355061	0.0267465545529039	0.0375110356556152	0	0.042980358122641	0.0276989458906452	0.033923820978937	0.00830629414995122	0.0655523122439936	0.0909740151489419	0.000265110401501819	0.0318914591828304	0.0102544334489652	0.00749436420219064	0.0136417211637111	0.0179421559791582	0.0144890864749002	0.0163988142201975	0.0692001076246118	0.0434491589599908	0.0264082404690864	0.00474435757641485	0.043240995908784	0.0446316128043779	0.0178286620520979	0.0338394225629325	0.0228769098846657	0.0328076076316484	0.0088655512556207	0.0415741951023149	0.0286234657808992	0.00933685810759199	0.0121367247593788	0.0197735178098222	0.0411008312706505	0.0100212313007211
OM4_C_2A_3	0.00283375627752383	0.0172560760884515	0.00609017764195906	0.0152874908809249	0.0264891686975814	0.013829455442175	0.0279288394065565	0.0162779848216017	0.0291981284077637	0.0192302442332576	0.0131869104531712	0.042980358122641	0	0.0157140933081379	0.0154182263845856	0.0357568571314412	0.0233151312578655	0.048826138268926	0.0429695707123726	0.0738423726144131	0.0532246358948731	0.048968031290674	0.0547007917191065	0.0586031738141809	0.0287514438077266	0.0267941935872109	0.0276421031968238	0.00242169591771292	0.016809845633384	0.0418003635561976	0.00618521949723233	0.00209777232455317	0.0576236192034773	0.0753325455978985	0.0216224272159433	0.0244489703978516	0.0516482323524279	0.0039575899988973	0.0146045344792262	0.0337019553416825	0.0419796433867899	0.0241074018511752	0.0086624540062667	0.0367543256009987
OM4_C_2B_1	0.0148238305243453	0.0296672286299868	0.0192812732437265	0.00647375042750768	0.0107789027965715	0.0274340223173973	0.0424568642105552	0.000769786941434715	0.0138056828574889	0.00550803202531051	0.0116463312187767	0.0276989458906452	0.0157140933081379	0	0.00923549348587928	0.0211905438302188	0.0378841954756834	0.0633659543116159	0.0277164781400339	0.0591976960054142	0.0379043198071905	0.0341808531785557	0.0401713632437804	0.0442717091595894	0.0141801153724727	0.0123134402199115	0.0416027619561328	0.0167078143927568	0.0014335343400713	0.0271569090385313	0.0156065779265709	0.0171496560467484	0.0435202681830967	0.0608932813475939	0.00610297099648949	0.0214675242086905	0.0365106077496347	0.0138952697639371	0.00125333788428063	0.0186406552534672	0.0288872090831383	0.00839499335800274	0.0137965939915352	0.0229573904398603
OM4_C_2C_2	0.0131080287967437	0.0238761091528189	0.0158509408411914	0.00279701045244684	0.0164555779971174	0.0227290092454546	0.037648904574999	0.00893944865335687	0.0206241735541967	0.00721448361188594	0.00372780708769223	0.033923820978937	0.0154182263845856	0.00923549348587928	0	0.0287175765857699	0.0333110952938818	0.0581099870113305	0.0339991103133689	0.0657816425186958	0.0437397396720262	0.0410039558891361	0.0471659285492183	0.0513976809475324	0.0221193507044255	0.020478153947491	0.0362514624555535	0.0174519330298309	0.0105100595924098	0.0343606466416023	0.0116964916305282	0.0157746903919574	0.0508676800872063	0.0676930885465712	0.0112427800512187	0.0299145936357965	0.0427476355123999	0.0118262386849857	0.00948341983764738	0.0256963580922732	0.0371906232732109	0.0144124263652613	0.00859637993647763	0.0310340480323354
OM4_C_2C_3	0.035540819953095	0.0508376491935158	0.0402200065852818	0.0261468511491536	0.0126565501968856	0.0484785257007034	0.0633599274329665	0.0209753116383458	0.00820897312807873	0.0215757438700003	0.0320444406790905	0.00830629414995122	0.0357568571314412	0.0211905438302188	0.0287175765857699	0	0.0587585413174151	0.0842801849111598	0.0081803427089101	0.0381735934017539	0.0180733148535234	0.0132240271126304	0.0190396841432637	0.0230974061837874	0.00706508181527154	0.0090092796942644	0.0626602323187904	0.0359903422642203	0.0197959214465885	0.00604951813687688	0.0367400004643847	0.0375346805062149	0.0223508124537763	0.0397779039922511	0.0175065411642409	0.0246061447778419	0.0161531151649244	0.0347842240319987	0.0219239473861833	0.00341119652778425	0.00937974086260263	0.0143664099941574	0.0349575621690105	0.00352804737336032
OM4_C_2D_1	0.0232396147668095	0.0101609374655995	0.0186117393741833	0.0348180421025613	0.0483446932186421	0.0106274983594784	0.00462017078648534	0.0382652782089048	0.0516777722761127	0.0396977650952061	0.02963600795035	0.0655523122439936	0.0233151312578655	0.0378841954756834	0.0333110952938818	0.0587585413174151	0	0.0255843045421572	0.065569810488918	0.0968330233546429	0.0757291983319896	0.0718997777350579	0.0777514190425401	0.0817219000509904	0.0517075045027417	0.0497611842688317	0.00500457891797648	0.0237750495434891	0.0391889737110134	0.0647902221731969	0.0224193206502911	0.0213737025075698	0.080800680199869	0.0984054448782971	0.0430750225806245	0.0459346448777628	0.0743433582881461	0.0240311475839547	0.0369870615907373	0.0564512485984791	0.0652620840246752	0.0459926580565917	0.024957145115028	0.0599600184732665
OM4_C_2D_2	0.0488075313811994	0.0342572333211093	0.0441458943522161	0.0598958223510958	0.0736768467558834	0.0359695480686883	0.0209717170566367	0.0637173473775037	0.0771316213302052	0.064830354738857	0.0543880494006432	0.0909740151489419	0.048826138268926	0.0633659543116159	0.0581099870113305	0.0842801849111598	0.0255843045421572	0	0.0909987962092894	0.122272401494973	0.101096671171823	0.0973854816768558	0.103240360678347	0.107204688447393	0.0772383686807448	0.0752966974745205	0.0219091419667006	0.0490989895871112	0.0646898138981563	0.090298989408983	0.0478199804783549	0.046922686372015	0.106279392937717	0.123848815546962	0.0683705999040132	0.0702826720218367	0.0997704754156866	0.0495749818308024	0.0625013478340973	0.0819415449398975	0.0907115694728605	0.0713530905382872	0.0501158984659359	0.0854758024589168
OM4_C_2E_2	0.0424579325662874	0.0571469679219313	0.0469850985903831	0.0317056508408222	0.0175985552982811	0.0551114560382691	0.070135460084727	0.0273526495451738	0.0139136447455681	0.0268161862155194	0.0375790301422496	0.000265110401501819	0.0429695707123726	0.0277164781400339	0.0339991103133689	0.0081803427089101	0.065569810488918	0.0909987962092894	0	0.031818058820149	0.0102704383646304	0.00733679377727824	0.0135010463584155	0.017802171742025	0.0144397215303355	0.016356488459352	0.0692309442940094	0.0434238300963612	0.0264197424823449	0.00448878778943257	0.0432681539552478	0.044628607436848	0.0176650532078876	0.0337502937158523	0.0229336577911874	0.0326490060062175	0.00882105140934529	0.0415866161255913	0.0286330072638163	0.00930414933784869	0.011876038771131	0.019822575810535	0.0411432721494311	0.00982384932815756
OM4_C_2E_3	0.0736683810618717	0.0887542313886015	0.0783230496970508	0.0634847078291134	0.0493955501518301	0.0865395847093994	0.101419917747575	0.0589063303357935	0.045529633024666	0.0586103165832973	0.0693565411003735	0.0318914591828304	0.0738423726144131	0.0591976960054142	0.0657816425186958	0.0381735934017539	0.0968330233546429	0.122272401494973	0.031818058820149	0	0.0224513967542699	0.0250403880268344	0.0191776327684893	0.0154466852003336	0.0452271358875438	0.0471746215312874	0.100677653085458	0.0739488459055715	0.0578402062040074	0.0321333530491888	0.0747719228735297	0.0756461223873547	0.0167832872157325	0.00282133734234649	0.0547125842792159	0.0578158156839021	0.0230919055357033	0.0728992796683958	0.0600070791065872	0.0405830607375194	0.0329220664941326	0.0515823301116545	0.0728038332590627	0.0372555414708949
OM4_C_2F_1	0.0526763446194965	0.0671624548060634	0.0571639265169388	0.0415832294381341	0.0275509156684471	0.0652389667308382	0.0802786463945347	0.0375121101197069	0.0241159015061044	0.0366447234471017	0.0473876049187536	0.0102544334489652	0.0532246358948731	0.0379043198071905	0.0437397396720262	0.0180733148535234	0.0757291983319896	0.101096671171823	0.0102704383646304	0.0224513967542699	0	0.0066025131152537	0.0079223802884079	0.0112031781268278	0.0246755527409219	0.0266053373747494	0.0793121960228619	0.0536824531808135	0.0366311358071901	0.0125400202220088	0.0533954095882146	0.0548705957023031	0.0121568654832106	0.0246918988206015	0.0328934320772255	0.0416818012094598	0.0025991706602819	0.0517848162089001	0.0388494801535764	0.0195705903701259	0.017570720972019	0.0298514395493826	0.0511732830821626	0.0186697743487606
OM4_C_2G_1	0.0487039028994792	0.0637893361060137	0.0533439338065892	0.0386135011674262	0.0245561891610091	0.0615631899536039	0.0764906322765703	0.0338942892778216	0.0205417063504178	0.0337960594602801	0.0445170806794637	0.00749436420219064	0.048968031290674	0.0341808531785557	0.0410039558891361	0.0132240271126304	0.0718997777350579	0.0973854816768558	0.00733679377727824	0.0250403880268344	0.0066025131152537	0	0.0062048426322862	0.0104983453857486	0.020245228203505	0.0222010345374402	0.0757250303085136	0.0491948299391751	0.0328220048230557	0.00718936825471346	0.049774097113378	0.0507334479399909	0.0103377021849248	0.0267858983725342	0.029824822179016	0.0355804401326199	0.00401631914430719	0.0479147452062793	0.0349940706355893	0.0155554082033636	0.011002436695149	0.026667266516975	0.0478280289936306	0.0129336549882267
