	OM4_B_B_1	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_1	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_1	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1D_1	OM4_C_1D_2	OM4_C_1D_3	OM4_C_1E_1	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1F_3	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2B_2	OM4_C_2B_3	OM4_C_2C_1	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2D_3	OM4_C_2E_1	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2F_1	OM4_C_2F_2	OM4_C_2F_3	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3A_2	OM4_C_3A_3	OM4_C_3B_1	OM4_C_3B_2	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3C_3	OM4_C_3D_1	OM4_C_3D_2	OM4_C_3D_3	OM4_C_3E_2	OM4_C_3E_3	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3F_3	OM4_C_3G_1	OM4_C_3G_2	OM4_C_3G_3	OM4_C_3H_2	OM4_C_3H_3	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4A_3	OM4_H_4B_1	OM4_H_4B_2	OM4_H_4B_3	OM4_H_4E_1	OM4_H_4E_2	OM4_H_4E_3	OM4_H_4F_2	OM4_H_4F_3
OM4_B_B_1	0	0.0200455876391696	0.010997012723697	0.0200377881030046	0.0159855624793596	0.028919578492623	0.0426073862150465	0.0467956097733431	0.0446121517502731	0.018688499861642	0.0193150318728308	0.0426928378565145	0.0574691885464951	0.0418394852670603	0.03667737189131	0.0378836477601451	0.0317579096563501	0.0275539780186223	0.00879083303084528	0.00688203841249111	0.0162379623102277	0.0151855312514154	0.0168988085020022	0.014862039508173	0.0329690335412302	0.0415536861644819	0.0580839449345017	0.0267690496316087	0.0258404204457987	0.0377894147796611	0.0502649733422044	0.0362117943864756	0.0623910321093713	0.0286904990779472	0.0271295259580686	0.0453366992427927	0.0376715281141375	0.0388540310550212	0.0449044849123046	0.00487904457157292	0.0203143795862782	0.00439882329725538	0.0271820509186547	0.0300893010414444	0.0346951619757318	0.0305554530953442	0.0304403276897399	0.0290099146574034	0.0255834919708315	0.0328413619965074	0.0651922080444994	0.0261032643003118	0.0507977989284167	0.0303472933901025	0.0415345978780785	0.0602464010172354	0.0288052830721194	0.0372136225201395	0.0652245320579131	0.031777195505235	0.0656074732664533	0.00773212650367412	0.0108128509397552	0.0316287847200621	0.00819771797788461	0.0159395457997754	0.0249252324390563	0.0183100349434297	0.0310154172187395	0.00971644267220913	0.0452757095414379	0.0546360737335362	0.0147857651676041	0.0396860696173409	0.0328299154364009	0.0411028976555149	0.0427597307984917
OM4_B_B_2	0.0200455876391696	0	0.0220173643120678	0.00453531050970953	0.00510057637837889	0.0102231798015779	0.0227035603370614	0.0269573962486176	0.0249207654990187	0.00474850273289922	0.00464123231598389	0.0227845740722609	0.0375792814700164	0.0219286126698434	0.017722207897542	0.0184534411958189	0.0117390128315985	0.00855383268775783	0.0115341591589941	0.0185398111488359	0.00433672525258958	0.00817913713297436	0.00479595289499918	0.00659386216308396	0.0141561360019645	0.021726023977326	0.0380672600762294	0.00711142879238295	0.00726880514568125	0.0179190482382691	0.0303157224070353	0.0162636774940514	0.0423847488535203	0.00894132515880731	0.00774173597781421	0.0253249502112267	0.0183899034113688	0.0196388569400503	0.0249123871319999	0.0218071518679003	0.0025683869595859	0.0212091474659421	0.00747957274051214	0.0108904477028851	0.0148743392102845	0.0128734223109849	0.0104108588747389	0.0106677542094251	0.00587480157055658	0.012932056999914	0.0454919822740441	0.008907403720734	0.0312187589708067	0.0103515068365591	0.0216729933828434	0.0402347913200181	0.00940863462221174	0.0173144615053981	0.0452932517068369	0.0130123566170258	0.0457221277377102	0.0171190518909748	0.00971647088185847	0.0117429208082962	0.0135969849719013	0.00905303498189339	0.00583627987644028	0.00379770543510602	0.0111883829410967	0.0106624256699157	0.0252648117343045	0.0350369355440881	0.0105208310288248	0.01987870170819	0.0127978586703554	0.0217030316509435	0.0232018857188235
OM4_B_B_3	0.010997012723697	0.0220173643120678	0	0.0238499981799225	0.0177282063933095	0.0321743059519264	0.0437751075375575	0.0482127954548606	0.0463494516043137	0.0221420108105304	0.0235848170422257	0.0422887410781942	0.0576107970403189	0.0416773485515336	0.0395145230045382	0.0397798007554009	0.0328468952182057	0.0270958449295863	0.013629577820503	0.0153830797317923	0.0187971258098264	0.0202508158411865	0.0180163314062456	0.019691790204711	0.0359373374155942	0.0409318922980325	0.058219233037159	0.0274550030388266	0.0284987272287151	0.0392022067531225	0.0510954676684664	0.0365014603080819	0.062287350613478	0.0306148532473174	0.0269609476281332	0.0461035871448372	0.0402230073615888	0.0408363840417101	0.0452914027903715	0.00886105551046342	0.0234354221139839	0.0151208653404156	0.0285153655679891	0.0327261270711089	0.0358481553381039	0.0339695813852203	0.0314150247611066	0.0322218420826844	0.0265323971128122	0.034109121655866	0.0666758600120294	0.0290331058236097	0.0527522218138966	0.0317098984466819	0.0430436515078123	0.0602873274553771	0.0307894595807975	0.0387186195302266	0.0655998186963364	0.0349237394308171	0.0663529954755169	0.0164577823679436	0.0161034787553699	0.0318452519026949	0.0162109815928918	0.0213720776148667	0.0255015704902478	0.0187540709124447	0.0328688458065749	0.0153434527115732	0.0452750465177883	0.0562835800171899	0.0219079052699864	0.0413249694138992	0.0336975205964366	0.0431175320234605	0.0446556485632233
OM4_C_1A_1	0.0200377881030046	0.00453531050970953	0.0238499981799225	0	0.00803147384985161	0.00916720114806349	0.0229663586217464	0.0270434176507372	0.0247333905540111	0.00222330047354888	0.00271637102079181	0.024190266722763	0.0386766442242676	0.0230756900656187	0.0166633343749746	0.0179676350304914	0.0127792615109705	0.0111380847545797	0.0121783825935786	0.017164135231609	0.00515301199686726	0.00843788933955098	0.00830216835743147	0.00529900289613813	0.0129497769962411	0.0234466917981343	0.038900881977604	0.0100067717267392	0.00600805701449177	0.0181588206784408	0.0310114266681701	0.0174354644096553	0.0431089621718958	0.00921916828146492	0.0106725861669123	0.0260103798371478	0.0177187481774846	0.0189256916308818	0.0256306652815116	0.0219260890656176	0.00223479372607265	0.0202509504925586	0.00835077592781656	0.010159060656942	0.0152585034172676	0.0130183003690835	0.0117388418260671	0.0089807750763293	0.0088401628247801	0.0134974263871767	0.0456571581025612	0.00668627133904446	0.0312494611765579	0.0112951433012004	0.0218912710757467	0.0410990186337628	0.0091575177374408	0.0176776642380087	0.045602485588766	0.0118437224823803	0.0458536315225425	0.0155048494532586	0.00980643395465811	0.0138503827457439	0.0128702916668933	0.00590725721685554	0.00944012358024946	0.00763589024806021	0.0119144979498474	0.0103604628457556	0.0264196895515197	0.0353591874282313	0.00792743525866143	0.0199602496218556	0.0141775751495326	0.0211250360562246	0.0228138795841504
OM4_C_1A_2	0.0159855624793596	0.00510057637837889	0.0177282063933095	0.00803147384985161	0	0.0149263291159543	0.027436732457042	0.03165319610279	0.0297218718478258	0.00750998166278321	0.00702836403850166	0.02706140003711	0.0416350757185813	0.0263808790419021	0.0226513476932311	0.0234497456657879	0.016415467273014	0.0125277135403548	0.00733587201326658	0.015967784951368	0.00443866089558381	0.00587825546705343	0.0011706252243394	0.00597660100285676	0.0191019924771492	0.0258088939267936	0.0423923157402001	0.0108911306875536	0.0123067965466652	0.0227078144483329	0.0346560142522706	0.0208101071263859	0.0468169834231487	0.0138995648324276	0.0116311797085935	0.0298127106511917	0.0232471432516081	0.0246795411621384	0.0294925040126663	0.0180463934022424	0.00664960402313513	0.0178111556959529	0.0124444042609297	0.0158510316610941	0.01974377901621	0.0162716317220747	0.0150402854258516	0.0156126373294046	0.00975841752630823	0.0177619825197194	0.0498774549518515	0.0137403335295581	0.0356624016107338	0.0150917665630267	0.0263411461361556	0.0445301796701262	0.0144852997776213	0.0220070848580907	0.0499149408393935	0.0178503451214253	0.0503854631092586	0.014760656366383	0.00627873511144409	0.0158624055327785	0.0103554615428946	0.00981177618673557	0.00896217636524599	0.00355615584429764	0.0157429604761785	0.00756008475231929	0.0295909877331713	0.0392896254117117	0.00996590863696041	0.0246352535395817	0.0172239853422957	0.0266681050848379	0.0280916052793121
OM4_C_1A_3	0.028919578492623	0.0102231798015779	0.0321743059519264	0.00916720114806349	0.0149263291159543	0	0.01462698563413	0.0183374068162054	0.0160376607911664	0.0110547486881309	0.00965802230690695	0.0171033772539712	0.0301827987101218	0.0159797570854634	0.00805806431861669	0.00997202347531704	0.00655838783080515	0.0104565575070886	0.0206405709486574	0.0261906472481134	0.0136070766220966	0.015135046864376	0.0147054879823488	0.014086163675771	0.00460291427471961	0.0166784016852425	0.0304396131315883	0.00826481776009517	0.00494930627575729	0.0100029320376542	0.0223500439712359	0.0108702496564031	0.0347834665085776	0.00394356330231986	0.00973037270007063	0.0176248109846993	0.00887292465611375	0.0111247216475206	0.0177066254492054	0.0310221779827997	0.00886923975734641	0.0290786636375963	0.00618114014907334	0.00243604022890967	0.00823542724354582	0.00664987778941512	0.00650968871264967	0.00278099471077503	0.00807581054452139	0.00669106021290264	0.0366058256755286	0.00657629563594223	0.0221618760829817	0.00544083439027628	0.0132459179611507	0.0326346404839984	0.00446591139869506	0.00934822420879874	0.0371452943270024	0.00305520537981429	0.0372459798735097	0.024433006966755	0.0182705901602634	0.00898468972747291	0.0213524729595034	0.0145979344341132	0.0095830051169102	0.0138228629261711	0.00465787422041008	0.0192180388948648	0.0186330991812035	0.0263192072665151	0.015637576107236	0.0113959773162899	0.00770317087342881	0.0127816940518969	0.0142529550169908
OM4_C_1C_1	0.0426073862150465	0.0227035603370614	0.0437751075375575	0.0229663586217464	0.027436732457042	0.01462698563413	0	0.00453635762772391	0.0032868243655129	0.0243315763488849	0.0238567979061759	0.00633571043972036	0.0168269948946596	0.00534349226648477	0.00827480775092162	0.00590925748323099	0.0110638244488669	0.0168833071684599	0.0341546015563431	0.0399559093813584	0.0264860717675859	0.0290773650362233	0.0267885613744919	0.0280542434991872	0.0110602969389202	0.0076478454638309	0.0162096560500953	0.0169924825409304	0.0171757801899891	0.00482939841913144	0.00894021016347769	0.00759954160974247	0.0202424137685025	0.0139308132154668	0.0169496259964875	0.00388448315073635	0.00677589295851271	0.00618104895476339	0.00369162790386656	0.0441146408355275	0.022369165625588	0.0431913978341403	0.0156207377319838	0.0129496737661113	0.00813157810881812	0.0160723649476831	0.0124825770641891	0.0146894484773179	0.01790206728238	0.00983619904515228	0.0236224968370268	0.0179051083198145	0.0103941932733427	0.0123694589497851	0.00218235008639094	0.018410075510875	0.0140025633282902	0.00558728269216596	0.0227120247588322	0.0121512366972477	0.0230400973675664	0.0383710412940611	0.0320723947609529	0.0124254978585423	0.0355374399080332	0.0283623038774537	0.0191470161562676	0.0252797600206073	0.0119974329832231	0.0329812634845237	0.00571063194713492	0.0143427278547298	0.0301643519190719	0.00331164361493366	0.0104455041754895	0.00438305696306417	0.00330927823412449
OM4_C_1C_2	0.0467956097733431	0.0269573962486176	0.0482127954548606	0.0270434176507372	0.03165319610279	0.0183374068162054	0.00453635762772391	0	0.0027035105915097	0.0285185735459736	0.0278127874767955	0.00903492554804007	0.0135642625928827	0.00867754041599468	0.011290950509592	0.00968631245933759	0.0154120555273533	0.0213829395521646	0.0383164137735325	0.0440810919456038	0.0307728919642576	0.032948809861414	0.0310344719530439	0.0321301905191248	0.0146198037378667	0.0105706227720816	0.0127028051103234	0.0211997049312017	0.0213284241020523	0.00911892645252292	0.0057234490998686	0.0120532011648611	0.0167404104105735	0.0181552934066389	0.0213709645740524	0.00374050780183796	0.00979864620604028	0.00951785472683073	0.00501738224310089	0.0484420761801969	0.0265014818805835	0.0472518750584847	0.0200077943000498	0.0169062645932832	0.0125854000388592	0.0190163969022931	0.0168399045800437	0.0185089346896381	0.0221152900874399	0.0142199699791702	0.0191929575188839	0.0219799332598493	0.00637831606812736	0.0166623851507201	0.00532837247423734	0.0148563256497713	0.0182573354216756	0.00965556399345719	0.0188723970821217	0.0156988077862587	0.0189752430929886	0.0424392809259565	0.0361725474906666	0.0167004610086179	0.0395400265655696	0.0323928060833131	0.0233354654692355	0.0296428196508077	0.0159977052159873	0.0371299689693251	0.00664426762686658	0.010318229106665	0.0339599100912775	0.00711691823647939	0.0146822887729081	0.00693577212879119	0.00491484654380586
OM4_C_1C_3	0.0446121517502731	0.0249207654990187	0.0463494516043137	0.0247333905540111	0.0297218718478258	0.0160376607911664	0.0032868243655129	0.0027035105915097	0	0.0262152688105678	0.0255837872530533	0.00926956605840294	0.0162380731922736	0.0084375426645923	0.00869599057156122	0.00722047052247881	0.0135789409423409	0.0197008995827028	0.0362220644298468	0.0417020120062671	0.0286216161359042	0.03088149876118	0.029155034166968	0.0298776869586131	0.0121170122562848	0.0106995996830253	0.0153771761122476	0.0195401346777067	0.0189980539508233	0.00716598359785792	0.00828220147386277	0.0106756276692053	0.0192684037749021	0.0160259348314491	0.0197208798920089	0.0049459934278898	0.00731934015869177	0.0069774699765469	0.00563064759463848	0.0462540740784333	0.0243187730326632	0.0449374888951301	0.0179421041980825	0.0145828620730863	0.0105984250385895	0.0172705149416271	0.0150219599955972	0.0160488040187384	0.020365851481093	0.012248146962652	0.0215195176504912	0.0195275241719883	0.00819380193091019	0.0147334942688302	0.00380912560757727	0.017525386290936	0.0160155478188369	0.007818403951982	0.0211850785698044	0.0132817661122704	0.0212243229543748	0.0400483063599963	0.0340216238276521	0.015265750073989	0.0373079402362721	0.029968018675121	0.0216815106660102	0.027740472620196	0.0140942473994602	0.0349222849947542	0.00774211192964742	0.0125321898524711	0.0316026934797741	0.00511675554797673	0.0130868025838187	0.00430285126496239	0.00225221684295745
OM4_C_1D_1	0.018688499861642	0.00474850273289922	0.0221420108105304	0.00222330047354888	0.00750998166278321	0.0110547486881309	0.0243315763488849	0.0285185735459736	0.0262152688105678	0	0.00424447340374624	0.0252417948012313	0.0401420106022642	0.0241070685365404	0.0182652926133841	0.0192952069785551	0.0140068545011521	0.0113589559336935	0.0111244840588486	0.0156717462512653	0.00367151660995915	0.0087684380733697	0.00780994235252992	0.00463315953290875	0.0145661854946147	0.0244778460618057	0.0402672051045972	0.01100441840941	0.00723352155288962	0.0195380713441301	0.0325188508913667	0.0184793138429024	0.0443726073875246	0.010575493206782	0.0111488082509246	0.0274103031771177	0.0193444034762296	0.0201987194180697	0.0268478521049577	0.0202140453261418	0.0034622982356509	0.0190333411453718	0.00922878777768684	0.0117474145686448	0.0164245035811905	0.0151039132291982	0.012886877351102	0.0105711987181517	0.00982947653910238	0.0147277156771603	0.0473128347863484	0.00750264598723866	0.0329631415959896	0.0125776740668962	0.0233940265917181	0.0424625370590599	0.0103460416528058	0.0191458124053736	0.046892944832844	0.0135983199964125	0.0472136417048932	0.01415273869074	0.00895567633445423	0.0148863215506906	0.0120520876011459	0.0047827896116692	0.010246756008528	0.00684440686740601	0.0134969653842323	0.00917421709111566	0.0276446026935379	0.0370829788200408	0.0079382260580288	0.0214410818541506	0.0154562961363186	0.0225228121392675	0.0242613664218158
