	OM4_B_B_1	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_1	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_1	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1D_1	OM4_C_1D_3	OM4_C_1E_1	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1F_3	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_3	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_2	OM4_C_2B_3	OM4_C_2C_1	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2D_3	OM4_C_2E_1	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2F_1	OM4_C_2F_2	OM4_C_2F_3	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3A_2	OM4_C_3A_3	OM4_C_3B_2	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3C_2	OM4_C_3C_3	OM4_C_3D_1	OM4_C_3D_2	OM4_C_3D_3	OM4_C_3E_2	OM4_C_3E_3	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3F_3	OM4_C_3G_1	OM4_C_3G_2	OM4_C_3G_3	OM4_C_3H_2	OM4_C_3H_3	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4A_3	OM4_H_4B_1	OM4_H_4B_2	OM4_H_4E_1	OM4_H_4E_2	OM4_H_4E_3	OM4_H_4F_2	OM4_H_4F_3
OM4_B_B_1	0	0.0131544811727488	0.0184090020207264	0.00571410615031272	0.0142385386328455	0.00792522864003718	0.00249226083179379	0.00254794045746822	0.00560978361350218	0.0151920670502641	0.0128961149118042	0.00377283782559685	0.00990248802131203	0.0190716765101094	0.0107552555460785	0.00960211922174541	0.00285840152066214	0.00584764802610007	0.0151159272001047	0.0127104066949059	0.00632433826458941	0.00176163547360782	0.000966820809177799	0.00653164585252961	0.00795314572017326	0.0182136564479565	0.0109325340403459	0.0158218005186979	0.00495026123888313	0.011181324967808	0.0158311494885847	0.00918625957752155	0.0126115903650572	0.0225775525588351	0.0150644733140816	0.0130301897147767	0.0149796928356024	0.0112989832611645	0.0155162596455628	0.0155674052762361	0.0132111625113952	0.0048364202251718	0.00273821452891345	0.00777528814512004	0.0285115035421477	0.020361141482135	0.00505057230009598	0.00533197098554415	0.00633500934935034	0.00722559893725418	0.0142741621262942	0.0180382889271238	0.0107681763880881	0.010637361734373	0.0119317083431633	0.0124402075098621	0.0170279716824134	0.00581773272679396	0.00240223850095459	0.0112593114218119	0.00996206314811921	0.0110632769672935	0.00349906721227651	0.003977183888938	0.00294670887320424	0.00284868256152548	0.0138801721705147	0.0100741651526855	0.00886300184759408	0.0120159137237387	0.0091969329993212	0.0130252587414378
OM4_B_B_2	0.0131544811727488	0	0.00525563393653885	0.00848531292290163	0.00208459310618665	0.00735168605597797	0.0151683757286393	0.0156850357915636	0.0171668565655213	0.0283012367042414	0.0259764042006089	0.0162677563074024	0.019592937804815	0.032215810827973	0.0231879859859197	0.0147127123286703	0.0152370739491607	0.0148843848506754	0.0021762659292261	0.00738248845474855	0.015809520832371	0.0149092230574708	0.0125616940515923	0.0133280711019954	0.0100925413988225	0.00509504746781753	0.0240683071037281	0.0289665252795735	0.0179626176083071	0.0242255845986413	0.0289744023568576	0.0222878805922428	0.0257248081658181	0.0357253740937765	0.0281978203440818	0.025593105502709	0.028131269903873	0.0244385747043466	0.00657733053663746	0.0026765352690905	0.00364969127857663	0.0165910950178165	0.0122751400671137	0.0166329545101157	0.0167792776202114	0.00768149510670479	0.0115663252319796	0.0184265838782316	0.0179584674391285	0.00671582246582004	0.00842928150073543	0.00494749986554251	0.0239181407136879	0.023779816075137	0.0249562325925645	0.0253795351538433	0.0301770898012028	0.0077211564542597	0.0111579070915201	0.0224508250456967	0.0229538692864782	0.0238027371392411	0.0122544594047301	0.0153140769799806	0.0126207206759853	0.0107317922248171	0.00105687628637307	0.00499319815838609	0.00434186786065268	0.0224686428994503	0.00932398423017834	0.0258740030296678
OM4_B_B_3	0.0184090020207264	0.00525563393653885	0	0.0135641160984826	0.00470912761375035	0.0121072081810291	0.0204086230240423	0.0209371073960076	0.0222656590466402	0.0335507893491485	0.0312121037575973	0.021489785275457	0.024354540245513	0.037464695121876	0.0283523844583919	0.0190030689645373	0.020444714483734	0.0198002724682967	0.0034514960463652	0.0103544583373704	0.0207221208369317	0.020164092652263	0.0178135206019361	0.0180866669555181	0.0145914944455965	0.00064826984876353	0.0293216778405107	0.0342197678760764	0.0231994460873081	0.0294560885005882	0.034227554390477	0.0275387636261667	0.0309675103381407	0.0409754148024246	0.0334502340232803	0.0307330957237649	0.0333835193887135	0.0296921549628382	0.0077410303896543	0.00319200921380542	0.00670861974837537	0.0217233778125827	0.0174658890157706	0.0214092683869622	0.0128135221417585	0.0036189370404168	0.0165216043125007	0.0236788915460623	0.023084136683734	0.0118078612644538	0.010643035525039	0.000920258530166805	0.0291721580012954	0.029033666042734	0.0301821827905422	0.0305890256121624	0.0354302523678968	0.0128982424939416	0.0163840688623753	0.0273852534015234	0.028177242687384	0.028981848707458	0.0173612600082139	0.0204756562520207	0.0177955768326614	0.0159507584351748	0.00463580673264985	0.00951204200777982	0.00957345108185053	0.0272720142585917	0.0135436685897952	0.031065550321309
OM4_C_1A_1	0.00571410615031272	0.00848531292290163	0.0135641160984826	0	0.0100778850478111	0.00222493783825512	0.00816855418419225	0.0079463662822171	0.00870415591684511	0.0206302274419659	0.0178476840103857	0.00944053470358536	0.0112978523716835	0.0242029997195725	0.0164680106500237	0.00753503044854392	0.0070373051266563	0.00647680830673102	0.0101285011918904	0.00705139532150428	0.00739460304448392	0.00737813384630228	0.00558873750055498	0.00522720315395982	0.00348168106153915	0.0132569046063644	0.0163485607912547	0.02114853013059	0.00991544691752048	0.016069665467668	0.0211655655589424	0.01470079730259	0.0176575307306981	0.027731856581297	0.0204446858079846	0.0171742072871792	0.020206219078591	0.0166968752502476	0.00981058798661712	0.011130087282279	0.00769006035726008	0.00816460882250177	0.00645262155778089	0.00837050775522307	0.0228545837336227	0.0150274870062771	0.00317685969269328	0.0109235957474485	0.011832421216201	0.00522703617921291	0.0086593925203923	0.0130435016393361	0.0161175452254995	0.0160323159922411	0.016770042355314	0.0171171440736092	0.022312059809985	0.00115084354704592	0.00331978364459422	0.0139899606430304	0.014762844837519	0.0154533964905974	0.00379825261684693	0.00920924678288933	0.00688512293083092	0.00286647905401378	0.00941249968108595	0.0044733755880149	0.00429784616921977	0.0141026974922812	0.00415116782873116	0.0175530839692089
OM4_C_1A_2	0.0142385386328455	0.00208459310618665	0.00470912761375035	0.0100778850478111	0	0.00920714671088325	0.0160523814218888	0.0167862237386958	0.0186390518454377	0.0292158879692002	0.0271314627394717	0.0170665310144907	0.0213267624690215	0.0332749187598503	0.0238063272106678	0.0166557297289554	0.0165337852249176	0.0165472231061675	0.00301642080877013	0.00945245376981387	0.0174680960377216	0.0159610147335145	0.0135480266901022	0.01510265302882	0.0120099201085703	0.0048150805632788	0.025038294359004	0.0299432794890146	0.0191465195970104	0.0254071474832574	0.0299468109707477	0.0232227209018224	0.0268469367635073	0.0367606279840506	0.0291495774690079	0.0269710367598173	0.0291648281709357	0.0254145301451914	0.00835977058123137	0.00151784865631657	0.00564994447791547	0.0180212529499018	0.0129990665726968	0.0183740258782137	0.0171994630337847	0.0078837591370106	0.0132300325916584	0.0193875963708706	0.0185078004252668	0.00728525743573367	0.0104400420108552	0.00478182837635693	0.024924511161578	0.0247643915125506	0.0261514589439928	0.0266221897136739	0.0311694649693278	0.0091859872466811	0.0124401374713817	0.0240588533852413	0.0241646880281854	0.0251191231070369	0.0137569143625466	0.0159478331446596	0.0133006672997049	0.0120427155714733	0.00109111480751591	0.00699089784850281	0.00578761616310906	0.02416651112313	0.0113237826343603	0.0271578873962544
OM4_C_1A_3	0.00792522864003718	0.00735168605597797	0.0121072081810291	0.00222493783825512	0.00920714671088325	0	0.010389350882969	0.0100860495042217	0.0103539895272865	0.0226979291583762	0.0197602530670286	0.0116629903942157	0.0122823449535395	0.0261449582855922	0.0186788374275011	0.00750164496652671	0.0090243175899069	0.00770323586089677	0.00866162117253524	0.00483146732189615	0.00862199760463488	0.0095616247503859	0.0078124195974935	0.00600387990026519	0.00285388807274683	0.0117282859381169	0.0184225025070304	0.0231728652772954	0.0119325692508667	0.0179775900672973	0.0231926884233798	0.0168150544251804	0.0196020341392578	0.0296719010166404	0.0224910502111707	0.0188382961075837	0.0221978870739676	0.018763134134416	0.00764140517935609	0.0100238120401357	0.00580063893693248	0.00990741687023533	0.00859996979664589	0.00932528301581318	0.0207304295109927	0.013196506237899	0.00447990791906601	0.0130787394682092	0.0140526794738611	0.00618737888903307	0.00645220217800671	0.0114919863350726	0.0181702232927589	0.0181005434984647	0.0186557707671167	0.0189489571559948	0.024316867929059	0.00264464854335613	0.00552413471358002	0.0152840687592739	0.0166588757476954	0.0172184415110182	0.00561300558954426	0.0114186123503714	0.00903283844454799	0.00507731161326758	0.00837074113550599	0.00262339487156643	0.00386083906974635	0.0151847841091949	0.00267201125684533	0.019333296908736
OM4_C_1C_1	0.00249226083179379	0.0151683757286393	0.0204086230240423	0.00816855418419225	0.0160523814218888	0.010389350882969	0	0.0019877695385146	0.00619756750024412	0.0131683295580565	0.0113698245439804	0.00128075327475247	0.0107610613049139	0.0172870533705727	0.00832068362135837	0.011628999705756	0.0036760918438458	0.00752549907708293	0.0172091501499888	0.0151907281611823	0.00775891623173866	0.00142144226182425	0.00267843637983887	0.00863226263901488	0.0104112747948274	0.0202603832673843	0.00899992339305785	0.0139014421063832	0.00408162060201759	0.00976945948886118	0.01390337231761	0.00717313765872521	0.0110098473435286	0.0207448024338218	0.0131011477544576	0.0121267702149833	0.0131641913955552	0.00937877025759263	0.0179409149529729	0.0174512415095285	0.015531827172937	0.00547470004947074	0.00320151848999055	0.00917885391067786	0.0308763073997415	0.0225561385166015	0.00742403021210439	0.00337702073181645	0.00390256612841564	0.00881015306205693	0.0167616922068594	0.0201021286339495	0.00891568789201373	0.00873653912850208	0.0105344163038649	0.011158509109824	0.0151334961950701	0.00816557975331577	0.00488127946438284	0.0113423247752496	0.00868731441274433	0.0100707795575265	0.00581337540917601	0.00201375372506308	0.00305132582435405	0.00531702632986084	0.0158092358773724	0.0124509541280056	0.0109840104227079	0.0123901700303199	0.0116783933030089	0.0118396660382319
OM4_C_1C_2	0.00254794045746822	0.0156850357915636	0.0209371073960076	0.0079463662822171	0.0167862237386958	0.0100860495042217	0.0019877695385146	0	0.0042151260303414	0.012729653141905	0.010349095190401	0.00271718522199159	0.00878183807324941	0.0165346197834333	0.00880974165173177	0.0100988086581497	0.00187491759104614	0.0058465286760676	0.0176227465346994	0.0147437642755839	0.00595151020664667	0.000913656217941177	0.00331910907653939	0.00723600007379279	0.00957300436166671	0.0207305990046638	0.00845245637325467	0.0133184910150359	0.0024638127917678	0.00864000805433307	0.0133301169988082	0.00676043474825916	0.0100641936946451	0.0200457125674228	0.0125775759263877	0.0106214877921479	0.0124521190799732	0.00881201588578378	0.0177265218475195	0.018112743648543	0.0155854609311995	0.0035052202345395	0.00461883043359916	0.00733151271710263	0.0307958018172807	0.0228142254878641	0.00644986489765036	0.00299912370448457	0.00535678920594522	0.00973657429922246	0.0162367963724902	0.0205505077409021	0.00826227364075752	0.00814759433515288	0.00939317379704248	0.00992011240506901	0.0145149628925349	0.00822265946198263	0.00468044450767416	0.00942118965811063	0.00743559698100802	0.00861350144146105	0.00483695035201146	0.00398020011397672	0.00461576333194421	0.00513950133710414	0.0164226004830131	0.0123995585889705	0.0113759671736852	0.0104219748615521	0.0109391336552232	0.0105275007482243
OM4_C_1C_3	0.00560978361350218	0.0171668565655213	0.0222656590466402	0.00870415591684511	0.0186390518454377	0.0103539895272865	0.00619756750024412	0.0042151260303414	0	0.0131740098367873	0.00965990970829929	0.00682059375073033	0.00456753026521673	0.0160439305341189	0.0112947816761617	0.0072605956825891	0.00277337550767067	0.00319853456468106	0.0188255454161772	0.0142956022816925	0.00266164269009074	0.00489909623524418	0.00657617143287145	0.0052431754211822	0.00869711840468407	0.0219482502524661	0.00914299321392008	0.0134037013972606	0.00334200532349428	0.00790335059195063	0.0134361425765869	0.00804387088260526	0.00960163585286109	0.0195430506358407	0.0128500088375468	0.00849242532463306	0.0123099175019581	0.00940501232269266	0.0176343562326428	0.0197830764901139	0.0161540541168155	0.000775384491163757	0.00829927301056211	0.00363065403393218	0.0306758004349131	0.0235488830946384	0.00589053838396591	0.00567784636936913	0.00924927260678998	0.0122928467180279	0.0155337987196773	0.0217293289572222	0.00875683170117296	0.00880156011876369	0.00850674314614396	0.0086895456844788	0.0144411682239104	0.00946733938113763	0.00636318667793437	0.00570905010901772	0.00658871019841191	0.00689253279644133	0.00491343598166198	0.00819503242207945	0.00842897844235732	0.00669252423886285	0.0180594892774899	0.0129583485752311	0.0128796339255958	0.00640902885443113	0.0101317764733182	0.00901061822474941
OM4_C_1D_1	0.0151920670502641	0.0283012367042414	0.0335507893491485	0.0206302274419659	0.0292158879692002	0.0226979291583762	0.0131683295580565	0.012729653141905	0.0131740098367873	0	0.00428618481544882	0.0121788844711517	0.0151380199892224	0.00466476115439918	0.00659900954790272	0.0202581529924152	0.0136927952508654	0.0163705085325071	0.03029766678633	0.0271460848684975	0.0157800465825432	0.0134308889493938	0.015742079866946	0.0183955914785374	0.0216486318590785	0.0333803625926076	0.00428275890579588	0.00119716093631791	0.010782580508423	0.00559091680959992	0.00114560670720733	0.00601534510234692	0.00399672717910205	0.00778383667977662	0.00057808062583627	0.00775228917229033	0.00185602200942081	0.00393593328210758	0.0303052894271064	0.0306160571648132	0.0283012496063175	0.0132802937206174	0.0162556298494627	0.0163420474037368	0.043408036516034	0.0355360205696741	0.0185838728153122	0.00987873357242526	0.0113769188621465	0.0219557604645046	0.028513172855176	0.0332118310592391	0.00453565797706465	0.00459960043537147	0.00531285930356922	0.00574338342741111	0.00228583200054705	0.0209512086434796	0.0174071606283893	0.0122602372780103	0.00675302992575821	0.00743711801124883	0.0171504843523539	0.0134996811458509	0.0159942958624975	0.0178649847712067	0.0289684448866987	0.0251002071797065	0.0240467950452797	0.0138669581878267	0.0230869210582516	0.00619116916837484
