	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_1	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1D_1	OM4_C_1D_2	OM4_C_1D_3	OM4_C_1E_1	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1F_3	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2B_2	OM4_C_2B_3	OM4_C_2C_1	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2D_3	OM4_C_2E_1	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2F_1	OM4_C_2F_2	OM4_C_2F_3	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3A_2	OM4_C_3A_3	OM4_C_3B_1	OM4_C_3B_2	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3C_2	OM4_C_3C_3	OM4_C_3D_1	OM4_C_3D_2	OM4_C_3D_3	OM4_C_3E_2	OM4_C_3E_3	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3F_3	OM4_C_3G_1	OM4_C_3G_2	OM4_C_3G_3	OM4_C_3H_1	OM4_C_3H_2	OM4_C_3H_3	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4A_3	OM4_H_4B_1	OM4_H_4B_2	OM4_H_4B_3	OM4_H_4E_1	OM4_H_4E_2	OM4_H_4E_3	OM4_H_4F_2	OM4_H_4F_3
OM4_B_B_2	0	0.0203939083712404	0.0160964778765605	0.0164150646845581	0.0670327660248096	0.0401501795273282	0.0339603736262073	0.0602088261001404	0.0463286711404047	0.0476978805764872	0.0772454355406411	0.0721393042145349	0.0547827903753495	0.0779860192980144	0.0366529437497697	0.0527480876812996	0.0664087088447729	0.0535624419966263	0.0377583892608753	0.0594573009004431	0.0172692261077688	0.0331093931744925	0.044784068968271	0.0133469084081343	0.0246914944149369	0.0533883350141902	0.0300054643341806	0.0365477368300304	0.0145570394883971	0.0169129257984709	0.0267808348523274	0.0380544772408628	0.034880654436486	0.0329351450446544	0.0571341962846488	0.232024769607756	0.0374073972414232	0.0624200549231588	0.0574746997838266	0.0474773038775513	0.0281844422590132	0.0708539589567124	0.0174316573835155	0.0622001298804643	0.0420026439574337	0.0489475929211971	0.0173968915698758	0.0109246688513363	0.0264542847590802	0.040802680333911	0.0254500188808567	0.0299290019790445	0.0309803860771051	0.0222349748052475	0.0164438709712465	0.0140244941014846	0.0213816213260669	0.0453940009060737	0.0520417099391924	0.0606737592871764	0.0100361491058545	0.0120322497443248	0.0128272389588656	0.0263658815184596	0.00966091988514452	0.0138480247597528	0.046863196138783	0.0439386567110013	0.0579146412882737	0.026188712918449	0.0334438975275253	0.0252123223635624	0.0436490066056001	0.0319349415314008	0.0557500824200585	0.012647307123491	0.0213506613816228
OM4_B_B_3	0.0203939083712404	0	0.0335913064670152	0.0280750545125206	0.0673628769689546	0.0290791133305325	0.019637450774679	0.0570232227515139	0.0339305730911708	0.0317176832612657	0.092658126363334	0.0801938736686661	0.06100708082402	0.0778217712828161	0.0255855867126616	0.0370312317767315	0.0853983723003688	0.0666889224999304	0.0500351757531975	0.0779373605287407	0.0327912177501972	0.0448141291784392	0.0647138164706478	0.0241148252369211	0.031454135457607	0.05169019598113	0.0176207470723053	0.0219111748781745	0.0270448653516231	0.00548034695183029	0.0094598178311784	0.0370379643145588	0.0242025554276921	0.0179420145525465	0.0530481418063061	0.230478544430789	0.0226620606680661	0.0544107732704573	0.043492764141398	0.0313671003193093	0.0350248562012639	0.0568556166600992	0.00478882286705748	0.0625390108096077	0.0340203869955395	0.0357122974773762	0.0302153825128521	0.013199475865057	0.0140905358904823	0.0408682348384064	0.0169168829879888	0.0158007896832903	0.05061215830782	0.0307085424631189	0.0207777949654976	0.010163821321739	0.0118290465974145	0.0365290097150017	0.0372470839763141	0.0447768471913778	0.0279798332987427	0.021165412819316	0.0131342569486527	0.0434400066187298	0.0192606491329143	0.0182248858739115	0.0401643076117174	0.0288087712720208	0.0430886614948131	0.0231701233532178	0.0197791339748417	0.0129560366584443	0.0351537474493721	0.0168327177183782	0.0419435678912779	0.0250089017818171	0.0324275027689671
OM4_C_1A_2	0.0160964778765605	0.0335913064670152	0	0.0112396665508678	0.0795268598640541	0.0554893820362707	0.0494860564578454	0.074651340604464	0.0617695051390083	0.0629205974269584	0.0614435534376963	0.0595811930084531	0.0442159009405798	0.0905431129477478	0.0523834298749773	0.0679541678188268	0.0525487637636231	0.0386193696464717	0.0247934585445954	0.0548123567748047	0.00454310341827583	0.0200700620839967	0.0335214573810996	0.0135915122869902	0.0184093854616826	0.067122219526963	0.0454392472338335	0.0519170084880198	0.0264767438484745	0.0304983864932275	0.0403032722568607	0.0525926400191405	0.0505380617956034	0.0482949790359001	0.0715010377149297	0.238782792814886	0.0529569829743381	0.0778304360854813	0.0728934049757162	0.0627459077072465	0.0399166729388743	0.0864001766190242	0.0295046504494854	0.0752110413691856	0.0572793168624549	0.0643801537973047	0.0278182460572841	0.026720199312317	0.0411107716019522	0.0539642254548686	0.0407506449754599	0.0450638167400022	0.0194547543203937	0.0151851279838426	0.017889815504649	0.0242975114074896	0.0358862176339179	0.0612106245846658	0.0675710171890423	0.0759855839611661	0.0170429136828699	0.0140206804488548	0.0217175495722871	0.028385241515388	0.0149253820689297	0.0292549817004456	0.0620845220744201	0.0592394399320144	0.0728985124908046	0.0411054655372609	0.0481390449485068	0.0401298639208054	0.0592707932370345	0.0471585320570364	0.0708203455809353	0.0110834974793061	0.0128902502914383
OM4_C_1A_3	0.0164150646845581	0.0280750545125206	0.0112396665508678	0	0.0819703652749019	0.053122308882272	0.0451247557694084	0.0753039449794085	0.0587409114682618	0.0582332406564797	0.0652786074512609	0.0580013984563706	0.040830176067684	0.0929927960788718	0.0493406634108592	0.0632751159338615	0.0605294020086715	0.0403415895515547	0.0261101931909685	0.0646814841272075	0.00943864682407516	0.0196059905527996	0.0434124017322171	0.00485561150180078	0.011740848073742	0.0683972945047555	0.0416517528297576	0.0475759848822911	0.0299033002953498	0.0253348089867134	0.0344024532709697	0.0533648055629743	0.0478994380286843	0.0443015721126514	0.0718364745775222	0.240778886369209	0.0486932556547528	0.076750160388134	0.0690502804828142	0.0578042856068719	0.0435767185315575	0.0829706508216746	0.0240425391718989	0.0772593539825375	0.0557766368126014	0.0608226436001072	0.0321770279347444	0.0249436550834929	0.0370309259244231	0.0554729110241603	0.0380714271756049	0.0415182065857714	0.0300862288337541	0.00768999716481553	0.00977328032236453	0.0186711000777043	0.0313372332387876	0.0591243508011752	0.0633215950031229	0.0712054646116152	0.0223792296896469	0.00812609516069323	0.0157892805772016	0.0367529153633308	0.0109317770440819	0.0288067969857575	0.0613889987947981	0.0549927506984915	0.0684140160122017	0.0407909605089665	0.0443437614669777	0.0364998635128412	0.0574725223016786	0.0430584556619009	0.0668744275906271	0.00832836262585849	0.00905146381170148
OM4_C_1C_1	0.0670327660248096	0.0673628769689546	0.0795268598640541	0.0819703652749019	0	0.0435537417877089	0.054327871918372	0.0186949329226968	0.0440430872763409	0.0542087201844769	0.135478217203729	0.138319913126318	0.121478579909943	0.0112471612556882	0.0468166237351315	0.0536929755876275	0.110550943882936	0.117330183214347	0.10326321521877	0.0754896748517808	0.0815437254520715	0.0988366663551853	0.0878381710972038	0.078520763015086	0.0909838113556392	0.016192397565218	0.0525698914047903	0.053245502051037	0.0535752958394483	0.0651514513528918	0.0637017853395436	0.0319255546657783	0.0464835837534636	0.0546012638423949	0.0187416935684061	0.188819895945364	0.0533808619907731	0.0299715277146606	0.0478645240856384	0.0554475090607698	0.0403431812704243	0.0499124918405219	0.0691074918196265	0.0111292991744134	0.0365882085110373	0.0461105269190759	0.0521490235433227	0.0601245747968643	0.0564051939164932	0.0275794640902069	0.0509333626111508	0.0559059966577612	0.0832927286977128	0.0881893385890303	0.0808263032829601	0.0716000793037686	0.0585561111674873	0.0391290474574836	0.0510849136736883	0.0556934509776335	0.0628441170964677	0.0777601432744822	0.0730815452222696	0.0580313237202673	0.07459799586306	0.0548659599187032	0.0317207679423	0.0524176057395815	0.0517320326903665	0.0447169057049972	0.0527031265621084	0.0558112964063857	0.037342093249003	0.0552112923417339	0.048015780150576	0.0795232255677576	0.0873817095867318
OM4_C_1C_2	0.0401501795273282	0.0290791133305325	0.0554893820362707	0.053122308882272	0.0435537417877089	0	0.0136156519843063	0.0320279043677933	0.00739840553745467	0.0144765508695064	0.116562999146391	0.108521647949884	0.0896626553724586	0.0528821454169163	0.00832814804617206	0.0174272637402167	0.102120679638092	0.0926859947387156	0.0764181430314628	0.0822688139087381	0.0558211538029957	0.0712056825996333	0.0792987459609138	0.0489579338142197	0.059189152505825	0.027749161377042	0.0130906442095249	0.0113570430266603	0.0343839256825798	0.0290529113845512	0.0236335912020226	0.0199079526554781	0.00709476993826272	0.0126548691784484	0.0266928791971862	0.211457822474149	0.0118988186176365	0.026776971595048	0.0191135548855137	0.015986544663212	0.0298590526143386	0.0313867490443683	0.0322977924605646	0.0397491275820698	0.00772533680202819	0.0109077209857736	0.0357463362273608	0.0295084817266684	0.0186045752824131	0.022469689074322	0.015252202038544	0.0161975570812608	0.0681292162494763	0.0574905600237008	0.0479786157620187	0.036857294525517	0.0229152672590134	0.0131824304737586	0.0161706067461879	0.0245330018054608	0.041974656064026	0.0469021349375196	0.0394658887783039	0.0498729556788697	0.0440530881774423	0.0275718254021841	0.013989373929895	0.012101670661616	0.0211382816927687	0.0163539923234569	0.0111962177907955	0.0174388401589487	0.00954028263928107	0.0135284415411158	0.0183054976334072	0.050300999277905	0.0584761574630483
OM4_C_1C_3	0.0339603736262073	0.019637450774679	0.0494860564578454	0.0451247557694084	0.054327871918372	0.0136156519843063	0	0.0413138269321468	0.0161882190917489	0.0143270479924931	0.109891829494735	0.0990566828827513	0.0798782464486759	0.0637688577231204	0.00814311709074805	0.0193746867714496	0.098938621042125	0.08482142914861	0.0682901377366678	0.084043084173741	0.0494825170827483	0.0632163258687396	0.0767285241411529	0.040627023582928	0.0504546016016937	0.0382759395353448	0.00561379827351084	0.00373604567594214	0.0327365812674503	0.0205141119867529	0.0142977142510503	0.0260652902261612	0.00886607605363614	0.00485837048165447	0.0375704692034979	0.22163737782346	0.00389504976141189	0.0363308097349615	0.0250306308607643	0.0137052331623619	0.0336576084911404	0.0385300880469386	0.0238200831529609	0.0490774696773346	0.0185320295467879	0.0172006775360336	0.0351823074499135	0.023374585199082	0.0122246982540304	0.0315513648781335	0.0119539556534308	0.0102808906356737	0.06416130191979	0.0492140645996263	0.0395563544568254	0.0287612302642866	0.015030133625506	0.0185184856702159	0.0185575342298351	0.0270730701530689	0.0388440378185775	0.0390959490316851	0.0313605692585245	0.0501986358557453	0.0367731580515146	0.0233273243682066	0.0244534578072166	0.0119472926354517	0.0257053964344011	0.0186495273156659	0.00968412059684256	0.0114186058484361	0.0179751859204511	0.00580515385237682	0.0244111341666899	0.0425606327998982	0.0504743470587625
OM4_C_1D_1	0.0602088261001404	0.0570232227515139	0.074651340604464	0.0753039449794085	0.0186949329226968	0.0320279043677933	0.0413138269321468	0	0.0315492775324952	0.0404586950899639	0.133441809970029	0.131687393568854	0.113904190975094	0.0249357400726565	0.0335817867869965	0.0397094501182579	0.112535916240617	0.112690522897912	0.0971938794961562	0.0817804483663347	0.0761900406942347	0.0931754051019392	0.0887541089337837	0.0711988581733625	0.0836616725781749	0.0118178610792043	0.0409167024599626	0.0403446518174638	0.0487215633745419	0.0557701426154901	0.0532076731269321	0.0222572655967454	0.0341351637163385	0.0425226212587522	0.00871902971632083	0.201127649642046	0.0400861766394957	0.0144016915317727	0.0344988826166685	0.0411171012438988	0.0376251882797102	0.037048136036395	0.0597614372836582	0.0118617890141334	0.0256061190614831	0.0325130370425476	0.0481543206491982	0.0518689992311665	0.0467770621258026	0.0244659588055659	0.0412389019008447	0.0451262418112747	0.081114193353354	0.0813204397563059	0.0730922970024687	0.063125916817889	0.0487575921622297	0.0236499753713047	0.0362672868605408	0.0416219616358084	0.0585025098306106	0.0704183758210121	0.0650293334701191	0.0579085158472184	0.0675617009093492	0.0468548991252898	0.0184522735890569	0.0397424098684024	0.0393945166668762	0.036899416212728	0.042178488276091	0.0453156980690692	0.0237893891444676	0.0435661951943938	0.0362207675343765	0.072391369011421	0.0811183051786327
OM4_C_1D_2	0.0463286711404047	0.0339305730911708	0.0617695051390083	0.0587409114682618	0.0440430872763409	0.00739840553745467	0.0161882190917489	0.0315492775324952	0	0.0105664411144067	0.122638253881217	0.113795215221266	0.0947485477558201	0.0524290605433577	0.0118476632507989	0.0119117251620264	0.108426861789909	0.0985779445982326	0.0823596824471947	0.0883185648151266	0.0621016958672084	0.0769171893789952	0.0857866404157786	0.0544879248547031	0.0646004445167291	0.0289847177450984	0.0176254170020191	0.0133431550734672	0.0409075040762982	0.034204515575227	0.0273604902639694	0.0242040250161626	0.0125644654430152	0.0163003111156022	0.0262899696552102	0.209899278900752	0.0131837365184736	0.0236055227735216	0.011927419172773	0.0124135645177102	0.0360590208122954	0.0248472289186475	0.037500744439547	0.0405856945565533	0.0100086323314593	0.00515347886562195	0.0424007215645812	0.0355472657893607	0.0228071352687473	0.0266967446902307	0.0210953583963265	0.020228636467689	0.0748188719184863	0.063046351241772	0.0534211702518901	0.0422817265099712	0.0278145434456262	0.0125866715329175	0.0106207747374736	0.0178119025982643	0.0486395693030059	0.0527046422377417	0.0448699385911755	0.0564999675954228	0.0498899851165137	0.0339116541392963	0.0153632451499183	0.00932407650450942	0.0143321922989303	0.0230074087017209	0.0155773349404323	0.0231102868216384	0.0101594483003311	0.0172618969244763	0.0113130851807026	0.0562428823229388	0.0640438370352683
OM4_C_1D_3	0.0476978805764872	0.0317176832612657	0.0629205974269584	0.0582332406564797	0.0542087201844769	0.0144765508695064	0.0143270479924931	0.0404586950899639	0.0105664411144067	0	0.123099874717119	0.111095972653163	0.0917353542368443	0.0622585941530531	0.0147428274145698	0.00550977720924968	0.111862026890562	0.0979120484760574	0.0815054820771718	0.095164484100298	0.0626957731205084	0.0761236112066199	0.0897896770753663	0.0538882473502324	0.0628606160670885	0.039121940245545	0.0180666336663417	0.0113180640751981	0.045378171984292	0.0331980029679928	0.0246381604007913	0.0323679416776753	0.0162485610242585	0.0151610737806749	0.0360238039741365	0.216339560694208	0.0108728462401249	0.0309812671500104	0.0128369494038007	0.00288640527464525	0.0433399879611046	0.0258742819660956	0.0358691295721054	0.0500630964698948	0.0196759307861805	0.00859732411282272	0.0474041787739783	0.0369771062402017	0.0231619788777952	0.0361883116603528	0.023665101160452	0.0201966358689555	0.0776874839417443	0.061771314499237	0.0519760369751453	0.0411298328499507	0.0277481266586798	0.018852339451357	0.00681302355113448	0.0133371954225283	0.0519068548485141	0.0521014691875429	0.0439117660577928	0.0621266818333522	0.0497758965958023	0.0366875084143278	0.0244580944657845	0.00667857779120132	0.0127968774508097	0.0286033660509607	0.0161954000501852	0.0233267782471559	0.0186103527296012	0.0161958944348474	0.01299090412777	0.0559465211685921	0.0634248300307805
