	OM4_B_B_1	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_1	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_1	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1D_1	OM4_C_1D_2	OM4_C_1D_3	OM4_C_1E_1	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1F_3	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2B_2	OM4_C_2B_3	OM4_C_2C_1	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_1	OM4_C_2D_3	OM4_C_2E_1	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2F_1	OM4_C_2F_2	OM4_C_2F_3	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3A_2	OM4_C_3A_3	OM4_C_3B_1	OM4_C_3B_2	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3C_3	OM4_C_3D_1	OM4_C_3D_2	OM4_C_3D_3	OM4_C_3E_2	OM4_C_3E_3	OM4_C_3F_1	OM4_C_3F_3	OM4_C_3G_1	OM4_C_3G_2	OM4_C_3G_3	OM4_C_3H_1	OM4_C_3H_2	OM4_H_4A_1	OM4_H_4A_3	OM4_H_4B_3	OM4_H_4E_1	OM4_H_4E_2	OM4_H_4E_3	OM4_H_4F_2	OM4_H_4F_3
OM4_B_B_1	0	0.0149147987914753	0.0115201975489583	0.00924958205671327	0.00300507197811454	0.0125037017225336	0.0120400592006284	0.0122188303696678	0.00629946396420595	0.027181572938186	0.0296349449118306	0.0413442965828449	0.0178227351548264	0.0356959780972932	0.00488197523226212	0.0103704361519344	0.00605068740405721	0.00471100979637187	0.0142051749873938	0.00554810916719431	0.0242242244645031	0.0252017814954875	0.0224522387453822	0.0429545653023332	0.00662321156925999	0.0172504057476557	0.00340006527344576	0.00611811165691451	0.0132501642369263	0.0241087375968055	0.00699723920358925	0.0110843407250979	0.0120813794624616	0.043696636213425	0.0373076476491617	0.0457764713782047	0.0471937751301983	0.0338422611904636	0.0207755121833911	0.012048187502739	0.00538559892863684	0.0134549094374773	0.0105494909941675	0.013808614056276	0.0100823068811141	0.0278669975450454	0.00875788297798268	0.0393446377958409	0.0460673590776568	0.0409609344540898	0.00378847882650986	0.00708080377745361	0.0162039158311149	0.00477500898772412	0.0170480640793597	0.009004877062234	0.00729402577383653	0.00379452908562114	0.00970013867148927	0.00800150581896759	0.0160876882953987	0.0195827880054864	0.00681272222668549	0.00919337340431295	0.0190860815954694	0.00806588177158684	0.00583623864993182	0.0149576823274022	0.0166602652463757	0.00962688982307537	0.019418082947029	0.00824926153567823
OM4_B_B_2	0.0149147987914753	0	0.00441378766384586	0.0227513366567183	0.0129162775296611	0.0267012614656228	0.00355866047151865	0.00462923165718877	0.0184985328400107	0.0128553706572135	0.0148804572644556	0.0264416143812969	0.00321230913169896	0.0207957444106237	0.0109139160761107	0.0239472335398777	0.00923009834488651	0.0185792566428743	0.0282826540856981	0.0165578030125269	0.0386069764142711	0.011974935065545	0.00962687087118089	0.0280736868793	0.0116876219935213	0.00356096691533833	0.0146969757694915	0.012409477431519	0.0258438637844398	0.0387170101288002	0.0171023750828892	0.00514692403427181	0.0248964744753816	0.028955359690743	0.0224053317191966	0.0311886541422089	0.0323081242512469	0.0190234154728549	0.0349762400771894	0.0263102578173267	0.0111671390065221	0.00631135885400125	0.00445950520525382	0.00598613120611879	0.0220546425463132	0.0422897717092063	0.0176525828427792	0.0245039133696822	0.0312032380839081	0.026138941357896	0.0164410925043867	0.00870292513641724	0.0301331441109685	0.0188880001084349	0.0314186966444642	0.00726209448631786	0.0160123476725502	0.0149777980644561	0.0240423904308518	0.0155012298888194	0.0303996564678378	0.0327822298406865	0.0179334173546663	0.0226932422593947	0.0092592600872079	0.0144595642650231	0.015470137027314	0.00425874305892839	0.00317659057865903	0.0224665138330682	0.0328588733262734	0.0205452995129595
OM4_B_B_3	0.0115201975489583	0.00441378766384586	0	0.0186330326341601	0.00914386990937302	0.0227208073835376	0.00297465079817556	0.00321312209625602	0.0144489212249115	0.0156998926941444	0.0182536236373721	0.0302390795694455	0.00716567179423127	0.0245024626673567	0.00719171593634414	0.0198554840873972	0.00554579163448512	0.0146689462763127	0.0243062322065381	0.0126237348409016	0.0347546449485446	0.0150083056878224	0.0111074009550095	0.0317934570472339	0.00765850148363781	0.0062434921085308	0.0107201871515878	0.00840352987074159	0.021739384504693	0.034765497225119	0.0128986700098715	0.00167655247170955	0.0208827885108119	0.03271875228541	0.0261097278316061	0.0349235800148589	0.036175725001125	0.0226932704716556	0.0308994249588597	0.0223144650467105	0.00705519824787051	0.00336562775146599	0.00265483106960392	0.0036656464838445	0.0177767979132835	0.0382473770051253	0.0133516326528684	0.0280593788256682	0.0347439454281449	0.03015506612129	0.0124988111695066	0.00481504169538676	0.0260057064527553	0.0150216777030758	0.0274387948793715	0.00311679245380495	0.0117970736342726	0.0111215826422785	0.0201178178850767	0.0115515708577308	0.0263752334217427	0.0285402577027599	0.0142699378029017	0.0188754130631925	0.00863390611957567	0.0115364973777639	0.011265203421691	0.00394926940080794	0.00540838827997912	0.0182483287117492	0.0286637916514735	0.016580158761713
OM4_C_1A_1	0.00924958205671327	0.0227513366567183	0.0186330326341601	0	0.0100439459874991	0.00445730869669747	0.019780409404525	0.0196984469719455	0.00489052748897974	0.0338096154246844	0.0366730797157162	0.048783276867636	0.0255270660554611	0.0430240672365357	0.0120395326603187	0.00162050743132504	0.0136944928216895	0.00458879441912274	0.0071878053090257	0.00810581684184433	0.0166561383660687	0.032606550292988	0.0283045528153005	0.050326126982838	0.011690097203083	0.024619468495725	0.00833986206816269	0.0109464098633251	0.0053468787097692	0.0163144460864701	0.00662091176667074	0.0182292073715345	0.00492736044856054	0.0512269955174122	0.0446297050880431	0.0533330008872484	0.0547456270132595	0.0411031932008889	0.0125867504889588	0.00395896860569149	0.0116144664464555	0.0192346241361031	0.0185176190088519	0.0197250521421501	0.00296921675019333	0.0196383968392492	0.00727831233489111	0.0465043574991198	0.0531177879081281	0.0487470569722203	0.00650338905769695	0.0142823212974442	0.00738535219229811	0.00451741365941901	0.00896957306864939	0.0157113043847838	0.00800736143305448	0.00877470363830775	0.00267284562176801	0.0106359077790405	0.00807016544142265	0.0104197942306283	0.00902729732687058	0.00617181533519844	0.0240966607923751	0.0126379586345025	0.00768739501995161	0.0215344298132319	0.0237382266839544	0.00145647659202669	0.0103782789822682	0.00466737823361874
OM4_C_1A_2	0.00300507197811454	0.0129162775296611	0.00914386990937302	0.0100439459874991	0	0.013815172079656	0.0099174763047207	0.010340368510636	0.0060662257372456	0.0248140559957827	0.0273837470316682	0.0392445458077606	0.015738641767728	0.0335391577547702	0.00221157613468376	0.0112003109265056	0.00397009791826865	0.00568186826523425	0.0158299161519144	0.0058224098803237	0.0257806341163655	0.0234710564073116	0.0197946438103563	0.0408693809930112	0.00369411413879121	0.0151747755859589	0.00274267117159953	0.00329166825264215	0.0135713377260368	0.0258417717003177	0.00566376375237192	0.00888048806543405	0.01253002199243	0.0417453781483952	0.0351559961620647	0.0438980208685817	0.0451562581369818	0.0316301678993494	0.0222870241464806	0.0134302672590685	0.00263444870801762	0.0107349436401822	0.00856096947955543	0.011037841584542	0.00998374009371087	0.0294191071311853	0.00715803130510933	0.0371783288958913	0.0438432864724419	0.0390151206945134	0.00363233382870658	0.00490562981711141	0.0173696014611508	0.00598100554762744	0.0185200692511793	0.0063461272099714	0.00540402430698401	0.00388589241898587	0.011133532133992	0.00731734264000507	0.01762937539201	0.0203123145202118	0.00782703883833588	0.0108692353186589	0.0163675704147481	0.00674874554339049	0.00406031241430514	0.0123735133752555	0.0142811012901343	0.0100394734185935	0.0202714933345473	0.00828952545501257
OM4_C_1A_3	0.0125037017225336	0.0267012614656228	0.0227208073835376	0.00445730869669747	0.013815172079656	0	0.0236002363940032	0.0238177951850719	0.00855170378556003	0.0380632130211662	0.0408523762802847	0.0528498680952925	0.0294387370981721	0.0471108003368268	0.0158259889995548	0.00319474030017735	0.0176416317242271	0.00817556300114556	0.00599471361877604	0.0121357846878163	0.0122705244461985	0.036815030913327	0.0325349931316038	0.0544704757840511	0.0155995544639755	0.0287726453387181	0.0123884525216486	0.0148136517498966	0.00484578680686358	0.0123262146073922	0.0105939881706145	0.0223768365778557	0.00462799336306189	0.0553953709320523	0.04872605128865	0.0575226251554477	0.0587999755060662	0.0451250382098699	0.00941361903963065	0.00122221536056146	0.015707811327757	0.0234912167633542	0.022352692458094	0.0238532725862532	0.00661229957997747	0.0156937152201491	0.0112637579870969	0.0506907958176074	0.0572813778805333	0.0527265187748611	0.0102660197424434	0.0183562427540489	0.00415070361839308	0.00791511187801534	0.00473804299552704	0.0197515273501437	0.011976954134289	0.0127523249416563	0.00284884153169077	0.0148520087792654	0.00499862497081453	0.007699631194447	0.0125639803243788	0.00831799884652448	0.0284556194607326	0.0153275989189702	0.0117916823298679	0.0255944256535618	0.0277735567813259	0.00552347558290413	0.00724946216267817	0.00723358448154715
OM4_C_1C_1	0.0120400592006284	0.00355866047151865	0.00297465079817556	0.019780409404525	0.0099174763047207	0.0236002363940032	0	0.0050488641627063	0.0153361495505544	0.0158715486995007	0.0179956411369594	0.0294895640799996	0.00589297569269571	0.0238379630353153	0.00779410651045802	0.0208785542666974	0.00667547910995057	0.0155713719008049	0.0256313047538222	0.0142982749604803	0.035352456560516	0.015474410743277	0.0116473851535062	0.031259246994921	0.00852463315964297	0.00676589996287896	0.0120133939776391	0.00921519367087454	0.0226181360172731	0.0357323445640403	0.0140341786821885	0.0042799797355848	0.0216163515010672	0.0322932266878797	0.025464161283462	0.0345971076005316	0.0353802743123147	0.0218622447184704	0.0321595877680022	0.0232933329578893	0.0084305671109047	0.00569982439514449	0.00176943505060135	0.00495645451620397	0.0191107949595971	0.0392637353822555	0.0147188987506107	0.0276843674619547	0.0342611025330775	0.0291892749015815	0.0133691727798024	0.006450155848829	0.0271444089112787	0.0158776283475318	0.0283272400460739	0.00451324685389445	0.0129576523721653	0.0125422145134548	0.0209958150661192	0.013757367846483	0.0275279222497513	0.0297502065639457	0.0159245352370942	0.0202823974196651	0.0104404939021449	0.0109014669520065	0.0124638231765966	0.00419926486648681	0.00499168587487463	0.0195676738014354	0.0297804865471266	0.0172589891423439
OM4_C_1C_2	0.0122188303696678	0.00462923165718877	0.00321312209625602	0.0196984469719455	0.010340368510636	0.0238177951850719	0.0050488641627063	0	0.0159774215011651	0.0154323235239628	0.0179305574686945	0.0298819543510941	0.00769353107570805	0.0242225176048321	0.00877578862428261	0.0210558374014456	0.00638274583296595	0.0157059095256833	0.0246767501845829	0.0127240107027406	0.035971157456971	0.0131333244675885	0.0118508849689587	0.0312104952615806	0.00981805725707514	0.00531850730263402	0.0114528089920038	0.0104669209263568	0.0233802178204173	0.0355180408398736	0.0146094882514415	0.00204168014827378	0.022534727428789	0.0318037691768176	0.0257888503372184	0.0338133549763056	0.0357215122482383	0.0227196926714911	0.0315182402644175	0.0232703833994541	0.00830871262460815	0.00532741448096874	0.00424118640062604	0.00634299440845297	0.0191105036347571	0.039124129607145	0.0151389438325925	0.0275262817016402	0.0343831293168876	0.0297067853923457	0.0137691806837209	0.00550666525739144	0.0269978970713256	0.0160208552449118	0.0284591521805725	0.00555265727147822	0.0136742961037185	0.0114165176377433	0.0211064806433605	0.0112929778753972	0.0270663771594599	0.0297922158086706	0.0138887174177197	0.0189205243725158	0.00929952878662272	0.0139597046621383	0.012865214078474	0.00617926051721009	0.0066125464211544	0.0193371091169796	0.0299221992732038	0.0182865814288265
OM4_C_1C_3	0.00629946396420595	0.0184985328400107	0.0144489212249115	0.00489052748897974	0.0060662257372456	0.00855170378556003	0.0153361495505544	0.0159774215011651	0	0.0296894234553717	0.0324428471563793	0.0444070416501377	0.0211026136455696	0.0386630039901391	0.0077255350078347	0.00566161940159184	0.00983233884280654	0.00275393343774369	0.0118747533167714	0.00701982526667786	0.0204185795493613	0.0290174437551254	0.0241023222271007	0.0460766441054078	0.00707967387470222	0.0206228057800676	0.00539437801081963	0.00629825200880529	0.00751953648624154	0.020850598338724	0.00245534260018872	0.0143204040740715	0.00656794705078727	0.0471240297140743	0.0402804589734468	0.0493415019858245	0.0503749065155932	0.0366342648041061	0.0174115666199311	0.0084137943582954	0.00766957556482255	0.015143258823332	0.0142359024855833	0.0153584166823255	0.00451698768228146	0.0241297221225831	0.00404548447824826	0.0422924560757064	0.0488216737210046	0.0443481805335166	0.00264292413405536	0.0105061628826698	0.0119861346388038	0.00309560420509876	0.0132582289030303	0.0113910840620366	0.00372711448177885	0.0065823001261752	0.0063701202604783	0.00933237311525823	0.0128518763379608	0.0145064821236504	0.0089744974126018	0.00890913263273056	0.0202900511371926	0.00796745956459487	0.00344938246338879	0.01709800939115	0.0193289883910898	0.00489878761043754	0.0144697349803292	0.00250232450206991
OM4_C_1D_1	0.027181572938186	0.0128553706572135	0.0156998926941444	0.0338096154246844	0.0248140559957827	0.0380632130211662	0.0158715486995007	0.0154323235239628	0.0296894234553717	0	0.00350756348298991	0.0157515777170789	0.0106803762234401	0.010128080555479	0.0228383469278827	0.0350404984037296	0.0211612273418812	0.0301987812304562	0.0393438075685371	0.0275058341412742	0.0500904816952926	0.00817109174820639	0.00641593427652682	0.0168807712244032	0.022765150442307	0.0102519320333647	0.0261476622708584	0.0235704322760084	0.0365108200438946	0.0500384818651639	0.0277602997927087	0.0161964371245988	0.0358477304578186	0.0180910800320494	0.0115496660756633	0.0204488624160865	0.0216505694073267	0.00910727086319328	0.0458715506260644	0.0376492632830968	0.0225484499381627	0.0146069547250029	0.0170417996960732	0.014467369190528	0.0324606757324944	0.0533500433298677	0.0276465504008406	0.0128752251590236	0.0194696055203738	0.0165570119506933	0.0280161479951282	0.0202731779235803	0.0410402132252587	0.0305825925596697	0.042741815565181	0.0185598917397795	0.0264848573282731	0.0263781115777748	0.0355698817187756	0.0254594791563926	0.0415501959142471	0.0431040390411299	0.0288568404673334	0.0338550230009382	0.0107008249958304	0.0259486226995326	0.0263331847414296	0.0129079829844978	0.0110100721500856	0.0331832650889482	0.0433912493379955	0.0316971370003996
