	OM4_B_B_1	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_1	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_1	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1D_1	OM4_C_1D_2	OM4_C_1D_3	OM4_C_1E_1	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1F_3	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2C_1	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_1	OM4_C_2D_3	OM4_C_2E_1	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2F_1	OM4_C_2F_2	OM4_C_2F_3	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3A_3	OM4_C_3B_1	OM4_C_3B_2	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3C_3	OM4_C_3D_1	OM4_C_3D_2	OM4_C_3D_3	OM4_C_3E_2	OM4_C_3E_3	OM4_C_3F_1	OM4_C_3F_3	OM4_C_3G_1	OM4_C_3G_2	OM4_C_3G_3	OM4_C_3H_1	OM4_C_3H_2	OM4_H_4A_3	OM4_H_4B_3	OM4_H_4E_1	OM4_H_4E_2	OM4_H_4E_3	OM4_H_4F_3
OM4_B_B_1	0	0.00890601131690749	0.00434538983168675	0.0425954228966271	0.0509440031667276	0.0391825269753841	0.0015809328637662	0.0110316306727258	0.000860289061158989	0.0193996202893848	0.0102995905334125	0.0241638941532955	0.0209673926240723	0.0043160500025396	0.0144743414895814	0.00698771971947057	0.00380330185326278	0.00791878496925367	0.00956986395102874	0.00501635970791077	0.00910248988584633	0.000517191329323767	0.00584589449949222	0.00171832837556582	0.0027429861703269	0.00826387194999992	0.00477291300053777	0.0259668357096743	0.0035055692126486	0.0302834145711687	0.0196532466578547	0.0235764475344658	0.0219148911400468	0.0107787469591616	0.0316908033492351	0.0104425491890895	0.00466043578659655	0.0129678626519963	0.00847987441135888	0.0111415811486477	0.0124142908984122	0.0145820125726978	0.0023782079802719	0.00642566182072597	0.00374236494436596	0.00485677187430194	0.00670027511103177	0.0138445482103839	0.00492636460699418	0.00524037036118771	0.0258727961911693	0.0022259901645343	0.0158946687942136	0.018419910956494	0.0132036755673758	0.00768933343592983	0.0166173758034737	0.0419970685760301	0.013944339658284	0.00301610766791277	0.0167073144469821	0.00827569025333543	0.00620423851402475	0.00532728968997647	0.00552092084902195	0.0248468216643287
OM4_B_B_2	0.00890601131690749	0	0.00982509788803277	0.03457718130304	0.0428992945247874	0.0312745202376899	0.0104774270138659	0.00592511075826669	0.00931057616122433	0.0281193916645064	0.0191178589831439	0.03284478607934	0.0298581070090802	0.00696331300680172	0.0228969687914328	0.0157321988268331	0.0119585050643347	0.016426970563534	0.0180528891337236	0.00392493477825724	0.0170172041310079	0.00896486544600154	0.0122787871149946	0.0073534985624459	0.0061636499837718	0.0154162430671069	0.00463953384119825	0.0340169205721139	0.011042125279658	0.0387757338435918	0.0284711839758992	0.0320721175761431	0.0305284489521432	0.0185751130415724	0.0401406523782083	0.0193281417624721	0.00553159533642983	0.021810948614498	0.0173113178579134	0.0022742436821237	0.0207082453549189	0.0224993918144115	0.00658406360228106	0.0142270025582501	0.00619795314425181	0.0132556891458245	0.0153985560619428	0.0224353693760774	0.0138285142707347	0.0112212963681098	0.0343091430263946	0.0090560953658207	0.0246475239639966	0.0269842155236777	0.0212432510688912	0.007442387515309	0.0251625582106352	0.0503138742569131	0.0226545186560732	0.0119130554958338	0.0241515554925818	0.0151400502918126	0.00282102666640376	0.00402769812173975	0.0140127262187347	0.0322918559072677
OM4_B_B_3	0.00434538983168675	0.00982509788803277	0	0.0443881924222514	0.052711799613227	0.0410697633818909	0.00482716465761228	0.0137909881372538	0.00359905228358001	0.0189139477520059	0.010482250933387	0.0235133387924362	0.0212334552026393	0.00810560835837596	0.013404709718407	0.00719519170183029	0.00334094486615042	0.00733874507368254	0.00880488454728403	0.00682114464832698	0.0073605286341501	0.00383154312695907	0.0100435319073901	0.00522938939280696	0.00512752340770984	0.00559702329026226	0.00735162205865195	0.0242357927489629	0.00220544104897377	0.0291920586220909	0.019501654084503	0.0225281615325162	0.0211246372037105	0.00882680152205363	0.0305194870234988	0.0110316502117633	0.0042937090704546	0.0131253543556631	0.0102892830720666	0.012040992584199	0.0111621552265079	0.0127357040402382	0.00528568415325421	0.00468886883319169	0.00372482454228337	0.00452211767110766	0.00679067130883054	0.0131446573755095	0.00648388159020561	0.00140721696182205	0.0247027764312496	0.00656681712114105	0.0155836914129853	0.0175645371939009	0.011538298162186	0.0114130918595392	0.0157505954760187	0.0405968534466869	0.0135566186399089	0.00511985705288311	0.0143291585486771	0.00531847727134141	0.00788008459935982	0.00765549368454999	0.00854566197053282	0.0224821539335063
OM4_C_1A_1	0.0425954228966271	0.03457718130304	0.0443881924222514	0	0.0083570066727473	0.00351737152327308	0.0439733113691392	0.03177006354917	0.0432441932837905	0.0618112028089312	0.0527015801944275	0.0665780165925393	0.0627392246809238	0.0388009482391325	0.0570523401155488	0.0495374936023517	0.0461759789087305	0.0505024995883453	0.0521528388774669	0.0378748651498317	0.0514261799688506	0.0428394547627992	0.0427905797226846	0.0408784372892033	0.0400678693963012	0.0499597221511369	0.0378416765005516	0.0684342925673496	0.0454082487238869	0.0728094014986612	0.0618582554008694	0.066126484316628	0.064413524196341	0.0530359154099382	0.0742268686646657	0.0526238548181674	0.0401015685518469	0.0552441210244766	0.0498750161872489	0.0324092611410313	0.0549616352395485	0.0569469603164293	0.0402766464900507	0.048629523205769	0.0407102483161787	0.0473856102189951	0.0492746011948267	0.0564060442700042	0.0472432981131108	0.0457874286328411	0.0684294332787258	0.0416592713212863	0.0583041005011535	0.0609673748053757	0.055637395999361	0.0361205482630198	0.0591799006103386	0.0845250529688617	0.0564313180442889	0.0454725869488491	0.0586998345674271	0.04970128868794	0.0367014306671156	0.0373249312216651	0.0462443034310894	0.0668360579197272
OM4_C_1A_2	0.0509440031667276	0.0428992945247874	0.052711799613227	0.0083570066727473	0	0.0118037733461523	0.0523193403714978	0.0401085405967863	0.0515926276255164	0.0701402804948887	0.061038013814771	0.0749037212233636	0.0710277668511665	0.0471394629187724	0.0653952301719287	0.0578816675764025	0.0545218547677615	0.0588482495154568	0.0604978950132042	0.0462211423049362	0.0597661188928164	0.0511881095346746	0.0510664613859161	0.0492276158335645	0.0484163681898777	0.0582863842788291	0.0461920263417514	0.076767366938532	0.0537503611577417	0.0811406764731607	0.0701746454705393	0.0744628642683909	0.0727466956995004	0.0613723054490814	0.0825585719345554	0.0609519518484785	0.0484245832102944	0.0635724430128875	0.0581841205631971	0.040718341651291	0.0633049942929934	0.0652831510663246	0.0486261298155299	0.0569701382539212	0.0490426323904594	0.0557322781841858	0.0576198058431197	0.0647474507830814	0.0555836081383119	0.0541085709106735	0.0767655934357037	0.0499976876136692	0.066635872149213	0.0693057890756652	0.0639770085896221	0.0444280792712175	0.0675201930330995	0.0928523602020884	0.0647685945756402	0.0538175805497495	0.0670185164642549	0.0580218749955702	0.0450463813271415	0.0456750229623092	0.054555823601607	0.0751426503921197
OM4_C_1A_3	0.0391825269753841	0.0312745202376899	0.0410697633818909	0.00351737152327308	0.0118037733461523	0	0.0405452991326232	0.0283140386950173	0.0398430658105155	0.0583614306477399	0.0492563093626187	0.0631275916611124	0.0592546287182351	0.0353486716866597	0.0536432677905798	0.0461108741022631	0.0427893541442888	0.0470941042328837	0.0487440545526685	0.0345030428600565	0.0480569572221391	0.0394360916207589	0.0392928692414698	0.0374657725366594	0.0366790808839577	0.0466284497792058	0.0344380770516501	0.065060115329432	0.042040674641535	0.0693795517920514	0.0583926974701285	0.0627010200679543	0.0609747852258444	0.0496761129966806	0.0708019241573107	0.0491651225610316	0.0367895327488663	0.0517875900022954	0.0463967655769567	0.029134787252807	0.0515657869636195	0.0535819872708846	0.0368753435228791	0.0452623279779518	0.037376914863632	0.0439879736475269	0.0458531697119562	0.052980724764465	0.0438011730683567	0.04247235636269	0.0650096401143799	0.0382086706467752	0.054855486790384	0.0575388012290555	0.0522620346151659	0.0326357145034077	0.0557557175191098	0.0811150249700945	0.0529920835958432	0.0420425153976753	0.0553756820648086	0.0463829657267448	0.0333369895470982	0.0339300441769513	0.0427661600760344	0.0635261860322239
OM4_C_1C_1	0.0015809328637662	0.0104774270138659	0.00482716465761228	0.0439733113691392	0.0523193403714978	0.0405452991326232	0	0.0122973586550192	0.00153660122582839	0.0179315960864185	0.00880702294727833	0.0227037426579514	0.0194150384783722	0.00534866885764249	0.0131416117906357	0.00557024752403956	0.00304392504840083	0.00662767944403995	0.00826104551460507	0.0065739390533008	0.00806225891938505	0.00167972755659305	0.00529707970088333	0.00318932651496806	0.00431472447373951	0.00757381490740584	0.00623794810639573	0.0247054964855116	0.00325426848425963	0.0288790469836547	0.01814226240194	0.0221822119764417	0.0204829164407158	0.0097390309208272	0.0302978317832206	0.00890209050908195	0.00612843381326007	0.0114528570567648	0.006903203965516	0.0127045923879987	0.0111507861455748	0.0134328879462206	0.00391492766737266	0.00557229162507345	0.00519395777391428	0.00377288595392988	0.00531995071583272	0.0124474761757304	0.00337734168225244	0.00533916342220485	0.0244933327137959	0.00264964426605676	0.014419486635954	0.0170146787760204	0.012028084873294	0.00860088221542454	0.0152258201214293	0.0406320116117657	0.0124943311664584	0.00150483923510753	0.0156871915323351	0.00769517980752976	0.00775249932813664	0.00681708980773139	0.00409154461661923	0.0237620596109398
OM4_C_1C_2	0.0110316306727258	0.00592511075826669	0.0137909881372538	0.03177006354917	0.0401085405967863	0.0283140386950173	0.0122973586550192	0	0.011770263717294	0.0300698891858164	0.0209574903437383	0.0348422878059751	0.031091300313335	0.00703830706376637	0.0254371260444338	0.0178532864631638	0.0147826821920281	0.0189112220935227	0.0205526344916607	0.00700371912719082	0.0201077904378495	0.0113523712807131	0.0114162540610111	0.00934130152139634	0.00880850184285901	0.0190112707707064	0.00649703762277704	0.0369817242483886	0.0142099379781879	0.0411138324916143	0.0301242165510865	0.0344390846941683	0.0326906469273856	0.0217749382980363	0.0425454268071969	0.0208701331937921	0.00994492726017828	0.0234926543029711	0.0181787555248961	0.00573993829017279	0.0234264207373477	0.0256080524440387	0.00886572456884599	0.017368189930056	0.0101667119743781	0.0158879904762467	0.0176156140513255	0.0247197755401139	0.0155043809365249	0.015159278358581	0.0367612552634142	0.00990035988149371	0.0265599999806849	0.0292689959289561	0.0242336183011551	0.00465607195108506	0.0274966417027877	0.0528973230951011	0.0247019046414897	0.0137811421166227	0.0276635757474343	0.0188910683063449	0.00610810721772034	0.00613731048047222	0.014551306773018	0.035830679164095
OM4_C_1C_3	0.000860289061158989	0.00931057616122433	0.00359905228358001	0.0432441932837905	0.0515926276255164	0.0398430658105155	0.00153660122582839	0.011770263717294	0	0.018861591146817	0.00981137740386764	0.0236130303167579	0.02056048632693	0.00515373446509861	0.0138300052330158	0.00644283025226663	0.0030157545903156	0.00727420200768448	0.00892593665901986	0.00549880847888771	0.00833907399623468	0.000418871833595727	0.00646708484788075	0.00243064080652098	0.00322131076940743	0.00742486481670801	0.00540833783209711	0.0252686657311978	0.00264731113856564	0.0296768468472365	0.0191700254436047	0.0229653047952896	0.0213376301152488	0.0100093822894512	0.0310744423253126	0.0100292366277498	0.00464526014335338	0.0125020156115275	0.00829800757173088	0.0115708585356135	0.0117336982185307	0.0138434772900443	0.00296996144749699	0.00562490237071561	0.00370792922892142	0.0041493737781524	0.00612778030502995	0.0132484124376391	0.00458076659280464	0.00440971278414853	0.0252486766070445	0.00303921907119852	0.0153697067662126	0.0178226874748193	0.0124787489322696	0.00853352962583982	0.0160115332731094	0.0413570649507468	0.013395961200876	0.00268047556066176	0.0159218895936222	0.00742451931389404	0.00669869856184571	0.00592790088881309	0.00562720910100601	0.0240756771064588
OM4_C_1D_1	0.0193996202893848	0.0281193916645064	0.0189139477520059	0.0618112028089312	0.0701402804948887	0.0583614306477399	0.0179315960864185	0.0300698891858164	0.018861591146817	0	0.00913387734855361	0.00477737438179493	0.0039915064538136	0.0230352850374538	0.00571660618486598	0.0124220165636957	0.0161911389078804	0.0117212494847151	0.0101409410613787	0.0243591944197098	0.0116984811617902	0.0192377854329597	0.0195771063302186	0.0210989922933791	0.0220792159168987	0.0138802482203083	0.0241595731657335	0.00883040818313876	0.0171944172358767	0.0111520131285898	0.00155192867413729	0.00479393509298676	0.00277836060448246	0.0106182089747524	0.0126229582197844	0.00922679464876813	0.0228817611336965	0.00659857636038978	0.0122168084047921	0.0303912213782714	0.00792005986633439	0.00764227852977649	0.021773680595416	0.0142261458859805	0.0220523574233346	0.0148779746645713	0.0127361025289482	0.00577006542831274	0.0146026952145698	0.0177469217863487	0.00710156424908252	0.020175335085755	0.0035155499218168	0.00198258577211877	0.0080948701567819	0.0258569716196074	0.00337889478659261	0.0230248572169374	0.0054680041172712	0.0164277035203002	0.00877553338158021	0.0144112408348509	0.0255586351314188	0.0247245926073445	0.0157689335594739	0.0107731278279472
