	OM4_B_B_1	OM4_C_1A_1	OM4_C_1C_1	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1D_1	OM4_C_1D_3	OM4_C_1E_1	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_3	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_3	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_3	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_1	OM4_C_2D_3	OM4_C_2E_1	OM4_C_2E_3	OM4_C_2F_1	OM4_C_2F_2	OM4_C_2F_3	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_2	OM4_C_3A_3	OM4_C_3B_1	OM4_C_3B_2	OM4_C_3C_1	OM4_C_3C_2	OM4_C_3D_1	OM4_C_3D_2	OM4_C_3D_3	OM4_C_3E_2	OM4_C_3E_3	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3F_3	OM4_C_3G_3	OM4_C_3H_1	OM4_C_3H_2	OM4_C_3H_3	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4B_1	OM4_H_4B_2	OM4_H_4F_2	OM4_H_4F_3
OM4_B_B_1	0	0.00734872107516912	0.0132999078316295	0.0172528250367907	0.00974948232439715	0.00692287812588368	0.0129180158856427	0.00526770426518136	0.00763381254677622	0.0134377685938181	0.0127981780675905	0.0186165847173515	0.0178495917146842	0.0174139326590218	0.00719290977642684	0.0108465140212088	0.00686840211194514	0.0162419149579605	0.0121996587722918	0.0206334338870307	0.0625601346374551	0.0223973852975774	0.0527207247554222	0.0252436980090628	0.0500328861432258	0.0144365724934988	0.0228592002537031	0.00827011194305512	0.028402564026564	0.00377474406384212	0.0119145800306173	0.0383865756134774	0.00779373650419703	0.0473218893529045	0.0116017227411647	0.0214934695529983	0.014922064710844	0.0298343161280115	0.00540804577384418	0.020936967166246	0.0199308654930129	0.0175989054365592	0.0350506975162814	0.0275357028613156	0.0364187138034447	0.0644470920383017	0.0263906594014618	0.0376310630741983	0.00677775576829067	0.0103682847005245	0.00500503163807455	0.00527105104778023	0.0253902307484107
OM4_C_1A_1	0.00734872107516912	0	0.00697413506012053	0.0109987834403903	0.00810162625448232	0.00752704389350083	0.00659023679212445	0.00641738080759563	0.00502637746878931	0.0103775858663265	0.0101445679140904	0.0156228671353204	0.0129154746858674	0.0125454792119508	0.00842412849184644	0.00624855520275398	0.00940400300953329	0.010349683131646	0.00828746003965837	0.0173036825904437	0.0571910928051495	0.0173200705422223	0.0475557375375666	0.0197472817641087	0.0450146192845368	0.00947141440839031	0.0191874340255809	0.00598131749633515	0.023133430289676	0.0102930787222344	0.011928862013639	0.0332144411196084	0.00468260478751137	0.0421962274115667	0.00607004036364573	0.0152230330367609	0.0110182212769723	0.0246782758642537	0.00660709536465344	0.0150054494206556	0.0159185846530667	0.0143111297132587	0.0290095630641524	0.022598069005103	0.0318767935773694	0.0597124528276953	0.0203005671035374	0.0328887572462887	0.00511611687531587	0.00507099866629976	0.00482797895217148	0.00736207483640701	0.0208903381512513
OM4_C_1C_1	0.0132999078316295	0.00697413506012053	0	0.00405041816509243	0.00825310905068975	0.00942396555985092	0.00105299565066881	0.00970097404477419	0.0067417259764334	0.00735735878996773	0.00887828016921641	0.011593864911081	0.00764552235909079	0.00798923183506391	0.0107496260740759	0.00826748955289777	0.0117074037226326	0.0037485884839816	0.00535989897142222	0.0119309388401181	0.0502809315293068	0.0105591678000474	0.040620712731019	0.0128252995852059	0.0381242050590327	0.00446375010075007	0.0146138289347102	0.00704856019007434	0.0164733949709171	0.0158242673076974	0.010947820829867	0.0263499062091109	0.01103819121471	0.0355303854175372	0.0029116797348824	0.00873577063114954	0.00839879828971627	0.018182986439272	0.012858843748548	0.00818280523896441	0.00996270454545146	0.00942277803787823	0.0222326814020408	0.0158087411558533	0.0253406956113136	0.0529348625757537	0.0139559555923298	0.0262691941789656	0.00858209630211914	0.00675027836626844	0.011387695825337	0.0120184758164996	0.0145277801860783
OM4_C_1C_2	0.0172528250367907	0.0109987834403903	0.00405041816509243	0	0.010963517687766	0.0126538301629364	0.00460813639122821	0.0132741161747813	0.0103148033652116	0.00864672429478626	0.0106822728245145	0.0110945533309845	0.00651360931805193	0.00745622314612465	0.0139199560899409	0.0113089943406189	0.0148355076350217	0.00238884291742332	0.00737968726388855	0.0102750718183275	0.0463281321963813	0.00715926757112296	0.0367006052479097	0.00899335867470927	0.0342692586471204	0.00517085455537861	0.0131950137478442	0.0103768778505871	0.012879334535502	0.0196524930192573	0.0127915035144626	0.0225125873797575	0.0148595064422869	0.0317931464637278	0.00619837074504421	0.00541814504855076	0.00938787540500738	0.0147212251028264	0.0167551358713966	0.00447103205045841	0.00788590940463071	0.00863286614231395	0.0183024597396363	0.0122074753667466	0.0218672086205092	0.0491519056530423	0.010510328594158	0.0226879554606518	0.0122318669548339	0.0100130209098544	0.0153734932649533	0.0156749693625357	0.011469914144696
OM4_C_1C_3	0.00974948232439715	0.00810162625448232	0.00825310905068975	0.010963517687766	0	0.00515868658969434	0.00862476100754123	0.00654898202287613	0.00662342391629465	0.00978126211731956	0.0035670499113671	0.00888237678346015	0.00890531953536883	0.00852553420611461	0.00349953120620689	0.00730922639348861	0.00664628583565471	0.0107735406475691	0.00369232873492875	0.0117407083457059	0.0537226848566734	0.0147511132235103	0.0441880572961454	0.0172343953547418	0.0420645868385755	0.00627816304391159	0.013167325757132	0.00728287611952423	0.0194988808797454	0.0125233456513239	0.00763278030041464	0.0296273953660237	0.0111742411185686	0.0380477703520942	0.00816104417414633	0.016039040714668	0.00600014714220356	0.0206814429024163	0.00975411498733931	0.013185620040282	0.0117651583064715	0.00869749954905189	0.0266435803976053	0.0192711693900496	0.0271674056274297	0.0553093550797712	0.0180661903953028	0.0284214133548152	0.00915481586614822	0.00659821676204531	0.0113011790675836	0.00639397985814304	0.0163437306369836
OM4_C_1D_1	0.00692287812588368	0.00752704389350083	0.00942396555985092	0.0126538301629364	0.00515868658969434	0	0.00920395272951684	0.0021041658934911	0.00380196871921134	0.00776765755329398	0.00870399519807722	0.0129481927461403	0.0128236135979417	0.0128592357909051	0.00385742059846415	0.0103329723144228	0.00230063481619895	0.0114791500689214	0.00702912992559658	0.0140318676128398	0.0563200353186023	0.0163581412947036	0.0463482536821341	0.0194122833406846	0.0436199228405075	0.00941043418721589	0.0176037366652616	0.00403824488438032	0.0225428363124154	0.00851092124666138	0.00525029818933615	0.0321591814631795	0.0110632020725137	0.0412380478948667	0.00764457630726312	0.0168512617972877	0.0109078203868566	0.0240237948796259	0.00969959415433033	0.0157700804315147	0.0134312098050308	0.0111263892496159	0.0296047614707144	0.0212705032365975	0.0300631651942269	0.0579560018180862	0.0215355680431219	0.0313399987695078	0.00558154876572884	0.00927050282196345	0.00881861854825929	0.00681395149350144	0.019133463252417
OM4_C_1D_3	0.0129180158856427	0.00659023679212445	0.00105299565066881	0.00460813639122821	0.00862476100754123	0.00920395272951684	0	0.00931445199347628	0.0062155721415957	0.00686197639235451	0.00959967515731012	0.012440192614996	0.00864628092724081	0.00902229987515782	0.0108527451522984	0.00870817251724833	0.0114734759448047	0.00379892639685752	0.0059796945754966	0.0125346927212297	0.0508598250277472	0.0109993973710116	0.041121203806472	0.0133871506541904	0.0384940798021619	0.00536450744785754	0.0155873099866424	0.00645239460534672	0.0172253663400651	0.0152906987472924	0.0108177716330723	0.0269531194395955	0.0107930755720878	0.0362606549492927	0.00209620396808804	0.00879456259483128	0.00931840031346279	0.0189908045070468	0.0127546758092158	0.00891771828178285	0.010444824945647	0.0100298840149696	0.0229019941791286	0.016328772861819	0.0260476245839347	0.0535558953530503	0.0147989890586981	0.0269731713140683	0.00783451779984889	0.0071389990892614	0.0107823419330408	0.0120629804316717	0.0152449868359074
OM4_C_1E_1	0.00526770426518136	0.00641738080759563	0.00970097404477419	0.0132741161747813	0.00654898202287613	0.0021041658934911	0.00931445199347628	0	0.00326954899018701	0.0084030875485564	0.0100441436592489	0.0147552964610084	0.0141125917231931	0.0140749731107039	0.00493621664169029	0.0102617655013227	0.00320375302032714	0.0119976137422488	0.0082863783592913	0.015832744831746	0.0578059991988975	0.0175851730140915	0.0478082186602389	0.0206295761557562	0.0449870860558679	0.0105183717991548	0.0192920746989436	0.00364500608438677	0.0239732782720237	0.00684108346559093	0.00696284088623791	0.0336386987327045	0.00970165374316207	0.0428246812572007	0.00765474579095079	0.0173275778691123	0.0121152776310993	0.0255163527652449	0.00856751930257901	0.0167827635668433	0.0149761866125926	0.0128977263216291	0.0308055182911302	0.0226754736131088	0.031744901695607	0.0596229326220255	0.0226263351754438	0.0329782891412714	0.00400550691636166	0.00919441036075874	0.0068593444371361	0.00648576691410924	0.0207419942550286
OM4_C_1E_2	0.00763381254677622	0.00502637746878931	0.0067417259764334	0.0103148033652116	0.00662342391629465	0.00380196871921134	0.0062155721415957	0.00326954899018701	0	0.00612831577175812	0.00964011371354916	0.0138613625884102	0.0122288909640526	0.0123769374702483	0.00672769519399707	0.00942364223743679	0.00582648934926761	0.00891320879086635	0.00677821454411666	0.0143774501509085	0.0554649118641493	0.0150604595370878	0.0454644536898113	0.0180534993873383	0.04259335271073	0.0084369511218391	0.0181527685406372	0.00109969560251223	0.0217113833820768	0.0094285873630224	0.00721363566336431	0.0313383014939758	0.00939438057429981	0.0407078246605214	0.00443074603726839	0.0141751071082939	0.0110705400311052	0.0233836943561481	0.00968239511676521	0.0141204619067711	0.0129958629119026	0.0114803586608305	0.0282036802393911	0.0203352976077589	0.0298272495774457	0.0576006598122353	0.020143898337125	0.0309687598965457	0.00285267226258559	0.0080108669676286	0.00707574118099103	0.00826804311221203	0.0187805873736657
OM4_C_1E_3	0.0134377685938181	0.0103775858663265	0.00735735878996773	0.00864672429478626	0.00978126211731956	0.00776765755329398	0.00686197639235451	0.0084030875485564	0.00612831577175812	0	0.0119578952881014	0.0131819730632297	0.0117182580517024	0.0126525253403643	0.0109571524121009	0.0138378606075023	0.00923094271724137	0.00653099345328726	0.00811854937392203	0.0111536724889649	0.0508773408751373	0.0108092492603001	0.040561387792051	0.0141908601366412	0.0372836054148672	0.00856084671362624	0.0173141136084086	0.00527143973992876	0.018405297006785	0.0143644336227965	0.00628645855893498	0.0269885001186139	0.0150361682466439	0.0368628554417667	0.00530039675447431	0.0107587386741918	0.0127325838546211	0.020321228990606	0.0157396698378307	0.0117256979263699	0.00905364635688924	0.00910915174639237	0.0247912412058211	0.0158999812943389	0.0258756328259439	0.0529971576721536	0.018142609557844	0.027001441995846	0.00765427957362332	0.0122844199041206	0.0126978698271556	0.0138443771507582	0.0153028209082362
OM4_C_1F_3	0.0127981780675905	0.0101445679140904	0.00887828016921641	0.0106822728245145	0.0035670499113671	0.00870399519807722	0.00959967515731012	0.0100441436592489	0.00964011371354916	0.0119578952881014	0	0.00660970790241568	0.0067165710930827	0.00589721677773375	0.00662969679191019	0.00703672940560537	0.0101458777991448	0.0112476409108199	0.00408103556962238	0.0108592730268696	0.051709303857529	0.0141230730931396	0.0425274711191922	0.0160188609265717	0.0408438502363428	0.00558244892586049	0.0101935324945266	0.0103131159117011	0.0175047700137082	0.0158564381191941	0.0103200363337752	0.0278326444531588	0.0127080513326824	0.0357013754990002	0.00987828722479	0.0159689271056031	0.00282527667854149	0.0184188073597259	0.0115601986045669	0.0118965023474087	0.0113567510074452	0.00810201104769405	0.0245678252075758	0.0181124216947427	0.0251554295166348	0.0532755522803137	0.0157818584096151	0.0263685225400917	0.0122285085421795	0.00677396110839053	0.0139903482684057	0.00858272200144074	0.01468568839997
OM4_C_1G_2	0.0186165847173515	0.0156228671353204	0.011593864911081	0.0110945533309845	0.00888237678346015	0.0129481927461403	0.012440192614996	0.0147552964610084	0.0138613625884102	0.0131819730632297	0.00660970790241568	0	0.00537959338476146	0.00568314801381131	0.0118579254616357	0.0130021502914833	0.0141536235527002	0.0119748056400543	0.00745425872602807	0.0058097341776601	0.0458476868832466	0.0108267971923478	0.0367147846256912	0.0121486702253048	0.035276296666995	0.00715594403757876	0.00488513558294601	0.0141053782944086	0.0124447963158861	0.021155390437124	0.0116978734238856	0.0221818092600865	0.0188746618594505	0.0297929379866957	0.0129298506027717	0.0152226707181219	0.0060280638463425	0.0130802334364063	0.0180942867494729	0.00989269522929574	0.00776494018076636	0.00473313271909017	0.0200725441582248	0.0132640854513717	0.018979916372593	0.0470137392651828	0.0126134401860351	0.0203029033032624	0.0167090447229324	0.0125462664904514	0.0196841039230658	0.0148927034457846	0.0091359325140657
OM4_C_1G_3	0.0178495917146842	0.0129154746858674	0.00764552235909079	0.00651360931805193	0.00890531953536883	0.0128236135979417	0.00864628092724081	0.0141125917231931	0.0122288909640526	0.0117182580517024	0.0067165710930827	0.00537959338476146	0	0.00166791366105206	0.0123997012764205	0.0103591744261632	0.0146927852268264	0.00809373984606567	0.00584993074197261	0.00752328630260666	0.0455698046029519	0.00861537172656606	0.0364071100229354	0.00970595655509678	0.0347953934780341	0.00381490627703496	0.00704010065245757	0.0125683175740208	0.0111614092688954	0.0207067874802975	0.0127278946001426	0.0216713598676298	0.0161798113121802	0.0298384524528532	0.00985980442685657	0.0110382499360244	0.00460983181330861	0.0122776308431578	0.0166551557063959	0.00561447740087694	0.00730927362149044	0.00585993298725473	0.0179389280545847	0.0121853089888819	0.0196027702169583	0.0476271815170974	0.0092254983865619	0.0206378260267524	0.014858905622112	0.00968866870844322	0.0175421145115904	0.0145317045899051	0.0090930020672785
OM4_C_1H_1	0.0174139326590218	0.0125454792119508	0.00798923183506391	0.00745622314612465	0.00852553420611461	0.0128592357909051	0.00902229987515782	0.0140749731107039	0.0123769374702483	0.0126525253403643	0.00589721677773375	0.00568314801381131	0.00166791366105206	0	0.0120030316393294	0.00925653122998311	0.014720357464066	0.00909246782415556	0.00588260861708691	0.00889617653473663	0.0466238380076194	0.0102573822413427	0.0376376296897126	0.0112024716804568	0.0361881528327525	0.00423797368581956	0.00709440873642651	0.0128501694190043	0.0123361328679285	0.020463472248491	0.0133232932166185	0.0228863762275742	0.0154314287862734	0.0307288569138719	0.0102890605492303	0.0122463956485388	0.00337464359606901	0.0132709127174601	0.0157857975265842	0.00693219222609428	0.00890585084788179	0.00706867405910764	0.0189043021904403	0.0137224725118064	0.020703843491166	0.048666397075454	0.00991157260512719	0.0217218785733984	0.0149677834752454	0.00879944834549196	0.0172016309306803	0.0137630368919126	0.0104802435763525
OM4_C_1H_3	0.00719290977642684	0.00842412849184644	0.0107496260740759	0.0139199560899409	0.00349953120620689	0.00385742059846415	0.0108527451522984	0.00493621664169029	0.00672769519399707	0.0109571524121009	0.00662969679191019	0.0118579254616357	0.0123997012764205	0.0120030316393294	0	0.00886636926247292	0.00432484630918485	0.0133547987078651	0.0069781992715956	0.0144847375072537	0.0569052555244143	0.017729865400515	0.047256992242172	0.0204315732817966	0.0449702249603176	0.00961187101240159	0.0162688721232737	0.00736818776340142	0.0228371095631716	0.00967341630768421	0.00760258985955604	0.032805127358587	0.0108635769418402	0.0412864906064127	0.00987998025017009	0.0187723139207819	0.0092806580170861	0.0240327822805534	0.00837122163000716	0.0165021255097762	0.0145607428040337	0.0115245332522922	0.0300596604248329	0.0223220756703111	0.0302534408867986	0.0583261156685133	0.0215528218638165	0.0315607915169619	0.00855258301560593	0.0083401297253097	0.0101077749034974	0.00436858936872671	0.0194883932050881
OM4_C_2A_2	0.0108465140212088	0.00624855520275398	0.00826748955289777	0.0113089943406189	0.00730922639348861	0.0103329723144228	0.00870817251724833	0.0102617655013227	0.00942364223743679	0.0138378606075023	0.00703672940560537	0.0130021502914833	0.0103591744261632	0.00925653122998311	0.00886636926247292	0	0.0121366858073036	0.01191302289987	0.00755876995589757	0.0164950434180961	0.0554715147102688	0.017400397046046	0.0464376783884555	0.0190808458856863	0.0446630471562245	0.00835959980388826	0.0155544823115141	0.010461509053505	0.0212419731388089	0.0145195764070924	0.0142272565238398	0.0317684030144797	0.00680909086347646	0.0397547727830486	0.0093820732485427	0.0164505708697651	0.00714640238983467	0.0223345111547901	0.00732006452671403	0.0139769450252227	0.0159006434699841	0.0136230711061324	0.0271014153795146	0.0220201288988175	0.0299139665613397	0.05781030436028	0.017774694784951	0.030898748316018	0.0108154061725162	0.00162191581755018	0.0101815369951361	0.00735642755212606	0.0193940885014095
OM4_C_2A_3	0.00686840211194514	0.00940400300953329	0.0117074037226326	0.0148355076350217	0.00664628583565471	0.00230063481619895	0.0114734759448047	0.00320375302032714	0.00582648934926761	0.00923094271724137	0.0101458777991448	0.0141536235527002	0.0146927852268264	0.014720357464066	0.00432484630918485	0.0121366858073036	0	0.0135977146236175	0.00900004791493244	0.0152162561614543	0.0577383599366852	0.0180683556083178	0.0477147774073258	0.0211932669618095	0.0449308560959706	0.011459644447282	0.0189181078616622	0.00588314017615607	0.0242120096006427	0.00768309279377533	0.00536972008343148	0.0336422913432068	0.0124603433359763	0.0426681670719352	0.00984168464846647	0.018901123579345	0.0125947556277047	0.0256430085404804	0.0104700705829146	0.0177944716220273	0.0148841774958343	0.0124620147655397	0.0314429800225819	0.0228103016054667	0.0313588010911749	0.0591395309666504	0.0235158226698041	0.0326948986985563	0.00696004967540628	0.0112301138190082	0.00979485361338579	0.00731699799408789	0.0205961481332773
OM4_C_2B_3	0.0162419149579605	0.010349683131646	0.0037485884839816	0.00238884291742332	0.0107735406475691	0.0114791500689214	0.00379892639685752	0.0119976137422488	0.00891320879086635	0.00653099345328726	0.0112476409108199	0.0119748056400543	0.00809373984606567	0.00909246782415556	0.0133547987078651	0.01191302289987	0.0135977146236175	0	0.00743457031823503	0.0105379801079398	0.0474160186121749	0.0075302484125801	0.037538949387018	0.0100170466057832	0.0347691013177158	0.00585772133807115	0.0147031551685155	0.00877352237191597	0.0143331629932987	0.0182898684631578	0.0113912473190416	0.0235710511081392	0.0145831996215556	0.0331765877079123	0.00473557943165704	0.00545494232497766	0.0105158878792981	0.0162885672659207	0.0164437951321771	0.00630844371170478	0.00786911013943296	0.00875849548482816	0.0198659019899342	0.0128910350723824	0.0229928452743003	0.0501752377033184	0.0126113562151684	0.0238686706157137	0.0106562195116335	0.0104400118998576	0.014307742336631	0.0153188617585716	0.0124924154161835
