	OM4_B_B_1	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_1	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1D_2	OM4_C_1D_3	OM4_C_1E_1	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2B_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2D_3	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2F_1	OM4_C_2F_3	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3B_1	OM4_C_3B_2	OM4_C_3C_1	OM4_C_3C_2	OM4_C_3C_3	OM4_C_3D_1	OM4_C_3D_3	OM4_C_3E_2	OM4_C_3E_3	OM4_C_3G_2	OM4_C_3G_3	OM4_C_3H_2	OM4_C_3H_3	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4E_3	OM4_H_4F_2	OM4_H_4F_3
OM4_B_B_1	0	0.00498290690201816	0.0190191362568904	0.0135101072917599	0.0106810369786035	0.0113223917225326	0.0179684234213656	0.0220262276033249	0.00596930574578725	0.0371066854253161	0.0323361136614175	0.039540088301449	0.013749315861748	0.0386211720854017	0.0378831867724057	0.0516338027665988	0.0107813929860109	0.0453429760103302	0.0095641236200613	0.0100853909741768	0.0183092621938034	0.026583555651896	0.040562182027963	0.0401188777653896	0.0186842997807053	0.024642154297825	0.0102955670064052	0.00817407027742268	0.0182792754644603	0.0101923140432997	0.0234365734634985	0.00699650807691371	0.0396027076315516	0.0144651977964158	0.0281178364889764	0.0111337942175177	0.0227757538030738	0.0360365855598541	0.0248396179531682	0.0276180820247594	0.0318459241193468	0.0346508768881305	0.0226344863944622	0.0210076154878222	0.00509429235369184	0.00278406181788137	0.0305883392419527	0.00517510728932023	0.0204440568189604
OM4_B_B_2	0.00498290690201816	0	0.0229530774647592	0.0169240366003951	0.0146693946099532	0.0123992346432517	0.0213192395654675	0.026067618736309	0.00905491983084526	0.0419649184416311	0.0363432151282652	0.0365258330750605	0.0182880743833672	0.043567890879035	0.0426134678671669	0.0528130342756916	0.00649460278247031	0.0500186289260709	0.00612927205144372	0.0146390435771373	0.0232126074695802	0.0312829244891753	0.0451925506943306	0.0446568801029553	0.0138352289030597	0.0198613807221966	0.0150755290225475	0.00758491223963719	0.0231619575134342	0.0133447464235037	0.0282269221145052	0.0116292299146435	0.0443042429325885	0.018539790542912	0.0329152700371779	0.0159762235273099	0.0270404113443321	0.0408865697416292	0.0285267446025852	0.0325514185823717	0.0366178252019848	0.0393695740838453	0.0269973600674214	0.0250784012192768	0.00531472960806428	0.0029467807803579	0.0352928066306632	0.0086564949547499	0.0248641093235796
OM4_B_B_3	0.0190191362568904	0.0229530774647592	0	0.00641871663350576	0.00835355397199236	0.0140852995042144	0.00373606656031821	0.00317294211744082	0.0139373630951046	0.0223941697860708	0.013396192589477	0.0432507635744933	0.00656426659486969	0.0255849858062663	0.0216733369315588	0.0635831296377198	0.0254857371219034	0.0284509057725165	0.0231908529015462	0.00947468143366981	0.00992085188189752	0.0112032467420126	0.0235006120800979	0.0225519125296435	0.0336442453049898	0.0384829383017451	0.010266664951593	0.0183068962854682	0.00946759557347761	0.0099169336347778	0.010062901591779	0.0179295084597211	0.0230750133480847	0.00458337773044968	0.0136269072381301	0.0102293497955494	0.00475327358617862	0.0212911817087327	0.00599243285112774	0.015807256007248	0.016509661664192	0.0185300416990186	0.0052359293216277	0.00229713105845853	0.0182931172223724	0.0200207112249928	0.0146846092037495	0.0143036981472598	0.00426647310100117
OM4_C_1A_1	0.0135101072917599	0.0169240366003951	0.00641871663350576	0	0.00349620598424462	0.00787316910145179	0.00446248851205138	0.00958200639165033	0.00788579369938191	0.0282458797091809	0.0196109174737337	0.0386020986292209	0.00606426125756545	0.0310460012902887	0.0278627682703246	0.0616300521846283	0.0190793941920424	0.0347933799720265	0.0167778820464334	0.00608169896992423	0.0123792600865803	0.0169293606943	0.0298471142992747	0.0289501411330507	0.0272298813878014	0.0321245950991804	0.00762487224618163	0.0118889734334511	0.0120224787758573	0.00360506214181166	0.0149293059408639	0.0143467545795707	0.0293361358176614	0.00343663506430248	0.0191686460531492	0.00826645279569175	0.0110590014160486	0.0271319974494021	0.0116194838143281	0.0205329410872585	0.0224074924624207	0.0246637543705132	0.0113518538839144	0.00870575952900921	0.0120224931179506	0.0140497572095091	0.0206930737535964	0.00843982630900093	0.00968974909333437
OM4_C_1A_2	0.0106810369786035	0.0146693946099532	0.00835355397199236	0.00349620598424462	0	0.00851454143103421	0.00761564427357816	0.0114194051514844	0.00580864823720432	0.0284597915309892	0.0217258217496267	0.0402227004405733	0.00454143302788299	0.0308140243069976	0.028555166849242	0.0581618257500544	0.0178718730423675	0.035773301732093	0.0156905330556615	0.00278367239816064	0.0109684783827016	0.0172831279345332	0.0308712835937896	0.0301875281423206	0.0262393061209957	0.0315205746566045	0.00442772948045628	0.0110778390508068	0.010704732984766	0.00306877187499856	0.0147024171540537	0.0108550543239068	0.0301510420009563	0.00387104952023382	0.0192641815886822	0.00526884364656251	0.0123981751780547	0.0273493455676635	0.0141693838031944	0.0199326997706844	0.0227771323445047	0.025306319615227	0.0124216100990768	0.0104194722700975	0.0103269443028935	0.0117247626068879	0.0212367384426219	0.00602264820732346	0.010379774181067
OM4_C_1A_3	0.0113223917225326	0.0123992346432517	0.0140852995042144	0.00787316910145179	0.00851454143103421	0	0.0110908600869593	0.0171542285642088	0.00612470434302358	0.0361123192953635	0.0266423027442601	0.0318029411059563	0.0129497591088524	0.0388406378549066	0.0356970786791693	0.0627595737723941	0.0122632933253222	0.0425261736410157	0.00993710573000161	0.0108325402277358	0.0194486911807042	0.0247982608395667	0.0375780537264603	0.0365862618309893	0.0199076243018815	0.024454116131097	0.0123812079335192	0.00523657421356486	0.0191632413922843	0.00544708332385671	0.0226838351774822	0.015844796755498	0.0371386311092426	0.0111025980341237	0.0270148324878372	0.0134004680575476	0.0188205299332252	0.0349984157398174	0.0183921522198864	0.0281683161285275	0.0302782047672771	0.0325127037103923	0.0191811927862582	0.016375916233484	0.00714882565240341	0.010210827843374	0.0285590640633351	0.00707989399709058	0.0175622002694257
OM4_C_1C_2	0.0179684234213656	0.0213192395654675	0.00373606656031821	0.00446248851205138	0.00761564427357816	0.0110908600869593	0	0.00631234246417356	0.0123170647017554	0.0260154605019106	0.0155903971435661	0.0395203858700733	0.00801241860439251	0.029292249046581	0.0251008803200475	0.065083953070402	0.0230267204597426	0.0316447271655679	0.0206945620324194	0.00969581162523229	0.0129689888986915	0.014903025929267	0.0267060960567934	0.0256066857704119	0.0309518180374303	0.0355198918790048	0.0109585698327008	0.0157803519900755	0.0125350484625976	0.00797827247215437	0.013766728831034	0.0182985687388239	0.0264196553309176	0.00503959923066012	0.0173455344726645	0.0112824853339172	0.00827122788161919	0.0249195623208358	0.00739214770082582	0.0195186349733475	0.0201350878054185	0.0220190921805937	0.00888280106583068	0.00574791769029817	0.0162991229714538	0.0184724932801509	0.0182721808485824	0.0128983433846155	0.00798177050013683
OM4_C_1C_3	0.0220262276033249	0.026067618736309	0.00317294211744082	0.00958200639165033	0.0114194051514844	0.0171542285642088	0.00631234246417356	0	0.0170780663829549	0.019803642187311	0.0103157116234163	0.0455109915045039	0.00893292019104835	0.0232720874698711	0.0187900446575063	0.0650314360690727	0.0286547067111417	0.0254008418435979	0.0263572891715296	0.0122351229575795	0.0103785489589862	0.00896070903054712	0.0204529285434913	0.0194398226228669	0.0367964360608263	0.0415851432105993	0.0127897304859986	0.0214682141107192	0.00993034624429825	0.0130894252404198	0.00874547579618158	0.0204105144508128	0.0201172579289062	0.00756946637033668	0.0114658089862618	0.0125621773128681	0.00216300479642304	0.0187196435490033	0.00388694473956944	0.0142465989885186	0.0139461181917337	0.0157188706978448	0.00303758897185737	0.00103378295897952	0.02145709671229	0.0231288999404201	0.0120432068294673	0.0174133035566723	0.00364557864289079
OM4_C_1D_2	0.00596930574578725	0.00905491983084526	0.0139373630951046	0.00788579369938191	0.00580864823720432	0.00612470434302358	0.0123170647017554	0.0170780663829549	0	0.0340663313453085	0.027320845236346	0.0370561762062231	0.00998764652641312	0.0361909529795754	0.0343061097230779	0.0567656955136807	0.0121582271095732	0.0415620659180276	0.0100624003832403	0.00667802284377924	0.0158984960716538	0.0229966080528702	0.0366682941673967	0.0359930128876955	0.0205614820764029	0.0260126262322175	0.00779353096310457	0.00588464643891847	0.0157264379791399	0.00435658460527403	0.020245508628962	0.00973143475302842	0.0359223677156644	0.00963580354039977	0.0248811177451217	0.00886125951014703	0.0181792857460487	0.0329621576616662	0.0194759588008534	0.0251887151930678	0.0284637342295931	0.0310541872033519	0.0182268148396245	0.016106709648715	0.00453329951848297	0.00616452009237227	0.0269757975937475	0.000965936005654954	0.0161844262807375
OM4_C_1D_3	0.0371066854253161	0.0419649184416311	0.0223941697860708	0.0282458797091809	0.0284597915309892	0.0361123192953635	0.0260154605019106	0.019803642187311	0.0340663313453085	0	0.016012143325183	0.0652297478051372	0.0240827532832177	0.0045767017556598	0.00390761800644838	0.0648135758055997	0.046213717373488	0.00988751928644005	0.0441008030775212	0.027537260527736	0.0188252661176443	0.0113190338268282	0.0071994615181612	0.00875762669610558	0.054609895916112	0.0599554152632131	0.0269064767011958	0.0395255386362526	0.0188352633795946	0.0311346887144235	0.0138325798190164	0.0322184160738081	0.00523819209233771	0.0250959963420988	0.00919853873217862	0.0259983158268312	0.0177505878940131	0.00111509873368227	0.0209608143381532	0.00987591765778736	0.00588567553039325	0.00471317268006418	0.0171604171140939	0.0202693596745334	0.038562200460793	0.0391554482867204	0.00776150777027745	0.0339866137768148	0.0185628708024084
