	OM4_B_B_1	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_1	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_3	OM4_C_1D_3	OM4_C_1E_1	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1G_1	OM4_C_2A_1	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2B_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2D_3	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2F_1	OM4_C_2F_3	OM4_C_2G_1	OM4_C_2G_2	OM4_C_3D_1	OM4_C_3D_2	OM4_C_3E_2	OM4_C_3E_3	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3F_3	OM4_C_3G_2	OM4_C_3G_3	OM4_C_3H_2	OM4_C_3H_3	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4E_1	OM4_H_4E_3	OM4_H_4F_2	OM4_H_4F_3
OM4_B_B_1	0	0.0157417089196401	0.0516450755468907	0.0228534089257147	0.0350493655136436	0.0371283438675183	0.0450779210675632	0.0339422440205034	0.0628547400705491	0.0209425638761805	0.0240019152037695	0.0176415389089873	0.0110282029890979	0.0594822442474961	0.013431048093457	0.0271724038544864	0.0388761270023728	0.0406076584926712	0.035360677245453	0.0335600253108258	0.0423505998852221	0.0246442306766138	0.0464992034341932	0.05109714348949	0.0361429709858515	0.0223382841122019	0.0242603889453866	0.0203027075932225	0.0368122963653914	0.0305345113122735	0.0556728205576792	0.0637751623022005	0.0222805897799844	0.0292629164866209	0.0355323816043567	0.0521424364063009	0.0118812562020981	0.0268081957003509	0.0180489169258273	0.0311108945470324	0.0341713828384868	0.039639732698671
OM4_B_B_2	0.0157417089196401	0	0.0363919851652606	0.00723048594730294	0.0196251737767348	0.0224541097464387	0.0319126271612746	0.0292072646458121	0.0513290735301946	0.0101324349071316	0.013303536485253	0.00445144071040082	0.0107337811789473	0.0454636490212053	0.0103809749719199	0.0223646989964435	0.024314478809176	0.0253897048040016	0.020177166741175	0.0219984253394247	0.0280052501310851	0.0117453676613493	0.0332800627768805	0.0356071319775455	0.0206415026169213	0.0136147733380504	0.00947532934065573	0.00552855041884371	0.0213698746152185	0.0163896982815083	0.04056217121272	0.0482681072063915	0.00695576317609015	0.0178609990458088	0.0220517734568326	0.0371696730796798	0.00688595165325774	0.0149054188335159	0.00855929513464456	0.0169455415018632	0.0218349015395711	0.0247821341228329
OM4_B_B_3	0.0516450755468907	0.0363919851652606	0	0.0303020579151281	0.0167874659491807	0.0149168042364376	0.0145240099980093	0.0380357958770356	0.0278996109883816	0.03203578456427	0.0300733983108951	0.034034913222555	0.0425959421498254	0.0135628327356854	0.0404244461804514	0.0370488482813165	0.0134962062428736	0.0110495505774138	0.0163004709252272	0.0235152392686122	0.0111859310315399	0.0278109925785767	0.0140392838767009	0.00316706941815033	0.0158562681105184	0.0328579722608796	0.0274011443524287	0.0313733802502886	0.0150682756349645	0.0216290629367842	0.00438960903130438	0.0126760589092823	0.0295030770113582	0.0260603504095389	0.0184109538124533	0.00289692894342156	0.0401246239023115	0.0270027609783738	0.0347324601227961	0.0210816279438537	0.0216257084682784	0.0122841750162724
OM4_C_1A_1	0.0228534089257147	0.00723048594730294	0.0303020579151281	0	0.0136559316655313	0.0175441715754696	0.0281337478062637	0.0311997063597493	0.0482435815744589	0.0120775257984328	0.0141482591580102	0.00810974740169863	0.0172981013613848	0.0405394463116935	0.0163094447412356	0.0250327357977023	0.0194433194210777	0.0195680570020856	0.0146329621014073	0.0203885431405023	0.0232141603070959	0.0109652099046027	0.0293942397148955	0.0291841784764892	0.0144665113400777	0.0158165764820712	0.00674441201227236	0.00581975160783319	0.0152922133655984	0.0128300797473191	0.0346001447840511	0.0417340797679602	0.00443214841544	0.0170081883787734	0.0186044202744478	0.0314159537123593	0.0135620926333945	0.0142265851949707	0.0122552473166191	0.0132717919419698	0.0195548759632066	0.0195012313706782
OM4_C_1A_2	0.0350493655136436	0.0196251737767348	0.0167874659491807	0.0136559316655313	0	0.0052758525821412	0.0163623245708928	0.0295517035502321	0.0365255521457391	0.0167534376455964	0.0158520936314574	0.0175668800298777	0.0266919274347703	0.0271157717401679	0.0247469775497353	0.0257756061265582	0.00685432219018601	0.00591286940744915	0.00180606594324736	0.0143758842324057	0.0103408435992022	0.0126082462480364	0.0173653160183839	0.0160615738431762	0.00127509512198092	0.0187492916893255	0.0109524612936707	0.0147679742023432	0.00176524131655043	0.00726783312175193	0.0210179237978519	0.0287566634852405	0.0127882303450177	0.0140317476903327	0.00934091961247803	0.0177677437184617	0.0238204679266607	0.0133006099018193	0.0190746106057167	0.00698545456324442	0.0124700118294848	0.006248659323047
OM4_C_1A_3	0.0371283438675183	0.0224541097464387	0.0149168042364376	0.0175441715754696	0.0052758525821412	0	0.0111736283395351	0.0262086107807739	0.0314248416453049	0.017125173385897	0.0152407159319641	0.0195208264997428	0.0277269226005158	0.0231065656145374	0.0255266373463525	0.0235000608085833	0.00190173286598231	0.00469915067903901	0.00351840973832067	0.0106587751742114	0.00567386159402184	0.0129102493427787	0.0122549481731385	0.0152144412898412	0.00568169668159926	0.0180836926455731	0.0130465763589054	0.0170915581912016	0.0050477093010139	0.00673158805020049	0.0186732987491845	0.0275328453377322	0.0155200455083389	0.0117937991585655	0.00500219237517396	0.0150587309788732	0.0254146331772367	0.0122214067208311	0.0198468171317205	0.00617504230687228	0.00858988598714053	0.00263649290748897
OM4_C_1C_3	0.0450779210675632	0.0319126271612746	0.0145240099980093	0.0281337478062637	0.0163623245708928	0.0111736283395351	0	0.024261433544877	0.0202821608752806	0.024146776028618	0.0212035106605333	0.0282190232022313	0.0345970394294903	0.0148607213797052	0.0321789617081812	0.024710800099346	0.00951271651269375	0.0124886815824226	0.0146713839044413	0.0120839291788689	0.00654891777422607	0.0206340956390722	0.00142531482912286	0.0168763014021933	0.0164899184354714	0.0233859053401366	0.0225575958339998	0.0263864207144289	0.0156789354209725	0.0156091301062019	0.015896073142352	0.0257864392873724	0.0253192059786955	0.0160580819992498	0.00986400426184535	0.0125487149381575	0.033229240685607	0.0182874567738571	0.027043988297552	0.0150840665469417	0.0109990150776502	0.0105014084269199
OM4_C_1D_3	0.0339422440205034	0.0292072646458121	0.0380357958770356	0.0311997063597493	0.0295517035502321	0.0262086107807739	0.024261433544877	0	0.0336770600594031	0.0194608771354847	0.0170573889417348	0.0249336523895967	0.0235642888714113	0.0377130582890873	0.0216318593213234	0.00707111456032327	0.0264186278154509	0.0307221261570964	0.0281063269771481	0.0155522708278464	0.0271429420363136	0.0204879720975691	0.025302122945168	0.03968410466736	0.0306478630051895	0.0157177890279355	0.0248658840437611	0.0257619806309763	0.0304594959665845	0.0226546860473571	0.040068858962424	0.0499653320156566	0.0267697637284209	0.0157853024280182	0.0212377782385453	0.0365504231650352	0.0251785922152492	0.0176745943720212	0.0206590799433198	0.022764657848123	0.0176246694564581	0.0281695384665306
OM4_C_1E_1	0.0628547400705491	0.0513290735301946	0.0278996109883816	0.0482435815744589	0.0365255521457391	0.0314248416453049	0.0202821608752806	0.0336770600594031	0	0.0424111051239634	0.0391345953677571	0.0472793771307209	0.0518974328878051	0.015749248606316	0.0494654610386376	0.0378948053687269	0.029690004053197	0.0319097976133885	0.034890262687564	0.0296084464897692	0.0262764188953027	0.0396440816017932	0.0191780568003444	0.0310645167603849	0.0365142721253072	0.040543663008574	0.0423000198930463	0.0458786825413886	0.0356572866509096	0.0354967292363569	0.0256802101105164	0.0322700545948903	0.0451073574276957	0.0339344098433071	0.0296769058873406	0.0250051658258465	0.051402088948229	0.0367199988905209	0.0451674045438525	0.0350183209132583	0.0295182260064551	0.0304186972499795
OM4_C_1F_1	0.0209425638761805	0.0101324349071316	0.03203578456427	0.0120775257984328	0.0167534376455964	0.017125173385897	0.024146776028618	0.0194608771354847	0.0424111051239634	0	0.00333812584088361	0.00568637928890161	0.0107015434158332	0.0386577822313682	0.00842052619041568	0.013001480556219	0.0186643310832503	0.0213078936713321	0.0163549881385008	0.0128214382659751	0.0218445193639256	0.00425367385340186	0.0255696228115389	0.0321154668797884	0.018019107441999	0.00378204317940768	0.0069361392133443	0.00637163328157518	0.0184015079068759	0.010417250106706	0.0357372600316275	0.0446109582788709	0.007787000464094	0.00848595664407229	0.014718132275117	0.0320655877143044	0.00911767807298084	0.00586964334180872	0.00290118488710655	0.0109587851958808	0.0132520463445292	0.0197553508650125
OM4_C_1F_2	0.0240019152037695	0.013303536485253	0.0300733983108951	0.0141482591580102	0.0158520936314574	0.0152407159319641	0.0212035106605333	0.0170573889417348	0.0391345953677571	0.00333812584088361	0	0.00886182894909775	0.0134003903204375	0.0358775450530655	0.0109922330852313	0.0111939380106048	0.0165831895781678	0.0197060472761529	0.0151152498077505	0.00958913962263747	0.0194726048161308	0.00374178936446109	0.0226283992137943	0.0304365555389823	0.0171239179059703	0.00291077268476707	0.00794421292981188	0.00888807865720952	0.0173536791717728	0.0088356654612004	0.0335749453393902	0.0427277252612787	0.00971636292867043	0.00526634228090356	0.0121359649186068	0.0298598747189957	0.0122989682141565	0.00310384848297148	0.00604124113355392	0.00929507907206916	0.0102169066256884	0.0178658881407627
