	OM5_B_B	OM5_C_4A	OM5_C_4D	OM5_C_4E	OM5_C_4F	OM5_C_4H	OM5_C_5A	OM5_C_5B	OM5_C_5D	OM5_C_5E	OM5_C_5F	OM5_C_5G	OM5_C_5H	OM5_C_6A	OM5_C_6B	OM5_C_6D	OM5_C_6F	OM5_H_2H	OM5_H_6A	OM5_H_6B	OM5_H_6C	OM5_H_6F	OM5_H_6G	OM5_H_6H
OM5_B_B	0	0.019875009113521	0.0180434162634419	0.0214932128482999	0.0326385421367542	0.0208764990992581	0.0222510022882241	0.0190777844177983	0.0216966008199094	0.0201759601270845	0.0303896512093659	0.0275023807449843	0.0271694635539471	0.0233041007399767	0.0216600713407012	0.0250285066195199	0.0176133427559657	0.0229797493900714	0.0178359225566092	0.0269429186256247	0.0251600335452023	0.0292585263637408	0.0232769527198597	0.0276109607542233
OM5_C_4A	0.019875009113521	0	0.0194787238756586	0.0180099015515021	0.029538549140305	0.0202747779620764	0.0245751722325383	0.0208712199544479	0.0183703495038011	0.0223522289887268	0.0216870032197725	0.0216749468177122	0.0198004417744863	0.0223837353960776	0.0162994942270484	0.0238091945033508	0.0178135067222268	0.0189476733438898	0.0159701091436755	0.0219631602644141	0.0189656121668911	0.0233401494813163	0.0159919775774438	0.0208831915604388
OM5_C_4D	0.0180434162634419	0.0194787238756586	0	0.0122810547910499	0.0260259796752914	0.0179362439573854	0.0201350170464761	0.0212239387586582	0.0251324066834113	0.0210109191766212	0.0210621636177694	0.024938682371823	0.0182022505682338	0.018064976130558	0.01537987821773	0.0271978564818524	0.0188242551651416	0.0125010246787835	0.0156616218340244	0.0133768785060962	0.0160282356001433	0.0191635086443026	0.0152556365440156	0.0198122680084833
OM5_C_4E	0.0214932128482999	0.0180099015515021	0.0122810547910499	0	0.0238550159041207	0.0158656918036885	0.0216062288357898	0.0228738382748358	0.0226427351703654	0.0225015674374886	0.0222231700703313	0.0177185940924195	0.0136993853568104	0.0167823024993978	0.0139212134340257	0.0259183349426667	0.0191118524842584	0.0130655648306041	0.0132708019176663	0.0117347089075396	0.0137637951546947	0.0149128606041509	0.0106237941705508	0.0195217458143402
OM5_C_4F	0.0326385421367542	0.029538549140305	0.0260259796752914	0.0238550159041207	0	0.0204505451494876	0.0280622402983198	0.0215115528875855	0.0313566357618778	0.025800788165171	0.0347668301755224	0.0218362740024419	0.0285699902211128	0.0301851213743637	0.0246377749575227	0.034667848775066	0.0298197648180185	0.026267945837271	0.0262256130311748	0.0282282706081328	0.0285307950132048	0.03069960323467	0.0260672076631614	0.0313940437255683
OM5_C_4H	0.0208764990992581	0.0202747779620764	0.0179362439573854	0.0158656918036885	0.0204505451494876	0	0.0163322663172791	0.0155269404461048	0.0242009170988813	0.0186571895897522	0.028121894758409	0.0149350866234944	0.0210219234841993	0.0185224052840378	0.0151297951509052	0.0249931595521293	0.0202777665711649	0.0177786532831694	0.0183767209384947	0.0190461267916711	0.0191710155985087	0.0228969352081513	0.0167514481998151	0.0231594026309379
OM5_C_5A	0.0222510022882241	0.0245751722325383	0.0201350170464761	0.0216062288357898	0.0280622402983198	0.0163322663172791	0	0.0215133441183285	0.0185971354989863	0.0176228691111975	0.0274810223582408	0.0223979434875903	0.0225582445859609	0.0190035799359031	0.0192278769118469	0.0231338305403693	0.0246513495638852	0.0191566224735806	0.023666879880699	0.0204864882792198	0.02191774670891	0.025635444956921	0.0228006023101329	0.0286883672348607
OM5_C_5B	0.0190777844177983	0.0208712199544479	0.0212239387586582	0.0228738382748358	0.0215115528875855	0.0155269404461048	0.0215133441183285	0	0.0234804191228506	0.0210816154885773	0.0297700136725534	0.019525428154878	0.0259953644865569	0.0265042934231405	0.0210500890499176	0.0257672677292522	0.0202950295689917	0.0239758148120477	0.0214561875638053	0.0266811495063358	0.0273115412923264	0.0290929575754093	0.0248098647782	0.0282945681791341
OM5_C_5D	0.0216966008199094	0.0183703495038011	0.0251324066834113	0.0226427351703654	0.0313566357618778	0.0242009170988813	0.0185971354989863	0.0234804191228506	0	0.0199817983026187	0.0238731089336373	0.0235844383661326	0.0204219745203572	0.0264928137046584	0.0207552430038884	0.0225723121803822	0.0233607497779002	0.0198059287618687	0.0192336480262869	0.0228298334971697	0.0238816090469577	0.0241768257723916	0.0220484584808597	0.0264348295061984
OM5_C_5E	0.0201759601270845	0.0223522289887268	0.0210109191766212	0.0225015674374886	0.025800788165171	0.0186571895897522	0.0176228691111975	0.0210816154885773	0.0199817983026187	0	0.0327436750057807	0.0258463303573269	0.0273869383687592	0.0245339917690927	0.0227349795219833	0.0256949622557292	0.0239260413029753	0.0228861883341244	0.0228724011290445	0.0260033486371138	0.0215670501622621	0.0285704625996868	0.0223977913769147	0.028809046291101
