	OM5_B_B_2	OM5_B_B_3	OM5_C_4D_1	OM5_C_4D_2	OM5_C_4E_2	OM5_C_4F_1	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_4H_3	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5E_3	OM5_C_5F_1	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_3	OM5_C_5H_2	OM5_C_6A_1	OM5_C_6A_3	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_2	OM5_C_6D_3	OM5_C_6F_1	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_2	OM5_H_2H_3	OM5_H_6A_2	OM5_H_6A_3	OM5_H_6B_3	OM5_H_6C_2	OM5_H_6C_3	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6G_2	OM5_H_6G_3	OM5_H_6H_2	OM5_H_6H_3
OM5_B_B_2	0	0.0206276918873816	0.0354452139380798	0.0366198359823584	0.0133896777370591	0.0418966774531578	0.0335282826123118	0.0555338818065932	0.029476255752274	0.0437741044322492	0.0320213360721943	0.0793359420349937	0.0544820680455385	0.00194270877718749	0.011622658371338	0.0145936751095539	0.0626714870896533	0.0410890384788977	0.0356697166442722	0.0391040967650607	0.0345292905582803	0.024571469454486	0.0350737328913195	0.0241219372606708	0.0213753496423923	0.0341206396325572	0.0284665360949376	0.027135898140244	0.0213455206578068	0.086688590197573	0.0100623483789181	0.0290575289896853	0.0149880871979207	0.0103727395025918	0.0251510483034136	0.0385379362787103	0.0426293993394627	0.0415537359370512	0.0316308498599178	0.0585081922948176	0.0553528974275024	0.0163650076646743	0.0295520502502534	0.0341369364101452	0.034200380878658	0.0306956469895245	0.0422509527990907	0.0238554165318348	0.0167260129618107
OM5_B_B_3	0.0206276918873816	0	0.0195145355191261	0.019655286382983	0.0159880502048857	0.0249919110867778	0.0196502134396018	0.0373484504087223	0.0147721187135867	0.0246730768746574	0.0526283922400509	0.0998787134240517	0.0377503943615658	0.0187262470037152	0.0106484829702484	0.0209984582623129	0.0466113615660991	0.0267080845194254	0.0157524469127967	0.0194886661375246	0.0192903836306605	0.010107372038087	0.018237492778588	0.0151673443679208	0.0173767708908652	0.0170626907995177	0.0128007226974315	0.0120608544173037	0.0418723762886423	0.107214471091703	0.0304076585635004	0.0156225781905948	0.0103083900401608	0.0207577513672001	0.014699322753504	0.0198886330076637	0.0252124434050529	0.0252169885425334	0.0165361993919307	0.0407061045748095	0.0379852087877188	0.0139876855674111	0.0132301847097136	0.0159539521624859	0.0194628376530299	0.014905320942436	0.0264859232770297	0.00944329161208937	0.0104941428138242
OM5_C_4D_1	0.0354452139380798	0.0195145355191261	0	0.00231275689463742	0.0237967024578099	0.0065218035071215	0.00386509028044108	0.0204169776995547	0.00598119270990602	0.0111782706285363	0.065756563458842	0.112311737828311	0.0190939763352754	0.0339442618905782	0.0239215163962911	0.0268596176284581	0.0275950565314491	0.00737521544081528	0.0106939360483286	0.0101811667809666	0.00146016056556827	0.0110094315275924	0.00205082190099968	0.0127496197835122	0.0174727310251969	0.003012404201884	0.00718337681124486	0.00841109661571839	0.0559989270052589	0.118656041050928	0.0432819603664473	0.00677359175090489	0.0204679364212455	0.0296973344698724	0.0112305603870002	0.00687843536791192	0.00751221228737558	0.00612721350147136	0.00384530651115856	0.0231656581943014	0.0199354370469016	0.020141142572461	0.00638493349376152	0.00547265229707101	0.00235486535133209	0.00487945553199425	0.00707794259973061	0.0117768442075337	0.0187748002872329
OM5_C_4D_2	0.0366198359823584	0.019655286382983	0.00231275689463742	0	0.025401639909365	0.00541998972242699	0.006175039298502	0.0189635171442657	0.00746637482051743	0.00894653418930357	0.0672966394538239	0.113987146279367	0.0182668437713769	0.0350511388362099	0.025022655779206	0.0286930428218632	0.027014721532713	0.00827300932185058	0.00893834135605813	0.00797486325552915	0.00375687441864663	0.0120531868638055	0.00154846936203452	0.0146212121039146	0.0194291872631533	0.0026241036423575	0.00815720122553936	0.00949811020432128	0.0573955007624872	0.120427585075079	0.0447471265746048	0.0085977389435299	0.0217121703755219	0.0313538840236152	0.0130535213226461	0.00459214360001317	0.00601363645845871	0.00557562819255999	0.00552198788836253	0.0219156003629171	0.0188353815469411	0.0217389344968709	0.00710298852090463	0.00425132006303829	0.00466382870374725	0.00597138820229748	0.00698860331066436	0.0127777480017488	0.0200910986878889
OM5_C_4E_2	0.0133896777370591	0.0159880502048857	0.0237967024578099	0.025401639909365	0	0.0303029977454816	0.021212028094612	0.0442035921327186	0.0179395035274218	0.0336103756478584	0.0419933896316652	0.0887094024458903	0.0423751636899296	0.0125953568750565	0.00662411114386244	0.00501455580734321	0.0501560245762072	0.0285126892440018	0.0270212573166801	0.0297801186122062	0.0226504952329152	0.0140164979773374	0.0239192957555204	0.0113883222945129	0.0080075179920131	0.0231865723444178	0.0175672732521445	0.0162056251863914	0.0324254170414427	0.0952755049661247	0.0196102679739837	0.0170524417278154	0.00572802967862975	0.00599424210020852	0.0127052614918657	0.0282998277943251	0.0312799627818046	0.0296989013497515	0.0199805539016726	0.0468677987700922	0.0435371154927304	0.00366380955933185	0.018809960445762	0.0239357575344208	0.0221452513506233	0.0194958120155439	0.0301158146419524	0.0135225537047065	0.00626081307630687
OM5_C_4F_1	0.0418966774531578	0.0249919110867778	0.0065218035071215	0.00541998972242699	0.0303029977454816	0	0.00952920277157933	0.0139157018319072	0.0124860724781764	0.00731707397044315	0.072254953856884	0.118726570349271	0.0128476935773829	0.0403630063206048	0.030332717820303	0.0332407836078877	0.0216327207802056	0.00620654737226876	0.0123842724805489	0.00976927291851058	0.00767933168416073	0.0173659822890845	0.00694430988294806	0.0191556565038373	0.0237602075935174	0.0080415305062324	0.0134745700175532	0.0147793861718506	0.0625086077115843	0.124994064077765	0.0497974975106493	0.0132580208548944	0.0269403448826313	0.0361826594516165	0.0176800463529015	0.00662922942555073	0.0015394298425341	0.00150873861949958	0.0103651683092898	0.0166548206784678	0.0134759217662852	0.0266520050623772	0.0124841831824141	0.00916472251130765	0.00829526963973801	0.0112123447018146	0.00312979639371871	0.0181100669864054	0.0252687903615171
OM5_C_4F_3	0.0335282826123118	0.0196502134396018	0.00386509028044108	0.006175039298502	0.021212028094612	0.00952920277157933	0	0.0233128188870054	0.00488773853391066	0.0149992495264817	0.0631043329679022	0.109398374491155	0.0211733047252024	0.032158482972244	0.0222687498225948	0.023817846343565	0.0291689444643779	0.0076311374401678	0.0138804977509363	0.0138937222721788	0.00242388031907303	0.0100005776120891	0.00551705472207864	0.009855239097181	0.0142835738583868	0.00594749040759725	0.0068738015352871	0.00764074587615388	0.0536087072248999	0.115584903578955	0.0408131122154548	0.00455351163556723	0.01862113946084	0.0269607703762337	0.00851939517371449	0.0107008864356301	0.010794946074697	0.00865080398938145	0.0033094499758348	0.0257594968598654	0.0223731150431941	0.017625580106868	0.00674155724006521	0.00846752544525924	0.00151126552185288	0.00506644929598713	0.00890909243814123	0.0107833903511258	0.0168337089909716
OM5_C_4H_1	0.0555338818065932	0.0373484504087223	0.0204169776995547	0.0189635171442657	0.0442035921327186	0.0139157018319072	0.0233128188870054	0	0.0263318205675641	0.0129449302412864	0.0861215252282928	0.132529991105739	0.00607795017999517	0.0539321123614345	0.0439279318802498	0.0471058853102306	0.0124161255461339	0.0174390118223211	0.0221856908969173	0.0183665315474549	0.0215914765768233	0.0309916902648267	0.020502092776263	0.0330532775438871	0.0375902801105831	0.0214308290494187	0.0271067006684019	0.0284559920350234	0.0763151580471425	0.138726657737011	0.0636505395202985	0.0271703165964584	0.0406665360525044	0.0500867980339432	0.0315899180859979	0.017473164643583	0.0129702481294669	0.0146638325929417	0.0242442762857384	0.00365510333108242	0.00359938553217967	0.0405505602563537	0.0260006779169469	0.0216474879650599	0.0221742967616115	0.024930231352402	0.0147091231643928	0.0316981228332047	0.0390460650757538
OM5_C_4H_2	0.029476255752274	0.0147721187135867	0.00598119270990602	0.00746637482051743	0.0179395035274218	0.0124860724781764	0.00488773853391066	0.0263318205675641	0	0.0160011240745783	0.0598703109361234	0.106561693734951	0.0250331920177499	0.027993018636739	0.0179832460824513	0.0212986436383249	0.033405379316682	0.0122754306494459	0.0118374311535068	0.0131941612007193	0.00510371566336533	0.00523656609226676	0.00600795518610585	0.00736706001881326	0.0122477631233303	0.00542448594748848	0.00210358872203645	0.00276249215236573	0.0500444409718633	0.11302325221712	0.0373464707406327	0.0017910159084117	0.0144928606263697	0.0238901347295645	0.00575934707807347	0.0108465061196464	0.0133700710054563	0.0120836898338697	0.00215827972110121	0.0291374551382498	0.0259151355727448	0.0142761232767843	0.00254556663312076	0.00696761442351617	0.0049553330134342	0.00180235621339556	0.0128565969280836	0.00602433171217196	0.0127942208743074
OM5_C_4H_3	0.0437741044322492	0.0246730768746574	0.0111782706285363	0.00894653418930357	0.0336103756478584	0.00731707397044315	0.0149992495264817	0.0129449302412864	0.0160011240745783	0	0.0751324655617246	0.122051821542605	0.015097212957709	0.0420621927981429	0.0322151047995517	0.0372588084075259	0.0239574231440694	0.0135220137727283	0.00924593940573004	0.00542241176887163	0.0126368754012939	0.0196917267046993	0.0101285634815512	0.0233451732706427	0.0282080700748059	0.0105779023907979	0.0160514553390548	0.0174097354366285	0.0649269188254729	0.128696812269809	0.0525068572815432	0.0173756103156712	0.0292963687618448	0.0396006673599582	0.0217459881750702	0.00532457653651873	0.00586648483398948	0.00882263530553827	0.0143101948546085	0.0165040238455646	0.0144085982851074	0.0299832957139156	0.0148050136511057	0.00974620261190283	0.0135092596658698	0.0142753397295943	0.0103768765423332	0.0202906620817198	0.0278602488360458
