	OM5_B_B_1	OM5_B_B_2	OM5_B_B_3	OM5_C_4A_1	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_1	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4E_3	OM5_C_4F_1	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_4H_3	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5E_2	OM5_C_5E_3	OM5_C_5F_1	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5G_3	OM5_C_5H_1	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6A_2	OM5_C_6A_3	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_2	OM5_C_6D_3	OM5_C_6F_1	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_2	OM5_H_2H_3	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6A_3	OM5_H_6B_1	OM5_H_6B_2	OM5_H_6B_3	OM5_H_6C_2	OM5_H_6C_3	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6G_2	OM5_H_6G_3	OM5_H_6H_1	OM5_H_6H_2	OM5_H_6H_3
OM5_B_B_1	0	0.00937842180437256	0.00505964718774292	0.00841182928378085	0.0166026008308052	0.00553247030826063	0.00690443404502519	0.00963081184841919	0.0149034428594688	0.00804045253822984	0.00551481137388008	0.00959672822231303	0.0408686167919722	0.00931995934552574	0.0147493441218753	0.0106084542765775	0.00334047233025227	0.00776372565301503	0.050289274003799	0.0101962096888705	0.0204859890062053	0.00905692621449401	0.0183167906257351	0.0110362287952329	0.00439162601292627	0.00925842469778661	0.00606750344748664	0.00190386951358204	0.00712835678752242	0.0139977077058845	0.00554803847169387	0.00841559055377798	0.0155236339925054	0.0286084596340475	0.0120058975046917	0.00499607756576809	0.0172752419002532	0.00894356774619351	0.0187570883466039	0.0690955809980611	0.0171333390253021	0.0420930100332517	0.014020313022357	0.00629535796665228	0.0128121299978387	0.0302032509440273	0.0232534055740199	0.0169332252059734	0.0137926833395071	0.00445160929029789	0.0121404113777556	0.075602189508016	0.00915562608803987	0.00461483048503847	0.0149218938753228	0.0147288200129733	0.0194056073253477	0.0175560441919116	0.00864812513482316	0.00956828989118957	0.00837556581877261	0.0193090915232724	0.0212999888342076	0.00202746252528041	0.00432055678672935	0.0111976103976325	0.013908803414194	0.0161749206097417
OM5_B_B_2	0.00937842180437256	0	0.00705046506742839	0.00911291204009198	0.0171833259460436	0.00408278997836098	0.00309830874799665	0.00511256383795072	0.00944614009245111	0.00637690709000561	0.00521173694702795	0.00278289387841798	0.0374786899144472	0.00251607393659037	0.00651629527032875	0.0116777142134289	0.0065782173826831	0.00208701485196883	0.0441715743041044	0.00774703913205936	0.0173624196206542	0.00870793363635461	0.0167600692514181	0.0018442941729941	0.00825025128691798	0.00226429150841323	0.004596759971671	0.00917747956108811	0.00499460032927071	0.00466023605486189	0.00767391429614192	0.00713097100841674	0.013671309938892	0.0237234928549636	0.0123000289228429	0.00453847112571351	0.0154296010986003	0.00250609985763164	0.0238941024036852	0.0655248581199938	0.010869513235713	0.0359697952426131	0.00569474058009229	0.00436294986429816	0.0155212853489929	0.0240213546551539	0.0247555219361231	0.0204868234964717	0.0176787830349064	0.00514914985613134	0.0105804091756929	0.0717516241260484	0.00345495481935256	0.00793330967116876	0.00685237782758007	0.00547788775197169	0.0116203817650815	0.0111653065525928	0.00204472824478419	0.00538464027014761	0.0123932279310047	0.0119474551543447	0.021199963579991	0.0096757834812615	0.00562649295305234	0.00216023420154526	0.00773222921899891	0.0127162620950483
OM5_B_B_3	0.00505964718774292	0.00705046506742839	0	0.011142566030456	0.0124573055840924	0.00520276542160831	0.00395341142153343	0.00499350198682591	0.00995765518285801	0.00948478939815058	0.00651062612049627	0.0087145840770693	0.0360034467791406	0.00571903538507226	0.0106520599933029	0.00629921836563745	0.00226889836644162	0.00652963185864004	0.0452404774306987	0.00513936019333642	0.0155253606805537	0.0113970733190436	0.0135869393684121	0.0081207837521625	0.00771952545697994	0.00817561356053215	0.00245566148633273	0.00355065759777191	0.00794379206326717	0.0109892513205316	0.00828494129962598	0.00335741880362963	0.0106574562337668	0.0235559370218601	0.0149769298693541	0.00326045585647178	0.012458764737679	0.00804939352615705	0.0235649347657454	0.0642627481698067	0.0122500499000573	0.0370476087209363	0.0100395934094558	0.00666203632422428	0.00948023447640364	0.0251791274277817	0.0271017360062539	0.0213108100656786	0.0181835843591641	0.00287349198716412	0.00719814581846148	0.0707318540830304	0.00874469113860139	0.000947492655092018	0.0107279938442667	0.0124003264601946	0.0148619458921447	0.0126849452212778	0.00751618318786216	0.0048482408137445	0.00560648341990761	0.0146243410710961	0.0170495260767075	0.00674105499545557	0.00218423428620806	0.00920668818246504	0.00914779342383574	0.0111337451639306
OM5_C_4A_1	0.00841182928378085	0.00911291204009198	0.011142566030456	0	0.0235813063017794	0.00648634900936619	0.00936398908264688	0.0130614312008907	0.0182414182118862	0.00277704775186183	0.00485102455616349	0.00691031877210083	0.0460834878129222	0.0110374623871613	0.0155758645451383	0.0174341706818926	0.0089590141597595	0.00717217387706868	0.0532750869745637	0.0150655426830123	0.0256296448558958	0.000998045241152539	0.0243085547121068	0.0108038125141548	0.00402036814850914	0.00714534182418402	0.00999996057009177	0.00993596332454758	0.00417089336949018	0.012845130425446	0.00296516951687221	0.0136312283647222	0.0212288657503213	0.0326439688677695	0.00383499856054422	0.00828699661648756	0.0230670195166124	0.0067787062851147	0.0149029167832023	0.0742582514286475	0.0198984027248698	0.0450759881855974	0.0147581614260601	0.00520773504084538	0.0204693587038009	0.0331242937454924	0.0161759225797201	0.0113764856552041	0.00860041719395052	0.00841072921817955	0.0177673143482577	0.0805657666070458	0.00603449963195219	0.0113879643353162	0.0159343240179634	0.0121559670211866	0.0206706437494396	0.0202189834317378	0.00710072833779763	0.0132098527360885	0.0162033502991126	0.021049876454212	0.0281181957711221	0.00675524235919772	0.00902265871857246	0.009360704724119	0.0166492618192254	0.0209529104987186
OM5_C_4A_2	0.0166026008308052	0.0171833259460436	0.0124573055840924	0.0235813063017794	0	0.0173380778742785	0.0149290458373343	0.012119993319232	0.0107689499844815	0.0217102084937845	0.0188388729901566	0.0197669214435921	0.0251831958642725	0.0147163402403925	0.0155877168180594	0.00616014562186545	0.0146982859063477	0.0178573256323443	0.0373257192982757	0.00944441473607209	0.00742996861868452	0.0237751276215958	0.00398508493474769	0.0169974079063879	0.0201207937140116	0.0191864928993499	0.0138203368477308	0.0146991642142423	0.0200846135694057	0.018585311236244	0.0207410413953082	0.0102765501824942	0.00473771478152419	0.0157742533490721	0.0274100868454769	0.0153934756543787	0.0043461618499606	0.019240312830328	0.0352404673103019	0.0531098754519557	0.0121992955465597	0.0296212018342626	0.0156521958822999	0.0187980389819076	0.00456519146355828	0.0193162243054752	0.0395281154318357	0.0335051719257472	0.0303627512052336	0.0151897976292831	0.00667547833161315	0.0597425510683583	0.0201442523516154	0.0123556756245407	0.0152875340255514	0.0208173496295405	0.0160363880600011	0.0125134038282955	0.0186523613946932	0.0118282476076486	0.00853401360557033	0.0150251270462091	0.00470331454183078	0.0186004579090542	0.0145613651153266	0.0190033388256112	0.0120539571037929	0.00727063207554412
OM5_C_4A_3	0.00553247030826063	0.00408278997836098	0.00520276542160831	0.00648634900936619	0.0173380778742785	0	0.00293420278425219	0.00665365672481829	0.011997837546594	0.00437363398723773	0.00165528288287566	0.00413298330858178	0.0396485614799782	0.00500819532594624	0.0102648281421153	0.011271384232806	0.00354901975100294	0.00224331411330247	0.0474184464496692	0.00858123214745829	0.0191592667503973	0.00650419126225802	0.0178452553619694	0.00589194198521786	0.00437140127715666	0.00374510719579306	0.00355561287577725	0.00582037816890528	0.00276672775896275	0.00873256590734153	0.00414897534124874	0.00719594147905657	0.0147550908126737	0.0263830539029183	0.0102209707641395	0.00197271186774505	0.0165925173025831	0.0034570312677608	0.0205415480957256	0.0678622169663265	0.0138630631998235	0.0391927661708403	0.00946142512602172	0.00147347762901935	0.0146658866720602	0.0271992589623223	0.0226603375234211	0.0175588752733105	0.0145639140586682	0.0023456532766245	0.0113091824576698	0.0742081538464709	0.00385141039115773	0.00576591266308196	0.0105374692980089	0.00923291808675374	0.0152840783598464	0.0142257333639673	0.003119417383736	0.00677469850325728	0.0107557062649633	0.0154458065585127	0.0217786066867205	0.00560140510490005	0.00304808992119546	0.0056973936508291	0.0105387891759831	0.0144920184477091
OM5_C_4D_1	0.00690443404502519	0.00309830874799665	0.00395341142153343	0.00936398908264688	0.0149290458373343	0.00293420278425219	0	0.00372035387627301	0.00908434145117674	0.00701805902968114	0.00458391971831715	0.00501481353107772	0.0367349902761763	0.00243431650662721	0.00788948640142367	0.00907448919146325	0.00374262449378751	0.00294677571401701	0.0445717203648997	0.00580222506898057	0.016269379926992	0.00928489047855198	0.0151020702739778	0.00434163172436339	0.00715351874499508	0.0044415816805502	0.00150534065967929	0.00633285181134987	0.0053692706120617	0.0073071909496292	0.00707140334599114	0.00465287500421708	0.0119926211424038	0.0234549386986549	0.013020979179355	0.00194034244052937	0.0138212854554987	0.00440814726750013	0.0234260441884364	0.064943414163225	0.0110152932930704	0.0363435757959076	0.00713774049163755	0.00417251130314553	0.0127718854129895	0.0243505097210947	0.0255128625928561	0.0204925093171227	0.0174920935046751	0.00245285692984662	0.00861508730996284	0.0712842199301159	0.00525554358020646	0.00483663222688875	0.00809486237114065	0.00850560629030738	0.0127274114039221	0.011392896867466	0.00382869836185921	0.00385023621019804	0.00937950038561572	0.0127788039864555	0.0192207026437305	0.00770299420766535	0.00272280362580051	0.00525335299785662	0.00768273960097859	0.0115900181077009
OM5_C_4D_2	0.00963081184841919	0.00511256383795072	0.00499350198682591	0.0130614312008907	0.012119993319232	0.00665365672481829	0.00372035387627301	0	0.00545281428772791	0.0106185917811528	0.00830418839970641	0.00781798551819078	0.0330315931833097	0.00260741773491632	0.00579807600126026	0.00698838992080917	0.00630411883395006	0.00620999202299969	0.0410134393047481	0.00268611247882319	0.0126075009948511	0.0129303439771771	0.0116992181283795	0.00494995030442267	0.0107762143725146	0.00725271325990132	0.00367577900339241	0.00844653455979241	0.00899089663690724	0.0071301426194737	0.0107792028786811	0.00274265114481281	0.00859348909528448	0.0197557469979322	0.016661106229942	0.00529554193276345	0.0103807635921804	0.00738222388869708	0.0270787689567951	0.061234840510247	0.00755114811178961	0.0327867946962967	0.0052937561406135	0.00785497787258806	0.0109312292584532	0.0208100505927945	0.0291740211391762	0.0242095321394358	0.0211995914568002	0.00556425332727814	0.00547728257367225	0.0675727172918651	0.00833614857262233	0.00587276559905102	0.00581671007943544	0.009099164841536	0.00988074882008091	0.00796092913179487	0.00681132279123549	0.000313719732009324	0.00868795444177182	0.00969871028735946	0.0160888258294731	0.0108822508702389	0.00540267510356826	0.00688820417491365	0.00428040271793269	0.00791795532659757
OM5_C_4D_3	0.0149034428594688	0.00944614009245111	0.00995765518285801	0.0182414182118862	0.0107689499844815	0.011997837546594	0.00908434145117674	0.00545281428772791	0	0.0156426231379734	0.0136223622075096	0.0121911902735131	0.0280374841827263	0.0072145775915121	0.00509166436762371	0.00840420075187715	0.0116398138272496	0.0111214169552145	0.0355656001312801	0.0050560058873584	0.00818782183969871	0.017991213163952	0.00860800402141243	0.00829753082620797	0.0162114576509382	0.0117041434418483	0.00911104142449402	0.0135078406828807	0.0140847228483191	0.00867131813808914	0.0161461607500049	0.00672455968692004	0.00609422690449656	0.0144109985107633	0.0216692712117432	0.010747198875964	0.00732579850440822	0.0119494776863212	0.0325032907583445	0.0561226218053292	0.00236753015674551	0.0273386825100197	0.00540913527246527	0.0130669686138065	0.0117615890072714	0.0153688634574616	0.0341667939807154	0.0295221096692456	0.026555713152743	0.0110094149751686	0.00530336696048184	0.0623903854686438	0.0129008483128201	0.0106782235096997	0.00472000719621208	0.0109904171580128	0.00586266665991628	0.00281675827689329	0.0114527622874262	0.00542883405564734	0.0115588003215134	0.00518489376049311	0.0134658962536281	0.0162847092374366	0.0108018690734675	0.0104281615674702	0.00179982533420088	0.00397276106894015
OM5_C_4E_1	0.00804045253822984	0.00637690709000561	0.00948478939815058	0.00277704775186183	0.0217102084937845	0.00437363398723773	0.00701805902968114	0.0106185917811528	0.0156426231379734	0	0.00299784900065793	0.004145036155716	0.0435927761159958	0.00843042976030533	0.0128082989791815	0.0156395329763895	0.00752334844368182	0.00452167606424814	0.0505289630603386	0.0128155290361942	0.0232245116600418	0.00235014365651087	0.0221132433411811	0.00803585476928359	0.00416836813747459	0.0043683801324993	0.0079074441195242	0.00914718565243431	0.00165114026961011	0.0100916323292158	0.00290427043021594	0.0115312714584292	0.0190070116026801	0.03001912676157	0.00605047023974293	0.00633318920286568	0.0208372911970593	0.00400346820290465	0.0176750279303861	0.0717236500432846	0.0172165382247857	0.0423349521377294	0.0119920410846085	0.00291623613233104	0.0189624408838562	0.0303954987932449	0.0185718784614984	0.0141214935196218	0.0113769381724017	0.00661767015375823	0.0156032069375583	0.0779964576899133	0.0032694461352772	0.00992403410200733	0.0131711182479238	0.00953082402043379	0.0178991395241418	0.0175251653637085	0.00434574792252248	0.0107974212606888	0.0149043953661374	0.0182923291251324	0.0261331022220171	0.00692235668472987	0.00730063289726885	0.00659943938501925	0.0140052897768258	0.0185355324551999
