	OM5_B_B_1	OM5_B_B_2	OM5_B_B_3	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4E_2	OM5_C_4H_1	OM5_C_4H_2	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5E_1	OM5_C_5E_2	OM5_C_5G_1	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6D_2	OM5_C_6D_3	OM5_H_6A_1	OM5_H_6A_2
OM5_B_B_1	0	0.0120889696574266	0.0228325962542876	0.0233315100545576	0.0120264230490614	0.00992861473370576	0.0393170755444902	0.0132339945325596	0.0143656960928048	0.0264622182568148	0.0450136235789432	0.0220615987854091	0.0102090301144298	0.0188047972629495	0.0279055229317052	0.024808604306424	0.0258778582353774	0.0102464203382636	0.0323040978257601	0.0064962107950485	0.040335821278793	0.00794234816551933	0.0050288827688608
OM5_B_B_2	0.0120889696574266	0	0.0330591261968578	0.0330649015230064	0.00157168503204278	0.0202262947035392	0.0484524571904886	0.0223855376344285	0.0262144787161952	0.0358569365336412	0.0557667510031017	0.0285018832152661	0.0212312657599162	0.00749547020671245	0.0378258711188244	0.0337421660546798	0.0335428037459258	0.0143604366679751	0.0428056633402091	0.0185399900843879	0.048449513144302	0.00505720450977368	0.0142056328624178
OM5_B_B_3	0.0228325962542876	0.0330591261968578	0	0.00201724203960113	0.0322518088112014	0.0130438721563885	0.016867251489121	0.0107830796491285	0.0113526624303734	0.0047231860133451	0.0227749930728001	0.0119328103080307	0.0126664782873142	0.0405007287580098	0.00513771298725964	0.00515767964460599	0.00928797317473076	0.0199673264079892	0.00976458993486309	0.0176033018475337	0.0190752570686721	0.0303182735620278	0.0189952575365754
OM5_C_4A_2	0.0233315100545576	0.0330649015230064	0.00201724203960113	0	0.0321758855001804	0.0134191108144886	0.0160247224632618	0.0106839241493742	0.0128134135540793	0.00327283676833638	0.023089329231415	0.0102530858770382	0.0133311916661652	0.0405424833711123	0.00477001750934443	0.00315199263201241	0.00727547925574762	0.0195512298045837	0.0101353784237082	0.0184821738430115	0.0177495021834241	0.0305987716316875	0.0192044662017047
OM5_C_4A_3	0.0120264230490614	0.00157168503204278	0.0322518088112014	0.0321758855001804	0	0.0195639049747075	0.0474173986139078	0.0215162742705595	0.0258683921922242	0.0349022316151411	0.0549962838802963	0.0272670713690887	0.020685966450358	0.00857934455668095	0.0369429049500817	0.0327356573284266	0.0323903770997184	0.0131843576732054	0.0420097922773088	0.0183621147668595	0.047289532156225	0.00581559454167493	0.0135888623856693
OM5_C_4E_2	0.00992861473370576	0.0202262947035392	0.0130438721563885	0.0134191108144886	0.0195639049747075	0	0.0293943429144948	0.00376534972141309	0.00782656931977953	0.0165357751159667	0.0356054404821676	0.0135544523773454	0.0019618365172897	0.0275915157198562	0.0180473892261582	0.0149276239074642	0.0163951781472777	0.00911188712121311	0.0227002975685568	0.00630440604861085	0.030513960579925	0.0172777675125891	0.00602741443522027
OM5_C_4H_1	0.0393170755444902	0.0484524571904886	0.016867251489121	0.0160247224632618	0.0474173986139078	0.0293943429144948	0	0.0263596752041348	0.0279804807694133	0.0128620742444165	0.0129850810310167	0.0211627015923934	0.0293487829983864	0.0559322422506235	0.0117704389511371	0.0147405500553257	0.015537091096504	0.034332582887969	0.0101266626043185	0.0344337233756054	0.00533907372344981	0.0463982899738441	0.0350165929921079
OM5_C_4H_2	0.0132339945325596	0.0223855376344285	0.0107830796491285	0.0106839241493742	0.0215162742705595	0.00376534972141309	0.0263596752041348	0	0.00957561829791972	0.0135662764166514	0.0335511467406239	0.0098294488889623	0.00505875392296388	0.0298642907845064	0.0154461543625467	0.0116736030655624	0.0127313022808333	0.00933741293409383	0.0205378604207063	0.0100549481504984	0.0271199626410005	0.0200501202061887	0.00866900423509528
OM5_C_5A_1	0.0143656960928048	0.0262144787161952	0.0113526624303734	0.0128134135540793	0.0258683921922242	0.00782656931977953	0.0279804807694133	0.00957561829791972	0	0.0159986283289355	0.0313603997541324	0.0181195018880483	0.00595079721080818	0.0331571987226468	0.0162498748628179	0.0155628908382001	0.0186912505257547	0.0169007225565547	0.0193152732885149	0.00796082473322217	0.0304244905497297	0.0223051368894411	0.0126333253466092
OM5_C_5A_2	0.0264622182568148	0.0358569365336412	0.0047231860133451	0.00327283676833638	0.0349022316151411	0.0165357751159667	0.0128620742444165	0.0135662764166514	0.0159986283289355	0	0.0209582647076151	0.0108637537870445	0.016552043208153	0.0433462940649057	0.00286586829718565	0.00258436083658219	0.00629191623688411	0.0220301910559066	0.00846767323733359	0.021738737610192	0.0144864920190483	0.0335944682486958	0.0221961643061815
