	OM5_C_4A_2	OM5_C_4E_2	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5G_2	OM5_C_6A_1	OM5_C_6B_2	OM5_C_6B_3	OM5_C_6D_3	OM5_C_6F_2	OM5_H_2H_2	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6B_2	OM5_H_6C_1	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6G_1	OM5_H_6H_2
OM5_C_4A_2	0	0.0318714920505197	0.0214207029022302	0.0126809016399783	0.00582693772243214	0.0103169061077402	0.0191168602358429	0.00932782803221521	0.0441535494791177	0.0546281243820502	0.0552819121788445	0.016732384641924	0.00886602229668458	0.0138225757533596	0.0105441467931135	0.0282128501842978	0.0308326147861042	0.0304386867691309	0.0351314947509315	0.0228025104422804	0.00470580152449939	0.00954647265500316
OM5_C_4E_2	0.0318714920505197	0	0.0106672917659458	0.019741185174461	0.0298173322790007	0.038104012105403	0.0507098753413792	0.0403352633731729	0.0759675600071839	0.0231270643210914	0.0234404988568641	0.047519079533057	0.0377949923095769	0.0453910292335153	0.0234211273908586	0.00787444693110002	0.00527266894735891	0.00622897298176881	0.00642885448917641	0.0126530655527588	0.0294287628258811	0.0273657410270316
OM5_C_5A_2	0.0214207029022302	0.0106672917659458	0	0.00907805968753572	0.0191547091464848	0.0274818027129647	0.0401024586885091	0.0296960760633689	0.0654730135192324	0.0332295878947506	0.0339527156622843	0.0368625719388398	0.0271387075002789	0.0347876463579875	0.0128001484822157	0.00774998323318195	0.00965824017875822	0.00947602602809753	0.0152901788171338	0.0056274771103852	0.0187731448913857	0.018355017718111
OM5_C_5A_3	0.0126809016399783	0.019741185174461	0.00907805968753572	0	0.0101056905729437	0.0185329671597709	0.0310601966861064	0.0206303394081526	0.0565184814111445	0.0421074791236884	0.0429859172935193	0.027792020982248	0.0180995439979256	0.0257533449042752	0.00410175189093968	0.0155345387033765	0.0182003178439621	0.0177742826033275	0.0239400422628433	0.0102607116066594	0.00969775422288791	0.0125632906346609
OM5_C_5B_2	0.00582693772243214	0.0298173322790007	0.0191547091464848	0.0101056905729437	0	0.00852909237516911	0.0212567046795325	0.010785671603907	0.0468811437710373	0.0518559632563005	0.0529323758151447	0.01774119639292	0.00799469524390797	0.0160352655378844	0.00655617289412012	0.0249618040392803	0.027893706523635	0.0273494697975802	0.0339761842812105	0.0191775072943787	0.00140834432756598	0.0133360121519857
OM5_C_5B_3	0.0103169061077402	0.038104012105403	0.0274818027129647	0.0185329671597709	0.00852909237516911	0	0.0143954143938758	0.00546480083623613	0.0398176926090306	0.0596543696059611	0.0609666338883581	0.0100908540025696	0.00177729498055196	0.00992200247962666	0.0146907978242038	0.0327139641015452	0.035795864269599	0.0351671330247653	0.0424543916559945	0.0268037408027331	0.00936472727402458	0.0198359541537569
OM5_C_5D_1	0.0191168602358429	0.0507098753413792	0.0401024586885091	0.0310601966861064	0.0212567046795325	0.0143954143938758	0	0.0104767078014436	0.0256621608599629	0.0730466435843869	0.0739960792549715	0.00479967591360583	0.0138201642944532	0.0053290344226231	0.0278064138556193	0.0462060311589748	0.0491093567237233	0.0485844136773702	0.054216749825751	0.0404135135329439	0.021395111196753	0.0269811933201455
OM5_C_5G_2	0.00932782803221521	0.0403352633731729	0.0296960760633689	0.0206303394081526	0.010785671603907	0.00546480083623613	0.0104767078014436	0	0.0361062499135601	0.0625962895041706	0.0635832176656269	0.0074283556775587	0.00406283330465946	0.00527282852456162	0.0173332096122976	0.0357395539745204	0.0386444650054499	0.0381173193768479	0.0440658352889466	0.0299571011262801	0.0109403481444293	0.0183944473868696
OM5_C_6A_1	0.0441535494791177	0.0759675600071839	0.0654730135192324	0.0565184814111445	0.0468811437710373	0.0398176926090306	0.0256621608599629	0.0361062499135601	0	0.0985077059269378	0.0993001039519131	0.0297393294328971	0.0394254827378796	0.0308630733771435	0.0534114657827697	0.0717851811424573	0.074634890267594	0.0741387884517513	0.0790047441095503	0.0660284467829897	0.0469436941231975	0.0504730917702197
OM5_C_6B_2	0.0546281243820502	0.0231270643210914	0.0332295878947506	0.0421074791236884	0.0518559632563005	0.0596543696059611	0.0730466435843869	0.0625962895041706	0.0985077059269378	0	0.00442426610425236	0.06948696296312	0.0596404289787239	0.067780276973251	0.0453083318809276	0.026971817819241	0.0239802674729302	0.0245388653495519	0.0226246039596942	0.0328768436361528	0.0516993723789505	0.0504585395048156
