	OM5_B_B_1	OM5_B_B_3	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_2	OM5_C_6D_3	OM5_C_6F_1	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_1	OM5_H_2H_2	OM5_H_2H_3	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6B_2	OM5_H_6C_1	OM5_H_6C_2	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6H_1	OM5_H_6H_2
OM5_B_B_1	0	0.0130671960514565	0.0160366569757129	0.0137705156855338	0.0106238595162955	0.000754423333623336	0.00717663589977331	0.000476008194338555	0.00638233682172655	0.00305598932353137	0.010067030861257	0.000817130929137027	0.00670224669275621	0.00845354069757156	0.0057398536973495	0.0136748316152194	0.00290723148096979	0.00236083814105757	0.00271192408234924	0.0029341881214284	0.00936333209472339	0.0163951040777343	0.00468000172490017	0.0186840425158153	0.000934156751160279	0.00372753901418959	0.00681806257868628	0.00965396163017607	0.00204263497459009	0.00615596038189034	0.0200533164879984	0.00830990337412722	0.00564348950523607	0.0100205017503337	0.00219998373753307	0.00405021752141141	0.0051120307792267	0.0233849741079005	0.00429868830275281	0.00529179537936676	0.0172918084100045	0.00945628151916549	0.00633017627587408	0.00322426902452754	0.0188728663413102	0.00599192658234983	0.00186206200994231	0.00155624332683543	0.0184280879361396	0.009572922280019	0.0098333227990348	0.00564184957238317
OM5_B_B_3	0.0130671960514565	0	0.0291017367043078	0.000703363708641951	0.00244345460500343	0.0123128149119923	0.0202431726312408	0.0135431749670187	0.0194489694841615	0.0100113457386854	0.0231331703128462	0.0122501105913217	0.0197688414051944	0.0046138326985078	0.00732753352185791	0.0267403691383813	0.0159742166726169	0.0154278688084937	0.0103553995629271	0.0160011709994767	0.00370402167331645	0.0294601099207388	0.00838737271514633	0.00561732443178905	0.0140012934033196	0.0167944508532198	0.00624932716557033	0.00341338428008029	0.0110246633837587	0.0192226193389175	0.0331175018673226	0.0213762933497283	0.0187102062739128	0.0230866481959098	0.0108673209313173	0.0171170988355531	0.00795535010226059	0.0103188778671273	0.00876867904327974	0.00777558768274384	0.00422494498759228	0.0225225112163225	0.0193968150381156	0.00984307123027479	0.0319373296900472	0.0190586043027227	0.014929131827862	0.0115110341039919	0.00536134180261418	0.0226391350028079	0.0228994971824002	0.0187085665222316
OM5_C_4A_2	0.0160366569757129	0.0291017367043078	0	0.0298048884129966	0.0266589406118601	0.0167910098689247	0.00886037455577497	0.0155606899672999	0.00965466270026967	0.0190923218149173	0.00596996017946745	0.0168537113242243	0.00933475807647189	0.0244890459701892	0.0217758154447085	0.00236200488835887	0.0131296377165711	0.0136759983463961	0.0187482983004803	0.0131026826039299	0.025398665950483	0.00035847976785922	0.0207161194651476	0.0347170878115846	0.0151025786697363	0.0123093730563141	0.0228538527869646	0.0256892387816214	0.0180790865853492	0.00988103473953624	0.0040171072379014	0.00772711053772034	0.0103934935491112	0.00601649033840745	0.0182364176018267	0.0119867093627097	0.0211480864428811	0.0394164963743055	0.0203348591049528	0.0213278246006995	0.0333252572503315	0.0065807213627617	0.00970682228268625	0.0192605806276095	0.00283650689767336	0.010045064994356	0.0141747417184941	0.0175927480519344	0.0344612090491783	0.00646407866080388	0.00620367326258137	0.0103951334386746
OM5_C_4A_3	0.0137705156855338	0.000703363708641951	0.0298048884129966	0	0.00314681642689546	0.0130161393610726	0.0209464325882351	0.0142464914201589	0.0201522372807544	0.0107146831606402	0.0238363991509202	0.0129534354281106	0.0204721060812686	0.00531719038979113	0.0080308828034565	0.027443553433192	0.016677515155725	0.0161311715812248	0.0110587352099769	0.0167044692671909	0.00440738137711634	0.0301632564470773	0.00909071773405247	0.00491396750659111	0.0147046066905075	0.0174977426230971	0.00695268021999171	0.0041167445412992	0.0117279954125635	0.0199258893135792	0.0338205919357254	0.0220795415900024	0.0194134810870978	0.02378987756712	0.0115706538304373	0.0178203878748389	0.00865869692508878	0.00961553856525622	0.00947202239422419	0.00847893522928561	0.00352158493436173	0.0232257469685743	0.020100083338783	0.0105464094992837	0.0326404386867767	0.019761875840031	0.0156324383893297	0.0122143633661005	0.00465798423074366	0.023342369448608	0.0236027286876669	0.0194118413506981
OM5_C_4D_2	0.0106238595162955	0.00244345460500343	0.0266589406118601	0.00314681642689546	0	0.00986946367187367	0.0178000241864432	0.0110998482064682	0.0170057959316176	0.00756795560151492	0.0206901222377525	0.0098067581723655	0.0173256778366309	0.00217038662144868	0.00488410938157408	0.0242974661553612	0.0135309458243287	0.0129845845222121	0.00791201466923925	0.0135579008272458	0.00126057104528245	0.0270173308739268	0.00594396054113005	0.00806074040492511	0.0115579764133167	0.0143512011287841	0.0038058928102837	0.000969932495145255	0.00858128926528489	0.0167794388260451	0.030674909185152	0.0189331825746193	0.0162670103245309	0.0206435983932397	0.0084239442112741	0.0146738577326609	0.00551193282003628	0.0127622200107776	0.00632527164118147	0.00533216836843212	0.00666837556183658	0.0200794407559545	0.0169536398741184	0.00739967860172943	0.0294946744024588	0.0166154188005189	0.012485835716143	0.00906766829299616	0.00780476070886985	0.0201960687688674	0.0204564404669369	0.0162653705241732
OM5_C_4D_3	0.000754423333623336	0.0123128149119923	0.0167910098689247	0.0130161393610726	0.00986946367187367	0	0.00793104433587366	0.001230431374449	0.0071367482328565	0.00230156783245	0.0108214256870764	6.27076085482469e-05	0.00745665694535331	0.00769913442318853	0.00498543786191452	0.0144292033251593	0.00366165202745049	0.00311525954901645	0.00195750213931852	0.00368860862138553	0.00860892989126777	0.0171494538604268	0.00392558320469608	0.017929707098846	0.00168857967164829	0.00448195797397632	0.00606365007926647	0.00889956081881821	0.00128821233024948	0.00691037258046789	0.020807630686846	0.00906430699447339	0.00639790338746319	0.0107748968298366	0.00144556123693752	0.00480463576052238	0.00435761328226657	0.0226306897539483	0.00354426896074833	0.00453737833704503	0.0165374601098825	0.0102106795848368	0.0070845878708152	0.00246984777699604	0.0196271927866694	0.00674633933478969	0.00261648406787617	0.000801820320031743	0.0176737500739548	0.0103273197420047	0.010587718887634	0.00639626345977312
OM5_C_4E_1	0.00717663589977331	0.0202431726312408	0.00886037455577497	0.0209464325882351	0.0178000241864432	0.00793104433587366	0	0.00670063564631765	0.000794311694791632	0.0102325473516723	0.0028904673658555	0.00799375056540609	0.00047439711962451	0.0156298474163774	0.0129163049352952	0.00649841680175375	0.0042694353154987	0.00481582606052662	0.00988849320312685	0.00424247876457436	0.0165395821318812	0.0092188441753217	0.0118564994264724	0.0258594733989654	0.00624249366633256	0.00344912888715278	0.0139944607970166	0.0168301926892021	0.0092192239827504	0.00102069115549074	0.0128773229316928	0.00113329090957003	0.00153316792875207	0.00284393676025692	0.00937656827094693	0.00312644989659257	0.0122885102173193	0.0305598266426532	0.0114752013503913	0.0124682669438369	0.0244673892887144	0.00227969926143901	0.000846472959169917	0.0104008214123966	0.0116967795657123	0.00118472698460479	0.00531459852500089	0.00873284538684633	0.0256035471243917	0.00239634346218437	0.00265675190491759	0.00153480787839689
OM5_C_4E_2	0.000476008194338555	0.0135431749670187	0.0155606899672999	0.0142464914201589	0.0110998482064682	0.001230431374449	0.00670063564631765	0	0.00590633485261726	0.00353199573390061	0.00959103860787421	0.00129313894875303	0.00622624538960268	0.00892953640963525	0.00621585599363065	0.0131988532139443	0.00243122445431793	0.00188483068193514	0.00318793084778287	0.00245818111864086	0.00983932505330897	0.0159191389591303	0.00515600593058419	0.0191599914418598	0.000458148627570773	0.00325153282189962	0.00729406255090472	0.0101299536513593	0.00251864231866241	0.00567995796194589	0.0195773730786655	0.00783390592888651	0.00516748612718367	0.00954450934634186	0.00267599095885364	0.00357421171821492	0.00558803425145845	0.023860889861642	0.00477469310447655	0.00576779852822552	0.0177677657473876	0.00898028734568809	0.00585417420138524	0.00370027524694912	0.0183969154445337	0.00551592384629439	0.00138605424214446	0.00203225099848949	0.018904038456963	0.00909692846374146	0.00935732979637534	0.00516584619139654
OM5_C_4F_2	0.00638233682172655	0.0194489694841615	0.00965466270026967	0.0201522372807544	0.0170057959316176	0.0071367482328565	0.000794311694791632	0.00590633485261726	0	0.0094382622640315	0.00368477612804541	0.00719945472377032	0.000319914617027081	0.014835599627756	0.0121220363836872	0.00729271544918442	0.00347512770699922	0.00402151969980145	0.00909420628303564	0.00344817109880049	0.015745342214837	0.010013130457389	0.0110622238698656	0.0250653405043334	0.00544819133930643	0.00265481971426197	0.0132002000080776	0.0160359553831131	0.00842493368516013	0.000226379524470247	0.0136715861607321	0.00192760200277671	0.000738856545954253	0.00363824560609133	0.00858227874518742	0.00233214020984625	0.0114942374413193	0.0297657659981321	0.0106809234251924	0.011673995355176	0.0236732373509343	0.00307400902661452	5.21612782192348e-05	0.00960653724478625	0.0124910510389569	0.00039041541744692	0.00452029344695258	0.00793855278975249	0.0248094106481266	0.00319065305166891	0.00345106107516186	0.000740496496667094
OM5_C_4F_3	0.00305598932353137	0.0100113457386854	0.0190923218149173	0.0107146831606402	0.00756795560151492	0.00230156783245	0.0102325473516723	0.00353199573390061	0.0094382622640315	0	0.0131228801251103	0.00223886033571957	0.00975816666106813	0.00539759983240095	0.00268388072919867	0.0167305784378666	0.0059632024143162	0.00541681389840591	0.000344066231524386	0.00599015880041106	0.00630740549854909	0.0194507554427983	0.00162402046970902	0.0156283637097413	0.00399014211990647	0.00678350151691106	0.00376210049093916	0.00659803996342414	0.00101335654569334	0.00921188956675539	0.0231088147926382	0.0113657925517758	0.00869942676142644	0.0130763521553814	0.000856007584652748	0.00710617631691499	0.00205605261391922	0.0203294906858302	0.00124270464988276	0.00223581861660525	0.0142360808131682	0.0125121453976808	0.00938610259015276	0.000168280277113289	0.0219284171309478	0.00904785841127003	0.00491804161823587	0.00149974847353153	0.0153723998493376	0.0126287834284386	0.0128891777485824	0.00869778685350869
