	OM5_B_B_1	OM5_B_B_2	OM5_B_B_3	OM5_C_4A_1	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_1	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4E_3	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_4H_3	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5E_2	OM5_C_5E_3	OM5_C_5F_1	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5G_3	OM5_C_5H_1	OM5_C_5H_2	OM5_C_6A_2	OM5_C_6D_1	OM5_C_6D_2	OM5_C_6D_3	OM5_C_6F_1	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_2	OM5_H_2H_3	OM5_H_6A_2	OM5_H_6A_3	OM5_H_6B_1	OM5_H_6B_2	OM5_H_6B_3	OM5_H_6C_2	OM5_H_6C_3	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6G_3	OM5_H_6H_1	OM5_H_6H_2	OM5_H_6H_3
OM5_B_B_1	0	0.00919513797882028	0.00570978758403223	0.016538759783129	0.0141016472189642	0.0113824497597229	0.0156505263876155	0.0136508392777931	0.00864872111142646	0.0181974341492887	0.0155235847132343	0.00190798748156724	0.0136179115012543	0.0125214558703066	0.0140965514999385	0.0169044685016283	0.0120165248674562	0.0123876878323137	0.0205439753769989	0.0170133887110957	0.00956938890388712	0.0136272113326425	0.013465218085893	0.0109744439841895	0.0112238854293013	0.0159604563488477	0.0148474809573508	0.00903215844989776	0.00854693968252856	0.0138349586829017	0.00984332807215707	0.0126299806788403	0.0105338986853151	0.018564099039609	0.00699480567703637	0.0217497649011717	0.00800686775652091	0.00969576338305756	0.00954352646851069	0.0182522753387285	0.0166200314004226	0.0140154639745611	0.00298352895268474	0.010446240530194	0.0130822170640459	0.0300184764203195	0.0189178347460962	0.0285962773111889	0.0125492820216155	0.0116813440125704	0.0191046014555535	0.00674923863169959	0.0185456276386004	0.016923255704134	0.00745650300619242	0.012037665228563	0.0224859901251555	0.0279696741127586	0.0105892264337617	0.0155971016127432
OM5_B_B_2	0.00919513797882028	0	0.0108732608334969	0.00808924847253989	0.0211662300321619	0.0070907275590935	0.0094277305398153	0.00678505455511289	0.010987917226709	0.0100979370134739	0.0087990054863728	0.00852241044376232	0.00777226757663657	0.00332876987183693	0.00618444303708386	0.0106358002419371	0.00384048760917994	0.00991347067603396	0.0252904703377403	0.0142904897367854	0.0116474380780522	0.00547783118952904	0.0164464548340909	0.00810949441605388	0.00272477571260522	0.00940867968847366	0.0102446226228703	0.00187663877587393	0.00235765638760366	0.00747885904893127	0.0116955714413534	0.0147592905586127	0.00490851455550836	0.0102450667762436	0.00227458635583493	0.0135079816239816	0.00369197619994557	0.0106104382963822	0.0129796004713729	0.0218770050599155	0.0106624829912402	0.00489709820411273	0.00621314784763844	0.00569134379476516	0.00646881558205276	0.0251719829909852	0.0139907143792113	0.0227194140881318	0.00664869066611192	0.0140520689502415	0.0113493257916086	0.00244614493732329	0.0102540280908417	0.0084334671760566	0.0037847506002458	0.00675883244767252	0.0159636022121416	0.0229746794178009	0.00623564033009077	0.0124325047745832
OM5_B_B_3	0.00570978758403223	0.0108732608334969	0	0.0189582763648571	0.0102959933638474	0.0156236525535723	0.0194195712437618	0.0170198737724894	0.00344145659511598	0.0209290829886292	0.0190479166823434	0.00410042877429995	0.0174494691817413	0.0137554212065374	0.0168950510434146	0.0206978922924121	0.0145638079455734	0.00867328943709916	0.01530604539804	0.0220518902889446	0.00425294610859114	0.0162512420447895	0.00775602490943231	0.0156410520410395	0.0117053303046438	0.0195863784911363	0.0192274657552973	0.011673109703223	0.00904818187503861	0.0174563513218959	0.00456623792320312	0.00699917460750059	0.0141662207085833	0.0211103021641383	0.00875279228443441	0.0243745698897955	0.0115773625230668	0.0151617550898546	0.00385228131568258	0.0126654999035242	0.0205445871333283	0.0147824403603098	0.00653669027401462	0.00882870260520423	0.0165389465313764	0.0346382378429807	0.0233309111859172	0.0327768702939684	0.0108421446793501	0.00605155693048089	0.0176235514528336	0.00890110826584784	0.0211165440749625	0.0193052025006125	0.00742659871240203	0.0101014781161359	0.0262777651573256	0.0325131755514296	0.014716964010882	0.0116205875145842
OM5_C_4A_1	0.016538759783129	0.00808924847253989	0.0189582763648571	0	0.0292453670729191	0.00746531105698079	0.00496817561456126	0.00400501854854381	0.0188962554209136	0.00215767024614372	0.00399225372051178	0.0162987604647454	0.0053943346959725	0.00575499106711908	0.00259239719017463	0.00535020090569792	0.00453911619413206	0.0165317345674022	0.0331481780620939	0.0118486852661129	0.0194669393368919	0.00291812847606122	0.0241675938908784	0.00902479251496321	0.00812682312364193	0.00442140660548908	0.00753157259198274	0.00755624460800063	0.010148164440441	0.00464371601164819	0.0194693953545918	0.0223755543204284	0.00660500936042495	0.00215902795213442	0.0102442024364852	0.00541908102341052	0.00867132587208663	0.0131229478295196	0.020930746850582	0.0295577782846409	0.00583023660461585	0.0058961231410801	0.0136683996627752	0.0124363799795414	0.00453660622919858	0.0188955442093885	0.00918058244162566	0.0157509982689069	0.0121186308429275	0.0217670725493001	0.0123964365393582	0.010201075089685	0.00217417999238771	0.000391759102679936	0.0117508864956014	0.0126827343717843	0.00895791128558422	0.0167204339118546	0.00752797055463285	0.0181362336369991
OM5_C_4A_2	0.0141016472189642	0.0211662300321619	0.0102959933638474	0.0292453670729191	0	0.0253418133162216	0.029411004886939	0.0271340239183091	0.0113333265631333	0.0311962353048129	0.0291296678489968	0.0134308084672202	0.027397873057684	0.0240130209308404	0.027135304582847	0.0306873533635866	0.0248216000176791	0.0165879825767231	0.00850788277513998	0.0310608992646306	0.0112648744598923	0.0265111879996355	0.00907213255720207	0.0250574401470768	0.0218842534887506	0.0296358809550112	0.0288807207665545	0.0218830980817917	0.0193051539954551	0.0274903572375337	0.0114617768532527	0.0105101236075992	0.0241569595740066	0.0313939293307038	0.019019516268788	0.0346576715818032	0.0215400857209135	0.0235223339628307	0.00944076049245412	0.00903098787116834	0.0304729197708611	0.0249449331379304	0.0162119499642305	0.0184751216596269	0.026621155014186	0.0441104593861752	0.0329741732609616	0.0426005054552501	0.0202017857852578	0.0102581478308972	0.02657279232111	0.0191253510884434	0.0313985436681749	0.0295944784047766	0.017673818034737	0.0194017404317022	0.0362936309870854	0.0420579722603798	0.0244898323441	0.0184376195813886
OM5_C_4A_3	0.0113824497597229	0.0070907275590935	0.0156236525535723	0.00746531105698079	0.0253418133162216	0	0.00443782174775103	0.00347049990551013	0.0169062058733541	0.00818689993362165	0.00462163028152314	0.0119313631073163	0.00251560971712818	0.00808060611559311	0.00506382894967291	0.00562074486810557	0.00495511516494627	0.0169193240692938	0.0308674574961012	0.00721310192659586	0.017716747588941	0.00524898746331257	0.022496200922464	0.00159074155800924	0.00933382914008694	0.0048800320871981	0.00360598688606286	0.00524226656096264	0.0092745940517308	0.0030588861098841	0.0178421023327367	0.0210108122480072	0.00221680179634156	0.00881475914741238	0.00782930858018057	0.0115020151462401	0.00419494142983695	0.00565791803813863	0.0186762460334631	0.0278561128093544	0.005270707279644	0.00959514355483909	0.0091780594719647	0.012760947583522	0.00293072820015334	0.0190274915380323	0.0077090881124817	0.0172686876743856	0.0136727370953341	0.0201916956984534	0.0171546156106727	0.00738290570673031	0.00875625439701241	0.0078224143523892	0.0102594733486804	0.0138387715027709	0.0111304143655876	0.016894271371764	0.000938876260404366	0.0195214303553517
OM5_C_4D_1	0.0156505263876155	0.0094277305398153	0.0194195712437618	0.00496817561456126	0.029411004886939	0.00443782174775103	0	0.00266026013961474	0.0202206645699943	0.00457213775729358	0.0009970486652543	0.0159941247544762	0.0020329979932862	0.00874983204008518	0.00399076953310607	0.00127950786309357	0.00581310356084637	0.0191729953303218	0.0344421561854724	0.00688088553757753	0.0209493147856722	0.00471044209685298	0.0257680501556938	0.00555088689967669	0.0107842694028081	0.00062560031365441	0.00267719417709952	0.00796821178030022	0.0117848592207942	0.00198663988036786	0.0210263250181914	0.0241375521595792	0.00526424862014151	0.0053270224537516	0.0109515381491869	0.00739202068334964	0.00787858573541522	0.00950574591222977	0.0221263832587515	0.0311910260629024	0.0012452891302882	0.00969276845052347	0.0132092975921148	0.0149014264005088	0.002975043902138	0.0157485392881043	0.00476243059976892	0.0134109563129589	0.0152290642847361	0.0233938963558705	0.0169546443593926	0.0106518043865192	0.00524333245393921	0.00517548265765447	0.0131308740097574	0.0156084285573728	0.00688657982782622	0.0135492387428713	0.00509517139210822	0.0213343257711809
OM5_C_4D_2	0.0136508392777931	0.00678505455511289	0.0170198737724894	0.00400501854854381	0.0271340239183091	0.00347049990551013	0.00266026013961474	0	0.0176530556449346	0.00484072414012514	0.00204632362666884	0.0137860381556392	0.00161399674679439	0.00622013459971129	0.00182973839738775	0.0038510217227232	0.00316780608783149	0.0165152976787762	0.0319142825511315	0.00874918768395487	0.0183617361551179	0.00234612415162687	0.023177337875542	0.00502023066698336	0.00815741159377462	0.00263343144705891	0.00425522494475641	0.00541530134184908	0.00913960461937325	0.000916004554874139	0.0184292729061117	0.0215240978556561	0.00313021254967244	0.00541000639057805	0.00841196125852597	0.00830592959280338	0.00566896414786309	0.00912566837322157	0.0195866567256448	0.0286054129584373	0.00390483703630951	0.00734429881780486	0.0110174700714827	0.0122432699275338	0.00060357798698302	0.0184032726756699	0.00736587940799082	0.0159689626655774	0.0126178977779009	0.0207945211382777	0.0148148189458574	0.00815789350921345	0.00535944407252461	0.00435577093834445	0.0105173573473379	0.0129748374041193	0.00929192735956027	0.0162023776780201	0.00364935087604122	0.0187110970412345
OM5_C_4D_3	0.00864872111142646	0.010987917226709	0.00344145659511598	0.0188962554209136	0.0113333265631333	0.0169062058733541	0.0202206645699943	0.0176530556449346	0	0.0209886683449695	0.01969622925491	0.00679650396421448	0.0183695659860401	0.0132888421692901	0.0171700964446694	0.0214738848475836	0.0148279590552067	0.00567228132927072	0.014304926627936	0.0237744368538147	0.000928565022066129	0.0164528566734057	0.00559176622756863	0.0172264432500735	0.0109913929469944	0.0202835635691291	0.0204720301965764	0.0122544894125314	0.008761314832704	0.0182350408161913	0.00119522128454943	0.00421367295655157	0.0151310124505948	0.0210451556898328	0.00927371970019435	0.0242627895868825	0.0127144973905287	0.017460644608389	0.00205891420651664	0.0109861031902447	0.0214176304955166	0.01395318607014	0.00851256799963042	0.00720150299031859	0.0172530386190449	0.0358225464509282	0.0244972684107704	0.0336138896158063	0.00886959501532303	0.0033238803184295	0.0153525710106536	0.00961399182969089	0.0210669008471853	0.0192049124397076	0.00720609399721925	0.00806979653975775	0.0269167869874755	0.033651587055252	0.0159690843519084	0.0083624337222274
OM5_C_4E_1	0.0181974341492887	0.0100979370134739	0.0209290829886292	0.00215767024614372	0.0311962353048129	0.00818689993362165	0.00457213775729358	0.00484072414012514	0.0209886683449695	0	0.00381436093474538	0.0180990353255974	0.00577382288464282	0.00790876050268552	0.0041174523128585	0.00441139196004815	0.00638036438146774	0.0186880210244509	0.0352590178663467	0.0111626155515624	0.0215768264676716	0.00469044241690975	0.0262953000857667	0.00962634148689513	0.0102786695759795	0.00394680895968626	0.007242978741516	0.0093649832165401	0.0122297221923995	0.00513346342704964	0.0215860648330305	0.0245123554048957	0.00786989888295898	0.000771160853890553	0.0121819252570177	0.00355317287807364	0.0102128532960346	0.0137361892484099	0.0230142627763534	0.0316925743542431	0.00500391159607984	0.0080136704463734	0.0154053264451881	0.0145914354091306	0.00544289425934061	0.0169185170425806	0.00789803877238018	0.0136599987869282	0.0142627265147005	0.0238935983719844	0.0141344134560881	0.0120877114338177	0.000680593990368656	0.00194852045005463	0.0138146622005993	0.0148350549268653	0.00692447853343131	0.0147656135603711	0.00848131216303932	0.0202571735942723
OM5_C_4E_2	0.0155235847132343	0.0087990054863728	0.0190479166823434	0.00399225372051178	0.0291296678489968	0.00462163028152314	0.0009970486652543	0.00204632362666884	0.01969622925491	0.00381436093474538	0	0.0157496992491733	0.00210696451514526	0.0078819884359742	0.00307841959101527	0.00188316488195016	0.0050704277235659	0.0184295466911811	0.0339593741636307	0.00786498700031908	0.0204004667689342	0.0038246496665673	0.0252141032055188	0.00592742964103331	0.00998454229276688	0.000632698830834733	0.00356674624535902	0.00746152220853185	0.0111461465796552	0.00169360220050705	0.0204649515462429	0.0235514816141173	0.00500777744579692	0.00454008571986337	0.0104581437879234	0.00691107476878706	0.00761146946459095	0.00999320526355627	0.0216322696577272	0.0306427817154407	0.00210483521156082	0.00875530563886464	0.0129705132518175	0.0141638394804962	0.00251221965834959	0.0164469854981294	0.00566113265425189	0.013931198174772	0.0144025410587557	0.022828727202339	0.0159714899218211	0.010200117606697	0.0044630060302425	0.00421668587918059	0.0125493844118147	0.0148088596493663	0.00724748719428417	0.0142425000333622	0.00512767801566691	0.0205157825423325
OM5_C_4E_3	0.00190798748156724	0.00852241044376232	0.00410042877429995	0.0162987604647454	0.0134308084672202	0.0119313631073163	0.0159941247544762	0.0137860381556392	0.00679650396421448	0.0180990353255974	0.0157496992491733	0	0.0139748158136257	0.0117792152699744	0.0139841598255648	0.0172687787602886	0.0117659022985288	0.0105250365933542	0.0192921480984049	0.018065037973549	0.00772260703590586	0.0134349614674743	0.0118040458616034	0.0117661343507082	0.0102021018198264	0.0162379137566536	0.0154997433583801	0.00874997520469687	0.00743555112221602	0.0140911810603646	0.00798732798340186	0.0108547062162126	0.0107523468734191	0.0183933164565092	0.00624854509401092	0.0216325133635635	0.00813929700356797	0.0110627842294127	0.00783886345342881	0.0167633833717756	0.017046591616306	0.0131449051575748	0.00278516366829152	0.00886077635699326	0.0132516617612767	0.0308449045531058	0.0196072079219732	0.0291928982171772	0.0109918056330885	0.00991047748381969	0.0176762278783697	0.00615284295374916	0.0183846272050607	0.0166722525874278	0.00612566642395743	0.0104250715686968	0.0228777795817264	0.0287517719264519	0.0110668741535501	0.0137279684573907
OM5_C_4F_2	0.0136179115012543	0.00777226757663657	0.0174494691817413	0.0053943346959725	0.027397873057684	0.00251560971712818	0.0020329979932862	0.00161399674679439	0.0183695659860401	0.00577382288464282	0.00210696451514526	0.0139748158136257	0	0.00767989019666926	0.00343927082213975	0.00329738420930419	0.00450528248981378	0.0176508769243365	0.0325394500097833	0.00717116024335874	0.0191228949930738	0.0039453637821159	0.0239401853095089	0.00385791838657627	0.00946174075787018	0.00239195772578724	0.00270193596442069	0.00616511148512022	0.0101174467953207	0.000760621182975928	0.0192139089787208	0.0223492422047553	0.0032857773257308	0.00644642317571993	0.00910157072011473	0.00900505707539752	0.00588151141252582	0.00796263387441725	0.0202429600941149	0.0293520109742507	0.00309570050200157	0.0088989468686054	0.0111904942144983	0.013389239452634	0.00147846407921839	0.0174809731041082	0.00622196542488282	0.0153381295618941	0.0139306712976448	0.0215818259817943	0.0164049584839396	0.00876307749743591	0.00637980713827469	0.00570889458729516	0.0113702801015591	0.0142344231312139	0.00890559341204939	0.01529777449776	0.00308087893515549	0.0199813348317251
OM5_C_4F_3	0.0125214558703066	0.00332876987183693	0.0137554212065374	0.00575499106711908	0.0240130209308404	0.00808060611559311	0.00874983204008518	0.00622013459971129	0.0132888421692901	0.00790876050268552	0.0078819884359742	0.0117792152699744	0.00767989019666926	0	0.0048155398502473	0.00974978267331217	0.0032196689328563	0.0108244191793995	0.0274662287151076	0.0148034702539478	0.0138053981392358	0.00405787073102544	0.018453151410767	0.00948304747770303	0.00237329638907994	0.00851133607938819	0.0103795902765748	0.00418086680712466	0.00471028622893158	0.00711244690835311	0.0137887893371861	0.0166426047937736	0.00597853271353176	0.00784852979175486	0.00555569443640765	0.0110079796163215	0.00616041416807848	0.0127883313368658	0.0153419168433078	0.0238263005155197	0.00996813025373725	0.00172112800739908	0.00954079855921167	0.0066834973584181	0.00620155416055283	0.0241897463232286	0.0135119858009172	0.0213141863480449	0.00656032984299722	0.0160574674130675	0.00909948080234439	0.00577412932671889	0.00788171895007852	0.00601827218789571	0.00634077978621666	0.00703753588590549	0.0144759048529228	0.0219878344371635	0.00747202877855311	0.0126716660659059
OM5_C_4H_1	0.0140965514999385	0.00618444303708386	0.0168950510434146	0.00259239719017463	0.027135304582847	0.00506382894967291	0.00399076953310607	0.00182973839738775	0.0171700964446694	0.0041174523128585	0.00307841959101527	0.0139841598255648	0.00343927082213975	0.0048155398502473	0	0.004935649879204	0.00235139970644861	0.0154854806135755	0.0314709154052342	0.0105141329600849	0.0178160286126078	0.000771763963653613	0.0225978750336241	0.00665240802355611	0.00698828558897155	0.00370304503897862	0.00601974306644467	0.00526406797548791	0.00845134910826347	0.00270822089369642	0.0178531021027692	0.0208748677210782	0.00401371012475576	0.00447412620361037	0.00814635974075281	0.00766358892303453	0.00614543146833782	0.0106852303560809	0.0191627869516612	0.0280234708852501	0.00517913533475318	0.00570557335393569	0.0112888816989768	0.0112432501157568	0.00219128101075087	0.0194115611520561	0.00873485338527747	0.0166794432858853	0.0113605371437329	0.0201978748638048	0.0130677849204434	0.0080123009471254	0.00445217516692818	0.00298170472130648	0.00996485400671658	0.0117958771915919	0.00986280940117261	0.0172070830618092	0.00500575537036489	0.0174757296523026
OM5_C_4H_2	0.0169044685016283	0.0106358002419371	0.0206978922924121	0.00535020090569792	0.0306873533635866	0.00562074486810557	0.00127950786309357	0.0038510217227232	0.0214738848475836	0.00441139196004815	0.00188316488195016	0.0172687787602886	0.00329738420930419	0.00974978267331217	0.004935649879204	0	0.00694573521116121	0.0203093399788789	0.035706718177427	0.00675148240232611	0.0221950252327872	0.00569296392835556	0.0270125778667709	0.00660028706932653	0.0118673601346904	0.00125105892729608	0.00316714470573719	0.00922080377929641	0.0129894874606573	0.00325301573980115	0.0222676992152557	0.0253698324164774	0.00654363472788053	0.0051813148472596	0.0122101328842326	0.00670632758087409	0.00915740700873839	0.0104099688063205	0.0233878193845763	0.032437795179032	0.000619908877680346	0.0105590546608454	0.0144841471087306	0.0160422304978051	0.00422169945270953	0.0145718165722154	0.00388553473844645	0.0121475817806669	0.0162808950789791	0.0246342048523279	0.0176342243411244	0.0119191476626573	0.00508870909202047	0.005474042840811	0.0143624694658888	0.0166912165231359	0.00561022268812474	0.0123681359194682	0.00632831721159956	0.0223948460142027
OM5_C_4H_3	0.0120165248674562	0.00384048760917994	0.0145638079455734	0.00453911619413206	0.0248216000176791	0.00495511516494627	0.00581310356084637	0.00316780608783149	0.0148279590552067	0.00638036438146774	0.0050704277235659	0.0117659022985288	0.00450528248981378	0.0032196689328563	0.00235139970644861	0.00694573521116121	0	0.0133673361350168	0.0291291295954163	0.0115893249981279	0.0154841829778001	0.00169038481407128	0.0202761353518327	0.00644338731655796	0.00499350315078591	0.00569744891052451	0.00719120101077512	0.00301795565520369	0.00613754207156863	0.00400429652253277	0.0155274327703615	0.0185701202527739	0.00303633192984831	0.00663122604847689	0.00581142720744409	0.0098830237974272	0.00431170808948487	0.010079211087375	0.0168154935444154	0.0257048693805115	0.00705765559510215	0.00464452423758811	0.00913073665996489	0.00909786021738718	0.00303816506138068	0.0215157594136679	0.0105330452094037	0.0189288628487441	0.00945983927781768	0.0178786553115715	0.012214627248082	0.00570810595025796	0.0066252940818346	0.00491809232410231	0.00762473432280803	0.00980745552925222	0.0121441283811586	0.0193117453827456	0.00446844094447943	0.0155458256866745
OM5_C_5A_2	0.0123876878323137	0.00991347067603396	0.00867328943709916	0.0165317345674022	0.0165879825767231	0.0169193240692938	0.0191729953303218	0.0165152976787762	0.00567228132927072	0.0186880210244509	0.0184295466911811	0.0105250365933542	0.0176508769243365	0.0108244191793995	0.0154854806135755	0.0203093399788789	0.0133673361350168	0	0.0175848921707969	0.0241285433941912	0.00541853530489767	0.0147143115391923	0.00866932179853316	0.0177286362323592	0.00851130017715589	0.0190593803086721	0.020157219800134	0.0116934084915038	0.00764592963156125	0.0172910019835194	0.0051757468309333	0.00676319412252025	0.0147913220541473	0.0185445220210107	0.00930260672792421	0.0215419215391949	0.0129798456804684	0.0192141739299227	0.00721324249724085	0.0136285751072593	0.0204180701135489	0.0108031455192387	0.0108874208320494	0.00427250847870468	0.0162838170122435	0.0348690428005789	0.0238420780659249	0.0321211594828049	0.00458409739786475	0.00657694509727048	0.010041509706558	0.00984569126033552	0.018589454714674	0.0167587269745126	0.00686164004336915	0.00389567597566388	0.0252850304537736	0.0326648293668181	0.0160190786857269	0.00321382079333572
