	OM5_B_B_1	OM5_B_B_2	OM5_B_B_3	OM5_C_4A_1	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_1	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4E_3	OM5_C_4F_1	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_4H_3	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5E_2	OM5_C_5E_3	OM5_C_5F_1	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5G_3	OM5_C_5H_1	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6A_2	OM5_C_6A_3	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_2	OM5_C_6D_3	OM5_C_6F_1	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_2	OM5_H_2H_3	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6A_3	OM5_H_6B_1	OM5_H_6B_2	OM5_H_6B_3	OM5_H_6C_2	OM5_H_6C_3	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6G_2	OM5_H_6G_3	OM5_H_6H_1	OM5_H_6H_2	OM5_H_6H_3
OM5_B_B_1	0	0.00194386490331131	0.00823111806066681	0.00270748693601772	0.0186788942458552	0.00710658854088725	0.00521781557093937	0.00724923446486572	0.0109196054930938	0.0119781521425931	0.00466289384008988	0.0113225430802238	0.0054811161044596	0.00750436450246884	0.00664707199495901	0.00309592423265247	0.00140449759529079	0.00908822374365595	0.0022463725736283	0.00189333333545224	0.00991191091989591	0.00148119588699907	0.016579406015248	0.00729020147502504	0.00809106492709794	0.00943338849756792	0.0148413184586689	0.0165350560077559	0.0110251659130176	0.00205924313523669	0.00332429522204772	0.0150862099853339	0.0130978021909998	0.00319105153612474	0.0044039103722599	0.00331107148528175	0.0125022513709134	0.0028740507109201	0.0177316730632912	0.00514584947274066	0.00449020806927655	0.000719349600231484	0.00209914476583389	0.00607377033527765	0.00999464547163063	0.00633288335896573	0.0040961758549713	0.00531848975762096	0.00070671575873109	0.00898016594488714	0.000991517004208176	0.003824689191851	0.00509251831163181	0.00779165057314745	0.00228241051076166	0.00853658876411379	0.00449092003831386	0.00970460400513941	0.0163729648811403	0.00267016981505903	0.00107915082549384	0.000896055249531154	0.00394276670497917	0.00578040603100215	0.00581376665042224	0.0119489870181939	0.0111228354790931	0.00503137228355097	0.00838612245626069	0.011069582941376
OM5_B_B_2	0.00194386490331131	0	0.00628728865494145	0.000763623448561436	0.020622496794827	0.00905040951482916	0.00327396237489688	0.00530539593460331	0.0128633745520818	0.0139219032887184	0.00271903762428352	0.00937875108389363	0.00353726448923078	0.00556052821541173	0.00470322852552377	0.00503977846787213	0.000539367826665755	0.00714440338877596	0.000302508135598849	5.05316343255658e-05	0.00796810021753072	0.00342505732011335	0.0185230616567299	0.0053463632989461	0.00614723413865797	0.00748957207364715	0.0128975851180308	0.0184787127065225	0.0129689332539289	0.000115378394427356	0.00138043346190527	0.0131424813653161	0.0111540376445319	0.00513490523631733	0.00634775616859164	0.00136720968265651	0.0105584771298054	0.00481790614611321	0.0157880007465154	0.00320199586115989	0.00254635100001592	0.00266321319274533	0.00404300386485801	0.00801760196917335	0.00805083579053872	0.0082767124549236	0.00215231699169698	0.00337463715474012	0.00265057938037042	0.0070363443931509	0.000952348545507621	0.00188082921644228	0.00314866439674773	0.00584781691935112	0.000338546136533969	0.00659276246794708	0.0025470629724689	0.0116483917504725	0.0144292624326725	0.0046140262936759	0.000864714716660612	0.0010478102963788	0.00588661574280366	0.0038365563283893	0.003869917168627	0.0138927386782144	0.00917904066747543	0.00308751802575223	0.00644229461234336	0.00912578738836729
OM5_B_B_3	0.00823111806066681	0.00628728865494145	0	0.00552367457192653	0.0269085605841649	0.015337390838922	0.00301334820221153	0.000981904303326002	0.0191501183797504	0.0202085698677515	0.00356827258620953	0.00309152698209699	0.00275004578306052	0.000726769425831606	0.00158407669193989	0.0113269405895292	0.00682664830922598	0.000857128357631028	0.00598478453861997	0.00633781957741259	0.00168084136718979	0.00971227220617012	0.024809335430455	0.000940936541609603	0.000140056431208749	0.0012023034544937	0.00661048650223187	0.0247649907083595	0.0192556695987552	0.00617191184118767	0.00490687023578791	0.0068553935486252	0.00486686991925744	0.0114220638905167	0.0126348671148846	0.00492009391104344	0.00427128891943335	0.0111050762000243	0.00950104676548274	0.00308531474555499	0.00374095881728016	0.00895044897486581	0.0103301999180587	0.0143046366242951	0.0017635787328621	0.0145637341714568	0.00413499143255527	0.00291267334219991	0.00893781548741124	0.000749067464043881	0.00723962189964079	0.00440647784683721	0.00313864621715197	0.000439477450855234	0.00594874698951711	0.000305478292810637	0.00374024684669948	0.0179352181861272	0.00814223578393668	0.0109012034450538	0.00715198964652547	0.00733508189530624	0.012173745592496	0.00245075322319853	0.00241739227796803	0.0201794074514082	0.00289181110587355	0.00319979258083312	0.000155008178484404	0.00283855640100554
OM5_C_4A_1	0.00270748693601772	0.000763623448561436	0.00552367457192653	0	0.0213860021689435	0.00981400911482553	0.00251034114069799	0.00454177898220949	0.0136269509820663	0.0146854719114475	0.00195541560798139	0.00861514944565975	0.00277364368431287	0.00479691195844031	0.00393961007134299	0.00580339405482451	0.00130299108609729	0.00638079223711481	0.000461115350462617	0.000814155070831527	0.00720449225796089	0.00418867691073398	0.0192865894141593	0.00458274645582352	0.00538361961447593	0.00672596221485437	0.0121340039605187	0.01924224091155	0.0137325089321546	0.000648245074046978	0.000616810242737693	0.012378901884022	0.0103904454972343	0.00589852054376973	0.0071113674878368	0.000603586456366029	0.00979488160764532	0.00558152236603731	0.0150244414583283	0.00243837451622968	0.00178272877424011	0.00342683418658898	0.0048066220884687	0.00878120650884939	0.00728722817192101	0.00904031580891352	0.00138869434813297	0.00261101608029184	0.00341420039487962	0.00627273285000732	0.00171597155429661	0.00111720633383519	0.00238504297149646	0.00508420148757437	0.000425077350783494	0.00582914938405442	0.00178344074759316	0.0124119764055664	0.0136656922961771	0.00537764307199549	0.00162833778624524	0.00181143323415924	0.00665022867126467	0.0030729360568236	0.00310629695949661	0.0146563075240468	0.00841543806869045	0.00232389651023659	0.00567868102999048	0.00836218453709949
OM5_C_4A_2	0.0186788942458552	0.020622496794827	0.0269085605841649	0.0213860021689435	0	0.0115728428805317	0.0238958931820422	0.0259268971037511	0.00775984176709092	0.00670126586293945	0.023341075340142	0.0299992092766462	0.0241591430014352	0.0261819711724029	0.0253248633229665	0.0155832853954403	0.020083207262683	0.0277654637036739	0.0209249591688531	0.0205719726759748	0.0285889470547767	0.0171978649415559	0.00209971518175689	0.0259678551847722	0.0267685396264655	0.0281105441381437	0.0335169467981331	0.00214406936534648	0.00765427908581615	0.0207378578924965	0.022002710621156	0.0337617599709811	0.0317739653287519	0.0154881657916248	0.0142753947308774	0.0219894890772694	0.031178587932619	0.015805140497576	0.0364063257224435	0.0238239407860598	0.0231684210701101	0.0179596291452539	0.0165799770471811	0.0126056240972429	0.0286716606370685	0.01234652166434	0.0227744592621981	0.0239965480859162	0.0179722615612967	0.0276574319780274	0.0196702836365816	0.0225030199182505	0.0237706197350318	0.026469193190331	0.0209609916295121	0.0272139602088271	0.0231691329100739	0.00897485881625421	0.0350480900510564	0.016009003898554	0.0197579055574279	0.0195748347305544	0.0147365072957634	0.0244583741712668	0.0244917281681141	0.00673043198910368	0.0297995556512084	0.0237094852523712	0.0270635290666088	0.0297463174169608
OM5_C_4A_3	0.00710658854088725	0.00905040951482916	0.015337390838922	0.00981400911482553	0.0115728428805317	0	0.01232424340126	0.0143555627825285	0.00381312059697579	0.00487170882189927	0.0117693452489411	0.0184286092715866	0.01258753220628	0.0146106788554844	0.0137534319738357	0.00401069527361343	0.00851105629163269	0.01619444407232	0.00935290864787197	0.0089998793283588	0.0170180773557707	0.00562541344164834	0.00947320794062785	0.0143965275724203	0.0151973459240696	0.0165395866588544	0.0219470907696562	0.00942885506906341	0.00391868491335746	0.00916578454463779	0.0104307971476698	0.0221919595109658	0.0202037279446708	0.00391556816382041	0.00270270784188201	0.0104175738651105	0.0196082260131212	0.00423256816809381	0.0248371570560971	0.0122522804481451	0.0115966665001262	0.00638725040586621	0.0050074699951994	0.00103283383861239	0.0171008063052397	0.000773717391737199	0.0112026497482213	0.0124249131446058	0.00639988406828357	0.0160863930898937	0.00809808550051947	0.0109311732853495	0.0121989516009489	0.0148979488093901	0.00938894553736932	0.0156428432738361	0.0115973784405161	0.00259807824275148	0.0234785896876773	0.00443644827103841	0.00818571731361725	0.00800262588976485	0.00316385293830695	0.0128868083783078	0.0129201674366945	0.00484254247755785	0.0182289164726542	0.0121378082082858	0.0154923860232755	0.018175667847976
OM5_C_4D_1	0.00521781557093937	0.00327396237489688	0.00301334820221153	0.00251034114069799	0.0238958931820422	0.01232424340126	0	0.00203144602671772	0.0161370980501318	0.0171955902474208	0.000554926494694667	0.00610485502389035	0.000263303191221034	0.00228658054927595	0.00142927392509346	0.0083136925232342	0.00381332782651159	0.00387047301876734	0.00297145527748722	0.00332449381426174	0.00469418114505227	0.00669899322260166	0.0217965600859334	0.00207241374085129	0.00287329220049089	0.0042156462459226	0.00962376666769438	0.0217522131831248	0.0162426532230848	0.00315858440121887	0.00189353193301001	0.00986866939187689	0.00788017712986989	0.00840881781766038	0.00962164813450301	0.00190675570423468	0.00728460387198644	0.00809182355862527	0.012514267683716	7.19667795295565e-05	0.000727613516233535	0.00593715732045837	0.00731693211472117	0.0112914600276542	0.00477691794000955	0.011550564678841	0.00112164817314093	0.000100675172368099	0.00592452363326934	0.00376241265796864	0.00422630627326283	0.00139313618627114	0.000125298433844161	0.00257387195822785	0.00293541738618605	0.00331882541303934	0.00072690154220787	0.0149221540330929	0.0111554867953911	0.00788794669135838	0.00413867295938986	0.00432176744301449	0.00916051594498024	0.000562596449067181	0.000595957460498983	0.017166426677935	0.00590514106818313	0.000186445014476208	0.00316835585672072	0.00585188686098832
OM5_C_4D_2	0.00724923446486572	0.00530539593460331	0.000981904303326002	0.00454177898220949	0.0259268971037511	0.0143555627825285	0.00203144602671772	0	0.0181683344308728	0.019226799930314	0.00258637149032143	0.00407342689916158	0.00176814317008415	0.000255134942083103	0.000602172720227209	0.0103450769130791	0.00584475785880307	0.00183903211238971	0.00500289063330764	0.00535592706119461	0.00266274411238682	0.00873039731552588	0.0238276352986269	4.09677747185017e-05	0.000841847913286517	0.00218420684371503	0.00759237330316877	0.023783289834708	0.0182738870127029	0.0051900186614185	0.00392497262313857	0.00783727911405167	0.00584876430192216	0.0104402009307609	0.0116530138392295	0.00393819633901577	0.00525318540434238	0.0101232108761685	0.010482916300931	0.00210341269806167	0.00275905810095431	0.00796856941761095	0.00934832910670267	0.0133227983377464	0.00274548135046734	0.013581898382575	0.00315309165971351	0.00193077099377209	0.00795593585615202	0.00173097131606637	0.00625773332321301	0.00342457878671901	0.00215674426679781	0.000542426935342568	0.00496685294725528	0.0012873824593257	0.00275834612877847	0.0169534191006126	0.00912411416626016	0.00991933663729923	0.00617010066259136	0.00635319376886407	0.0111918885155038	0.00146885017145627	0.00143548918107625	0.0191976371176568	0.00387371150769744	0.00221789074422768	0.00113691242059086	0.00382045692739367
OM5_C_4D_3	0.0109196054930938	0.0128633745520818	0.0191501183797504	0.0136269509820663	0.00775984176709092	0.00381312059697579	0.0161370980501318	0.0181683344308728	0	0.00105859509532635	0.0155822206377771	0.0222411809335478	0.0164003767243485	0.0184234392932097	0.0175662293854965	0.00782377398993647	0.0123240367505625	0.0200071309832594	0.0131658646937431	0.0128128458435804	0.0208307233508376	0.00943846314791506	0.0056601587125771	0.018209297432473	0.0190100799153597	0.0203522566472547	0.0257594535183135	0.005615804950819	0.000105564867982671	0.0129787461815285	0.0142437191554036	0.0260043064699003	0.0240161984036856	0.00772864837148668	0.00651580494139804	0.0142304963093455	0.0234207313747209	0.00804564331197982	0.0286493230520725	0.0160651378335099	0.0154095481738903	0.01020028399979	0.00882053162821683	0.00484594775967957	0.0209134480892056	0.00458683325537238	0.0150155454623865	0.0162377639419573	0.010212917381909	0.0198990852324655	0.0119110772394586	0.0147440784302151	0.016011811005215	0.0187106964133176	0.0132019004957095	0.0194555565617826	0.015410260088526	0.00121504656159533	0.0272908510036385	0.008249520015979	0.011998706697227	0.0118156201709676	0.00697694407894183	0.0166996411540697	0.0167329988886545	0.00102942852175618	0.0220414989853486	0.0159506699178771	0.0193051063632809	0.0219882532358137
OM5_C_4E_1	0.0119781521425931	0.0139219032887184	0.0202085698677515	0.0146854719114475	0.00670126586293945	0.00487170882189927	0.0171955902474208	0.019226799930314	0.00105859509532635	0	0.0166407195915995	0.0232995835874443	0.0174588656352884	0.0194819012213735	0.0186247031207297	0.00888234336248667	0.0133825707397062	0.0210655696500046	0.0142243903895561	0.0138713750815148	0.0218891491772788	0.0104970215582057	0.00460157323304184	0.019267762361745	0.0200685334460628	0.0214106899952253	0.0268177918506686	0.00455721930404683	0.000953030264933295	0.0140372737664246	0.0153022334610057	0.0270626399788542	0.0250745697709497	0.0087872183294106	0.00757438177373786	0.0152890107599267	0.0244791135018844	0.0091042112930784	0.0297076015722227	0.0171236309200218	0.0164680491833404	0.011258836564856	0.00987909446262782	0.00590453227042311	0.0219718725977868	0.00564541877222152	0.0160740510789479	0.0172962548888152	0.0112714698463986	0.0209575255459559	0.0129696151037779	0.0158025871536017	0.0170703047481958	0.0197691542617577	0.0142604258247204	0.0205140035434536	0.0164687610895444	0.00227364063568841	0.028349158425642	0.00930808668622344	0.0130572437498604	0.0128741589129639	0.00803551842624442	0.0177581262665274	0.0177914835735634	2.91665847690336e-05	0.023099905010635	0.0170091644109044	0.0203635555733847	0.0230466601550303
