	OM5_B_B_2	OM5_C_4A_1	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_1	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4E_3	OM5_C_4F_1	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_4H_3	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5E_1	OM5_C_5E_2	OM5_C_5F_1	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5G_3	OM5_C_5H_1	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6A_2	OM5_C_6A_3	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_2	OM5_C_6D_3	OM5_C_6F_1	OM5_H_2H_2	OM5_H_2H_3	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6A_3	OM5_H_6B_1	OM5_H_6B_2	OM5_H_6B_3	OM5_H_6C_2	OM5_H_6C_3	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6G_2	OM5_H_6G_3	OM5_H_6H_1	OM5_H_6H_2	OM5_H_6H_3
OM5_B_B_2	0	0.0024862492503088	0.00128844813625979	0.0138735141641425	0.0151765192618791	0.0105718782909277	0.00223841866950685	3.1114967622325e-05	0.00141891407226242	0.00705216611228699	0.00726077578850871	0.0171299239124702	0.00175454133679986	0.00237372127821528	0.00503149357312058	0.00422907645061289	0.000764584088543197	0.00633407321375044	0.00932632142096831	0.0144672389360553	0.00831459282918402	0.000921397493975927	0.0156807612033255	0.00649848043697902	0.0380214836087887	0.0110022086365897	0.0978838737371164	0.112346328480198	0.0890007289481879	0.0127678656376035	0.00841817181777583	0.0100944192481112	0.00163804493195275	0.011448010549062	0.00263994845639545	0.000694849380960019	0.00521119940515074	0.0240022014796967	0.00774408750068386	0.0126358022191502	0.0130288116143754	0.0155728752463091	0.0156051705643915	0.00937780235384089	0.00163804493195275	0.00842544775502635	0.00897557491607238	0.00195464036249344	0.00360940529108211	0.00143763325899222	0.0138514409694469	0.0161840650857068	0.00289567865761403	0.00754119160663791	0.00304529166397824	0.00729781945518116	0.0053527962618555	0.0140414270520843	0.00163593485026461	0.00513758554364398	0.0139667775188477	0.00109286622297063	0.00725779636429716	0.000169640118746382
OM5_C_4A_1	0.0024862492503088	0	0.00377469317871875	0.0163595666577252	0.0126904363119521	0.00808570288666169	0.00472465876853662	0.00245513434754037	0.0039051585284248	0.00953835711474779	0.00477455649811327	0.0146438912196166	0.00073170902375941	0.00485996054597324	0.00751771007944132	0.00671530111946186	0.00172166630028287	0.00384784502904888	0.00684012728864446	0.0119811393642934	0.00582838545429498	0.00340764402787436	0.0131946905972351	0.00401225372205228	0.0355363991060402	0.00851604032456745	0.095405689998602	0.109870759168985	0.0865211246958293	0.0152539460813264	0.00593196571749833	0.012580558477248	0.00084820551993269	0.00896184992099338	0.00512618599594402	0.00179140094596236	0.00769741393036378	0.0264878985427248	0.0052578734371757	0.0101496637366415	0.015514885653593	0.013086801962346	0.0131190980799433	0.00689160894256365	0.00084820551993269	0.00593924174497636	0.00648937599282597	0.000531609786327738	0.00609563549943831	0.00392387762857526	0.0113653276694778	0.013698007237207	0.00538191442144467	0.00505497529977179	0.00553152633639543	0.00481160055114214	0.00783900918662801	0.0165274751145652	0.00412217826577715	0.00762380088716447	0.0164528275573478	0.00139338434432821	0.00477157704293188	0.00265588897885302
OM5_C_4A_2	0.00128844813625979	0.00377469317871875	0	0.0125851445203986	0.0164648555391653	0.0118602702682767	0.000949971487422603	0.00131956308669082	0.00013046601940323	0.00576373622742078	0.00854919611093581	0.0184182308427996	0.00304298707896208	0.0010852742979054	0.00374305389061826	0.00294063389597002	0.00205303152084994	0.00762249971357598	0.0106147252108993	0.0157555850265347	0.00960300519355336	0.000367050794027904	0.0169690902311385	0.00778690589691348	0.0393092639272048	0.0122905962105745	0.0991679788328765	0.11362905547192	0.0902855846284231	0.0114794833788963	0.00970658334635999	0.00880601104677817	0.00292649091860966	0.0127363933868978	0.00135150192108362	0.00198329689916662	0.00392276044521026	0.0227139989189228	0.00903250429659742	0.0139241715714734	0.0117404322333892	0.0168612058442839	0.016893500693442	0.0106662056830143	0.00292649091860966	0.0097138592245333	0.0102639817822133	0.00324308565633344	0.00232096091433618	0.00014918521868387	0.0151397952155887	0.0174723866513016	0.00160723260977372	0.00882960990842845	0.00175684592856241	0.00858623951470242	0.00406435789171233	0.0127530594207574	0.00034748696897152	0.00384914628419943	0.0126784089897121	0.00238131319214938	0.0085462167078096	0.00111880810309961
OM5_C_4A_3	0.0138735141641425	0.0163595666577252	0.0125851445203986	0	0.0290479050983182	0.0244441440055438	0.0116352215886095	0.0139046270392259	0.0124546856383323	0.00682158117365452	0.0211335482600378	0.0310008749873001	0.0156279228430799	0.0114999250501618	0.00884223609966512	0.00964463526070116	0.0146380440961007	0.0202069686243172	0.0231987901362776	0.0283387735716552	0.022187215455946	0.0129521744350933	0.0295520383187046	0.0203713546399731	0.0518854979562324	0.0248744007497737	0.111704761880653	0.126151545978629	0.10283021613561	0.00110571701874142	0.0222907791397221	0.0037792798980299	0.0155114361670149	0.0253201245378294	0.0112337092994025	0.0145683145617245	0.00866253343602806	0.0101298698849561	0.0216167925754324	0.0265076987320225	0.000844755949459209	0.0294441758284976	0.0294764641335812	0.0232502629743071	0.0155114361670149	0.0222980539980059	0.0228480981043233	0.0158280048527768	0.0102642882858459	0.0124359674502543	0.0277231008759183	0.0300552312489854	0.010977989429794	0.0214139252485123	0.0108283821746776	0.0211705868405769	0.00852093885558269	0.000167924330680142	0.0122376762298982	0.00873614603745715	9.32696760586952e-05	0.0149663012464654	0.0211305692443161	0.0137038852967842
OM5_C_4D_1	0.0151765192618791	0.0126904363119521	0.0164648555391653	0.0290479050983182	0	0.00460489737426566	0.0174147323658908	0.0151454067774999	0.016595309170757	0.0222278582677697	0.00791604628011749	0.00195358082002862	0.0134221020584871	0.017550020852186	0.0202074764920154	0.0194051628450666	0.0144119932629272	0.00884274115591173	0.00585048524873734	0.000709334358744346	0.0068622269987601	0.0160978385492975	0.000504283573548924	0.00867833595894921	0.0228495341728846	0.00417455251993665	0.0827501203193334	0.097227611050743	0.0738588775059869	0.027942501019734	0.00675864715844356	0.0252695920570653	0.0135385912284262	0.00372873352117876	0.017816219677571	0.0144817229282459	0.0203871582163788	0.0391737472182543	0.00743273499279868	0.00254088611371433	0.0282033904749467	0.000396388483926057	0.000428686523026112	0.00579900335805028	0.0135385912284262	0.00675137115713052	0.00620123753626392	0.0132220151253827	0.0187855669340608	0.0166140265772658	0.00132517494428308	0.00100763167773262	0.0180719219383848	0.00763563100822845	0.0182215182778602	0.00787900273312317	0.0205287358370388	0.0292157797260781	0.0168123090827127	0.0203135542715477	0.0291411472392889	0.0140837341759224	0.00791902569409107	0.0153461456548938
OM5_C_4D_2	0.0105718782909277	0.00808570288666169	0.0118602702682767	0.0244441440055438	0.00460489737426566	0	0.0128101915691283	0.0105407645271976	0.0119907298364974	0.017623587317849	0.00331119077195814	0.00655845774004454	0.00881739378766611	0.0129454866250978	0.0156030832148621	0.0148007246259394	0.00980732175262144	0.00423790364128937	0.00124559951269474	0.0038955674272912	0.0022573543648568	0.0114932368689674	0.00510917683435138	0.00407349505172766	0.0274534303758917	0.000430347723010598	0.0873434211441774	0.101816583563248	0.0784544902636773	0.0233386471203792	0.00215377303286341	0.020665530012223	0.00893388712063367	0.000876169070013683	0.0132116985485745	0.00987705412572921	0.0157827752873446	0.0345710199005233	0.00282787118958926	0.00206401963458904	0.0235995581241161	0.00500128269329631	0.00503358045230708	0.0011941170427032	0.00893388712063367	0.00214649692806827	0.00159635597201718	0.00861729980536551	0.0141810954215362	0.012009448099259	0.00327972936947026	0.00561252002331612	0.0134674136049836	0.00303077059636573	0.0136170175276338	0.00327414656276352	0.0159243611346631	0.0246120330720633	0.0122077397444298	0.0157091670910265	0.0245373941549757	0.00947905012765092	0.00331417023939925	0.0107415117135625
OM5_C_4D_3	0.00223841866950685	0.00472465876853662	0.000949971487422603	0.0116352215886095	0.0174147323658908	0.0128101915691283	0	0.00226953358332234	0.000819505503688073	0.00481377392898647	0.0094991407612565	0.0193680845875899	0.00399295454783743	0.000135302858802824	0.00279308586455112	0.00199066434637997	0.0030030009689019	0.00857244960448743	0.0115646561429578	0.0167054696131123	0.0105529431963499	0.00131702212148977	0.0179189613399475	0.00873685489941429	0.0402587139934627	0.0132405139463864	0.100114675873414	0.114574726290525	0.0912328413793693	0.0105295519642681	0.010656520656259	0.00785606248340489	0.00387645865403321	0.0136863073008926	0.000401530613381623	0.00293326646220096	0.00297279281881917	0.0217641916882627	0.00998244598905443	0.0148740746637724	0.0107905027474038	0.0178110781905408	0.0178433726700717	0.0116161362372438	0.00387645865403321	0.0106637964855041	0.0112139152419534	0.00419305264648166	0.00137099048019321	0.000800786307895734	0.0160896862708243	0.0184222518860264	0.000657261472035851	0.00977955286136594	0.000806874910385405	0.00953618394376757	0.00311439059531613	0.0118031378484818	0.000602484587604197	0.00289917849149982	0.0117284868107137	0.00333128205567263	0.0094961613758883	0.00206877882477414
OM5_C_4E_1	3.1114967622325e-05	0.00245513434754037	0.00131956308669082	0.0139046270392259	0.0151454067774999	0.0105407645271976	0.00226953358332234	0	0.00145002901886913	0.0070832805395949	0.00722966138757493	0.0170988121089129	0.00172342640068715	0.00240483618519184	0.00506260826591924	0.00426019122423727	0.000733469125903584	0.00630295867687356	0.0092952073897545	0.014436126224824	0.00828347860537048	0.000952512453248685	0.0156496488868046	0.00646736592285585	0.0379903842250049	0.0109710949730559	0.0978528622709665	0.112315350098109	0.0889696994778312	0.0127989788331184	0.00838705761266843	0.0101255331083151	0.0016069299916555	0.0114168969935303	0.00267106334881316	0.000663734417140894	0.0052423140779245	0.024033310175329	0.00771297317800635	0.0126046889723193	0.0130599247366753	0.0155417628934249	0.0155740582223678	0.00934668833303197	0.0016069299916555	0.00839433355124154	0.00894446081559285	0.00192352543439183	0.0036405201175726	0.00146874820495634	0.0138203280700469	0.0161529529422272	0.00292679353465783	0.0075100772504801	0.00307640653135118	0.0072667050600551	0.00538391091837786	0.0140725398761654	0.00166704978951234	0.00516870022470699	0.0139978903656878	0.001061751266746	0.00722668196287941	0.000200755086451644
OM5_C_4E_2	0.00141891407226242	0.0039051585284248	0.00013046601940323	0.0124546856383323	0.016595309170757	0.0119907298364974	0.000819505503688073	0.00145002901886913	0	0.00563327168493365	0.00867965876266337	0.0185486813770307	0.00317345265948261	0.00095480832579884	0.00361258848627551	0.00281016825252184	0.00218349733632188	0.0077529630505191	0.0107451860554832	0.0158860396974599	0.00973346697155096	0.000497516804954071	0.0170995430962063	0.00791736911797074	0.0394396597963234	0.0124210553051937	0.0992979987866687	0.113758934997783	0.0904156811340696	0.0113490232906751	0.00983704503304707	0.0086755485038991	0.00305695653139039	0.012866851973238	0.00122103597703122	0.00211376272781336	0.00379229510244465	0.0225835563035407	0.00916296656007952	0.0140546287157853	0.0116099724197566	0.0169916588752815	0.0170239536748774	0.010796666477621	0.00305695653139039	0.00984432090477865	0.0103944429608859	0.00337355117854799	0.00219049512631997	1.87192020294053e-05	0.0152702507519937	0.0176028387283538	0.00147676669853463	0.00896007233747655	0.00162638003931394	0.00871670213741762	0.00393389259953124	0.0126226007316586	0.000217020953652841	0.00371868091585075	0.012547950214505	0.00251177893958585	0.00867667936186037	0.00124927405872121
OM5_C_4E_3	0.00705216611228699	0.00953835711474779	0.00576373622742078	0.00682158117365452	0.0222278582677697	0.017623587317849	0.00481377392898647	0.0070832805395949	0.00563327168493365	0	0.0143126868329783	0.0241810746658849	0.00880666949253969	0.00467847213244408	0.00202069754251458	0.00282311901883766	0.00781673551736219	0.013386031191249	0.0163781127336143	0.0215186416863506	0.0153664453958516	0.00613078250065411	0.0227320533981868	0.0135504303947753	0.0450694573787387	0.0180538874714943	0.104910904319589	0.119365622345992	0.096031988225046	0.00571587925473234	0.0154700183434251	0.00304232872933094	0.00869017607603312	0.0184996571519018	0.00441224628960443	0.00774700226785047	0.00184099030120728	0.0169510396990811	0.0147959724000876	0.0196873582018802	0.00597683728768876	0.0226241775610917	0.0226564698557713	0.0164295904157722	0.00869017607603312	0.0154772938543511	0.016027388031273	0.00900676323006387	0.00344279137322201	0.00561455269131266	0.0209028970704058	0.0232353093188486	0.00415651704302609	0.0145930876210341	0.00400690444611855	0.0143497285361902	0.00169939222208815	0.00698950269912128	0.00541625303987767	0.00191460475921303	0.00691484930864043	0.00814501046697336	0.0143097075663872	0.00688252886296464
