	OM5_B_B_2	OM5_B_B_3	OM5_C_4A_1	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_1	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4E_3	OM5_C_4F_1	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_4H_3	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5E_2	OM5_C_5E_3	OM5_C_5F_1	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5G_3	OM5_C_5H_1	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6A_2	OM5_C_6A_3	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_2	OM5_C_6D_3	OM5_C_6F_1	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_2	OM5_H_2H_3	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6A_3	OM5_H_6B_1	OM5_H_6B_2	OM5_H_6B_3	OM5_H_6C_2	OM5_H_6C_3	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6G_2	OM5_H_6G_3	OM5_H_6H_1	OM5_H_6H_2	OM5_H_6H_3
OM5_B_B_2	0	0.0518113405708046	0.010698087926186	0.0164145910290413	0.0237785990765749	0.0136995351375374	0.019418080266726	0.00843661273142388	0.0162065218696786	0.0104254611661888	0.0141711918708866	0.0955329117591656	0.0887092746072834	0.0962174966152724	0.0179751087007293	0.019278206739432	0.018342310578632	0.0260387391853496	0.0301013891641595	0.0150090845362271	0.0223661148166939	0.0272030805543083	0.0131225086944004	0.0143853151781584	0.0118221403316498	0.0142582821479786	0.0568732037764304	0.0517718910975257	0.0425386926935959	0.0213807589279465	0.00466892109241466	0.0131233628805581	0.0214110054980648	0.0212370980496096	0.0168744043127305	0.0149636767725343	0.0220892289847071	0.0186266472256356	0.0198968601263117	0.0201879360446565	0.0190648110782391	0.0228155681496662	0.019100529794233	0.0211701221202239	0.0177215603807624	0.0235214749850209	0.0222894001767531	0.0224798517784824	0.0404909422595011	0.038816362116522	0.0177703478990647	0.0137687281411809	0.0107401465306084	0.0129006890797258	0.0162174424621737	0.0161838883945831	0.0285561817050631	0.0199290539441633	0.0238705423083662	0.0248461973622941	0.0173800696591939	0.00432369936331054	0.00935297646878713	0.0223429493012522	0.0162907898092538	0.0211428108660846	0.0241167099446523	0.00910398852666051	0.018306126163898
OM5_B_B_3	0.0518113405708046	0	0.0503640905675114	0.0576587147284136	0.0644690089539144	0.0582630438162721	0.0693306809875645	0.0456412657595509	0.0644814327388149	0.0584338617376406	0.0560384162345829	0.146622738199475	0.139257479530901	0.14698955584022	0.0583077659253026	0.0674277099729176	0.0638327972701808	0.0717111624123592	0.0807812360947102	0.0502891860515079	0.0740331323191252	0.0741855002330493	0.0556398340612605	0.0572264916533153	0.0565974387645006	0.0400168021268767	0.108386046186754	0.10329579920408	0.0931623655393884	0.0624997195442325	0.0478410346547789	0.0577145570023034	0.0601102334950643	0.0679899214466471	0.0538955203403852	0.0572886049214945	0.0705369075418459	0.0667073830227367	0.0544384374284372	0.0611348541403966	0.0614128405459558	0.0701060826983709	0.0608280455223331	0.0606212867008942	0.0631300777670687	0.066576055952745	0.0650596485082983	0.0574822165466033	0.0136630127369505	0.0278065825414083	0.0657932013116588	0.0606438801488469	0.0437100879075145	0.0406744113624609	0.0626822711996404	0.0549297915436049	0.0786525527995901	0.0670698386998913	0.0677001561864932	0.0611545421984935	0.0627534279780238	0.0504139606299252	0.0586897012652689	0.0720037704154039	0.0591496139188278	0.0645962362580974	0.0718498872538347	0.0604640788421067	0.0646608090048996
OM5_C_4A_1	0.010698087926186	0.0503640905675114	0	0.0083371594922836	0.0167380871104663	0.00801769578255863	0.0194977402502047	0.00742844460396574	0.014290916419213	0.00912101357610246	0.00643937780104612	0.0998953368032831	0.09388524075677	0.101080438730151	0.00959632928331743	0.0173401688187751	0.0138226652810109	0.0221065735484879	0.0369540878203358	0.00504154251045189	0.0264760468617156	0.024024004080871	0.00549492062101304	0.00728927586405919	0.00628680446111712	0.0107797490584228	0.0610822322286416	0.0555632936304631	0.0489012334207757	0.0141186499376972	0.00825622179187766	0.00737685117202944	0.0128480956301602	0.0178475977111294	0.00702702182734078	0.0076206501018201	0.0205938022489664	0.0164401735899408	0.00959106226702129	0.0125506852353201	0.0125078664619432	0.0198468159980912	0.0116855175820725	0.0131182691633418	0.0129185527678723	0.0177648686012519	0.0159134464193289	0.0126036630026514	0.0375855435287883	0.0322854682587559	0.0155879677765744	0.01046283374844	0.00723543378655133	0.0108401184727902	0.0127599814886562	0.0067842546105309	0.028640544117185	0.01676599228507	0.0188783313674003	0.015996205299019	0.0125631007206991	0.00743870347657343	0.00981690308560468	0.0219943918101243	0.00961156603684119	0.0155974254314091	0.0217773106704007	0.0134016090827558	0.0150070742636145
OM5_C_4A_2	0.0164145910290413	0.0576587147284136	0.0083371594922836	0	0.00892773838570552	0.00366333078581894	0.0148307435789441	0.01527882524545	0.00953633772238193	0.00832073763255626	0.00291349858777666	0.0955045249249418	0.090217191001831	0.0970773127751913	0.00221272597530711	0.0116211261795404	0.00699374685722373	0.0146225928876471	0.0357455450639496	0.00784563895740516	0.0239146313745212	0.0167615090000011	0.00335274633220709	0.00315068820468438	0.00478026170605046	0.018593890744652	0.0569726115982962	0.0513258510260441	0.0468171827548687	0.00609096669256729	0.0157370748514635	0.00389812474715948	0.00525547152948286	0.010984888729096	0.00461720362020022	0.00213839420738266	0.0146613051479479	0.0107204348021773	0.00608785536567057	0.00433869640701092	0.00515510541966434	0.0131156950235075	0.00341549551423977	0.00561158040131362	0.00607569873736129	0.00996689662040729	0.0080783271148514	0.00691687396507683	0.0445048794535549	0.0370412060616504	0.010085350288991	0.00637803393513209	0.015511527627246	0.0188074425487473	0.00737434214284024	0.00312081534533768	0.0228859555958896	0.0103323275726397	0.0114732709905227	0.00910564368635761	0.00578756975002069	0.0137320702019869	0.00978054969489442	0.0166020850212864	0.00290491979381955	0.00821881368405556	0.0151216718433339	0.0140312793130271	0.00912696404527686
OM5_C_4A_3	0.0237785990765749	0.0644690089539144	0.0167380871104663	0.00892773838570552	0	0.0104439808404565	0.0150550188179323	0.022822160373536	0.0122498472663015	0.0138621709574234	0.0104420132842515	0.0926678385211928	0.0884113832075359	0.0947206692453436	0.00900424422509628	0.0109050931808075	0.00713317411669315	0.00885907755857974	0.0369230349067764	0.0145920563521904	0.0253395426497384	0.0132365089020551	0.0117776720748315	0.0115745115918139	0.0124291649047705	0.0260521831501051	0.0549280753941582	0.0495380262989829	0.0470437280366707	0.00289404044862566	0.0237900435417876	0.0114415394450629	0.00511585960831828	0.00876182440620223	0.010963919539025	0.00938569672190298	0.012250015000279	0.0111669624012825	0.0111591497885903	0.00479173196356986	0.00471620098176127	0.011776329814274	0.00675151136593276	0.00401321813156846	0.00835217687275887	0.0032325424788017	0.00799297001007493	0.00935198235676207	0.0511351588822054	0.0418140605981532	0.0108367825116289	0.0109545989925726	0.0236199128109815	0.0262503473302323	0.008990329845238	0.0103789563342401	0.0202637156800158	0.0105037237536749	0.00492034129391282	0.00522696710815415	0.00805616932263229	0.0210464086446654	0.0156281780893749	0.0153519471051701	0.00764616582700334	0.00383638952350533	0.0115760857584393	0.0194114878297068	0.00823357008176986
OM5_C_4D_1	0.0136995351375374	0.0582630438162721	0.00801769578255863	0.00366333078581894	0.0104439808404565	0	0.0122694941387672	0.0141235617390486	0.00704215788836467	0.00471245802429467	0.00299887224744906	0.0931775585813975	0.0876729969346824	0.0946220752696206	0.00542619553481678	0.00953801031225562	0.00585837676661572	0.0142086130202832	0.0323519190355646	0.0090714777848341	0.020862543387308	0.0161824346417383	0.00281375905832416	0.00324573895375502	0.00209979675072186	0.0185144831638515	0.0544921808154574	0.0489472330139599	0.0436889609466864	0.00782858658992241	0.0139082080203749	0.00128710926937657	0.00823010353518603	0.00983132492491509	0.00706733731408635	0.00240131789522641	0.0127823268713477	0.00868758344889918	0.00948379643680868	0.00658447023716636	0.00586210839551512	0.0121128384516457	0.00556772624858132	0.00799059159920129	0.00509622258082405	0.0104914679214082	0.00930663303642937	0.0105704640092634	0.0453884646626264	0.0389111378408535	0.00783947548554014	0.00308746784079319	0.0150661918336953	0.0183533258033448	0.00504854285486113	0.00556765360046088	0.0210163101656868	0.00901436072307813	0.0114697512495541	0.0119597729079078	0.00462146963784277	0.0114748267783974	0.00619259237859702	0.0144379323320163	0.00299473213443779	0.00832414195455376	0.0137939518119556	0.0104877003532545	0.00733999698363142
OM5_C_4D_2	0.019418080266726	0.0693306809875645	0.0194977402502047	0.0148307435789441	0.0150550188179323	0.0122694941387672	0	0.0239307750310595	0.00571561340213885	0.0110229480713672	0.0150937490492471	0.0809638874482029	0.0756033210839959	0.0824561494161576	0.0155210215233905	0.00421626947142642	0.00880993791300384	0.0101271162098107	0.0223720012643908	0.021203903239573	0.0102893010509618	0.0095036117198724	0.0149959904095269	0.0141508220139391	0.0133639713278364	0.0294786050959882	0.0422855259231369	0.0368095102629091	0.0324966538364721	0.0141758278639019	0.022204777240563	0.0126821105890743	0.0167752492065739	0.00655491998677476	0.018986343397416	0.0141836723245957	0.0045621952661347	0.00441775095190564	0.0208019995658717	0.0143614408870423	0.0129336719915491	0.00659523388138182	0.013644100130727	0.0160240160939242	0.0091770230830561	0.0122981513679564	0.0126699811391011	0.0204456890373702	0.056886328880087	0.0510922688585621	0.004858943437318	0.00930179803550817	0.025710985428357	0.0288456212878139	0.00839077482723343	0.0175098742978814	0.00939542915672182	0.00614430272869091	0.011679744100082	0.0196050163979	0.00928919324575275	0.0194803927863793	0.0107782065396705	0.0029408194561501	0.0129999675191924	0.011534171971283	0.00640066136860484	0.0107048211206013	0.00794582026456852
OM5_C_4D_3	0.00843661273142388	0.0456412657595509	0.00742844460396574	0.01527882524545	0.022822160373536	0.0141235617390486	0.0239307750310595	0	0.019598975223765	0.0129995677027358	0.0127743231554054	0.102709880728939	0.0963050544676867	0.103628821223059	0.0168402632276971	0.0223255605799863	0.0196260470499487	0.0277500605452924	0.0377810760439032	0.0099525206862244	0.0293058529753694	0.0300671167530101	0.0122204626633202	0.0143172547949255	0.0122609273565382	0.00627313631632064	0.0639682104236676	0.058805689061002	0.0503254033699888	0.0205036734857096	0.00466219419352333	0.0136943614754265	0.0194879045205848	0.0234889675637745	0.0133548141615865	0.0140117317845863	0.0253654416122453	0.0217800733538866	0.0162050665415616	0.0192198322970375	0.0184806393929649	0.0258125253256886	0.0186382396852073	0.0194246662888029	0.0191746541210758	0.0236943028295067	0.0229475336826984	0.0194586370952071	0.0335745911836814	0.0306093082532769	0.0207751686711753	0.0157567919855711	0.0038825096805856	0.00507395785474799	0.0178968889268695	0.0134759978375415	0.0332971959809508	0.0226761169277959	0.0243971191168879	0.0221876735360123	0.0186899865479591	0.005129459447578	0.0132784741651653	0.0266544779888958	0.015766722296305	0.0213085232114802	0.0270116697586823	0.0155188632874534	0.0199752901167324
OM5_C_4E_1	0.0162065218696786	0.0644814327388149	0.014290916419213	0.00953633772238193	0.0122498472663015	0.00704215788836467	0.00571561340213885	0.019598975223765	0	0.00703377874949399	0.00999679443203526	0.0863425874895446	0.080820995459752	0.0877826859323509	0.0101707032033332	0.00455048989533256	0.00524914650271606	0.0109809692834647	0.0268335532712983	0.0161066698415845	0.0145198352288902	0.0110185110063028	0.00962980343019838	0.00849385364967871	0.00812993526828306	0.0247086787298521	0.0476507400152881	0.0420030455044739	0.0374243481866076	0.0104434765014292	0.0180918231165682	0.00724172655399295	0.0123911670723527	0.00585739768479196	0.0138441318965731	0.00909571837909892	0.00764174490868563	0.00281083908592126	0.0155490619329229	0.00998751402757855	0.00907465771311356	0.00661976921703444	0.00877067190908966	0.0119674414876953	0.00441072871500808	0.0103983577445679	0.00881264501953555	0.0155018579551681	0.0518429240393784	0.045879273263601	0.00263009322958545	0.00444271456109275	0.0208657035445108	0.0242948889178891	0.00488382876016932	0.0123000408689011	0.0144564453047527	0.00382753631752869	0.0107072851434135	0.0158283751344234	0.00462006591336665	0.0156569564330176	0.00702991158322526	0.00797675446816807	0.00826280074270217	0.00903073612133705	0.00886028450279847	0.008801276693365	0.0060529615118497
OM5_C_4E_2	0.0104254611661888	0.0584338617376406	0.00912101357610246	0.00832073763255626	0.0138621709574234	0.00471245802429467	0.0110229480713672	0.0129995677027358	0.00703377874949399	0	0.0066060259987535	0.091191142873778	0.085385358620062	0.0924465302425507	0.010110328797007	0.00945173033320675	0.00799435609093345	0.0157203397816711	0.028681857692675	0.0114366560971759	0.0181558566172558	0.017574096326351	0.00622133840619854	0.00718190462010111	0.00419732166282398	0.0185067884448473	0.0523935965414951	0.0470654201881993	0.0405280329635603	0.0116827438212416	0.0119923938009518	0.00488607936636343	0.0126267196318036	0.0110613336996891	0.010765703810425	0.00661907669081503	0.0125116985147991	0.00897992500212872	0.0137582227575605	0.0108653740788984	0.00927091776039603	0.0133679703865546	0.0100371636954636	0.0120470529378885	0.00784323248933918	0.0131912414031611	0.0130136446004623	0.0151926832502599	0.046004229426247	0.0407938458900098	0.00793786725337192	0.00361804563426388	0.0149116868259497	0.0178595743766399	0.00579442891218223	0.0095033766841695	0.0203483106059856	0.0103248440263699	0.0134966944414942	0.0160851002828116	0.00733763934096056	0.00898812813651517	0.00217912561830698	0.0136753350830096	0.00698612552743122	0.0108624218393204	0.0142648468118348	0.00649288650085489	0.00796023756105574
