	OM5_B_B_1	OM5_B_B_2	OM5_B_B_3	OM5_C_4A_1	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_1	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4E_3	OM5_C_4F_1	OM5_C_4F_2	OM5_C_4H_1	OM5_C_4H_2	OM5_C_4H_3	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5E_2	OM5_C_5E_3	OM5_C_5F_1	OM5_C_5F_2	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5H_1	OM5_C_5H_2	OM5_C_6A_1	OM5_C_6A_2	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6D_2	OM5_C_6F_1	OM5_C_6F_2	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6A_3	OM5_H_6B_1	OM5_H_6B_2	OM5_H_6C_2	OM5_H_6F_1	OM5_H_6G_1	OM5_H_6G_2	OM5_H_6G_3	OM5_H_6H_1	OM5_H_6H_2	OM5_H_6H_3
OM5_B_B_1	0	0.027660018440716	0.00445455284355753	0.0409584984059443	0.0058026969706914	0.0111122413840395	0.0301619270316992	0.015176816256381	0.00938981999939385	0.0392785496337233	0.0346754976858915	0.0423709481215946	0.071880398872862	0.0153415291005857	0.03714320658359	0.00934506641873739	0.0120223763658595	0.0393248728433581	0.01922736988996	0.000911502319274788	0.0333176841359455	0.025409768464412	0.00400250433537721	0.00788941578340703	0.0174404921933264	0.0138555214767508	0.0266547760488414	0.0229715237931133	0.0190809843685812	0.0442909846405967	0.0355431954545693	0.0504306067344917	0.0384195418601959	0.0560604047542043	0.0329410404324723	0.0452003833235032	0.0287086912150142	0.0510244764240718	0.0188740618642009	0.038104601095493	0.0188794562318893	0.00116332915717849	0.0155487707458076	0.00871546974952489	0.0256768511640097	0.048244850163116	0.0201611624354789	0.0459304007576895	0.0396144536809265	0.0457380898155938	0.0352311744685136	0.0357182128303728	0.0545036032400885	0.00654919431479642	0.0163798457424923
OM5_B_B_2	0.027660018440716	0	0.0321130795240569	0.0133040149376673	0.0334606889028417	0.0165496766226821	0.00250267981450316	0.0124851546984662	0.01827197243947	0.0116231726491868	0.00701795939819092	0.0147172590733097	0.0442522047572074	0.0123204368173812	0.00948677460417744	0.0183167219364038	0.0156395831554786	0.0116695197476561	0.00843431566672837	0.0267487695273817	0.00565958889593367	0.00225083585857268	0.0316612016379013	0.0197722170259012	0.0102213607275004	0.0138064696707489	0.00100551675560204	0.00468959971889629	0.00858071735520499	0.0166384386088954	0.00788603234472899	0.0227822017016603	0.0107637295938291	0.0284164438938038	0.005282797224356	0.0175484039961479	0.0010489807000981	0.0233765110696913	0.00878766196532421	0.010448632906839	0.00878226703247601	0.026497009605714	0.0121131880420081	0.0189462567412489	0.00198368897080624	0.0205948862328102	0.007500409690432	0.0182788881140214	0.0119592508853556	0.0180864532161432	0.00757387471814984	0.00806112721335867	0.0268583517766985	0.0211122562382668	0.0112820755838508
OM5_B_B_3	0.00445455284355753	0.0321130795240569	0	0.0454099530846802	0.00134815756282485	0.0155665005791739	0.0346147292135736	0.0196308646910052	0.0138441519100637	0.0437302383914605	0.0391277818407371	0.0468221990775855	0.0763259708529213	0.0197955678388122	0.0415951799384614	0.0137994000865876	0.0164765931401329	0.0437765552665801	0.0236811538981243	0.00536604680177742	0.0377701310021177	0.0298630451086693	0.000452051611742858	0.0123438029469981	0.021894399518509	0.0183096444427706	0.0311079354572152	0.027425015437465	0.0235347788740396	0.0487419485568865	0.0399953725416504	0.0548805750066629	0.0428713468489928	0.0605093565750827	0.0373935313867686	0.049651207232087	0.0331616462406472	0.0554743421301587	0.0233278710879664	0.0425564481109504	0.0233332650737371	0.00561787083085389	0.0200027971565106	0.0131698274267765	0.0301301030823318	0.0526951864398462	0.024614877825721	0.0503811103925456	0.0440660963507005	0.050188829716532	0.0396833903338048	0.0401703680300435	0.0589528459954674	0.0110036244443155	0.0208338212913807
OM5_C_4A_1	0.0409584984059443	0.0133040149376673	0.0454099530846802	0	0.0467570364694358	0.0298512916777671	0.0108014652494312	0.0257876087684725	0.0315731824759305	0.00168093595616602	0.00628626747174681	0.00141334372439397	0.0309546728950472	0.0256229214405996	0.00381741411640503	0.0316179210555414	0.0289414003122885	0.00163458663634629	0.0217374435240106	0.0400475533955911	0.00764463401071028	0.0155546818941772	0.0449582474179936	0.0330730501570612	0.0235242112598576	0.0271086689467671	0.0143094623202281	0.0179932071145803	0.021883823673223	0.00333468910091774	0.0054181877746026	0.00947921725278713	0.00254041648655375	0.0151144737895481	0.00802142143894741	0.00424474526712392	0.0122550961603581	0.0100736195345684	0.022090737477719	0.00285552514467534	0.022085343353285	0.0397958759543733	0.0254157107266936	0.0322473001582451	0.0152875576276211	0.00729158850466509	0.0208036699972552	0.0049753079387902	0.00134484114720475	0.00478285185660121	0.00573034866150927	0.0052430906679208	0.0135560713459275	0.0344127336876689	0.0245847466439415
OM5_C_4A_2	0.0058026969706914	0.0334606889028417	0.00134815756282485	0.0467570364694358	0	0.0169145223341717	0.0359622527305037	0.0209788104182298	0.0151922008621897	0.0450773976386436	0.0404751350530169	0.04816921658915	0.0776711822479323	0.021143510135548	0.0429424317028346	0.0151474497053829	0.0178245993147065	0.045123712458189	0.0250290074073799	0.00671418564942724	0.0391175375250235	0.0312107264823846	0.00180020875029714	0.0136918731432361	0.0232422957255974	0.019657616705238	0.0324555776113176	0.0287727692057357	0.0248826360006307	0.0500888734683933	0.0413426907526009	0.0562271803070695	0.0442185438409403	0.0618556375359614	0.0387409523811802	0.0509980870592851	0.0345092203744799	0.0568209146238108	0.0246757332914942	0.0439036587638038	0.0246811271454575	0.00696600806895466	0.0213507350984488	0.014517886209359	0.0314777761706974	0.0540419096180974	0.0259627077592698	0.0517279534594127	0.0454132406456432	0.0515356825164267	0.04103072121485	0.0415176790929904	0.0602992196234677	0.0123517116839825	0.0221817413383871
OM5_C_4A_3	0.0111122413840395	0.0165496766226821	0.0155665005791739	0.0298512916777671	0.0169145223341717	0	0.019052066704335	0.00406483282628641	0.00172248926096001	0.0281708689507318	0.02356663339647	0.0312641571866258	0.0607858579241993	0.00422955900914145	0.0260349558308728	0.00176724427527161	0.000910180827309165	0.028217204929002	0.00811577935302928	0.0102007783002001	0.022208503020385	0.0142990368280826	0.0151144896093805	0.0032229324118931	0.00632871168277493	0.00274343916559853	0.0155442550188421	0.0118604161809257	0.00796937728223397	0.0331847842120197	0.0244345413546288	0.0393264892684439	0.0273116274882827	0.0449584564221772	0.0218317740493371	0.034094472730161	0.0175985450620669	0.0399205761114312	0.00776243168454442	0.026996602515299	0.00776782664979482	0.00994896105792818	0.00443681775542845	0.00239685933958472	0.0145661636482402	0.0371399572285665	0.00904968160321629	0.0348247275419877	0.0285068659734865	0.034632353659745	0.0241224440923017	0.0246096018554367	0.043401030391609	0.00456317271555517	0.00526796489233042
OM5_C_4D_1	0.0301619270316992	0.00250267981450316	0.0346147292135736	0.0108014652494312	0.0359622527305037	0.019052066704335	0	0.0149876629303331	0.0207743031351703	0.00912058890321568	0.0045153083618181	0.0122147419380818	0.0417511764507223	0.0148229491880136	0.00698415489251011	0.0208190510149145	0.0181420023732828	0.00916693687284418	0.0109369110721194	0.0292507264206219	0.00315692531789514	0.00475350591281059	0.0341628793351235	0.0222744914520804	0.0127239214260974	0.0163089428752353	0.00350819335411385	0.00719224872792846	0.0110833101394636	0.0141359714534535	0.00538339106929481	0.0202799385007802	0.00826113039282679	0.0259144265093295	0.00278013075888016	0.0150459628126232	0.0014537005032371	0.0208742711518105	0.0112902509769607	0.00794602837211684	0.0112848561434584	0.0289989795646676	0.0146157055483592	0.0214485626703488	0.00448636066796735	0.0180925427314043	0.0100030208841484	0.0157764688475355	0.00945667354373442	0.0155840280837374	0.00507122977604431	0.00555848807163312	0.0243562608107485	0.0236144768201962	0.0137846128836036
OM5_C_4D_2	0.015176816256381	0.0124851546984662	0.0196308646910052	0.0257876087684725	0.0209788104182298	0.00406483282628641	0.0149876629303331	0	0.00578730692758791	0.0241070514944858	0.0195024894519642	0.0272005937462024	0.0567260980413493	0.0001647272382812	0.0219709792203838	0.00583206142732116	0.00315465635860598	0.0241533910726757	0.00405099623415986	0.0142653886777636	0.0181442746127333	0.0102344244775386	0.0191788779373705	0.00728772948668846	0.00226390054119489	0.00132139915899498	0.0114796908417497	0.00779572284657807	0.00390459150663803	0.0291213924484084	0.02037045421662	0.0352637178960062	0.0232477444086465	0.0408963490121259	0.017767523171448	0.0300311660015683	0.0135340704069346	0.0358578704984347	0.00369764226336992	0.0229326959148165	0.00370303732203655	0.0140135807899237	0.000371987429838961	0.00646166860342516	0.0105015612440042	0.0330769525488822	0.00498491694571842	0.0307614908038081	0.0244430747630098	0.0305690983344842	0.0200583362729269	0.0205455264427154	0.0393387303153732	0.00862794556564605	0.0012031416647072
OM5_C_4D_3	0.00938981999939385	0.01827197243947	0.0138441519100637	0.0315731824759305	0.0151922008621897	0.00172248926096001	0.0207743031351703	0.00578730692758791	0	0.0298928230064854	0.0252887429214284	0.0329859921128454	0.0625059720907756	0.00595203204872293	0.0277569852677863	4.47550651233169e-05	0.0026326685411863	0.0299391572870982	0.00983821728472022	0.00847834526711936	0.0239306533899398	0.016021379348256	0.0133921323621	0.00150044628115255	0.00805116815273058	0.00446592052480186	0.0172665724858664	0.0135828021063407	0.00969181688559046	0.0349065392609457	0.026156623579292	0.0410479586584355	0.02903361254538	0.0466796236240675	0.0235539353426421	0.0358161883702476	0.0193208169417528	0.0416420154360665	0.00948487360433912	0.0287185987103425	0.00949026850990076	0.0082265249994535	0.00615928940979638	0.000674371124369517	0.0162885009582867	0.0388615335828653	0.0107721082298778	0.0365464108148496	0.0302288076590361	0.0363540455224094	0.0258445362415984	0.0263316784603791	0.0451222849924893	0.00284069185225422	0.00699043043937905
OM5_C_4E_1	0.0392785496337233	0.0116231726491868	0.0437302383914605	0.00168093595616602	0.0450773976386436	0.0281708689507318	0.00912058890321568	0.0241070514944858	0.0298928230064854	0	0.00460534899947067	0.00309427704777017	0.0326350071696409	0.0239423591491366	0.00213648308068373	0.0299375632793825	0.0272609456623235	4.6349365910059e-05	0.0200567726501538	0.0383675598523135	0.0059637256034914	0.0138738767865364	0.0432785078105797	0.0313927488304328	0.0218435879871023	0.025428153146133	0.0126286358737292	0.0163124493169793	0.0202031565500644	0.00501561499550849	0.00373726404300555	0.0111600897206458	0.000859481846914834	0.0167952577186093	0.00634051622078532	0.00592566609745049	0.0105742386646453	0.0117544844438716	0.0204100757016327	0.00117459121123827	0.0204046814371316	0.038115870228596	0.0237351421702731	0.0305669664703211	0.0136067477819607	0.00897248516454609	0.0191229758223724	0.00665622398573088	0.000336095081404067	0.00646376922566784	0.00404942671594944	0.00356216598619709	0.0152368835307098	0.0327324866948184	0.022904153501182
OM5_C_4E_2	0.0346754976858915	0.00701795939819092	0.0391277818407371	0.00628626747174681	0.0404751350530169	0.02356663339647	0.0045153083618181	0.0195024894519642	0.0252887429214284	0.00460534899947067	0	0.00769958664994256	0.0372383688795224	0.0193377850685427	0.00246887466043437	0.0253334873700779	0.0226566320781572	0.00465169800802721	0.0154519414083075	0.0337643946504906	0.00135839005190362	0.00926874200704756	0.0386759876569806	0.0267888125090659	0.0172388686114682	0.0208236910273324	0.00802345557387939	0.0117074188153034	0.0155983340643328	0.00962088426249987	0.000868090336784463	0.0157651487259498	0.00374587248524329	0.0214000155985051	0.00173518548770981	0.0105309120255773	0.00596899465460588	0.016359516562577	0.0158052657172584	0.00343076446390002	0.0157998711250001	0.0335126742494763	0.0191305530750347	0.0259629500379372	0.00900160279783744	0.0135776331910206	0.0145180904378165	0.0112614492115632	0.00494144133134426	0.01106900007505	0.000555926017350712	0.0010431891754486	0.0198417350114378	0.0281286853662907	0.0182995056677041
OM5_C_4E_3	0.0423709481215946	0.0147172590733097	0.0468221990775855	0.00141334372439397	0.04816921658915	0.0312641571866258	0.0122147419380818	0.0272005937462024	0.0329859921128454	0.00309427704777017	0.00769958664994256	0	0.0295417866584136	0.0270359108941725	0.00523074772455474	0.0330307291989985	0.0303542940813115	0.00304792783890126	0.0231505303436449	0.0414600421702528	0.00905794259903348	0.0169678912462075	0.0463705150592195	0.0344858085699091	0.0249372552644844	0.0285216169912892	0.0157226915624245	0.0194063728737028	0.023296907110502	0.00192134861328763	0.00683151273435962	0.00806591206470908	0.0039537551249491	0.0137012342256137	0.00943472675590838	0.00283140761229333	0.0136683547240001	0.00866031977120446	0.0235038160957991	0.00426886269581616	0.0234984220975671	0.0412083753632508	0.0268287057714188	0.033660087067291	0.0167007713813169	0.00587826640107267	0.0222167778679278	0.00356197316170255	0.00275818299429924	0.00336951626930279	0.00714367163069577	0.00665641670076274	0.0121428104628812	0.0358254443297137	0.0259977636586119
