	OM5_B_B_1	OM5_B_B_2	OM5_B_B_3	OM5_C_4A_1	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_1	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4E_3	OM5_C_4F_1	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_4H_3	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5E_2	OM5_C_5E_3	OM5_C_5F_1	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5G_3	OM5_C_5H_1	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6A_2	OM5_C_6A_3	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_2	OM5_C_6F_1	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_2	OM5_H_2H_3	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6A_3	OM5_H_6B_1	OM5_H_6B_2	OM5_H_6B_3	OM5_H_6C_2	OM5_H_6C_3	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6G_2	OM5_H_6G_3	OM5_H_6H_1	OM5_H_6H_2	OM5_H_6H_3
OM5_B_B_1	0	0.0272721669614032	0.0170992550059072	0.016049248029859	0.00728768245708647	0.0383521069903641	0.0179241372632033	0.00188549952162372	0.0227245940604311	0.00745588162988972	0.00976255311963667	0.0202776896904477	0.00137782415707078	0.0147732262063724	0.0245737132420081	0.00641944271288658	0.00536368270701189	0.0104192290296542	0.0122057554174662	0.0144203562074911	0.0102529395588831	0.00696473510768609	0.0119442557839382	0.0361914649063308	0.00554596224362039	0.00829595246790321	0.0008439370490004	0.0121176931679042	0.00307835680701694	0.0122593233114666	0.0042940090760753	0.00432527975426943	0.00610196959646152	0.000678286179132003	0.00216867149687953	0.0173276415353014	0.00435538735821261	0.00775941046227921	0.019051752610028	0.0436149542065854	0.0522660405575181	0.0412184659883204	0.00147368641410589	0.00464162952948204	0.0141383349548985	0.0217507278273006	0.0307588256527665	0.0096441107150214	0.0167340789807121	0.0226202380853578	0.0130693714781204	0.0116609758432548	0.00866656556746043	0.0143938460961696	0.021790443535352	0.00910539104872976	0.00418437404501221	0.022133264194167	0.00923391056488506	0.0350489965482115	0.00329094909855723	0.00772991553003057	0.0170295182164226	0.00634628181860086	0.00414930043854018	0.0202749486719869	0.00821730021571728	0.0051907739874628	0.0126764078377864
OM5_B_B_2	0.0272721669614032	0	0.0102538547503497	0.0422660972359037	0.0209927686718776	0.0110885592784457	0.0129024832641485	0.0271535413229959	0.0081627444605401	0.0198239618378735	0.0183141924254725	0.00898460045335337	0.0262237436696395	0.0128201685698763	0.00474003985267306	0.0333790758617803	0.0222495541690048	0.0195639604993504	0.0173033857092235	0.0187326526927611	0.0189547224872549	0.0337279299329107	0.0218851431199641	0.0125879870003292	0.0327418518428515	0.0211969397653232	0.0277544163604479	0.0373828748682408	0.0242081936646335	0.0153126682315861	0.0311969645649367	0.0293854949886128	0.0212241822804617	0.0267277417092949	0.027250910386124	0.00994798923288647	0.031428728781309	0.0216576621096217	0.00907870251000909	0.0708477015043283	0.0794298076246869	0.0683358160837623	0.0280434079668916	0.0300847479396225	0.0173740149346088	0.0489578667038517	0.057886704408271	0.0209455934197041	0.0142844623988284	0.010506078891874	0.0395855414981421	0.0157406501542933	0.0230602243016339	0.014051705657368	0.00585176934597638	0.0246924671275241	0.0247050250578151	0.010804969506254	0.0187469192698724	0.0111707637721231	0.0298393002419599	0.0203474922649054	0.0117424475138852	0.0333880445931809	0.0232593998220047	0.00788312340103426	0.0231446718221538	0.0231806297589475	0.0148170025599685
OM5_B_B_3	0.0170992550059072	0.0102538547503497	0	0.0324920042650128	0.0113587693297454	0.0212987396588901	0.00808690497280973	0.0169086543686102	0.00703188325319895	0.009700247289248	0.00887493717281467	0.00639372867188767	0.0161165596036018	0.0039405314285106	0.00770968648056912	0.0231366545848349	0.0120014305441443	0.00975790544275223	0.00767085710940942	0.011956369177261	0.0100485015051499	0.0237253106521277	0.0140965258571533	0.0208927283810026	0.0226137862149156	0.0119888345109733	0.0176257530144404	0.0277882765864056	0.014061607543209	0.00507641830754569	0.0209573746933638	0.0191439496998196	0.0110131181719236	0.0165332367672686	0.0172560361003608	0.00116040037221213	0.0213313289324104	0.0115502874288313	0.00278834239201229	0.0606641384758025	0.0692132320359341	0.0582752566299282	0.0178142381633661	0.020229016171848	0.00864884641990477	0.0388377462492607	0.0478184374960016	0.0111156234715017	0.00667303711456029	0.00839378390881992	0.0293452516990633	0.00594837089972997	0.0131888286714116	0.00444996727579822	0.00543865085647045	0.0159981799303962	0.014460266456061	0.00814440179554116	0.00853273436224464	0.0195634925751876	0.0198127254793748	0.0101180445784327	0.00354928598780217	0.023150885151248	0.0130360013666973	0.00507743117806302	0.0141561225821772	0.0129358246908288	0.00527364075847558
OM5_C_4A_1	0.016049248029859	0.0422660972359037	0.0324920042650128	0	0.0212866880946999	0.0532565576883874	0.0308787182196971	0.0171160193113315	0.038608362535275	0.0228970097553938	0.0239618247962717	0.034171632557845	0.016665022656107	0.0294542607031224	0.0401621713172962	0.0124753119860413	0.0213754617127993	0.0264023425495186	0.0282510957269734	0.0255189912373348	0.0234792692375153	0.00908974176236556	0.0219921617825937	0.0492365873062943	0.0108220263978806	0.0211748002731811	0.0153220958965653	0.00515393102344241	0.0187500551614487	0.0280102900839427	0.013812158513848	0.0166781678596027	0.0218944662338451	0.0167175051784422	0.0153213339147734	0.0324809771243451	0.0117457371796111	0.0237011064178867	0.0347367091096963	0.0301638848454712	0.0393455700909994	0.0266054982338806	0.0160111225381586	0.0122688828257447	0.0301188241622126	0.0088476199762907	0.0163914802036054	0.0254938474074918	0.0327782113445814	0.0386352268059562	0.012557091056556	0.0266250929418126	0.0241175044401713	0.0303272343609283	0.0364942642804412	0.0184184014309089	0.0199799381131014	0.038153846259626	0.0252287946733987	0.0483059304342218	0.0128929660705552	0.0237668597295483	0.0329260356374536	0.0122242713070934	0.0201180464384444	0.0346621806992883	0.0194693127499301	0.0211976502293308	0.0274878395462444
OM5_C_4A_2	0.00728768245708647	0.0209927686718776	0.0113587693297454	0.0212866880946999	0	0.0320197899597838	0.0106553887633004	0.00814860774594922	0.0179817105466505	0.00312069317804413	0.00270500375291484	0.0132605672118925	0.00595427861314185	0.00817501438314582	0.0190658412433108	0.0136849907415774	0.00513511560168107	0.00933466823758945	0.00978581254456392	0.00754958054062065	0.00299016010999519	0.0128697865027649	0.006158686971465	0.0290474476827541	0.0121964342693563	0.00171667376079403	0.00744939655353786	0.0164682156208594	0.00455848270601624	0.00764231766771704	0.0115813500420262	0.0110132181395793	0.00396451760568318	0.00700035249189828	0.00651200201502746	0.0112341433895987	0.0108168746299676	0.00798492974575472	0.0138386193008752	0.0502722881752501	0.0590876020490612	0.0474774384943152	0.00855640126521365	0.00911765519604676	0.0122461019766991	0.0282147744642697	0.0370364178799921	0.00956738697332962	0.0135792259551102	0.0185755211719302	0.0203511886937283	0.0054122447395612	0.0101963580497414	0.0102930958551679	0.0152485621963645	0.00557678052810615	0.00739939886176188	0.0181618106392996	0.00655110587308375	0.0279461580793815	0.00908653815607995	0.00621931853901184	0.0125547939919215	0.0135895173769224	0.00488924409726161	0.0135036566411738	0.00356711515417381	0.00656852730268035	0.00621274701683411
OM5_C_4A_3	0.0383521069903641	0.0110885592784457	0.0212987396588901	0.0532565576883874	0.0320197899597838	0	0.0230906820923877	0.0381994190855539	0.0174702594107592	0.0309084269030599	0.0293268694772163	0.0193566314640098	0.0373070352661843	0.0238527847678044	0.0144602560291564	0.0444236023590789	0.0332938717452802	0.0302586421943383	0.0279678370083178	0.0289815177920709	0.0298454941854261	0.0447945299514462	0.0323491721633316	0.0110459890953756	0.0438228473138972	0.032125698080449	0.0388372635804788	0.0483215024838963	0.0352911553597861	0.026317134206315	0.0422471812865554	0.0403629852995093	0.0322954312277614	0.0378037096622502	0.0383235222024486	0.021034809634716	0.0425091811686406	0.0325156859026562	0.0197894771295675	0.0819007672920219	0.0904502837552845	0.079386500692154	0.0391047444575	0.0411255543275604	0.0276316812032145	0.0600302812238001	0.0689465795165399	0.0316277957421938	0.0243664783577816	0.0191624547181582	0.0505517176502166	0.0268172435189645	0.033735008307146	0.0248221859294329	0.0167803487979893	0.0354098564695913	0.0356964959351392	0.0196221645366045	0.0297133608129819	0.0103467791374485	0.0409135713089943	0.0313241522461275	0.0223259713589945	0.0444395459326044	0.0343254195492228	0.0186421818564908	0.0339846495900395	0.0341747351202894	0.0258786842532909
OM5_C_4D_1	0.0179241372632033	0.0129024832641485	0.00808690497280973	0.0308787182196971	0.0106553887633004	0.0230906820923877	0	0.0185815765792137	0.0142561856264967	0.0113048967463274	0.00822185068331022	0.0039203348906205	0.0166062652076279	0.00530757613872116	0.0132937109106116	0.0243343516133682	0.0143639098777893	0.0151322081533026	0.0137815965604005	0.00590315438566889	0.00778865886303434	0.0231852599883893	0.00928316026052427	0.0185310562227193	0.0227560332786049	0.0100396152649364	0.018103297577346	0.0257833652027853	0.0150298880611843	0.0100711424952647	0.0222142780354215	0.0213589484649919	0.0129899141541377	0.017588184143645	0.0170837999423222	0.00698571290469185	0.0213679280489397	0.0156874311430517	0.0105224346321249	0.0605348844234794	0.0694616050967293	0.0574172916220514	0.0191280656953345	0.019304373735237	0.0156236863391639	0.0384611297376136	0.0470663810039272	0.0162111098757726	0.0144906384858576	0.0161301494778772	0.0309902719460174	0.00755203042535652	0.0178922562288717	0.0114140692064019	0.00740716083352888	0.0125483849300247	0.0170848486013154	0.015971146091543	0.0126233430727432	0.0175090800771339	0.0195903691406615	0.0136910173135472	0.0115553883332447	0.0242426144846839	0.0148080729698225	0.00531162153077129	0.0114363746722005	0.0157700710534804	0.00661841408090963
OM5_C_4D_2	0.00188549952162372	0.0271535413229959	0.0169086543686102	0.0171160193113315	0.00814860774594922	0.0381994190855539	0.0185815765792137	0	0.0221117346466683	0.00757302191009165	0.0103608405792468	0.020630411012549	0.00288985122530279	0.0149753297901388	0.0241798391327777	0.00622911399887094	0.00490841522689328	0.00932383491844013	0.0113036551639938	0.0155685426028457	0.0111340276233013	0.00807809602394607	0.0133585506141349	0.0365870080575839	0.00632678419298778	0.00940683532619528	0.00265757843124061	0.0135261738938635	0.00359469962735384	0.0119109643494661	0.00405448827890705	0.00287675997666308	0.00599352866054211	0.00152051589826911	0.00404326348784087	0.017260260411096	0.00540904590377252	0.00661131705641176	0.0186439768857533	0.0438193207749012	0.052332588079028	0.0416659889452599	0.00110551965792357	0.00636883785632285	0.0130274797403172	0.0221835613385049	0.0312371256381954	0.00838011095619051	0.015825749639228	0.0218155258652397	0.0126122249881998	0.0118393324979547	0.0071339906404719	0.0138023985506057	0.0218461254524447	0.0107583162297462	0.00287583205866809	0.0213166042723027	0.0086379357466453	0.0354027976314263	0.00483457721847134	0.00704192038779921	0.0164517928086681	0.00624987324541924	0.00395573701370168	0.0204687958767014	0.00967164222282179	0.00423115322403369	0.0128884184537957
OM5_C_4D_3	0.0227245940604311	0.0081627444605401	0.00703188325319895	0.038608362535275	0.0179817105466505	0.0174702594107592	0.0142561856264967	0.0221117346466683	0	0.0157797141369494	0.0156959486299634	0.0111715920175373	0.0219662603496233	0.0109631608524882	0.00343279978236385	0.0281966850582319	0.0173703157519608	0.0132759781423623	0.0110205897698206	0.0188772616635331	0.0170109802336264	0.0296222236340243	0.0211270461212173	0.0207318925423503	0.0282490333672048	0.0188239662791101	0.0233752521713869	0.0341344241561019	0.0198753988909476	0.0106226815196512	0.0261038306103439	0.0238386899512367	0.0167268872398261	0.022090772311326	0.0233013950514038	0.00774044757276245	0.0270736188883171	0.0158030621806575	0.0042637323693613	0.0657103043642129	0.0739662322554157	0.0637421513139929	0.0231401655004673	0.0264108317328298	0.0102589849175447	0.0442824486579183	0.0533299593581268	0.014585626017703	0.00696263505175688	0.00245979632720884	0.0338595837333557	0.0126990335532913	0.0166359373578352	0.00833476514355367	0.00795666705989853	0.0229264554885065	0.0193477408315738	0.00267045397713688	0.0135113308321093	0.0193141226893602	0.0257401774828074	0.0150791615495596	0.00569754471459335	0.0282703185521491	0.0185797357849902	0.00943097983558239	0.0210285103350292	0.0178908359025534	0.0121934694363036
OM5_C_4E_1	0.00745588162988972	0.0198239618378735	0.009700247289248	0.0228970097553938	0.00312069317804413	0.0309084269030599	0.0113048967463274	0.00757302191009165	0.0157797141369494	0	0.00341625177477562	0.0130709051751305	0.00641881682971533	0.00740486492048079	0.0172997856620255	0.0137067188877528	0.00306139721151575	0.00622713228966378	0.0067242670564731	0.0097313461372732	0.00494284203425526	0.0140369364047606	0.00906842765464302	0.0290288909379578	0.0129295542575846	0.0047597063088624	0.00793792285295426	0.0183606121189447	0.00438532981521763	0.00516265545400388	0.0115172312468713	0.0101918699844125	0.00168658903673094	0.00693469671831216	0.00758984693306231	0.00987688396512307	0.0116349289263813	0.00516255287917261	0.0118449958001698	0.0510615262237888	0.0597044552398755	0.0485926621863008	0.00833470468841967	0.0106491201274582	0.00916792412242715	0.0291604496961997	0.0381307132544212	0.00655648544963568	0.0107394029432191	0.0160831323748427	0.0201839576542961	0.00426819948757772	0.0074631936779192	0.00767533299001024	0.0143498381797111	0.00866633761053917	0.00578117452222436	0.015638200399358	0.0034371161693168	0.0278365139429033	0.0101220981299714	0.00322223888809751	0.0101522063445995	0.0136821457721587	0.00362923640031635	0.0129054116765057	0.0066741946219959	0.00449770777060416	0.00531563095711392
