	OM5_B_B_1	OM5_B_B_2	OM5_B_B_3	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4F_2	OM5_C_4H_1	OM5_C_4H_2	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6D_1	OM5_C_6D_3	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_1	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6B_2	OM5_H_6C_2	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6H_1
OM5_B_B_1	0	0.0209899244568823	0.0192307365662619	0.0391265308178328	0.0621902406156295	0.0266929954455173	0.012992450055242	0.0284758486138821	0.0406933224856213	0.00567422129479835	0.0385234860318741	0.0129374531457745	0.0394123013500715	0.0307281879719237	0.0311863810513719	0.0474288490458019	0.0418292261001469	0.0165273850276511	0.0278834759159356	0.00749543390495493	0.0354432199606482	0.017824571346391	0.0247858234670706	0.0136081543873154	0.00600643940570969	0.00349695963233202	0.0105217363873865	0.00572258839799932	0.0502233780597857	0.0321098299806601	0.0386952038087331	0.0274037126329064	0.0424302694467636	0.0368585357465976	0.00881388756342134	0.0126953740738093	0.0728419806211561	0.0208352254816824	0.0205127834461159	0.0433144448816642	0.0260330171267081
OM5_B_B_2	0.0209899244568823	0	0.00250459900779235	0.0181827654336153	0.0412299679051517	0.00576122699956171	0.00799849341278359	0.00858036455869624	0.0200109756924967	0.015359710501546	0.0175404415216982	0.00817612552919681	0.0184356498250303	0.00987644837460198	0.0103364401457896	0.0264509844387398	0.0209018816181454	0.0133606458231158	0.00951103135025172	0.0146902891139316	0.0152350858817267	0.00433952713629003	0.00380293342802886	0.0102563242880219	0.0268556958073194	0.0243656410389035	0.0119009825061736	0.0178253415732409	0.0292585945120686	0.0111514741620089	0.017722600728084	0.044885673337071	0.0219791497537081	0.0165512349208255	0.0295560446470651	0.0183992469791538	0.0520304566418714	0.000210771610532118	0.00159601307249495	0.0223428000890942	0.0105462769759049
OM5_B_B_3	0.0192307365662619	0.00250459900779235	0	0.0199448108426671	0.0430530662531347	0.00756623085530542	0.00639225017537367	0.00944849126351401	0.0214865753592249	0.0137077770393618	0.0194643722192918	0.00686750965325802	0.0203966040293717	0.0115162932747373	0.0125406980016467	0.0283426778566046	0.0226329355352391	0.0108943642186662	0.00963287294353212	0.0125739343245726	0.0163782080439615	0.0018489746069465	0.00581962795997589	0.00779967338943375	0.0249828661608326	0.0226706107263381	0.0109587196219282	0.0156755525792194	0.0310705817049978	0.013218863728118	0.0197026939941902	0.0425075755357624	0.0233002521920385	0.0189115351586975	0.02793016175956	0.0159108938170051	0.0536483913834771	0.00229383128386788	0.00346334507269842	0.0243006035119872	0.00969804751574436
OM5_C_4A_2	0.0391265308178328	0.0181827654336153	0.0199448108426671	0	0.0231188883943089	0.0124420563412375	0.0261565786514221	0.0115035858012411	0.00342865036676927	0.0335272967222231	0.0018792524385117	0.0263509598877154	0.00231386100312817	0.00843917319033775	0.00878249697497121	0.00851897994299865	0.00272940874389407	0.02780705758686	0.0135634301985924	0.0324507609454231	0.00621897439102251	0.0215129935315592	0.014382194520437	0.0269924502784797	0.044916339041673	0.0425266503816558	0.0298608194698615	0.0354942043541244	0.0111323473305695	0.0074721247435278	0.00250264408247086	0.0612503935070935	0.0058733761667327	0.0082898853166344	0.0477259585978048	0.0341480856985568	0.0338946886647707	0.0183252371593733	0.0189033935937293	0.00492393897281879	0.0173255242400511
OM5_C_4A_3	0.0621902406156295	0.0412299679051517	0.0430530662531347	0.0231188883943089	0	0.0355303471509556	0.0492184303751718	0.0343545086294876	0.0221027632165882	0.0565723279515258	0.0237172867128431	0.049357873257293	0.0228681584243395	0.0315543543255574	0.0312478869852448	0.0148206938207244	0.0204534081904377	0.0503345532016967	0.0359138637145802	0.0555447271011127	0.0277844781880275	0.0446175677961398	0.037432251072184	0.0500000766500259	0.0679983736201715	0.0655636843495094	0.0526764214115481	0.0585712763461845	0.0119896732933938	0.0301853498138396	0.0236009775903771	0.0837235310486724	0.0210991846459348	0.0268808108124794	0.0707183765617575	0.0567947348879152	0.0119581471551571	0.0413814525669391	0.0418285658344811	0.0190074499042518	0.039259513613056
OM5_C_4D_2	0.0266929954455173	0.00576122699956171	0.00756623085530542	0.0124420563412375	0.0355303471509556	0	0.0137168321811377	0.00418709295930327	0.0142787478844539	0.0210901623507614	0.0118994217552803	0.0139361561995191	0.0128319352178796	0.00412771986892527	0.00533485794937813	0.0207873926710372	0.0151543950631734	0.0169214735153005	0.00657430770692377	0.0201375416676827	0.00978488079989862	0.00924530603115866	0.00200994106137518	0.0150310101750644	0.0325077074666896	0.0300923090033416	0.0175997314491128	0.0232299211805411	0.0235474897294455	0.00573908025245753	0.0121408093783318	0.0497470498665067	0.0163134185387376	0.01198868866531	0.0353005128395958	0.0227841648445536	0.0462774005153058	0.0058943276681649	0.00667319948704188	0.0167357112007308	0.00958556740662724
OM5_C_4D_3	0.012992450055242	0.00799849341278359	0.00639225017537367	0.0261565786514221	0.0492184303751718	0.0137168321811377	0	0.0158302523238356	0.0278388888214637	0.00737504935975152	0.0255371301871553	0.00112071151976485	0.0264289981186178	0.0177842919414247	0.0182460641842391	0.0344461618097519	0.0288676353518396	0.0105103966436989	0.0157558537718285	0.00714158728499276	0.0227688917129537	0.00536255024198935	0.0117961804153683	0.00562586918212552	0.0188749914290523	0.0163788688184199	0.0050996462485203	0.010254593340068	0.0372471663407834	0.0191316412769737	0.0257135492666413	0.0378031886336274	0.0296843230696404	0.0241564363759088	0.0215987333841309	0.0129165925229323	0.0599508514214957	0.00784441104812493	0.00761791531864053	0.0303341760648495	0.0149339939395439
OM5_C_4E_1	0.0284758486138821	0.00858036455869624	0.00944849126351401	0.0115035858012411	0.0343545086294876	0.00418709295930327	0.0158302523238356	0	0.0123592718947717	0.023072047411413	0.011612653693364	0.0163023115092269	0.0126269717689434	0.00389419486707788	0.00755357179557844	0.0200056594865215	0.0139962208455665	0.0163215354677359	0.00287932657490202	0.0214187110059436	0.00697261431244006	0.0106617933477265	0.00566865059248329	0.015677624288491	0.0340539691697371	0.0319513915345566	0.0203047832981889	0.0243580772392883	0.0224586592310233	0.00710126151202447	0.0120652798764511	0.0497603039533589	0.0139679615597223	0.0138084302392973	0.037244035178292	0.0226482037814681	0.0445364909631612	0.00862992237963129	0.00991597285185735	0.0163123011926701	0.00664067449055754
OM5_C_4E_2	0.0406933224856213	0.0200109756924967	0.0214865753592249	0.00342865036676927	0.0221027632165882	0.0142787478844539	0.0278388888214637	0.0123592718947717	0	0.0351865533854253	0.00530332311858058	0.0281520769866817	0.00554894026696078	0.0101520575317592	0.0115402057871303	0.00855700720149131	0.00300314749706045	0.0282528955698025	0.0138190117668501	0.0337518264872345	0.00569944009704097	0.0228970695902713	0.0162845216620028	0.0280284248638566	0.0463534307072036	0.0441427273604646	0.0318740578862718	0.0367095399438301	0.0104312114117931	0.0101277268963146	0.00589253796518474	0.0617029851951085	0.00248619597598489	0.0117146214570727	0.0494013734550523	0.0347109262963287	0.0322124081706455	0.0201282714587362	0.0209305415348006	0.00640234007513956	0.0172656877346451
OM5_C_4F_2	0.00567422129479835	0.015359710501546	0.0137077770393618	0.0335272967222231	0.0565723279515258	0.0210901623507614	0.00737504935975152	0.023072047411413	0.0351865533854253	0	0.032886544057008	0.00726545820312104	0.0337674349809423	0.0251556617057072	0.0255196462772087	0.0417940862472721	0.0362386938515292	0.0131927936467145	0.0227060061223812	0.00410804405528243	0.0300370437645822	0.0124257022243975	0.0191613260899999	0.00917258678394003	0.0116523314133779	0.00900759276751516	0.00529839048378315	0.00532217515602145	0.044608882632099	0.026457087243518	0.0330474891977534	0.0320532069526927	0.0369904119618403	0.031200404428616	0.0142304338313315	0.0116535730206146	0.0673071437235823	0.0152109028743342	0.0148433527905898	0.037667495596846	0.0212444657661712
