	OM5_B_B_1	OM5_B_B_3	OM5_C_4A_2	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_2	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6B_1	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_3	OM5_C_6F_1	OM5_C_6F_3	OM5_H_2H_1	OM5_H_2H_2	OM5_H_2H_3	OM5_H_6A_1	OM5_H_6B_2	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6H_2
OM5_B_B_1	0	0.00848385899495136	0.03243989084422	0.0163808242944416	0.0114937494486087	0.0254830433884272	0.00662219596225001	0.0148528234524304	0.032661730094251	0.0349197556195515	0.0145510341167902	0.00522093997282203	0.0218182910352997	0.0300856894869431	0.0118176437031627	0.0239497846504879	0.027382146471364	0.0399079937180597	0.0120415320151271	0.012971587368388	0.0143516010009934	0.0295589143765371	0.0364624099277743	0.0102881157116019	0.00396497337056771	0.0119757949324825	0.0174063667238719	0.0130798697832889	0.00564477065315909	0.0116147472412956	0.0136919414655232	0.0272353078660821	0.028995060631355	0.0380214342209208	0.0388597510383024	0.0193589586175992	0.035614992918635	0.034493223032416	0.0271607974296761	0.0398109260331356	0.0260718912543076	0.0205093163422502
OM5_B_B_3	0.00848385899495136	0	0.0406793712831333	0.0248073544574901	0.0192335396928435	0.0185457365687631	0.00676857707815505	0.00990127107507204	0.0242015165637698	0.0264847795311656	0.0107219711174145	0.00336458867858401	0.0143029547467583	0.0384974101742115	0.0196068874529544	0.0323866953829423	0.0190371057940572	0.0317684582409827	0.00618269985173832	0.0212079787043073	0.0219748324502776	0.0215144607449127	0.0283126485555702	0.0180356580982735	0.00535721905572188	0.0194342444929493	0.0258522485556103	0.0213963923843411	0.00425265898157323	0.00804022266940368	0.0220329132308216	0.0357102700476752	0.0207761295231738	0.0298502153113711	0.0304956164607959	0.012678932670633	0.0274246742319276	0.0267763998288034	0.0192106962141513	0.0314874262721488	0.0185555089825672	0.0120456840311964
OM5_C_4A_2	0.03243989084422	0.0406793712831333	0	0.0178019175341896	0.0247863382384702	0.0546414108815351	0.0370641927132867	0.0457038809270742	0.0645430934993247	0.0667066138568778	0.0424500492668608	0.0375995401853793	0.0519390786410193	0.0110976758992257	0.0247164037680157	0.0122966114410576	0.0588727465323052	0.0709673235336639	0.0431523342142367	0.020908707644886	0.0244265781393745	0.0614248478391155	0.0674035999551161	0.0228221194544359	0.0359837965241539	0.0230630960218988	0.0174384613102717	0.020216081961452	0.0370038629023429	0.0421070747125902	0.0210093702341127	0.00863838752784401	0.0605827799536897	0.0691384951376739	0.0698840605909499	0.0506179100692154	0.0671772319211813	0.0659382862840033	0.0584663239462707	0.0714581927336729	0.0572844949114696	0.0524529612313713
OM5_C_4D_2	0.0163808242944416	0.0248073544574901	0.0178019175341896	0	0.0102251377455134	0.0399882230418781	0.0216061096261445	0.0297654013075087	0.0489759765957225	0.0512595054733467	0.0291635744068804	0.021539569852795	0.0378665258177968	0.013714417329275	0.00976570732107075	0.00758436556298512	0.0437515109791803	0.0561944654074307	0.0279312887788589	0.00734744133676467	0.00995544254479611	0.0457094765954485	0.0527666385328827	0.010103919695537	0.0201039693534509	0.0115487575028124	0.00329559136455369	0.00661849427371231	0.0217747152256748	0.0264962756896644	0.0056098781707845	0.0114011874718053	0.0453224653006995	0.0543287303911309	0.0551725409843404	0.0349234115685291	0.0518973487187715	0.0503986376624424	0.0433864054070184	0.0561401251867845	0.0420190739206356	0.036719822954579
OM5_C_4D_3	0.0114937494486087	0.0192335396928435	0.0247863382384702	0.0102251377455134	0	0.0369505667040729	0.0139714773796457	0.0215918994165181	0.0425718817273485	0.0446604018473668	0.0214024812559645	0.0159684378377981	0.0310772646364255	0.0221299881895256	0.00108580772903167	0.0163277180697212	0.037112149393526	0.0487428855007969	0.020418674167778	0.00430878343811884	0.00385714574287309	0.0382906418315816	0.0455233378447596	0.00936939663009872	0.0138909841096349	0.00628512178331383	0.00897180165195937	0.00536482895363125	0.0158868064841302	0.0182713271779034	0.00475492677953535	0.0185131006660109	0.0381870394521908	0.0469872133482302	0.0487776414432566	0.0268694672185857	0.0445256513093416	0.0423987212100474	0.0358874547777547	0.049030656971618	0.0340503816453586	0.0310648764683594
OM5_C_4E_1	0.0254830433884272	0.0185457365687631	0.0546414108815351	0.0399882230418781	0.0369505667040729	0	0.0251524366283842	0.0243335237037477	0.0176841118464228	0.0198209104588588	0.0236799762356267	0.0214221484732434	0.0168069993821369	0.0530516845812476	0.0372875510965417	0.0472382327276828	0.0159724796531418	0.0268475645263627	0.0213439955099077	0.0379920487464536	0.039718104959034	0.021328041716659	0.0235190140849111	0.0329762068618258	0.0235907345537479	0.0360900999223256	0.0419309620266741	0.0378383895125166	0.021712867420092	0.0247144317335518	0.0388068533584446	0.0509451340181589	0.0190514585094346	0.0250055574527451	0.0214947179952755	0.02260002393872	0.0237692448284523	0.0268792860881821	0.020162823921309	0.0254199242947728	0.0224939345539788	0.0116153061404072
OM5_C_4F_2	0.00662219596225001	0.00676857707815505	0.0370641927132867	0.0216061096261445	0.0139714773796457	0.0251524366283842	0	0.00902050402129507	0.0286653156211467	0.0307262432457996	0.0094640196564074	0.00494546367169185	0.01749339192301	0.0350731201997057	0.0144740282178863	0.0289669097623138	0.023152616324337	0.0349363737827731	0.00650179960191424	0.0166110029276381	0.0167962932550847	0.0245785602525605	0.0316637008185265	0.0150874760310157	0.00334440786886875	0.0146012570830412	0.0218759620304717	0.0170873448312831	0.00453567993421155	0.00536243169880845	0.0176764247153166	0.0317644748855635	0.0242638180693825	0.0331389177317844	0.0348472370032249	0.0136170275364551	0.0306979407928333	0.0290332268311222	0.0220521030847876	0.035147852713111	0.0205065422477048	0.0175006062444781
OM5_C_4F_3	0.0148528234524304	0.00990127107507204	0.0457038809270742	0.0297654013075087	0.0215918994165181	0.0243335237037477	0.00902050402129507	0	0.0224770275824523	0.0243292689497103	0.0110054930335725	0.0108830129495179	0.014482160651057	0.0429655723853322	0.0219327010103707	0.0370139784488404	0.017677054886295	0.0281804261601056	0.00576217379803121	0.0249183188664237	0.0236354477837838	0.0170978152952937	0.0254053409949542	0.0240822936526603	0.0110945502961075	0.0231666785891498	0.0298125051627894	0.0255417124318334	0.0114786138010165	0.00379525362956598	0.0255736674346037	0.0399001948812017	0.0178057137441771	0.026521148971633	0.0292257428022459	0.00554377451707023	0.023611708542487	0.0209798834254548	0.0155149268234403	0.0281690671073345	0.0130892395006071	0.0137200272492832
OM5_C_4H_1	0.032661730094251	0.0242015165637698	0.0645430934993247	0.0489759765957225	0.0425718817273485	0.0176841118464228	0.0286653156211467	0.0224770275824523	0	0.00253150978425388	0.0245320996997847	0.0274708681756915	0.0144369885915313	0.062626740746354	0.0429819665521648	0.0565471189197893	0.00626926900861928	0.010243266515386	0.0224325480994882	0.0450117734091432	0.0450865842367064	0.00736713710588026	0.00791571028473569	0.0417553069398227	0.0291289162982695	0.0426120493758032	0.0499138531768789	0.0453107250219543	0.0276610201695733	0.0249862430207797	0.0459423245469723	0.0598323869532532	0.00599065396736824	0.00852939110862306	0.00797859439476461	0.0175018125383167	0.00652099140069668	0.0106813270022846	0.00902154073296229	0.00821149258215456	0.011889065665841	0.0124843931880342
OM5_C_4H_2	0.0349197556195515	0.0264847795311656	0.0667066138568778	0.0512595054733467	0.0446604018473668	0.0198209104588588	0.0307262432457996	0.0243292689497103	0.00253150978425388	0	0.0261700774111133	0.029738632457031	0.0159771538977978	0.0649193536022538	0.0450906845511218	0.0588264026737416	0.00798899207970635	0.00797866537715676	0.024401319928569	0.0471384481207045	0.0471886209021849	0.00822267386583616	0.00621401571355971	0.0439269287766476	0.031330784461241	0.0446376644991701	0.0521364495707269	0.0474584272650168	0.0298406761357667	0.0269073781367103	0.048125576558069	0.0620418782665142	0.00706881876551602	0.00643133672254103	0.00619864379777627	0.019158704296145	0.00498166780628896	0.0100800385799515	0.0100511767494209	0.00574633495302597	0.0128916133712546	0.0148998687116217
