	OM5_B_B_1	OM5_B_B_3	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_3	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_1	OM5_H_2H_2	OM5_H_2H_3	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6B_2	OM5_H_6C_1	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6H_1	OM5_H_6H_2
OM5_B_B_1	0	0.0301224575559513	0.00434199449719799	0.0431325206884933	0.0140193934839268	0.051262710724999	0.0319482261389953	0.0219515458937498	0.00769397912096819	0.0584848595148584	0.00171004902252081	0.0209608774462155	0.00735046980126244	0.0310187215556057	0.0467146952353043	0.00303763501489822	0.0143893417876259	0.0297935202580394	0.0577620811780791	0.0237758076731422	0.0688719092282487	0.00643240244711269	0.067928810947028	0.100832301546816	0.0397246971446711	0.0242712902000116	0.056992947770913	0.0781246885906466	0.0243129094432758	0.0385279091597863	0.0378653102370763	0.0738047825936455	0.0103764386004316	0.031244348927489	0.00822924269634738	0.0458596526009697	0.0109489659333311	0.044620142480157	0.077823126793932	0.0331972460755739	0.0364971879152865	0.0566376138883258	0.0468855492984525	0.0533847839182186	0.0769523816756292	0.09761972951889	0.0354827744865839	0.0474705251314477	0.0507005368457309
OM5_B_B_3	0.0301224575559513	0	0.0258875075400063	0.013020316094526	0.0162007574505362	0.021156751125822	0.00386935783273987	0.0104832194435619	0.023117283604164	0.0284099654420044	0.0291195486789411	0.0107082620498316	0.0227799201903925	0.00833319521100689	0.0166499125494547	0.03105012399211	0.0172529241278039	0.00291382112576072	0.0277050144174936	0.0114729080474315	0.0388826026022976	0.0252513427745233	0.0378666718620654	0.0709380280486901	0.00963402376041182	0.00804463479488024	0.0270688622698255	0.0480727682828727	0.00756998518042159	0.00892361676904372	0.00791848421850049	0.0437920655385885	0.0198247784106192	0.00333073337725174	0.0278270858908331	0.0158227578324582	0.0208430696119392	0.0145269251140923	0.0478636758919258	0.00327000625318504	0.00675428420322895	0.0273771253346855	0.01677390064938	0.0233719673979242	0.0470056986077963	0.0677732305631513	0.0053976356925553	0.0177867233911058	0.0206321725390168
OM5_C_4A_2	0.00434199449719799	0.0258875075400063	0	0.0389013906002267	0.00993629497636906	0.0470306164667226	0.0276303714877611	0.018165471095819	0.00468454736552899	0.0542751949622517	0.00325182860513458	0.0171008069474457	0.0031584359380063	0.0266897664677831	0.0425110515837165	0.00544207694195068	0.0109143637398487	0.0256808103922605	0.0534915080243736	0.02023949361692	0.0645866229113181	0.00480328785891508	0.0636651577149236	0.0965452866770775	0.0355082788643051	0.0203617301663409	0.0526962488805215	0.0738653829666252	0.0199735220042505	0.0342218515196139	0.0335852532288778	0.0695270021455188	0.00636498420287859	0.0269303292690834	0.00845655064132418	0.0416655569546477	0.00682553752750557	0.0403623023271246	0.0735350905808397	0.0289285751090053	0.0322039271037924	0.0526145764728607	0.0426458843805735	0.049102755389331	0.0726616905859486	0.0933236851824963	0.0312279817835277	0.0431573042121529	0.0464328502279304
OM5_C_4A_3	0.0431325206884933	0.013020316094526	0.0389013906002267	0	0.0291840183887223	0.00813846229772589	0.0120062392098161	0.022523672916855	0.0360460726950622	0.0154064366143492	0.0421302194493312	0.023089222559865	0.0357947222686182	0.0158247293699424	0.00377273681055935	0.0440393279178633	0.0299216810321474	0.0137266265446249	0.0148130053979828	0.0223750110385073	0.026034195523065	0.0381327902924249	0.0249129405378959	0.0580864996256086	0.00345581542559539	0.0199169896159989	0.0144575780319483	0.0351049236943289	0.0197723225118038	0.00601355627921124	0.00573230609764963	0.0308905173128844	0.0328190854926525	0.01255500422157	0.0404491409433651	0.00312894159206215	0.0336851803050641	0.00193551607779709	0.0350130937845282	0.010069523970239	0.00726404375294565	0.0155612597283271	0.00377517107209633	0.0106469200861164	0.0341735161623774	0.0549733034403454	0.00772178008114391	0.00659444853240493	0.00780289203013379
OM5_C_4D_2	0.0140193934839268	0.0162007574505362	0.00993629497636906	0.0291840183887223	0	0.0373146925060345	0.0184002858103303	0.00847944031166143	0.00697681170083109	0.0445119180159983	0.0131831648114996	0.007321689817018	0.0067781479158125	0.0185450637642603	0.0327318357282172	0.0153234662825213	0.00364947802642732	0.0157788735099281	0.0438967833285966	0.0109575518238048	0.0550614421828422	0.00919129476406383	0.0540503223161841	0.0870841697020622	0.0257566903504012	0.0104868937155729	0.0432251985354629	0.064245747526066	0.0113892926624767	0.0248401655232242	0.024049312779591	0.0599726843846672	0.00364657148023747	0.0176677488494731	0.0123785930674584	0.0318686658543605	0.00727436852300942	0.030724104356949	0.0640339185645163	0.0193560928505568	0.0227444258477739	0.0426905495759174	0.0329501777692768	0.0395562667279208	0.0631732094814128	0.0839089762023359	0.0215925653591152	0.0338084395376275	0.0368271506564952
OM5_C_4D_3	0.051262710724999	0.021156751125822	0.0470306164667226	0.00813846229772589	0.0373146925060345	0	0.0198966374697034	0.0304890102480661	0.0441611870164451	0.00732759926481889	0.0502564231078229	0.0311159460895099	0.0439268492270053	0.0230857927743471	0.00473609370708481	0.0521524980272239	0.0379789675740791	0.0217698782921891	0.00693291562623368	0.0301007605118062	0.0180790252267184	0.0462335234110325	0.0168357989358057	0.0500579372490532	0.0115659858725968	0.0278901167833624	0.00722990060382176	0.0269994371799183	0.0277518516838609	0.013417144191419	0.0136282938860478	0.0228560195262094	0.0409504105877818	0.0205013396545961	0.0484668369105001	0.00566725815869544	0.0417463604194542	0.00678009893521639	0.0270196081343504	0.0181613263938632	0.0151182934850327	0.00999769580785304	0.00439881330047333	0.00372746846439907	0.0262008851922411	0.0469890527472934	0.0158300916093666	0.00658953530879695	0.002090082140777
OM5_C_4E_1	0.0319482261389953	0.00386935783273987	0.0276303714877611	0.0120062392098161	0.0184002858103303	0.0198966374697034	0	0.0138886825652945	0.025373535416004	0.0272216407143725	0.0307953518875585	0.0139088380984978	0.0246277658537698	0.00517399488380847	0.0157783709219381	0.0325490370087784	0.0200135471683761	0.00672063869669203	0.0260236556379868	0.0151949788070761	0.0370341062146513	0.0275861031990627	0.0362059692386636	0.0690086039533568	0.0090655950852257	0.0116202503752749	0.0251103526050333	0.0464110802902334	0.00787949021341255	0.00662997714021812	0.00629418465121362	0.0419996024997756	0.021904082806445	0.000745536048656908	0.0304887906267881	0.0150793626083602	0.0219543843342958	0.013117520451243	0.0459748295836145	0.00274129425430971	0.00478172242092695	0.0272908825904392	0.0155292215392637	0.0215868744061476	0.0450942352855958	0.0657712145658886	0.00468520318933468	0.0155355406829334	0.0190213534359626
OM5_C_4E_2	0.0219515458937498	0.0104832194435619	0.018165471095819	0.022523672916855	0.00847944031166143	0.0304890102480661	0.0138886825652945	0	0.0143345797163686	0.0374505917565147	0.0213534083190935	0.00124432025134339	0.0150569638523436	0.016359082894668	0.0257759469415474	0.0236052877644765	0.00771412948774049	0.00883720422193962	0.0373103335423025	0.00297737301085786	0.0485210907794954	0.0161640074113344	0.047309616685505	0.0804914789468844	0.0190838719185149	0.00260732202751641	0.0369434073160059	0.0574225253535554	0.0102570106019071	0.0193353060193035	0.0181639555079182	0.0533280724095679	0.0118184341070914	0.0131718211279262	0.0180117974385393	0.0248638754971292	0.0153985900966158	0.0242688136910639	0.057477829470085	0.0137057693565906	0.0171642078426656	0.0348598674153303	0.0262668463000204	0.0331549113019507	0.0566499942535589	0.0774212848580353	0.0155441675480262	0.0280057920037303	0.0303230125786307
OM5_C_4F_2	0.00769397912096819	0.023117283604164	0.00468454736552899	0.0360460726950622	0.00697681170083109	0.0441611870164451	0.025373535416004	0.0143345797163686	0	0.0513089904783883	0.00740484051089991	0.0134010187159329	0.00303426524446096	0.0252779971542069	0.0395387040145112	0.00980041642540898	0.00670217274916868	0.0224818950898375	0.0507961508482676	0.0160837796102562	0.0619735061023364	0.00226971741414501	0.0609288014359694	0.093985010291338	0.0326042577434869	0.0167309208629684	0.0501634157014396	0.0711099000603009	0.0181987892441359	0.03180909390156	0.0309950857306438	0.066869718611497	0.00361066352849714	0.0246420784862949	0.00610656081611793	0.0386607266794986	0.00803224409562893	0.0376245894440449	0.0709448619500749	0.0263017638791187	0.0297065100936842	0.0491415820952359	0.0398174491476756	0.0464779819052535	0.070088721080919	0.090825161696235	0.0285133091068363	0.0407739095930592	0.0437314626750525
OM5_C_4F_3	0.0584848595148584	0.0284099654420044	0.0542751949622517	0.0154064366143492	0.0445119180159983	0.00732759926481889	0.0272216407143725	0.0374505917565147	0.0513089904783883	0	0.0575067029601652	0.0381443118570709	0.0511606581154462	0.0302931906205485	0.0117881028963477	0.0594259968480585	0.0450305076941276	0.0288561343498608	0.00387097892462968	0.0368370211946706	0.0118200436722853	0.0533482667692528	0.0101570987562516	0.0432361366557152	0.0187837782329959	0.034872049846251	0.0061247367726115	0.0200404872915257	0.0350757065830915	0.0207194421118958	0.020954040226768	0.0162030469002201	0.0481525131801284	0.027826787643171	0.0554453729174384	0.0126598289360137	0.0490571037405215	0.0141071503254384	0.020427918799849	0.0254631343309186	0.0224445678132343	0.00798074273946968	0.0117153522132826	0.00678937247255309	0.0196778398695255	0.0402810118910549	0.0231229038451908	0.0130009420441388	0.00847322062917305
