	OM5_B_B_3	OM5_C_4A_2	OM5_C_4E_1	OM5_C_4E_2	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5H_3	OM5_C_6B_1	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_3	OM5_C_6F_1	OM5_C_6F_3	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6F_1	OM5_H_6F_2
OM5_B_B_3	0	0.0171540870211475	0.0194140417920601	0.025040360698134	0.00808184796635063	0.00307277923799447	0.0180679908587794	0.0225504854626301	0.0085776592629022	0.0156701677034075	0.0129736636906847	0.0111168896342991	0.0061827078267505	0.00758553916837578	0.0231820754853134	0.00397671369121488	0.0170686775973779	0.0370449152144781	0.0325762601645179	0.0205733445490444	0.011356865597355	0.00829244569761265	0.00840611938248484	0.0269735283919091	0.0195331583948889	0.0050946629889036	0.00379908325808466
OM5_C_4A_2	0.0171540870211475	0	0.00296758481066911	0.00853309020058081	0.00991942551074782	0.0163217848233606	0.03476683134289	0.00702994708895843	0.0105468973170682	0.00680867048747404	0.00437471908100457	0.00830361558663301	0.0120527047646486	0.0103644805928196	0.0400341309217428	0.0202204214449644	0.00835040208748714	0.0206906991937351	0.0161030079956457	0.00507235746242302	0.00889208729728403	0.00891383384957418	0.0244366991192984	0.0103316083283755	0.0114931458733253	0.0137583432516476	0.0139393130038593
OM5_C_4E_1	0.0194140417920601	0.00296758481066911	0	0.00629094212262796	0.0123167997969542	0.0187294527555844	0.0371553426748219	0.00450393013759082	0.0120805981415509	0.00669714555923687	0.00652279917161974	0.0111128949153927	0.0138839685291449	0.0129171227694857	0.0424619153943881	0.022561933940486	0.00897332418659693	0.0179602066785974	0.0133606477695197	0.00441308010463132	0.00983806005284737	0.0113515837478313	0.0262956285100442	0.00855347919991515	0.0100861943791628	0.0158170632143377	0.0161552319221403
OM5_C_4E_2	0.025040360698134	0.00853309020058081	0.00629094212262796	0	0.0174164320052923	0.024600522653195	0.0429570040187314	0.0033815727514515	0.0173884361052358	0.0108169844276816	0.0125040839149161	0.0167365234805322	0.0196379434848616	0.0187747373786548	0.0481013182621954	0.0278495236466375	0.0107964652129827	0.0127744322284296	0.00881276128700995	0.00498484165248247	0.0153360594319887	0.0170818435879544	0.0315671362347002	0.00288243357450468	0.0124053882514339	0.0209400851995031	0.0215283774096462
OM5_C_5A_1	0.00808184796635063	0.00991942551074782	0.0123167997969542	0.0174164320052923	0	0.00824402870897859	0.0258533969502867	0.0152175196738519	0.00478446033483397	0.00924655610291434	0.00646974122930823	0.00629727307253262	0.00529573675961009	0.00457781648901795	0.0307914725216859	0.0105025622689995	0.0094851924902113	0.0298433120366339	0.0254961677360695	0.0127102940661523	0.00709908223545784	0.00300477038767597	0.0152653972443381	0.0191519007710535	0.0144041908607182	0.00439301682746021	0.00452432730233713
OM5_C_5A_2	0.00307277923799447	0.0163217848233606	0.0187294527555844	0.024600522653195	0.00824402870897859	0	0.0184622866694198	0.0223050744235674	0.00932133703228344	0.0159783873412193	0.0122112958239797	0.00936018549855887	0.00649327028789159	0.00606520553074952	0.0238471244828191	0.00626687038114128	0.0176493183036295	0.0365881806583184	0.0319651260118322	0.0202470647725835	0.0115512154725321	0.00753602820998105	0.0109813304292747	0.0264440568976833	0.020158964621135	0.00679518405977765	0.00513906182864451
OM5_C_5A_3	0.0180679908587794	0.03476683134289	0.0371553426748219	0.0429570040187314	0.0258533969502867	0.0184622866694198	0	0.0405485963565743	0.0264525049546842	0.0336410478460468	0.0306382975056342	0.0273845297306213	0.0238479611220815	0.0244671151483619	0.0058596382740543	0.0159593513426391	0.0348336265003266	0.0548986217073801	0.0503118505197869	0.0384590576955706	0.0289775175861778	0.0259118352072509	0.014794765520415	0.0447714240720401	0.0368932659555498	0.0227944503940849	0.0217557656804499
OM5_C_5B_1	0.0225504854626301	0.00702994708895843	0.00450393013759082	0.0033815727514515	0.0152175196738519	0.0223050744235674	0.0405485963565743	0	0.0145391014136004	0.00767538449312886	0.0102843281647101	0.0152150236941835	0.0169165921892413	0.0167182976142628	0.0457090912965415	0.0254406176320513	0.00887645291701501	0.0146726905205679	0.0105904027014925	0.00427402144731927	0.0123246133857745	0.0148699820111876	0.0287301918090797	0.00620294166317612	0.00910263462865405	0.0183775127350708	0.0190487852253842
OM5_C_5B_2	0.0085776592629022	0.0105468973170682	0.0120805981415509	0.0173884361052358	0.00478446033483397	0.00932133703228344	0.0264525049546842	0.0145391014136004	0	0.00721053941333861	0.00663545962919518	0.00907605575796939	0.00315745915890668	0.00669383892155742	0.0315344050751934	0.0115789281912938	0.0100144349537001	0.0289336655281889	0.024650049017464	0.0133335103846116	0.00337461813755317	0.00492207265852027	0.0142847946299536	0.0196538841718854	0.0110861768101469	0.00469237128945905	0.00540170699223318
OM5_C_5B_3	0.0156701677034075	0.00680867048747404	0.00669714555923687	0.0108169844276816	0.00924655610291434	0.0159783873412193	0.0336410478460468	0.00767538449312886	0.00721053941333861	0	0.00604891073541259	0.0115063441473376	0.00994963663841122	0.0113680824242216	0.0387175082581609	0.0185273979217823	0.00615801293311389	0.0218971477328266	0.0178301770544108	0.00766992158966677	0.00528177568234685	0.00920947260102684	0.021190425012328	0.0133468277997013	0.00571304449297926	0.0113491180748124	0.0122106176181363
