	OM5_B_B_1	OM5_B_B_2	OM5_B_B_3	OM5_C_4A_1	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_1	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4E_3	OM5_C_4F_1	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_4H_3	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5E_2	OM5_C_5E_3	OM5_C_5F_1	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5G_3	OM5_C_5H_1	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6A_2	OM5_C_6A_3	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_2	OM5_C_6D_3	OM5_C_6F_1	OM5_C_6F_2	OM5_H_2H_2	OM5_H_2H_3	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6A_3	OM5_H_6B_1	OM5_H_6B_2	OM5_H_6B_3	OM5_H_6C_2	OM5_H_6C_3	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6G_2	OM5_H_6H_1	OM5_H_6H_2	OM5_H_6H_3
OM5_B_B_1	0	0.0212831634647135	0.0296314514538349	0.0184675792266186	0.0286363742242801	0.0269483172686829	0.0491980124250569	0.047911547756443	0.054828958458657	0.0465510249505472	0.0293613749398501	0.0584578869731806	0.117835480683569	0.116961659707155	0.119862874971059	0.0612392123180201	0.0556886048258366	0.0618263009846008	0.0508330897674881	0.0338512074045957	0.0471979842284806	0.119042410026627	0.0895101405267537	0.0997699813929214	0.0120538669144514	0.0278678415676679	0.0316810741946651	0.0173970860227248	0.0369701695567694	0.0238739830006719	0.052620035578229	0.0358639007563594	0.0473831152178546	0.0831150990586925	0.0773671168593855	0.0680439194658872	0.0401957608870702	0.0483900458926448	0.0687334657976352	0.0126644557886939	0.0402223207164786	0.0251005726722389	0.0134663703117252	0.0127257151729031	0.0237112153300743	0.0301104677047374	0.0285158202113859	0.0407936423624857	0.0265936345938024	0.0345056777656105	0.0488618688661966	0.0444492456030947	0.0338201577837806	0.0328742646095127	0.0351731075770899	0.0487922663627792	0.116609583398531	0.0599684818763411	0.0441430147242477	0.0539894717511018	0.0323959548082809	0.0507915884965493	0.0469705261040638	0.0271341564606124	0.093388997708588	0.0498523126604961	0.04010910824951	0.0715046514732994
OM5_B_B_2	0.0212831634647135	0	0.0128730064262508	0.033170498776709	0.0253435433151483	0.0232101940360589	0.0527378960635671	0.0464943886985568	0.0517954292526238	0.052188796051109	0.0245421119160791	0.0536201176509153	0.114022788362407	0.110656538682755	0.111259246871366	0.0627241126717774	0.0503367787841101	0.0539904486392485	0.0530083953403993	0.0312254561508608	0.0339642651975175	0.115622425402668	0.0830298884273957	0.0926407901877752	0.0193769008954015	0.00938296349490841	0.0121309176368371	0.02068178289792	0.0225102707001714	0.0103302033703121	0.0561897172079735	0.0303879375162787	0.0405473552794222	0.0765639981972688	0.0693888696439136	0.0562424603790827	0.0430522020436961	0.0430640877221104	0.0661211381695792	0.019043261858815	0.0359860009921202	0.0100785622962319	0.0175101102079636	0.0141916724626593	0.0134479265501739	0.0317389114928924	0.0198023004469931	0.0251076314221447	0.0363274124927784	0.0231462877495725	0.0435108491248795	0.0375540784748574	0.0393787171971018	0.0282640933429938	0.026493678026166	0.0507189652051357	0.112800158431369	0.055613843330399	0.0399862249207171	0.0471605149509456	0.0346076221576448	0.0485998694997633	0.043452271818607	0.0333715237029465	0.0923926620624395	0.050551684930096	0.0339065927531304	0.0675712693580228
OM5_B_B_3	0.0296314514538349	0.0128730064262508	0	0.0364137699349026	0.0213676547548795	0.01762898373921	0.0464054784428331	0.038985074985734	0.0424388340132755	0.0482230120255346	0.0202001988495619	0.043731640267589	0.123192044438118	0.119249510637969	0.118745899177168	0.0740552693990793	0.0604278503020267	0.0626817214466062	0.0639012832056633	0.0416503856905711	0.0411367043439802	0.125236343396712	0.0919927240180975	0.101096694811731	0.0255349042914736	0.0164523104215084	0.00867011816008985	0.0309241682849498	0.0301993863654883	0.0185801817258477	0.0498276353032893	0.0224875902699509	0.0306333178980453	0.0855462341495298	0.0776543941729724	0.0627740979373187	0.0375793315433009	0.0331070665729548	0.0566682949053429	0.0229541246565822	0.0274746405958973	0.0119982173720663	0.0281846182261438	0.0217873935748837	0.0221629987135907	0.0435662116567622	0.0294652645041831	0.0315503453612798	0.035254582467868	0.0134621079232695	0.0335476658889802	0.0267193890312556	0.036284614433471	0.0204782518948229	0.0173628309325371	0.0442627974566037	0.102582015226942	0.0461093232333782	0.0311893721298764	0.0362052909539799	0.0303746000453611	0.0396845817731068	0.0341438958131827	0.031033209967098	0.0831161332076052	0.04378738681017	0.0243431823541748	0.0576855890707242
OM5_C_4A_1	0.0184675792266186	0.033170498776709	0.0364137699349026	0	0.0233949277304508	0.025727580675978	0.0354159637416597	0.0369358095005019	0.0448782288160712	0.0303249607927075	0.0253838404037678	0.0490519152988967	0.135602376550181	0.134384902595611	0.137502376042617	0.0784692166371521	0.0732858426430367	0.0792644712310727	0.0674930117240723	0.0512261912133475	0.0637643577738435	0.136578993154086	0.106892275651111	0.117113036502092	0.0247518654638727	0.0413042280497095	0.0412720807244184	0.0347653703340182	0.052318052200165	0.0385256979953198	0.0383889260572808	0.0304519632886927	0.040674665339119	0.100731223403064	0.094698404058194	0.0852800712571019	0.0286918503912555	0.0409441053909475	0.0575340523545742	0.0145140838116829	0.0334219292990596	0.0351951788917606	0.0310928931591613	0.0248735100110702	0.039038860522948	0.048023760045423	0.0454364611386479	0.0565295066495093	0.0148823382976622	0.0345348897873911	0.0414824590334483	0.0401407023514042	0.0196698654249846	0.0286959283871207	0.03247820269271	0.0351647583982458	0.10419884914912	0.0500781271874739	0.0360819783938995	0.047272589128442	0.0223425142356852	0.0410902301727141	0.0388922439363989	0.016206540500512	0.0797175102980572	0.0366993573614103	0.0346604606607556	0.0605817884241734
OM5_C_4A_2	0.0286363742242801	0.0253435433151483	0.0213676547548795	0.0233949277304508	0	0.0135359942134134	0.0301650612749574	0.023184154123677	0.0303758131383013	0.0283633891632507	0.00508490375652199	0.0324530572452543	0.138599315225878	0.134892181048446	0.135798851489202	0.0853007188228775	0.0743933058142534	0.078308218590678	0.0741773037373871	0.0537738088006088	0.0584005473182026	0.139976222788135	0.107170326544205	0.116727538973755	0.0295285144386434	0.0331725670796908	0.027727595422817	0.0393975631989001	0.046132466676621	0.0336602587787276	0.0333869903052757	0.0104856930083675	0.020824327673033	0.100968482893741	0.0935569033744942	0.0807861927063295	0.0229218108539559	0.0235104797462749	0.0444401527097674	0.0162104905597317	0.0162128966787276	0.0258291623443607	0.0353808031283286	0.0255101839943137	0.0359533876188701	0.0535128220904158	0.0437571916539043	0.0493149720378524	0.022501047919262	0.0133624549637075	0.0239670725208093	0.0227054248261459	0.0173418068395554	0.0117209582830746	0.0106682990468576	0.026606835800484	0.091120529941385	0.0339977767613269	0.0188031607404249	0.0290475001804753	0.0147951466721575	0.027728432864688	0.0238133510937494	0.0163305678724046	0.0692991571601635	0.026157801158047	0.015310430458518	0.0457056772281802
OM5_C_4A_3	0.0269483172686829	0.0232101940360589	0.01762898373921	0.025727580675978	0.0135359942134134	0	0.0317580217357816	0.0282416189961494	0.0321667606023881	0.0335627256543085	0.011533978860896	0.0358613757565573	0.134059693450648	0.130943174092322	0.131777400378527	0.0819162480943611	0.0704765974379468	0.0738184940171223	0.0694585077619352	0.048707272433493	0.0543901714256015	0.136009080946339	0.10314811514869	0.112668780173963	0.0232159092385367	0.0292491727659235	0.0232763822695117	0.0340217297830881	0.0425315767976767	0.0280153576563623	0.0348322142267368	0.0119129416649854	0.0228676144820593	0.0971031576471019	0.0892849077640693	0.0760181028016567	0.0212920554706866	0.023957812483344	0.0477290244237613	0.0166822563293632	0.0156559002585589	0.0192925761225329	0.0308361255017394	0.0206991607338848	0.0299009661421183	0.0504700220656376	0.0390473876427199	0.0453484843629598	0.0194415777864976	0.0138417591730162	0.0247159867861527	0.0197667959783743	0.0227782152110252	0.00791791351307527	0.0133290550673881	0.0311053032968094	0.0946261226724848	0.0377890478869832	0.0216934000754206	0.0286161212678019	0.0139217402220096	0.0284649551546213	0.0231646464219891	0.0153627618678959	0.072559313499167	0.0322788874706216	0.0157401885045467	0.0487048889536224
OM5_C_4D_1	0.0491980124250569	0.0527378960635671	0.0464054784428331	0.0354159637416597	0.0301650612749574	0.0317580217357816	0	0.0143803538931084	0.0166120828086857	0.0130132978892991	0.0316660549799306	0.0226101927766181	0.163945006407944	0.161698970533989	0.162799684264694	0.109679158940785	0.100820107697959	0.104902287323305	0.097553377982624	0.0785281969836577	0.0856043245658269	0.165628444758918	0.133966417531452	0.143652040183433	0.0497264874309076	0.0601788417977889	0.0535020843102535	0.0621475823749232	0.0737051103396872	0.0590156058875975	0.00489313324795451	0.0261620085686508	0.0245159502791745	0.127834614471264	0.120435441016893	0.107391764787323	0.0135266333597742	0.0209896561883484	0.0257362736529374	0.0391143008720914	0.0214150607839826	0.0507577218211097	0.0582549265353804	0.0489364262197445	0.0608574319433259	0.0780952173437526	0.0696034509813249	0.0763153418448016	0.0252087259445205	0.0364993676925829	0.0211321641391457	0.0263791452551365	0.0175147510236265	0.0265086125595556	0.0315437941314548	0.00759548962964781	0.070742810569221	0.022515725457341	0.0193960668496392	0.0254990044448782	0.0213746187079821	0.01429290026015	0.0175845736565278	0.0226040167053023	0.0455270647466956	0.0123120224237269	0.0247670640973452	0.0287903602704106
OM5_C_4D_2	0.047911547756443	0.0464943886985568	0.038985074985734	0.0369358095005019	0.023184154123677	0.0282416189961494	0.0143803538931084	0	0.0103263552539502	0.0186091636191736	0.0249564766890065	0.0133655363591775	0.159774633228832	0.156550152824229	0.156799065550192	0.106815403053129	0.0962278818600308	0.0998885866293683	0.0955700656954351	0.075349875838511	0.0792393618836509	0.161318420098604	0.128888458462644	0.138357527433474	0.0488042334316665	0.0539091890869114	0.0461353479124564	0.060053650350303	0.0674461702105373	0.054149095469433	0.0168353492280895	0.0188329816059467	0.0141606386327321	0.122687909072797	0.11518626285371	0.101163006720897	0.0177142593768893	0.0124923060206959	0.0220538728199421	0.0363418070651639	0.0146485117005912	0.0453398931018897	0.0556577757131584	0.0461450400808792	0.056609757026599	0.0749484099400568	0.065112792199304	0.0694850395892382	0.029636017308114	0.0277725350000502	0.0120616693785698	0.019338369220735	0.0179364420306004	0.0209658104524057	0.0227437020465574	0.00893141615150501	0.0692512159885318	0.0133478034285232	0.00898018731298788	0.0177995216008074	0.0213120317616558	0.00946641878579261	0.0116667115895463	0.0240367561878378	0.0467706089404391	0.00775813045694469	0.0164215646324969	0.0243333544185601
OM5_C_4D_3	0.054828958458657	0.0517954292526238	0.0424388340132755	0.0448782288160712	0.0303758131383013	0.0321667606023881	0.0166120828086857	0.0103263552539502	0	0.0254189909918044	0.0312634595657689	0.00725103188973952	0.164300598090212	0.160923944775405	0.160591043980304	0.112718167109846	0.101296515186048	0.104238955703064	0.101075401176975	0.0803894323518665	0.0832173846684242	0.16622098239268	0.133451763438087	0.142666517597008	0.0539628776778642	0.0582072981005272	0.0494601855652054	0.0654452743906055	0.0717918536837426	0.0584936729860458	0.0179278397573584	0.023083819291555	0.0141823313025974	0.127286562396964	0.11937962060755	0.104569985847577	0.0212279336315038	0.0099720212771726	0.0159186043471096	0.0434795641988859	0.0172165550972612	0.0493223623278751	0.0614745600898893	0.0518999833728314	0.0610530146497736	0.0809779377660791	0.069816371774615	0.0733929527778895	0.0352924717659671	0.0313324367854107	0.0094245625482718	0.0176021977444294	0.0263607949256739	0.0246903696485739	0.0267053126663456	0.0144741210313926	0.0629539003753065	0.00805611841157252	0.012100047973732	0.0118083515286288	0.0267603890958901	0.00499497524918048	0.00949380329475307	0.0304218605666065	0.0411404977881094	0.0142179729825029	0.0186020029816827	0.0173362427449967
OM5_C_4E_1	0.0465510249505472	0.052188796051109	0.0482230120255346	0.0303249607927075	0.0283633891632507	0.0335627256543085	0.0130132978892991	0.0186091636191736	0.0254189909918044	0	0.030101660076902	0.0297202898310318	0.162771725014673	0.160181061332525	0.162115153947631	0.107242828453991	0.0990762749030052	0.103847508987046	0.0952096524860982	0.077098796196328	0.0854132442475966	0.163909405597144	0.132302610045214	0.142188717477593	0.0491440591470654	0.0602462470818598	0.0548499052185577	0.0609305481177261	0.0730647614610202	0.0592259381460184	0.0133054281715472	0.0279257011936945	0.0292200569838605	0.126401000046223	0.119307457489701	0.107544672057894	0.016981729888393	0.0279984315842717	0.0338273033204882	0.036402747144808	0.0257723429726928	0.0513212162422312	0.056864700589033	0.0474355489032858	0.060742407645909	0.0759686661374303	0.0690763151033454	0.0765290296395542	0.0243038872027019	0.038280436386096	0.0283294560268856	0.0337992268650913	0.0141815446099708	0.0294340695273787	0.0334456096422593	0.0115477388361515	0.076339855063009	0.0291869064982964	0.0245083013700953	0.0333632508145533	0.0206769127297056	0.0237248846402921	0.0257618483116857	0.0218617598609135	0.0511236703383545	0.0144993652959629	0.0291327849070952	0.0359502384162919
