	OM5_B_B_1	OM5_B_B_3	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_2	OM5_C_6F_1	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_1	OM5_H_2H_2	OM5_H_6A_2	OM5_H_6B_2	OM5_H_6C_1	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6H_2
OM5_B_B_1	0	0.0187850118105251	0.0083687370592389	0.0188297778380737	0.0350839324387654	0.0283951225874381	0.0273361362777	0.0190544547718812	0.0290222532858547	0.0229256892541669	0.0301173956280976	0.00214187347085902	0.00908596332268176	0.0222367723465145	0.03668993177068	0.00624664297051214	0.0262295594427657	0.0150285838578435	0.0185475978835121	0.011458857064189	0.0153115256647433	0.0236867725229455	0.0297789096896745	0.0337681074334356	0.0320877134360138	0.0343863604856576	0.0147179613134148	0.0194399824248728	0.0317945310428771	0.0243026306733755	0.0287437875531149	0.0105447626902404	0.00994788185767029	0.0110308290102521	0.027638508740735	0.0410089738915134	0.0285853657927178	0.0252729570821432	0.0343473714066561	0.0322924105902678	0.0290801598927614	0.0342750095677696	0.0448795425156908	0.0322320194290872
OM5_B_B_3	0.0187850118105251	0	0.0104934576763354	0.00111448992545247	0.0181463666439316	0.0122441172452899	0.00909435656880574	0.00509165154041744	0.011115031779701	0.00445410541907391	0.0115719082185925	0.0166676804742007	0.0239547326420591	0.00684538469225325	0.0194817803568292	0.0131298976177033	0.00871715008645321	0.00480242900520172	0.000280246492174969	0.00883359231845694	0.00432978756115288	0.00683447382922766	0.0128437099054251	0.0149925671290933	0.0147552202021792	0.0164885010151821	0.00453689192622636	0.00162984082545998	0.0140233756234505	0.00933886213737967	0.0117929660435626	0.00961784935673545	0.00914573576443933	0.00877100700277097	0.0100703200913049	0.0235016577055487	0.00996797436603532	0.00803454698943459	0.0163577363146636	0.0150246783157308	0.0112080995549676	0.0159168703661135	0.0272813806453486	0.0143743556406
OM5_C_4A_2	0.0083687370592389	0.0104934576763354	0	0.0106526369578499	0.0276248243104329	0.0210843192589002	0.0193045115394295	0.0116546599103924	0.0211289177974159	0.0147693236404008	0.0219781510819791	0.00622932193893188	0.0141405068369035	0.0148477419856971	0.0291432346230236	0.00393454713076241	0.0184224404313837	0.00735488758177087	0.0102451241694477	0.00386196514177534	0.00750938268584678	0.0159906475606132	0.0222370527430796	0.0254775066393439	0.024441744986432	0.0265450458301445	0.0068081448771253	0.0113043415364793	0.0239813087270162	0.0171863674474519	0.021174857689511	0.00321998989554521	0.00294422979476502	0.00319851837591016	0.0198415858406865	0.0333726734109289	0.0204067519688624	0.0175245131915351	0.0264682690037074	0.0246730669212456	0.0212001094970416	0.0262369000222377	0.0372236733414019	0.0243897214228988
OM5_C_4A_3	0.0188297778380737	0.00111448992545247	0.0106526369578499	0	0.0174990218538014	0.0114223476073329	0.00868701709026638	0.00398331113599819	0.0106127928531086	0.00411732625346252	0.0113281425683208	0.0167367829437074	0.0243742931898675	0.00581881143124917	0.0188885741343645	0.0130006483956028	0.0080742718122065	0.00429643591552137	0.00128680681891659	0.00937706692091413	0.00385873868867572	0.00600080889129406	0.0121463799232743	0.0149841245149767	0.0141511273011607	0.0160250787637567	0.00423868244647158	0.00070936142192387	0.0135107560416931	0.00834040698815541	0.0110844140885076	0.0101047136847506	0.00901642093504032	0.00923541981215287	0.00946407634539743	0.0229831737528894	0.00976779366964345	0.00731319699665318	0.0159185157553989	0.0144103874087562	0.0106966524136942	0.0155979786791071	0.0267935235619698	0.0138867651256924
OM5_C_4D_3	0.0350839324387654	0.0181463666439316	0.0276248243104329	0.0174990218538014	0	0.00671653924481569	0.00945628886034158	0.0160711025725706	0.00727818300706095	0.0138294238939469	0.00853055528281537	0.0331727468948859	0.0416880230117623	0.012865513789939	0.00173985587889391	0.0288495217881796	0.00943428631830942	0.0202920968600492	0.0184257223475243	0.0268710762719524	0.0201172777943624	0.0116640504188569	0.00539606398873911	0.010251019047381	0.00345438960464316	0.00360361670708515	0.0208251127920356	0.0167898948089363	0.00462544434388377	0.0108576130802645	0.00646346445225234	0.0275746639235522	0.0252740912455399	0.0266968688920403	0.00808250111451949	0.00608545047444128	0.00983657750157369	0.0102040414081981	0.00400593066024407	0.0031609988612823	0.0071589091199093	0.00587402477043482	0.00991637944162139	0.00454443346563022
OM5_C_4E_1	0.0283951225874381	0.0122441172452899	0.0210843192589002	0.0114223476073329	0.00671653924481569	0	0.00548309740294808	0.00944766394015504	0.00419062455874846	0.00840763177036321	0.00698473060014223	0.0265056104513103	0.0352052486873835	0.00624012864516447	0.00838345417338758	0.0221542107887535	0.00404699242884936	0.0137303501317059	0.0125125869118349	0.0206567870635112	0.0135973205739274	0.00542251143410558	0.00197367542238224	0.011094051689268	0.00424690021366401	0.00707045102440398	0.0143288414480664	0.0107256044931554	0.00485999925079295	0.00414429814409406	0.00167562180618319	0.0212940032465751	0.0186382384553703	0.0204097912632394	0.00341831836883865	0.0127562779035003	0.00715987990640401	0.00433032169785248	0.00723641853660474	0.00433044319394068	0.00408569036930004	0.0082620861703286	0.0166145649496006	0.00535475655840509
OM5_C_4E_2	0.0273361362777	0.00909435656880574	0.0193045115394295	0.00868701709026638	0.00945628886034158	0.00548309740294808	0	0.00882212613480462	0.00217823634996875	0.00464037209744267	0.00299454222316887	0.0252841471633255	0.0330309987061585	0.00635286150083127	0.0105877688253015	0.0212941807517519	0.00213197639304179	0.0123389969398674	0.00937213316554089	0.0179261111109869	0.0120314255768462	0.00430535033231324	0.00480208156831939	0.00741453677922336	0.00600491249342283	0.00740253434061324	0.0126243953218279	0.00801187110148446	0.00501485931886658	0.00637540799149702	0.00406183385801746	0.0187092031724345	0.0174004805175795	0.0178569422110984	0.00206506995620515	0.0144482701357284	0.00205775448310851	0.00297169920304591	0.00726407949285042	0.00630448703820077	0.00229912679430326	0.00694538336327964	0.0181997310452397	0.00531913113070839
OM5_C_4F_2	0.0190544547718812	0.00509165154041744	0.0116546599103924	0.00398331113599819	0.0160711025725706	0.00944766394015504	0.00882212613480462	0	0.0101646250234431	0.00555036478194594	0.0118035255367585	0.0171129485906069	0.0257915585897199	0.00321123542003953	0.0176519193231941	0.0128476599162613	0.00732240023200643	0.00431237758909881	0.0052254367970322	0.011654827374831	0.00424322223320713	0.00472387429436522	0.0107309558529628	0.0160634606432733	0.0130387925019483	0.0154125685015501	0.00499943453601163	0.00369917536841906	0.0128160255773302	0.00555786931658717	0.00969196364833628	0.0121693853101829	0.00920513574527889	0.0112929804865527	0.00869124956672877	0.0219628623770176	0.0105267123395296	0.00632249968038806	0.01540618245987	0.0132417080124337	0.0102032563969448	0.0155609995012014	0.0258353474389808	0.0132738461616798
OM5_C_4F_3	0.0290222532858547	0.011115031779701	0.0211289177974159	0.0106127928531086	0.00727818300706095	0.00419062455874846	0.00217823634996875	0.0101646250234431	0	0.00668715823315032	0.00280932423334082	0.0270035124169543	0.0349824016495235	0.00729058208963364	0.00843608500632452	0.0229001473856452	0.00284304912433436	0.0139972714911862	0.0113948689903014	0.0199395971087107	0.0137310546952448	0.0054432697581062	0.00292307319177623	0.00713315546524638	0.00382693863462063	0.00542149234707448	0.0143690516334737	0.00991755760812945	0.00290855405096569	0.00651095612945557	0.00252983338973485	0.0206994901653444	0.0190781964337044	0.0198371780793467	0.00155998760560038	0.0123886247803015	0.00312350155437122	0.0038520171900314	0.00534265171069192	0.00412723937689291	0.000134461542652805	0.00541785543324811	0.0161843034981412	0.0032745583116381
OM5_C_4H_1	0.0229256892541669	0.00445410541907391	0.0147693236404008	0.00411732625346252	0.0138294238939469	0.00840763177036321	0.00464037209744267	0.00555036478194594	0.00668715823315032	0	0.00721115235715072	0.0208415418915519	0.0283997411435116	0.00480991388374291	0.0150989481424575	0.0170169615648904	0.00451501652645505	0.0081102753215347	0.00473185646391283	0.0132864503812085	0.00773892699224557	0.00351083552860643	0.00865400909113522	0.0109908985657204	0.0103995759976793	0.0120376975101247	0.00824505500197341	0.003486490905739	0.00959289812645769	0.00662580916676178	0.00764632432388907	0.0140704731074536	0.0130554151735474	0.0132202370854504	0.00576336687722782	0.0190643379891506	0.00566149919714398	0.00408215062063503	0.0119041911302912	0.0106797483707495	0.00678572537225138	0.0114971151957431	0.0228333291428237	0.00993179157210611
