	OM5_B_B	OM5_C_4A	OM5_C_4D	OM5_C_4E	OM5_C_4F	OM5_C_4H	OM5_C_5A	OM5_C_5B	OM5_C_5D	OM5_C_5E	OM5_C_5F	OM5_C_5G	OM5_C_5H	OM5_C_6A	OM5_C_6B	OM5_C_6D	OM5_C_6F	OM5_H_2H	OM5_H_6A	OM5_H_6B	OM5_H_6C	OM5_H_6F	OM5_H_6G	OM5_H_6H
OM5_B_B	0	0.0188297778380737	0.0350839324387654	0.0273361362777	0.0290222532858547	0.0301173956280976	0.00214187347085902	0.0222367723465145	0.00624664297051214	0.0185475978835121	0.0153115256647433	0.0297789096896745	0.0337681074334356	0.0343863604856576	0.0194399824248728	0.0287437875531149	0.0110308290102521	0.0410089738915134	0.0285853657927178	0.0252729570821432	0.0343473714066561	0.0322924105902678	0.0448795425156908	0.0322320194290872
OM5_C_4A	0.0188297778380737	0	0.0174990218538014	0.00868701709026638	0.0106127928531086	0.0113281425683208	0.0167367829437074	0.00581881143124917	0.0130006483956028	0.00128680681891659	0.00385873868867572	0.0121463799232743	0.0149841245149767	0.0160250787637567	0.00070936142192387	0.0110844140885076	0.00923541981215287	0.0229831737528894	0.00976779366964345	0.00731319699665318	0.0159185157553989	0.0144103874087562	0.0267935235619698	0.0138867651256924
OM5_C_4D	0.0350839324387654	0.0174990218538014	0	0.00945628886034158	0.00727818300706095	0.00853055528281537	0.0331727468948859	0.012865513789939	0.0288495217881796	0.0184257223475243	0.0201172777943624	0.00539606398873911	0.010251019047381	0.00360361670708515	0.0167898948089363	0.00646346445225234	0.0266968688920403	0.00608545047444128	0.00983657750157369	0.0102040414081981	0.00400593066024407	0.0031609988612823	0.00991637944162139	0.00454443346563022
OM5_C_4E	0.0273361362777	0.00868701709026638	0.00945628886034158	0	0.00217823634996875	0.00299454222316887	0.0252841471633255	0.00635286150083127	0.0212941807517519	0.00937213316554089	0.0120314255768462	0.00480208156831939	0.00741453677922336	0.00740253434061324	0.00801187110148446	0.00406183385801746	0.0178569422110984	0.0144482701357284	0.00205775448310851	0.00297169920304591	0.00726407949285042	0.00630448703820077	0.0181997310452397	0.00531913113070839
OM5_C_4F	0.0290222532858547	0.0106127928531086	0.00727818300706095	0.00217823634996875	0	0.00280932423334082	0.0270035124169543	0.00729058208963364	0.0229001473856452	0.0113948689903014	0.0137310546952448	0.00292307319177623	0.00713315546524638	0.00542149234707448	0.00991755760812945	0.00252983338973485	0.0198371780793467	0.0123886247803015	0.00312350155437122	0.0038520171900314	0.00534265171069192	0.00412723937689291	0.0161843034981412	0.0032745583116381
OM5_C_4H	0.0301173956280976	0.0113281425683208	0.00853055528281537	0.00299454222316887	0.00280932423334082	0	0.0280421730780341	0.00931885517441385	0.0241433863688033	0.0118400136265218	0.0148554494745338	0.00550116361045688	0.00450517445283491	0.00558513281928628	0.0106910836526359	0.00531181442707214	0.020314481514807	0.0125536914560501	0.0016401231399187	0.00586727679877069	0.00531916832512011	0.00571739795919554	0.0161223329828466	0.00398634877805345
OM5_C_5A	0.00214187347085902	0.0167367829437074	0.0331727468948859	0.0252841471633255	0.0270035124169543	0.0280421730780341	0	0.0203118607185007	0.004490734748261	0.0164276504566597	0.0132764583787441	0.0278406861165258	0.0316554092789086	0.0323849259218721	0.0173562869625453	0.0267976520125203	0.00891648501162356	0.0390619352877417	0.026499860311153	0.0232808335095327	0.0323369618965471	0.0303404055678739	0.0429304931112279	0.0302283907391951
OM5_C_5B	0.0222367723465145	0.00581881143124917	0.012865513789939	0.00635286150083127	0.00729058208963364	0.00931885517441385	0.0203118607185007	0	0.0160131366238268	0.00707255705550261	0.00737699831801804	0.00754772092852563	0.0137665120972048	0.0123555616727487	0.00521557896270804	0.00652428644463723	0.0143079890101432	0.0187851870457469	0.00829782376896658	0.00348798782064985	0.0123791174416027	0.0100770844355656	0.0226588309307288	0.0102471925324581
OM5_C_5D	0.00624664297051214	0.0130006483956028	0.0288495217881796	0.0212941807517519	0.0229001473856452	0.0241433863688033	0.004490734748261	0.0160131366238268	0	0.012921489320252	0.0092919419104705	0.0235594585214044	0.0279752936392584	0.0282299048564389	0.0135561363590903	0.02253047756458	0.00712409478652767	0.0347935034862862	0.0226572664721162	0.0191128894134013	0.0282048490777551	0.0260821451130968	0.0386655144622606	0.0260805182209372
OM5_C_5E	0.0185475978835121	0.00128680681891659	0.0184257223475243	0.00937213316554089	0.0113948689903014	0.0118400136265218	0.0164276504566597	0.00707255705550261	0.012921489320252	0	0.00421606901583715	0.0131211021143898	0.0152361395966372	0.0167671483405182	0.00186207031719694	0.0120697172133866	0.0084961819954442	0.0237813157189054	0.0102334370110311	0.0083098276191911	0.0166356305294305	0.0153045726754442	0.0275602909032223	0.0146537307583143
OM5_C_5F	0.0153115256647433	0.00385873868867572	0.0201172777943624	0.0120314255768462	0.0137310546952448	0.0148554494745338	0.0132764583787441	0.00737699831801804	0.0092919419104705	0.00421606901583715	0	0.0147297423474271	0.0187230198508302	0.0191246291247454	0.00432392153156899	0.0136684142805603	0.0070878958554691	0.02588846078361	0.0133677786857597	0.0100456945200195	0.0190691519414891	0.0171762684821031	0.0297475683190448	0.0169665711114415
OM5_C_5G	0.0297789096896745	0.0121463799232743	0.00539606398873911	0.00480208156831939	0.00292307319177623	0.00550116361045688	0.0278406861165258	0.00754772092852563	0.0235594585214044	0.0131211021143898	0.0147297423474271	0	0.00931837400286965	0.00514894348344047	0.0114373279732554	0.00106840980930736	0.0213174983991366	0.0112382238039805	0.00604625802613493	0.00483374597220872	0.00529105468868335	0.00255106218832053	0.0151123137783618	0.00338156610496671
OM5_C_5H	0.0337681074334356	0.0149841245149767	0.010251019047381	0.00741453677922336	0.00713315546524638	0.00450517445283491	0.0316554092789086	0.0137665120972048	0.0279752936392584	0.0152361395966372	0.0187230198508302	0.00931837400286965	0	0.00664999145518919	0.014423071115667	0.00944393547253853	0.023465216777491	0.0120738378467986	0.00554025409667969	0.0103519846870617	0.00624900260460617	0.00844473728126593	0.0149824510477156	0.00648363855363111
OM5_C_6A	0.0343863604856576	0.0160250787637567	0.00360361670708515	0.00740253434061324	0.00542149234707448	0.00558513281928628	0.0323849259218721	0.0123555616727487	0.0282299048564389	0.0167671483405182	0.0191246291247454	0.00514894348344047	0.00664999145518919	0	0.0153331263832229	0.00597945503034484	0.0252362327080789	0.00707062052989959	0.00712254344069042	0.0091201333292023	0.000402619338393942	0.00284672621070711	0.0107978562801112	0.00215840700897636
OM5_C_6B	0.0194399824248728	0.00070936142192387	0.0167898948089363	0.00801187110148446	0.00991755760812945	0.0106910836526359	0.0173562869625453	0.00521557896270804	0.0135561363590903	0.00186207031719694	0.00432392153156899	0.0114373279732554	0.014423071115667	0.0153331263832229	0	0.0103755980551704	0.00993930453579584	0.0222823416617069	0.00914779304477814	0.00660428132399323	0.0152306554404298	0.0137025273392182	0.026096074176594	0.0131919129045499
OM5_C_6D	0.0287437875531149	0.0110844140885076	0.00646346445225234	0.00406183385801746	0.00252983338973485	0.00531181442707214	0.0267976520125203	0.00652428644463723	0.02253047756458	0.0120697172133866	0.0136684142805603	0.00106840980930736	0.00944393547253853	0.00597945503034484	0.0103755980551704	0	0.0202500689870067	0.0122721242730245	0.00556908507775973	0.0037714832715539	0.00607351907245299	0.00355320702042234	0.0161452254770191	0.00402821269099125
OM5_C_6F	0.0110308290102521	0.00923541981215287	0.0266968688920403	0.0178569422110984	0.0198371780793467	0.020314481514807	0.00891648501162356	0.0143079890101432	0.00712409478652767	0.0084961819954442	0.0070878958554691	0.0213174983991366	0.023465216777491	0.0252362327080789	0.00993930453579584	0.0202500689870067	0	0.0322139440620783	0.0186945476999287	0.016494731081675	0.025115527498634	0.0236320185587587	0.0360162361417361	0.0231079507861058
OM5_H_2H	0.0410089738915134	0.0229831737528894	0.00608545047444128	0.0144482701357284	0.0123886247803015	0.0125536914560501	0.0390619352877417	0.0187851870457469	0.0347935034862862	0.0237813157189054	0.02588846078361	0.0112382238039805	0.0120738378467986	0.00707062052989959	0.0222823416617069	0.0122721242730245	0.0322139440620783	0	0.0141445427179713	0.0158522342110466	0.00726992542362758	0.00872641842025503	0.00387440107030672	0.00913399752371124
OM5_H_6A	0.0285853657927178	0.00976779366964345	0.00983657750157369	0.00205775448310851	0.00312350155437122	0.0016401231399187	0.026499860311153	0.00829782376896658	0.0226572664721162	0.0102334370110311	0.0133677786857597	0.00604625802613493	0.00554025409667969	0.00712254344069042	0.00914779304477814	0.00556908507775973	0.0186945476999287	0.0141445427179713	0	0.00500876744287489	0.00688357395170518	0.00684486157508391	0.0177444520339247	0.00533644039908729
OM5_H_6B	0.0252729570821432	0.00731319699665318	0.0102040414081981	0.00297169920304591	0.0038520171900314	0.00586727679877069	0.0232808335095327	0.00348798782064985	0.0191128894134013	0.0083098276191911	0.0100456945200195	0.00483374597220872	0.0103519846870617	0.0091201333292023	0.00660428132399323	0.0037714832715539	0.016494731081675	0.0158522342110466	0.00500876744287489	0	0.00909661397029671	0.0071646054163323	0.0197071343651078	0.00696934285654203
OM5_H_6C	0.0343473714066561	0.0159185157553989	0.00400593066024407	0.00726407949285042	0.00534265171069192	0.00531916832512011	0.0323369618965471	0.0123791174416027	0.0282048490777551	0.0166356305294305	0.0190691519414891	0.00529105468868335	0.00624900260460617	0.000402619338393942	0.0152306554404298	0.00607351907245299	0.025115527498634	0.00726992542362758	0.00688357395170518	0.00909661397029671	0	0.00309575541920787	0.0109507033316946	0.00213421368011029
OM5_H_6F	0.0322924105902678	0.0144103874087562	0.0031609988612823	0.00630448703820077	0.00412723937689291	0.00571739795919554	0.0303404055678739	0.0100770844355656	0.0260821451130968	0.0153045726754442	0.0171762684821031	0.00255106218832053	0.00844473728126593	0.00284672621070711	0.0137025273392182	0.00355320702042234	0.0236320185587587	0.00872641842025503	0.00684486157508391	0.0071646054163323	0.00309575541920787	0	0.0125976073302935	0.00197653454920896
OM5_H_6G	0.0448795425156908	0.0267935235619698	0.00991637944162139	0.0181997310452397	0.0161843034981412	0.0161223329828466	0.0429304931112279	0.0226588309307288	0.0386655144622606	0.0275602909032223	0.0297475683190448	0.0151123137783618	0.0149824510477156	0.0107978562801112	0.026096074176594	0.0161452254770191	0.0360162361417361	0.00387440107030672	0.0177444520339247	0.0197071343651078	0.0109507033316946	0.0125976073302935	0	0.0129132539412184
OM5_H_6H	0.0322320194290872	0.0138867651256924	0.00454443346563022	0.00531913113070839	0.0032745583116381	0.00398634877805345	0.0302283907391951	0.0102471925324581	0.0260805182209372	0.0146537307583143	0.0169665711114415	0.00338156610496671	0.00648363855363111	0.00215840700897636	0.0131919129045499	0.00402821269099125	0.0231079507861058	0.00913399752371124	0.00533644039908729	0.00696934285654203	0.00213421368011029	0.00197653454920896	0.0129132539412184	0
