	OM5_B_B_1	OM5_B_B_2	OM5_B_B_3	OM5_C_4A_1	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_1	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4E_3	OM5_C_4F_1	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_4H_3	OM5_C_5A_1	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5E_2	OM5_C_5E_3	OM5_C_5F_1	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5G_3	OM5_C_5H_1	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6A_2	OM5_C_6A_3	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_3	OM5_C_6F_1	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_2	OM5_H_2H_3	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6A_3	OM5_H_6B_1	OM5_H_6B_2	OM5_H_6B_3	OM5_H_6C_2	OM5_H_6C_3	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6G_2	OM5_H_6G_3	OM5_H_6H_1	OM5_H_6H_2	OM5_H_6H_3
OM5_B_B_1	0	0.0298521141428796	0.0229330877439549	0.00916066164622946	0.0323350118685673	0.0180262205797805	0.0116863613054714	0.016648695908768	0.00969094378101808	0.0141956041145526	0.00934567683624287	0.0116282877102835	0.0165113342384675	0.0158759631772197	0.0201106614764941	0.0201509182097162	0.0104476723151171	0.0164523132367005	0.0175121548689353	0.0245339513700462	0.0240495371621491	0.0132024115398929	0.0157636500798602	0.0171078259046358	0.0157487008387782	0.0148698567592259	0.0193656794131289	0.0134432121818274	0.00822429684869589	0.0207400072414128	0.0126747832126247	0.00955048684142768	0.0172159949240063	0.023201832594268	0.0226762403008354	0.0424777507218872	0.0159410329612104	0.00858662934625214	0.0192190587637327	0.0127169490987393	0.0204380227044524	0.00593546912003968	0.0122229818717109	0.0192791295314594	0.0298733086685066	0.0148844660966544	0.0124170502474525	0.00989528611984968	0.0390218628082407	0.0428333228776545	0.037567592211738	0.0172038158902673	0.0152153714037184	0.0082769626340993	0.010551222517598	0.016079768508771	0.022921629660759	0.00953523778400011	0.0194554085910706	0.0126652256890042	0.013370410178479	0.0227210623841246	0.0114619203839921	0.0119502311169604	0.0165628575868461
OM5_B_B_2	0.0298521141428796	0	0.0103726974263832	0.0276653940625178	0.00862389491910253	0.0182971851381912	0.0309819726331392	0.0140204790816594	0.0230416871713663	0.0418793598204182	0.0293694011944003	0.0383683261999782	0.0439352986541726	0.0403572858978605	0.0497240552883247	0.0493845167587583	0.0393988679060776	0.0197113604119684	0.0454509846982724	0.00612059691859886	0.0141894340798661	0.0180080989864352	0.017024031963794	0.0461598178690865	0.0177678119488832	0.0165835946563747	0.0478012669763263	0.0410715546169654	0.034351694726852	0.0497759725983559	0.0406561630744995	0.0384622280772777	0.0457843330235419	0.0525592335417564	0.0493433792634919	0.0715851567268218	0.0429545742239231	0.0355880699669806	0.047071307400129	0.0237519146950374	0.0463867432348082	0.0322927020497804	0.0184081343132261	0.0130289855886455	0.00388507003091262	0.0216637978997482	0.0251913117577997	0.0387925944423714	0.00989818172679077	0.0139110580944788	0.00890217304320158	0.0457090627683269	0.0269466658501032	0.034358230141825	0.0308375188653649	0.0448541327161007	0.0492978314450846	0.0300084359481611	0.0190885679690921	0.0317538593565466	0.0410676355304294	0.048359748171871	0.0323881732512007	0.0212982571445834	0.0456937431483255
OM5_B_B_3	0.0229330877439549	0.0103726974263832	0	0.0188614908992081	0.0099438905435775	0.00806507195313878	0.0214276575726862	0.007822989132991	0.0147802743492471	0.033538690754114	0.0206549691291786	0.0301106049803659	0.0355627114603931	0.0310367717707513	0.0418213853284955	0.0412624094371324	0.0319153750967313	0.0096255042777228	0.0369664103722783	0.00476378886444911	0.00503564152736578	0.00996611774285059	0.0104706090751974	0.039084340674293	0.00912351343018108	0.00896813044646246	0.0404984610771391	0.0333453569432509	0.0265908375611699	0.0418366375515579	0.0326781281972444	0.0303323680049483	0.0376423976106566	0.0450057440110487	0.0411465042686052	0.0635251350496122	0.0348775011769792	0.0270338018596824	0.038262417009472	0.014091687583956	0.0369572618133412	0.0239119732574079	0.0113425344426268	0.00393464471364417	0.00825737349370283	0.0122699550713317	0.0169547598401861	0.0307306969412141	0.0170618436101268	0.0214484473594934	0.016223976180056	0.0388458018062559	0.0169739196694476	0.0267571106566933	0.0220278386633405	0.0377234957976371	0.0404186751674436	0.0207830708334374	0.00949292852903856	0.0221748409978919	0.0327312534183964	0.0399838633177471	0.0236694716712434	0.0127986522212885	0.0376031599591448
OM5_C_4A_1	0.00916066164622946	0.0276653940625178	0.0188614908992081	0	0.028661374799343	0.0120654973383817	0.00507392760170829	0.0154265972626998	0.00481183069891021	0.0147495747796894	0.00194343631322976	0.0113415937183637	0.0167195062358545	0.0128421490084671	0.0242478489948013	0.0227843650676154	0.014037938948327	0.0104403109330979	0.0181689803785392	0.021907702624532	0.0192160279301669	0.0109887514864745	0.0117992852154205	0.0212730335017974	0.0103390227080908	0.0111556625799759	0.0222677545035961	0.0149052919397375	0.0085007788549225	0.0232364770407976	0.0140849289533459	0.0127160932587866	0.0189487455627908	0.0266562166537959	0.0224562699087843	0.0447629732938882	0.0161623197789605	0.010226598433533	0.0196961443712095	0.00611534694954687	0.0194085896519838	0.00685778796499037	0.00984307197768497	0.0151188216580174	0.0267945335226851	0.0112395613889566	0.00514177350537344	0.012701332081916	0.0357293296205035	0.0402080583018786	0.0349216918129546	0.0211966911818523	0.00664526683464192	0.00890311893689137	0.0035904176232515	0.0198372160009933	0.0217350105974793	0.00384769593680622	0.0122550541093249	0.00548749698961429	0.0139684851578974	0.0214506579202606	0.0054061438783889	0.0100295886562416	0.0191744355977928
OM5_C_4A_2	0.0323350118685673	0.00862389491910253	0.0099438905435775	0.028661374799343	0	0.017132353473707	0.0307589990783541	0.0159872936813421	0.0246698354629876	0.0433078758349638	0.0304799126968562	0.0399444629825653	0.0453532036219629	0.040462900233373	0.0511332501733502	0.0508892193288045	0.0416786411298754	0.0187919020838291	0.0466742040844285	0.00897828514380425	0.0104929773976916	0.0192118630344253	0.0200248528799244	0.0488482394015113	0.0190234865074775	0.0188023968758751	0.0503639088810262	0.0432305928516074	0.0364844569423897	0.0515831563784072	0.0425058908250482	0.0398193345333102	0.0473973625481935	0.0547419166875801	0.0509973023089055	0.073240166546709	0.0447527661619061	0.0363096364835039	0.0477802718783138	0.0234624443916106	0.0460198196508329	0.0334243014574004	0.0210316984526533	0.0138653898803906	0.00504563509096921	0.0204942673086346	0.0268088512062097	0.0403494905410786	0.00887451800466998	0.012326370786455	0.00770704073065575	0.0486541750756462	0.026045824489265	0.0366591214882518	0.0318224223886732	0.047530398948491	0.0500546027194743	0.0302559837338312	0.0184080614530165	0.0315460693204308	0.0424935247857411	0.0497857476567019	0.0334720317166596	0.0215622765194046	0.0472525488526227
OM5_C_4A_3	0.0180262205797805	0.0182971851381912	0.00806507195313878	0.0120654973383817	0.017132353473707	0	0.0137348866558986	0.00907717381138591	0.00924793238702189	0.0266269967432489	0.0138413023107303	0.0233516779831104	0.0285802780047953	0.0233755964259866	0.0352475245424949	0.0344281610506747	0.0258224123375625	0.00183976511979416	0.0298776202317023	0.0123685986187251	0.00726929037324341	0.00693233752334781	0.00909541190920479	0.0331302488370624	0.00530450935433802	0.00696565412166987	0.0343045584644956	0.026965279392339	0.0204373888619989	0.0351156508350743	0.0261001555449032	0.0237802115338254	0.0308226328004156	0.0385494405768384	0.0342277449860608	0.0565112252408283	0.028155463909113	0.0202601526080358	0.0309247163224998	0.00660539821787256	0.0292364247914188	0.0173738185756311	0.00872566201144307	0.00570767799566003	0.0162981154601807	0.00654904322958612	0.0111959172201802	0.024187558522642	0.0248387333260532	0.0291996206971708	0.0240758708284609	0.0330665262839781	0.00903012014899084	0.020751659188948	0.0150466124604275	0.0317495093424121	0.0329874300785865	0.0134522839303073	0.0043728221112297	0.0144297384190942	0.0258429193922568	0.0329599613931159	0.0167227215330711	0.00805122330195241	0.0308528767359488
OM5_C_4D_1	0.0116863613054714	0.0309819726331392	0.0214276575726862	0.00507392760170829	0.0307589990783541	0.0137348866558986	0	0.0184398374529099	0.00920449138124111	0.0137262691402973	0.00507785017864235	0.0110829408384237	0.0155833639822143	0.00975075740167767	0.0226380486060014	0.0213169326911385	0.0145232646848883	0.0119937166558209	0.016584778691134	0.0249921091956499	0.0206095098743557	0.0138731326730809	0.0161264623250185	0.0215156098999318	0.0138085738142906	0.0150240960808917	0.022321852905364	0.0151583829832053	0.0101832213158128	0.0221702063630937	0.0138599271671796	0.011776416631955	0.0178643579984438	0.0258876814629807	0.0215248327097643	0.0430738018796186	0.0157550851069567	0.00853190298425359	0.0173043770365951	0.00737141991856733	0.0156905280821919	0.0068379784011066	0.0140249263373939	0.0180676440158809	0.0296276172078332	0.0117577190597898	0.00944287893460854	0.0120812116799552	0.0384378000865082	0.0427309976415909	0.0375350137529569	0.0218332277389225	0.00595229790505128	0.0108291884729989	0.00513475715988103	0.0202183224481347	0.0196175767234311	0.00221750196461801	0.0143522332016689	0.00170758826913233	0.0130018557940289	0.0204054738831745	0.00634847092287997	0.0117259638278375	0.0179536181336022
OM5_C_4D_2	0.016648695908768	0.0140204790816594	0.007822989132991	0.0154265972626998	0.0159872936813421	0.00907717381138591	0.0184398374529099	0	0.0109805007401979	0.0290690983036118	0.0172766956946111	0.0258131745589134	0.0312931179302731	0.0276912587192173	0.0360613192177033	0.0361277972024043	0.0265738247558728	0.00928727162589291	0.0325264346442037	0.00840821912229811	0.0101998546928277	0.00457568824014875	0.00915101890680461	0.0335539849542283	0.00852009401848473	0.00657261946704458	0.0354412755719752	0.0286907318204429	0.0220441380909183	0.0368093568393028	0.0279616354970354	0.0249367584036982	0.0328545201336444	0.0396355316424328	0.0372945010713493	0.0586457924966154	0.0306567937407242	0.0218768211715365	0.0338639695014856	0.0116653419664563	0.0331107633222277	0.0188204281485755	0.00691482826225329	0.00596490961050288	0.0136053579612633	0.00919399353223261	0.0149308624294065	0.02548581528376	0.0227257344977849	0.0262698834865349	0.0210190578464478	0.033432195580365	0.0159877400999272	0.0221662962891672	0.0189600267717355	0.0323592380831403	0.0368481785237971	0.0171047535059769	0.0119809276992474	0.019565787439549	0.0282173378282784	0.0365677921015648	0.0207024967298264	0.00762422007959816	0.0324693322578946
OM5_C_4D_3	0.00969094378101808	0.0230416871713663	0.0147802743492471	0.00481183069891021	0.0246698354629876	0.00924793238702189	0.00920449138124111	0.0109805007401979	0	0.0189474109037645	0.00648100779478664	0.0154590467870838	0.0209949788119272	0.0176167429829888	0.0278207845607156	0.0267581800889697	0.0172497783088053	0.00790301113832645	0.0224833670584958	0.0173831365373768	0.0159562660245977	0.0068582156350133	0.00748796850923332	0.0244363410768802	0.00638920281834176	0.00653244224505716	0.0257413314543298	0.0185765716036313	0.0118198391691859	0.0271620083150777	0.0179420611846741	0.0162137653418486	0.0229976995765368	0.0303185400456612	0.0266741290660391	0.0489036815451443	0.0202195802443076	0.0136521307630479	0.0241382930614985	0.00531893797230389	0.0239681217738041	0.0100238304150599	0.00503453135648646	0.0109085416151074	0.022417371208634	0.00929298504098328	0.00493091797533573	0.0163164519114034	0.0314379136059628	0.0358671647655523	0.0305543106901088	0.0242133543204931	0.00829453207741227	0.0120093186561019	0.00812910657988888	0.0230323409950756	0.026348685602119	0.00779493145670378	0.00985210655347876	0.00990194119589453	0.0181413302259139	0.025768870971668	0.00979159811806366	0.00733326910836612	0.0230787233098848
OM5_C_4E_1	0.0141956041145526	0.0418793598204182	0.033538690754114	0.0147495747796894	0.0433078758349638	0.0266269967432489	0.0137262691402973	0.0290690983036118	0.0189474109037645	0	0.0130867274070214	0.00368929362160917	0.00240099862515358	0.00697787796209931	0.0118843833338308	0.00851034234199196	0.00545796496666697	0.0249072240526494	0.00365817064492971	0.0362767520279019	0.0336930631063025	0.0247786486542913	0.0255768440254529	0.00898489912745842	0.0249444442746338	0.0254167583591675	0.00899662448265131	0.00378638480526605	0.00796088761906368	0.00866518126370641	0.00234853423793902	0.00654018169891349	0.00430681822350564	0.0124305449937789	0.00910561752171605	0.0300321179998494	0.00334383786416155	0.00959084230762879	0.00637502367216971	0.0201908480831954	0.0102227408660837	0.0107730674181884	0.0235008040617322	0.0297588716505094	0.0413431217589178	0.0243148058314708	0.0180676085208824	0.00511688149995328	0.0503483496575175	0.0547346903292011	0.0494308584046871	0.0095639270799285	0.0191193994064573	0.00824874471386766	0.0121024902832572	0.00783585425131338	0.00883418201194667	0.0135193661568618	0.0266503526178891	0.013271686513433	0.000869897336716096	0.0092837452291403	0.0109529604233678	0.022941164795645	0.00533470594810175
