	OM5_B_B_1	OM5_B_B_2	OM5_B_B_3	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4F_2	OM5_C_4F_3	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_6A_1	OM5_C_6F_1	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_2	OM5_H_2H_3
OM5_B_B_1	0	0.0196373771875943	0.00970155162628731	0.0255522312983082	0.00886596887056447	0.0619503664483127	0.00664248381544514	0.0082851175653924	0.0405048578491494	0.0487281795629287	0.0312491541289909	0.0269651851056714	0.0126310580701345	0.0146517475815968	0.00728679653879604	0.0130734769429858	0.0162090442471569	0.00329888181260916	0.0147576171924384	0.0254357238614806	0.0400328176932115	0.051739558525313
OM5_B_B_2	0.0196373771875943	0	0.0292141343542332	0.00687595754252024	0.0237287269747949	0.0813328864395141	0.0261025032292511	0.0264762120847168	0.0601192478350705	0.0682023212115144	0.0159612679030024	0.00747232444855975	0.00953069116847537	0.00747845436215031	0.0123534605741915	0.0307089686513135	0.03523026298593	0.016401000517444	0.00574280039690535	0.044362772630274	0.0596469361319053	0.0706480433100928
OM5_B_B_3	0.00970155162628731	0.0292141343542332	0	0.0348194811775604	0.00964285139846825	0.0522683869080817	0.00311387906678895	0.00478686553095421	0.0310694504686067	0.0390551219266793	0.0394553956601652	0.0364267781900774	0.0213284533826031	0.0235555099631624	0.0168937057182714	0.00673733078775476	0.00687672148178242	0.012831427945676	0.0240538602433567	0.0159395339756406	0.0306108558678112	0.0421325884968629
OM5_C_4A_2	0.0255522312983082	0.00687595754252024	0.0348194811775604	0	0.0281206467505698	0.0864966711002836	0.0317242260892022	0.0315531490077659	0.0658554135423082	0.0735162245543634	0.00993624580543329	0.00282946826020342	0.0137158459010734	0.0114060501133334	0.0183633881005297	0.0353834865401642	0.0403804698460296	0.0222549827411531	0.0108044261975314	0.0493092070015083	0.0653958125380273	0.0753736790471497
OM5_C_4A_3	0.00886596887056447	0.0237287269747949	0.00964285139846825	0.0281206467505698	0	0.058605394119689	0.00779256262997528	0.00487967509392367	0.0390059628221815	0.0457915840797266	0.0311131660691739	0.0302020108625737	0.0144975153059675	0.0168024409071264	0.0128865744735367	0.00732975961048813	0.0128557160960962	0.00979534888153445	0.0180298674179041	0.0213291779915637	0.0385887030835169	0.0473029327479508
OM5_C_4D_3	0.0619503664483127	0.0813328864395141	0.0522683869080817	0.0864966711002836	0.058605394119689	0	0.0553558704740041	0.0550348541751851	0.0232009386065041	0.013340520502522	0.0892734702956116	0.088349417362302	0.072822742161207	0.0751265669431189	0.0691103206706293	0.0512870821581817	0.0462184836391532	0.0650594417745147	0.0759715813976447	0.0373009828306516	0.0237104575727298	0.013138227211174
OM5_C_4E_1	0.00664248381544514	0.0261025032292511	0.00311387906678895	0.0317242260892022	0.00779256262997528	0.0553558704740041	0	0.00365205827889981	0.0341644314042679	0.042156354649029	0.0365335527409016	0.0333167308669791	0.0182804018860756	0.0204889856714053	0.0137879365370372	0.00766570911751203	0.00962886145711544	0.00972551916957239	0.0209494648843379	0.0188307298530293	0.0337035279371524	0.0451131763305826
OM5_C_4E_2	0.0082851175653924	0.0264762120847168	0.00478686553095421	0.0315531490077659	0.00487967509392367	0.0550348541751851	0.00365205827889981	0	0.0347035047641158	0.0420110757039918	0.0354110029450815	0.0333978202747496	0.0178554374202653	0.0201550460063726	0.0145543399427837	0.00478940179761887	0.00883311588926994	0.0106797482023941	0.0209935323927953	0.0178980099586627	0.0342685584091868	0.0442239808002257
OM5_C_4F_2	0.0405048578491494	0.0601192478350705	0.0310694504686067	0.0658554135423082	0.0390059628221815	0.0232009386065041	0.0341644314042679	0.0347035047641158	0	0.0104804835429099	0.0700418836888722	0.0674120261054831	0.052343045779657	0.0545897168855124	0.0477847758373432	0.0319430345726889	0.0261614738975854	0.0437579537145325	0.0550930956265544	0.0190453680223916	0.000511820716575131	0.0184750549184883
OM5_C_4F_3	0.0487281795629287	0.0682023212115144	0.0390551219266793	0.0735162245543634	0.0457915840797266	0.013340520502522	0.042156354649029	0.0420110757039918	0.0104804835429099	0	0.076720894675719	0.0752980219022377	0.0598445602765965	0.0621413570893515	0.0559284806208645	0.0384801185618973	0.0331870445599685	0.0518715095099153	0.0629043884760108	0.0245372980835997	0.0109624435485694	0.00929887661830914
