	OM5_B_B_1	OM5_B_B_2	OM5_B_B_3	OM5_C_4A_1	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_1	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4E_3	OM5_C_4F_1	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_4H_3	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5E_2	OM5_C_5E_3	OM5_C_5F_1	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5G_3	OM5_C_5H_1	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6A_2	OM5_C_6A_3	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_3	OM5_C_6F_1	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_2	OM5_H_2H_3	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6A_3	OM5_H_6B_1	OM5_H_6B_2	OM5_H_6B_3	OM5_H_6C_2	OM5_H_6C_3	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6G_2	OM5_H_6G_3	OM5_H_6H_1	OM5_H_6H_2	OM5_H_6H_3
OM5_B_B_1	0	0.0121428107750572	0.0345000007947267	0.021627397753884	0.0211868230672621	0.0512328495524709	0.0258645800515174	0.0594927481427684	0.0901708845050376	0.0421631376561835	0.0250236945436905	0.0578799028909617	0.00433537061381061	0.0174835344628249	0.019390772179677	0.0326178217327897	0.0369162691414352	0.0280445538307662	0.0341268678261899	0.416187715828065	0.0483862375677049	0.0341195405547075	0.0173805052143532	0.0182487162797	0.0301285019279979	0.0262343669833874	0.00968228427208819	0.0448989027054184	0.0479813994481635	0.0315302185640141	0.0673966209436671	0.0323347681002912	0.0177025206063416	0.0609096054255801	0.0385178030478696	0.0336534122773468	0.0472614270591261	0.0354377374558939	0.0281987311514555	0.0409615309934328	0.0328662687209678	0.0298349169446175	0.0750056030343185	0.00986675301780739	0.0420910579934466	0.0359410522771085	0.0319261349961177	0.0357855067895945	0.035635282570658	0.0614717043658388	0.0154603469176255	0.0228510302492748	0.0448177373817637	0.031388001463797	0.0444109371959	0.0614632899501274	0.0155672145001816	0.0720307887973234	0.0422868656545631	0.0515353253067463	0.035619508854769	0.0271016297720747	0.0424233400152418	0.0537778185689958	0.0424552903074437	0.0575099737289326	0.0522148259113759
OM5_B_B_2	0.0121428107750572	0	0.0236430403425832	0.0100135226334841	0.0102288807520275	0.0398737195258454	0.0159246110902711	0.0492763225280495	0.0814137922363593	0.0304148108096297	0.0133875013417047	0.0492574917704141	0.00789647600185834	0.00562879529689928	0.0112469238644877	0.0227300804269429	0.0253124085745531	0.0221291343584948	0.0237055688373054	0.425012956429064	0.037537792905419	0.0225400189363074	0.00525149797240718	0.0136801632000726	0.0206587846742186	0.0141215069862165	0.00842436776609076	0.0346164229002905	0.0381597552187296	0.0194432869259712	0.0600257105996735	0.0215427969695653	0.012631364789616	0.0512276984718513	0.027312837089303	0.0222778153875798	0.0387560182429339	0.0264099207751353	0.017528365534817	0.0313048967767049	0.0228612298903411	0.0182470326856566	0.0656599717369747	0.00477742277973383	0.0326268866876462	0.0263526277638541	0.0211819914476076	0.0261664184114585	0.0288120753521911	0.0526946658131335	0.00546001863304393	0.0107253120929683	0.0349104219618038	0.0193595025320612	0.0350408265772488	0.0512908517856949	0.00536445936878455	0.0624374450167129	0.0320997950631961	0.0427412101076649	0.0237913611437514	0.0150028508702249	0.0313026845027484	0.0460488942603313	0.0341581550123396	0.0479688993553836	0.0422386985752254
OM5_B_B_3	0.0345000007947267	0.0236430403425832	0	0.0137729449536055	0.0223408602534244	0.0169529326719555	0.00898293900525487	0.0257403770027591	0.058798443104177	0.00986930547508955	0.0106870849686523	0.0275237852569262	0.0302800496021406	0.0181345530571665	0.0158951695797761	0.00454625604937661	0.00530870887855845	0.016210985088968	0.00213568456204748	0.444934491363727	0.013940699005655	0.00452997347159691	0.0197320916526529	0.0331103177556376	0.00676271967998841	0.0128338134322485	0.0316906092749993	0.0112079792111241	0.0151846766993843	0.0104339867830793	0.0397540316683732	0.0021691967016068	0.0196699300021175	0.0280656004173982	0.00439556299759502	0.00319450493316343	0.0181363935578602	0.00812867707773593	0.00630571098271002	0.00927892503107726	0.00405363985816815	0.00653855931237558	0.04263059997458	0.0246376555789932	0.0108253620800407	0.00617745473624773	0.00259235775524675	0.005990514132984	0.0155991366591478	0.0305809184503504	0.0247027783613971	0.0150798478292926	0.011985387776243	0.00943061768537385	0.0130974765941203	0.0277672240103401	0.01901906660355	0.0392261539765311	0.00891830329374792	0.0211375305213563	0.00684953876541984	0.0152372288435172	0.00799651613646078	0.0261306505015565	0.0148897950500515	0.0250170169035301	0.0189543259069865
OM5_C_4A_1	0.021627397753884	0.0100135226334841	0.0137729449536055	0	0.0105430075269856	0.0298717521127575	0.00748471457004555	0.0395030313569972	0.0722027137029837	0.0205499603521976	0.00340679252856774	0.0403470359835723	0.0172961739950414	0.00440213457301073	0.00785401707277735	0.0135996997988502	0.0153510086169934	0.0172428964607438	0.014099583985355	0.433425845208189	0.0275873258905155	0.0125627039183976	0.00606816674137204	0.0201271292660447	0.0121081145632007	0.0058084447931673	0.0179212436377142	0.0249066108127015	0.0286602768025891	0.0104317076244883	0.0517990718001496	0.0117448008364773	0.0121422116592486	0.0416875017553879	0.0173100949038172	0.0122655779811438	0.0301218923545274	0.0178392445854073	0.00798394149327023	0.0220326070811438	0.0136194239584575	0.008261504113649	0.056212069541713	0.0120767546993219	0.0234570482680751	0.0172982700460397	0.0114233555460175	0.0170948818229221	0.0221161898679773	0.0436472484642674	0.0111868591748243	0.00383003002467132	0.0254050408719678	0.0100547298100523	0.0258794238303657	0.0415275777801705	0.00634964873660317	0.0528841107406742	0.022471962501428	0.0338182608764154	0.0140023866078334	0.00832919527068109	0.0213064822962821	0.0378068200350513	0.0258319502915624	0.0385255812488879	0.0326148186845104
OM5_C_4A_2	0.0211868230672621	0.0102288807520275	0.0223408602534244	0.0105430075269856	0	0.0360462769763954	0.017959126996156	0.047452007831245	0.0810028769302412	0.0258938316071107	0.0121958034380621	0.0497856002408349	0.0174139125639449	0.00885297268758165	0.0171209792832612	0.0234446351016888	0.0217532424740505	0.0275627104669871	0.0233105801607626	0.428375100500238	0.0350285204813059	0.0194047814248724	0.00646609741262296	0.0110498099237245	0.0223866859878402	0.00961045512128331	0.0132459899286879	0.0333980288287599	0.0375000483071739	0.0140845674777458	0.0616889446826545	0.0207073897921896	0.0204318211534705	0.0502010853833825	0.0247288488514106	0.0198325995982577	0.0399371291610101	0.0279370879080219	0.0177673019680256	0.0314013369667919	0.0233554453916492	0.0158269549992802	0.0647379843867948	0.0149161367600609	0.0329093698535476	0.0270607002916922	0.0205137973798316	0.0268487446673298	0.0326485936921655	0.052898306324881	0.00573748509764771	0.0074971153597665	0.0343204526837986	0.0145501305869026	0.0352807873043508	0.0494736427248613	0.0121220299786153	0.0612287925985156	0.0312416811086816	0.0433293091376562	0.0195260884481147	0.00819543026086715	0.0285810223665466	0.0477912342866006	0.0359088113018602	0.0472738132022647	0.0411085179408169
OM5_C_4A_3	0.0512328495524709	0.0398737195258454	0.0169529326719555	0.0298717521127575	0.0360462769763954	0	0.0259272526511677	0.013641916241153	0.0474384839336387	0.0102033727400298	0.0264934831104568	0.0220530313567041	0.0469564981309034	0.0342498387450259	0.0328368932579775	0.0201203563852175	0.0146455291555017	0.030908555883082	0.0178875943215618	0.458412136413116	0.00530718694156341	0.0173665683632068	0.0353407305113866	0.0470611891737248	0.022856585144536	0.0268215540865551	0.0474096247641888	0.0102698424332654	0.0120385188902231	0.02196739997714	0.0347220352032732	0.0191027132051414	0.036466678957387	0.0178372984948711	0.0127414834149374	0.017630187451289	0.019152995549846	0.0201479583859002	0.0231910951953972	0.015035927582757	0.0197008158586064	0.0216397169673506	0.0310199842243712	0.0414068414144287	0.0153269764310766	0.0182823668682064	0.019537727805544	0.0183074441748142	0.0266212302852299	0.0233504055569684	0.0398340074027658	0.0299558187230861	0.0122347592191735	0.0215413789428936	0.015037335911453	0.0153786081888416	0.0356804503029451	0.0272203524056147	0.0121437370852117	0.0184135309440987	0.0165853269125647	0.0278791354965597	0.00897300938649669	0.0248226567440504	0.0202231649475586	0.0165310633276231	0.0114468992027129
OM5_C_4D_1	0.0258645800515174	0.0159246110902711	0.00898293900525487	0.00748471457004555	0.017959126996156	0.0259272526511677	0	0.0337118933448357	0.0655280485083905	0.0182020552556843	0.00641340601796226	0.0333842132191277	0.0217569696082975	0.0110186608920546	0.00691306545776763	0.00685988963936724	0.012891959073294	0.0109280585539561	0.00828946178077646	0.437945631773723	0.02261906967224	0.0104163521667121	0.0132638921219001	0.0274972908070993	0.00478520523592077	0.0106158824051723	0.024313902076625	0.0190609340284992	0.0223501835031184	0.0123561133820568	0.0445082415752909	0.00686485568456669	0.0108341565915102	0.0354107772196089	0.0133181958682168	0.00930927680716303	0.0229597550083808	0.0105844668088077	0.00314105464162509	0.0154160890799908	0.00705103356513145	0.00740138476197174	0.0497943146627871	0.0160430111515781	0.0167121024922508	0.0104341633052646	0.00642063170066028	0.0102506162267239	0.0147300648199931	0.0367961933831497	0.0183892862653408	0.0106887573583807	0.019122951254973	0.0114496003554882	0.0191234165150603	0.0357026970659287	0.0107776509789219	0.0466206763718363	0.0164627523869803	0.0268541452911581	0.0128345837110252	0.0137084088433702	0.0169599835381864	0.0304935774614247	0.0185102576801136	0.0321057109663459	0.0265123972138478
OM5_C_4D_2	0.0594927481427684	0.0492763225280495	0.0257403770027591	0.0395030313569972	0.047452007831245	0.013641916241153	0.0337118933448357	0	0.0341452367875383	0.0228189087787201	0.0363933687148278	0.0113480959416095	0.0554437614652189	0.0438414654618878	0.0401685833425086	0.0269020488210279	0.0258020053301018	0.0345127966000811	0.0255990922197883	0.466369321480375	0.0125105950217516	0.0280594554951244	0.045453824894203	0.0584420667863705	0.0294083934864301	0.0378723697659295	0.0574026762500749	0.0146833904402639	0.0116982161191249	0.0337325432674982	0.0223809877060787	0.0277777367600058	0.0427982406319534	0.00456412344470174	0.0227410397830959	0.0277353071320329	0.0157235595387871	0.0244888637726602	0.0317617216493845	0.0186734969931785	0.0266702857530903	0.0318763395922799	0.0176515511988082	0.0497316609574123	0.0177568676478025	0.0236351298028043	0.02812186713054	0.0237773744006342	0.0278693597097227	0.0110042617777924	0.0503677360850509	0.0405832072612019	0.0147318446935995	0.0330710087993651	0.0157177532242786	0.00203114188983537	0.0444038947146081	0.0139483280750746	0.0172551864603462	0.0120491662252715	0.0282062740289109	0.0395677639318297	0.0189063070877402	0.0166874638941674	0.0196945613477984	0.0053953468848006	0.00741069865551185
OM5_C_4D_3	0.0901708845050376	0.0814137922363593	0.058798443104177	0.0722027137029837	0.0810028769302412	0.0474384839336387	0.0655280485083905	0.0341452367875383	0	0.0569414301269768	0.0693902840674228	0.0323766829052474	0.086520600323401	0.0763334519727453	0.0710983968682488	0.0587750039050739	0.0596971513065421	0.0626249333241928	0.0581518749658921	0.491438721777188	0.0465613190260356	0.0617467877924809	0.0782534465864071	0.0918249807310325	0.0608148140730557	0.0714245657988262	0.0897695223140881	0.0476672245710846	0.0436466753390872	0.0676411610044841	0.0249500410572868	0.0606198322849204	0.0725901087399633	0.0308940901125958	0.0564448392637221	0.0612202139753664	0.0430051167384505	0.0551345730705858	0.064242033933963	0.0502345015114373	0.0586860061625772	0.0652350650800114	0.0164988820684083	0.080923582650617	0.0488648259683484	0.0551235862604089	0.0608901450781412	0.0553130790543434	0.0549703267490171	0.0288249079702155	0.0833227384400359	0.0738479990705632	0.0468808118702276	0.0669150308460788	0.046445186666112	0.0322239034909573	0.0762105730897526	0.0202490109453674	0.0498992058817861	0.038809803176411	0.0621634208469514	0.0733666458307923	0.0528088506581054	0.0368433676931715	0.0477990813178268	0.0338059738946588	0.0399612124357192
OM5_C_4E_1	0.0421631376561835	0.0304148108096297	0.00986930547508955	0.0205499603521976	0.0258938316071107	0.0102033727400298	0.0182020552556843	0.0228189087787201	0.0569414301269768	0	0.0171484130188097	0.0286184481133129	0.0378373326677639	0.0248147896332655	0.0249030230432704	0.0142599934334612	0.00538714753278155	0.0259942774112348	0.0116962332812148	0.450034931092283	0.0106011730959704	0.00813657137166624	0.0256240867722037	0.036891026861612	0.0166304380174351	0.0168488243423604	0.0376021207959751	0.0119818221776711	0.0160699517377909	0.0118197976232091	0.0415482940336298	0.011592625066333	0.0290302444795446	0.0264230945105012	0.00587462644845821	0.00894404683726818	0.0219679952908581	0.0165783436336749	0.0151188222816704	0.014127405925196	0.0137622442469857	0.0123560742901596	0.0404618328662983	0.0324915447337949	0.01532551064575	0.0143569573930767	0.0120283177046603	0.0142599036139465	0.0241962616552154	0.0308306888197736	0.029894296016592	0.020105403885989	0.014020285998337	0.0114775890424967	0.0165856060892653	0.0247492145136168	0.0266973206719492	0.0367382547593778	0.0116481081861669	0.0232529195466218	0.00665024266921854	0.0177079563938836	0.00574853635846312	0.0294048354156114	0.0206642701660711	0.0242306462078228	0.0180669948263698
