C102L3_1	C102M1_2	C102M2_2	C102M4_3	C102M5_3	C102M6_1	C102M7_1	C102N3_2	C102N4_3	C102P1j_3	C102P1b_3	C102P1c_3	C102P1d_3	C102P1e_3	C102P1f_3	C102P1g_1
792	588	1496	2473	547	252	344	0	0	2430	16728	13491	9901	15947	7199	5253
251	1146	2514	5044	1766	596	730	0	143	1216	1445	6041	13038	3158	6743	7770
112	219	529	3327	2406	231	135	155	653	214	333	2179	2181	608	1076	1307
80	92	231	992	643	76	0	446	2154	118	411	722	711	447	585	393
132	202	610	895	460	64	96	1307	4883	256	2485	1695	1624	1159	1280	951
340	602	1818	1774	1323	329	313	1980	6429	411	5107	6070	5526	3962	3216	3788
866	1330	3878	3648	3750	925	822	1789	5370	639	11334	14497	13051	9494	5449	9524
119	191	612	4025	653	106	109	778	2410	624	1562	1822	4668	2077	4151	1224
0	141	443	966	227	65	59	1044	3005	1023	941	991	1441	924	1496	348
0	212	633	651	291	78	71	1315	3694	588	1131	1313	1254	874	1185	466
