C102L2_3	C102L3_3	C102M1_3	C102M2_3	C102M4_2	C102M5_1	C102M6_1	C102M7_3	C102N3_2	C102N4_1	C102P1j_1	C102P1b_3	C102P1c_1	C102P1d_3	C102P1e_1	C102P1f_3	C102P1g_2
2366	1932	4013	2807	389	10030	1116	160	0	0	764	7449	2671	2832	1624	99	11227
13951	13784	21063	18900	8967	29982	9044	6337	117	209	9293	30315	21578	24430	17747	7211	26629
7177	8061	13592	27107	22283	18318	17527	19684	0	194	22874	24948	29904	27712	29654	21001	17307
174	161	1359	2515	22386	5188	18539	22237	0	269	9378	5877	11979	22001	6017	22489	4541
0	429	296	214	8755	525	3060	3242	55	140	1118	747	1045	5427	1903	8412	362
0	0	0	0	1622	0	328	270	0	184	186	225	123	632	250	882	0
446	444	550	378	329	375	311	371	448	657	499	391	93	349	0	344	149
0	349	663	579	170	425	315	614	1106	2076	444	480	573	473	578	593	292
171	255	702	929	532	638	564	591	2276	4050	537	891	1079	909	813	1120	459
411	509	1449	2117	1175	1361	1078	1147	5015	8004	1125	1979	2420	2337	1812	2691	1344
737	879	2286	3268	1782	2129	1649	1836	7428	12060	1712	2774	3621	3195	2641	4039	1671
930	1113	2677	3970	2146	2416	2078	2206	8509	13660	2073	3415	4174	3676	3066	4618	1905
811	1047	2263	3475	1982	2073	1875	1935	7177	11640	1892	3024	3637	3108	2682	4001	1573
425	574	1235	1773	1113	1164	897	1036	3490	5469	997	1656	1996	1428	1466	1993	761
