C102L2_3	C102L3_1	C102M1_3	C102M2_1	C102M4_2	C102M5_1	C102M6_2	C102M7_1	C102N3_2	C102N4_2	C102P1j_2	C102P1b_1	C102P1c_3	C102P1d_3	C102P1e_1	C102P1f_3	C102P1g_3
64	0	197	268	196	0	0	0	0	0	0	67	0	1941	113	219	903
1244	303	1750	3445	2330	818	960	679	66	0	2381	2048	2240	2199	3118	2962	6417
3407	2126	1906	1488	4910	3945	3193	2963	0	0	2927	6909	8609	4796	6339	8609	3890
285	1359	130	1879	389	2615	1622	1875	0	0	2464	3316	4086	4101	2886	1961	3615
58	218	0	182	0	1105	273	227	142	139	521	1676	567	1579	706	363	219
88	286	87	153	89	199	105	117	606	704	185	705	249	457	202	371	143
223	296	308	542	309	316	248	250	2057	2587	358	579	692	781	524	1131	391
440	380	529	1005	540	481	470	392	3457	4277	553	815	1175	1223	937	1864	726
470	376	629	1211	593	500	472	448	3981	4603	591	861	1320	1333	1006	2049	693
250	206	268	661	366	196	232	316	2002	2368	312	479	651	658	616	980	386
