C6L2_3	C6L3_1	C6L5_1	C6L6_3	C6L7_1	C6N1_3	C6N2_2	C6P1a_1	C6P1b_1	C6P1c_1	C6P1d_1
278	66	114	167	333	172	222	1019	414	112	314
2888	508	699	2609	3902	128	205	9716	3797	907	2120
6324	1445	3709	6970	8091	382	621	24986	12089	5306	9131
4207	1697	9316	1274	1071	1393	2098	8863	7916	9833	12680
2406	1645	6796	922	479	5129	6998	13281	5899	6525	12955
2585	2391	7582	2159	1549	14644	19660	18254	3060	3900	16951
3669	2432	7280	3287	2958	24110	28868	18047	3509	4573	21986
4124	2321	7318	4141	3541	26727	28868	15841	3358	4892	22983
2280	1317	4380	2522	2079	16266	21460	8297	1749	2217	13002
436	313	1221	754	605	4268	5862	2410	521	684	3718
76	0	248	179	153	912	1093	566	120	123	875
