C6L2_3	C6L3_3	C6L5_3	C6L7_1	C6N1_3	C6N2_2	C6P1a_3	C6P1b_3	C6P1c_3	C6P1d_3
2057	0	886	1541	112	88	14326	7203	1799	1379
1928	181	2050	1163	122	129	18388	9571	2998	3302
1518	395	3515	560	507	344	15849	9379	3648	6189
1283	775	4912	205	1463	990	9351	5958	2911	8435
1211	964	5396	215	3405	2390	5215	2819	2157	11683
1297	973	5154	335	7271	4690	5745	2205	1263	13918
1434	678	5177	490	12673	9175	7243	2513	1130	17071
1447	403	4973	635	16461	12491	8477	2683	1222	18010
1222	233	4222	654	15568	12295	7346	2528	1095	16013
612	0	2579	514	10961	8723	4852	1756	695	9825
293	0	1453	321	5335	4106	2481	1110	369	5472
130	0	650	161	2141	1860	1066	462	166	2234
