C6L2_1	C6L3_1	C6L5_3	C6L6_1	C6L7_1	C6N1_1	C6N2_1	C6P1a_1	C6P1b_1	C6P1c_1	C6P1d_1
0	0	1321	0	0	0	0	0	0	0	0
1458	7504	6855	508	4868	344	0	4964	7853	6253	5089
4206	8334	12436	2038	12484	760	142	7671	11129	6333	6694
5666	4516	8095	3969	20264	1553	430	3425	4347	5068	5077
3592	1561	4647	4489	21030	2268	1024	3029	3021	1398	3407
888	697	1055	1599	11338	2550	1632	1574	1545	305	1120
938	868	1411	856	6973	3295	2776	885	1352	335	1263
970	1167	2059	859	4432	4499	4113	1033	1406	523	1839
1011	1336	2092	782	2692	4305	4140	959	1075	578	1964
618	728	1218	437	986	2756	2577	578	560	350	1165
291	337	407	196	184	1113	1054	248	191	188	499
