C6L2_3	C6L3_3	C6L5_3	C6L6_3	C6L7_1	C6N1_1	C6N2_1	C6P1a_3	C6P1b_3	C6P1c_3	C6P1d_3
156	0	785	249	774	0	0	14486	6514	495	935
953	220	3203	228	498	62	0	7951	6189	1971	7179
581	0	1659	342	709	165	124	524	1166	647	3599
567	55	2067	148	106	636	687	273	410	553	4748
386	174	1556	314	88	2009	2612	1151	322	217	2971
546	302	2355	538	135	4892	6212	2717	497	193	4960
458	316	2519	522	179	5488	6232	2729	594	201	5074
296	244	1200	301	185	3586	4009	1555	498	210	3407
256	217	946	191	209	2994	3221	1249	493	242	2817
225	142	771	129	179	2232	2382	884	366	215	1963
