C80M1a_3	C80M1b_3	C80M2_3	C80M3_1	C80M4b_1	C80N1_1	C80N2_1	C80N3_3	C80P1a_3	C80P1b_3	C80P1c_3	C80P1d_1
2205	9297	611	508	373	978	1281	1033	792	175	854	1008
4067	7597	1407	1124	906	1997	2473	2528	1786	420	2041	2280
5014	2005	3237	2225	1632	3975	4812	4791	4117	906	4899	4944
6178	256	6242	3640	3186	6432	8255	8433	7426	1797	9085	8187
7177	90	11050	6825	5839	7529	10463	10615	11460	3556	16642	13663
8151	232	15841	10149	8220	7214	9687	9767	14003	5334	23388	16055
7287	237	17756	12184	9807	4973	6978	7154	13472	6525	24708	15396
5072	157	16921	11442	9350	3566	4778	4691	11331	6200	23140	13233
607	68	11075	7249	6577	2140	2892	2536	6676	4078	13597	7559
70	0	3001	2042	1642	795	1037	993	2162	944	3540	2793
