C80M1a_3	C80M2_3	C80M3_2	C80M4b_1	C80N1_1	C80N2_2	C80N3_3	C80P1a_1	C80P1b_2	C80P1c_1	C80P1d_3
805	2845	2066	2480	1714	3411	4149	2991	3373	3264	3421
2417	7656	4905	5975	4735	9046	10603	8436	8307	7465	8361
4995	15214	10927	12059	8298	19869	15197	16895	17539	16373	14416
7035	22855	15907	16699	13271	20125	14461	22497	22231	24223	21617
7384	24134	16570	17880	16060	19905	14553	22477	22185	24208	22913
4597	14951	11862	11517	12744	19785	13702	22146	16813	21354	16513
2747	6999	6889	7122	7821	18054	14621	15356	8808	13239	11200
2609	4986	5873	5876	6639	13416	15189	13009	7809	11628	8805
1844	4334	4879	4645	6258	12574	17552	10533	5574	8573	8003
983	2278	2524	2301	4418	7406	14959	6117	2793	4966	4129
247	718	710	587	1580	2767	5655	2034	749	1230	1340
