C83L1_3	C83L2_3	C83L3_1	C83L4_3	C83L5_3	C83L6_3	C83L7_3	C83L8_3	C83L9_3	C83N1_3	C83N2_2	C83N3_3	C83P1a_3	C83P1b_3	C83P1c_3	C83P1d_3	C83P1e_2	C83P1f_2
907	810	254	336	411	425	759	372	657	435	169	337	583	1092	1207	1237	614	1348
1991	1790	466	666	874	972	1612	763	1405	1077	461	893	1239	2229	2587	2591	1378	2628
3730	3250	792	1127	1680	1711	2927	1402	2534	2470	995	1832	2310	4128	4956	4990	2789	4362
6568	5644	1386	1905	2726	3241	5184	2535	4391	5287	1969	3240	3727	7065	8930	9510	5438	4969
8956	7702	1889	2638	3858	4690	6646	3318	6140	9543	3352	6035	6553	8869	12800	13569	8040	4259
9678	8406	2092	3008	4449	5157	6749	3382	6306	15526	5276	9622	8571	8991	14412	14820	9462	2641
8191	6756	1759	2751	4079	4408	4971	2440	5161	19271	6465	11854	8768	6747	12818	12252	8647	1664
4630	3470	1094	1838	2793	2742	2389	1243	3119	18662	6237	11410	6521	3394	7917	6653	5976	1446
1881	1405	630	851	1433	1484	1137	611	1638	12485	4264	7722	3532	1776	3712	3115	2785	1145
833	564	330	343	795	906	527	356	652	4816	1732	3438	1642	864	1808	1285	1117	733
304	176	157	123	344	505	252	218	223	2047	764	1397	660	412	753	398	393	367
