C84L10_3	C84L11_1	C84L12_3	C84L14_2	C84L3_2	C84L4_1	C84L5_2	C84L6_3	C84L7_3	C84L9_3	C84N1_3	C84N2_1	C84P1a_1	C84P1b_3	C84P1c_3	C84P1d_2
292	712	670	189	415	448	312	185	76	1243	770	984	1326	1627	1917	1323
671	1362	1568	336	692	903	770	435	215	2900	1787	2015	3069	3816	4323	2873
1195	2713	2886	610	1258	1762	1390	859	553	5643	3527	3600	5958	7272	8684	5819
2121	3752	5173	963	1676	2805	2615	1574	1274	8841	6717	6625	12091	13124	15709	10188
2858	3834	6896	1170	1845	3255	3431	2309	1972	10843	11039	10215	16592	17301	20676	13157
2929	2518	7027	1038	1673	2834	3277	2531	2198	9604	13565	12155	18016	17933	21281	13085
2471	885	5122	640	1213	1884	2395	2060	1853	5919	13023	11629	14176	13577	15510	9025
1584	320	2978	231	663	906	1073	1049	1119	2522	9072	8203	7935	7011	6897	3755
777	161	1671	123	347	436	577	459	433	1263	4020	3911	3454	3045	3080	1580
309	74	627	0	148	183	200	146	164	549	1617	1623	1302	1025	1085	465
