C89L1_3	C89L2_3	C89L3_1	C89L4_1	C89L5_1	C89L6_2	C89M1b_3	C89M1c_1	C89M1d_1	C89M1e_3	C89M1f_3	C89M1g_3	C89M2_1	C89M3_2	C89M4_1	C89N1_3	C89N2_2	C89P1a_1	C89P1b_2	C89P1c_3	C89P1e_1	C89P1f_3	C89P1g_1	C89P1h_1	C89P1i_3
359	558	592	859	1024	401	1221	1088	726	1232	1054	1278	439	376	787	615	611	745	836	856	868	1378	511	942	370
901	1277	1360	1921	2292	860	3111	2894	1918	3023	2393	3115	1111	693	1900	1453	1404	1884	2014	1945	2294	2910	1191	2107	716
1739	2447	2934	3831	4535	1460	6369	5879	3544	6043	4958	6523	2096	1149	3650	2990	2915	4110	4048	4318	4601	5660	2429	4103	1458
3904	4945	6117	8177	9776	3721	13857	12913	7384	12666	10670	14413	4158	2657	7347	5856	5830	9073	9082	9359	10030	11279	5350	8945	3072
6000	7590	9481	12624	14724	5732	20656	19345	10643	18478	15801	21308	6349	4031	10916	10530	10345	13968	13936	14252	14923	16822	8471	13608	4641
7145	9205	11438	15559	17700	6784	24571	22300	12353	21566	18201	24593	7425	4795	12776	14277	13760	16813	16646	17291	17141	20981	10283	16188	5278
6228	8320	10225	13876	15659	6099	20469	18164	10142	17898	14993	19945	6765	4111	10971	14461	13586	15069	14901	15906	14293	18948	9266	13782	4507
3877	5042	6126	8281	9084	3354	10417	8890	5151	8948	7342	9853	4015	2249	6313	10062	9275	9228	8673	9475	7233	11690	5291	7622	2602
792	1147	1540	2308	2057	878	2276	2235	1299	1784	1412	2317	1012	487	1594	3404	2986	2258	1877	1954	1834	3592	1144	1565	516
211	321	290	427	440	175	395	377	276	434	278	437	230	96	335	689	599	403	443	363	407	731	264	355	108
