C92L1_3	C92L2_3	C92L3_1	C92N1_2	C92N2_3	C92P1d_3	C92P1e_3	C92P1f_3	C92P1g_3	C92P1h_2
342	442	532	58	148	439	9864	8047	11230	10172
2202	3369	3559	102	166	4369	23248	20026	31074	24584
5413	6564	8000	107	144	10582	6317	2432	3956	3515
6955	6604	8042	130	152	9025	902	349	464	358
4330	3300	2685	227	184	5640	184	111	144	175
715	805	309	522	400	806	203	94	96	260
338	390	195	1139	1018	303	310	165	197	360
539	501	226	2780	2557	527	655	371	348	736
2032	2149	521	5583	6100	3698	1193	945	868	2044
6702	6823	2432	10767	10990	12704	3144	3594	4051	8302
13883	11356	7097	14348	14654	12549	7797	9455	12362	16147
5682	4935	10226	13907	14570	7872	12772	15939	21869	14206
2005	1818	5392	8388	8977	3084	12015	10699	11761	6316
398	392	1561	2025	2297	463	5997	2526	2435	1581
