C92L1_2	C92L2_2	C92L3_2	C92N1_2	C92N2_2	C92P1d_2	C92P1e_2	C92P1f_2	C92P1g_1	C92P1h_2
0	3265	4029	0	0	9488	2133	1763	3523	2736
2589	3668	6564	273	187	8769	4932	4698	7994	5954
2175	2264	6790	153	165	2608	7961	8168	12523	9408
1044	689	4698	566	556	1134	8551	9560	12104	10356
349	423	2239	1255	1133	611	6799	7811	6934	8831
414	492	915	2504	2212	798	3733	4472	1936	5595
519	751	596	5465	5130	1076	1839	1902	1231	3835
745	1107	672	8909	8273	1570	2129	2032	1115	4189
998	1439	783	11109	10517	2007	2480	2315	1304	4809
925	1372	733	10510	9898	1951	2252	2225	1107	4000
617	866	428	6414	5998	1200	1261	1398	792	2462
210	245	171	1585	1608	399	518	509	292	842
