C94L10_1	C94L11_3	C94L2_3	C94L12_3	C94L3_3	C94L4_3	C94L5_3	C94L6_3	C94L7_1	C94L8_2	C94L9_2	C94N1_3	C94N2_3	C94N3_3	C94P1b_3	C94P1d_3	C94P1e_3	C94P1f_3
875	613	654	469	604	1025	796	826	958	1382	952	547	647	544	647	549	838	858
2473	1848	1849	1513	1891	2872	2321	1869	3296	4222	2780	1544	1735	1567	1886	1763	2461	2351
5761	6289	5392	4834	5882	7545	6997	5934	11369	11128	9338	3450	4257	3811	6913	5249	7807	8897
10903	13976	9943	8219	11394	10954	14355	12556	20536	19253	15742	8012	8786	9226	16116	12271	13478	17110
15849	20012	13702	10873	15190	12636	19989	16220	27024	25569	21535	12141	13116	13596	22582	18264	16829	23111
12763	15108	10243	7282	10275	9339	15299	10800	19527	17579	15656	10037	10838	11091	16843	13851	12971	15322
9307	8176	5709	3505	6453	5458	7968	6119	8982	12160	6296	10014	10574	10963	7857	7857	7101	6697
5977	3409	2684	1286	3447	3067	3375	2815	3678	8153	1524	8383	8551	8798	2433	3913	2921	2288
2441	1309	1247	493	1613	1274	1229	1229	1257	3585	369	3047	3257	3779	858	1365	1114	817
867	464	468	169	596	491	495	395	362	1213	201	1166	1326	1506	275	527	481	279
