C95L1_2	C95L12_2	C95L2_2	C95L3_2	C95L4_2	C95L5_2	C95L7_1	C95L8_1	C95L9_2	C95N2_2	C95N3_2	C95P1a_2	C95P1c_2
0	335	186	106	408	86	1644	1648	1096	58	0	2750	1810
453	3428	4172	1402	8075	935	11431	11062	5900	74	0	16287	12763
2204	7546	9801	4437	17083	3338	16908	20210	14759	117	82	26745	27444
3230	1013	1645	1953	4040	2859	11660	2686	3457	235	101	3731	3772
4635	229	1331	2801	2903	5632	2240	337	494	554	436	328	491
7718	178	1816	5209	4587	9544	388	324	253	1685	1376	128	424
7406	300	1837	6342	4871	10889	562	753	509	3872	3197	280	977
5162	617	2685	6095	4268	9077	946	1424	1078	8989	6714	859	2140
2857	1354	3664	4919	3585	5922	1655	2869	2090	15585	12562	1761	4287
2091	2137	3837	3224	2905	3123	2161	4354	2901	20129	17147	2627	6450
1516	2445	3210	1809	2118	1816	2206	4901	3137	19486	17377	2875	7357
849	2006	1980	1037	1377	915	1590	3866	2311	13068	12324	2153	6049
297	1004	475	336	615	298	579	1775	893	4200	4420	852	2807
0	149	58	61	150	92	88	338	189	1045	1153	128	425
