C98M1b_2	C98M2a_3	C98N1_3	C98N2_1	C98P1a_2	C98P1b_2	C98P1c_3	C98P1d_2	C98P1e_1	C98P1f_1
1170	178	1654	1037	2244	1682	3158	1275	2469	1977
9570	2183	15687	9162	15340	12774	20306	10856	16638	14707
22241	6171	30960	21332	32027	29806	31264	25669	31891	31699
2946	1563	4505	2653	4399	3563	5363	3592	4681	4131
982	1562	1683	1001	829	512	311	1114	1103	1089
1002	1540	3250	2165	597	603	457	1231	1355	2004
1271	1537	7043	4727	855	1003	1118	1840	2675	3932
1421	1183	10299	6879	1234	1366	1448	1828	3706	5683
1418	802	10670	7229	1195	1440	1528	1610	3888	5798
947	742	6908	4657	750	864	1044	1088	2462	3816
