C146B1b_2	C146B1c_2	C146LN1_3	C146LN2_1	C146LN3_3	C146LN4_3	C146LN5_2	C146LN6_2	C146N1_1	C146P1_3	C146P2_3	C146P5_1	C146P6_3	C146P7_3	C146P8_3	C146P9_1	C146TD2_1
674	461	1062	876	592	778	1016	497	1099	777	791	217	212	677	1000	50	669
1313	1044	2186	1820	1143	1592	2093	1078	2364	1663	1587	459	501	1378	1772	108	1364
2211	1873	3924	3062	2153	2854	3538	1822	4179	3050	2870	871	885	2427	3270	253	2437
3645	2583	5509	4239	3350	3996	4800	2603	6502	4892	3971	1479	1377	3926	4997	325	3998
5235	3917	8134	6510	4744	5766	7459	4272	10340	7580	5667	2195	2032	5915	6993	570	5505
6322	4645	9707	7593	5745	6805	8717	5303	12787	9351	7113	2709	2618	7350	8396	726	6690
6548	4703	10513	8088	5848	6983	9472	5980	14376	10404	7761	2807	2739	7827	8824	752	7029
6331	4486	10512	8139	5785	6687	9759	6317	14988	11178	7802	2842	2680	8029	8851	719	6925
5502	3750	9256	6913	5047	5564	8781	5726	13278	10260	6978	2520	2365	7257	7553	564	5941
3441	2596	6114	4938	3417	3799	6240	4127	9681	7221	4755	1867	1589	5157	5084	374	3770
1502	1206	2868	2311	1592	1620	2847	2151	5326	3697	2419	909	737	2642	2413	177	1843
463	446	1055	811	470	552	898	744	1921	1277	794	322	257	883	883	75	575
