C154B1_2	C154B3_1	C154B4_3	C154B5_2	C154B6_3	C154B7_3	C154B8_2	C154B9_2	C154L11_2	C154L13_3	C154L14_2	C154L2a_2	C154L2b_3	C154L4_1	C154L5_3	C154L6_3	C154N1_3	C154N2_1	C154P1_3	C154P10_3	C154P11_1	C154P12_1	C154P2_3	C154P3_3	C154P4_3	C154P5_1	C154P6_2	C154P7_2	C154P8_3	C154P9_3	C154TD1_2
5643	4707	426	1647	1157	2667	81	361	16289	829	4752	1172	3363	15358	1799	5193	400	230	1990	5521	942	287	2868	5913	6106	1943	8951	2334	7314	6105	1334
18938	9584	2793	4874	3967	9854	397	2451	31677	4889	12771	6654	13556	30814	11754	20627	331	208	8958	20714	6072	2051	12314	20273	22948	9312	24661	9094	21411	24466	8891
23396	1145	6206	6238	4412	13739	838	3375	4440	16712	10793	13130	20774	14879	24654	28121	511	431	16207	26580	9848	3549	19200	18432	26299	12538	21682	11106	19058	25023	17572
4057	172	5672	1357	990	2490	642	1462	245	26667	1621	11751	9714	1481	24388	9304	2035	1520	13080	6112	8138	2177	12977	7611	10209	6579	4311	5200	9529	16047	15577
1225	298	2018	398	517	1603	388	990	488	24812	629	5879	5646	1075	5288	6115	5608	3700	6829	4865	2283	650	9772	4970	5320	4542	2513	3028	3308	11983	4370
2574	733	2273	820	902	3152	660	1541	1169	11853	1035	2185	8718	2017	2488	4978	15100	10121	9413	10264	2098	464	14258	8780	9475	7972	5140	4717	4991	16600	2677
3442	980	2512	1082	1124	4143	889	1759	1632	8708	1372	1791	11412	2809	2985	5609	20827	13855	12394	14221	2496	574	19167	11975	12100	10290	7146	5919	6476	20873	3129
3052	909	1975	878	965	3193	686	1251	1423	7578	1176	1455	10153	2625	2321	5106	18469	11872	10947	12750	2095	420	17537	11072	11187	8970	6309	5343	5797	18592	2549
1681	556	992	470	546	1745	311	634	765	4637	660	769	5770	1518	1372	3231	10930	6566	6236	7833	1253	209	10846	6264	6859	5272	3806	3204	3425	10455	1518
300	122	227	90	130	373	97	131	189	1168	160	136	1438	302	320	822	2666	1618	1544	1791	283	61	2535	1515	1515	1145	702	626	836	2533	334
