C154B1_2	C154B3_1	C154B4_2	C154B5_1	C154B7_1	C154B9_2	C154L11_1	C154L13_2	C154L14_2	C154L2a_2	C154L2b_2	C154L4_1	C154L6_1	C154N1_1	C154N2_1	C154P1_2	C154P10_2	C154P11_2	C154P2_1	C154P3_2	C154P4_1	C154P5_1	C154P6_1	C154P7_1	C154P8_1	C154P9_2	C154TD1_1
479	563	0	97	232	86	3063	111	400	3749	1149	1299	1328	101	155	368	420	70	289	0	66	392	165	259	97	176	95
2354	3676	130	1062	983	552	10166	835	2321	14146	4780	7503	4821	0	96	2171	2056	623	580	166	221	2626	1689	1529	630	854	638
4205	7798	328	2411	1629	978	1931	5270	4258	8750	4036	14761	7908	82	155	5851	2313	1197	1347	671	455	5276	6127	3397	1087	3119	1227
611	1003	103	1179	251	294	213	9142	1230	1620	682	2266	1157	158	468	5922	630	248	965	638	390	1053	7179	1865	810	2896	580
212	337	139	279	146	253	149	5358	269	245	546	497	369	554	1268	1765	450	257	424	341	225	1086	1727	720	297	1434	248
429	769	226	369	430	442	391	2106	344	693	1520	910	809	1738	4066	2684	1001	433	659	371	217	2928	1656	1003	281	1499	108
706	1454	265	520	675	717	775	2273	567	1279	2850	1673	1397	3184	7337	4904	1819	527	1216	481	332	4600	2972	1761	449	2719	190
924	1833	289	679	874	844	963	2915	737	1725	3693	2166	1744	4064	9472	6181	2346	465	1638	611	379	5379	3915	2344	547	3531	263
821	1680	210	589	732	734	863	2532	639	1526	3369	1880	1503	3501	8065	5323	2123	362	1462	526	364	4699	3431	2077	459	3090	220
424	859	108	211	353	254	392	1070	247	750	1713	868	712	1750	3958	2523	995	117	674	262	158	2158	1598	1004	219	1351	100
