C154B1_1	C154B10_1	C154B3_3	C154B4_2	C154B5_1	C154B7_2	C154B8_1	C154B9_1	C154L11_2	C154L13_2	C154L14_2	C154L2a_1	C154L2b_3	C154L4_2	C154L6_2	C154N1_3	C154N2_3	C154P1_1	C154P10_1	C154P11_1	C154P12_1	C154P2_2	C154P3_2	C154P4_3	C154P5_1	C154P6_1	C154P7_1	C154P8_1	C154P9_3	C154TD1_1	C154TD2_3
2073	0	3307	158	817	823	105	0	4259	3622	1473	29478	16587	4409	2318	0	0	1827	2380	989	779	2347	2410	2266	3192	4171	3760	528	3173	3458	218
21672	87	28522	1809	7786	10019	477	3435	28798	29337	14054	3253	6547	29032	29741	193	332	23418	20287	8548	4408	21511	27993	17932	20340	28925	27739	8792	29146	30651	1957
1437	368	2203	282	628	1014	0	212	3479	2616	1072	829	812	3253	2191	93	319	1773	1352	539	423	1839	1974	1206	1243	3096	2087	586	2272	2050	120
664	2881	2841	211	314	834	0	116	4262	1841	1401	2720	1691	2021	2322	511	617	1910	601	871	602	1815	1346	890	1382	2248	2648	474	1183	731	61
2895	6728	9693	600	1004	2607	130	542	12683	6496	3570	11830	4915	7271	4562	1365	2140	4301	2026	2457	1667	5116	3746	2625	3997	6361	4692	2152	3622	2568	239
6412	7915	12067	1387	2304	3816	486	1543	15388	13193	5002	20151	9007	13743	4230	4201	6202	6416	5697	2927	1837	8636	7571	5002	8161	11553	7817	3433	8987	5898	734
8498	3631	6029	818	2675	2627	994	2775	5245	13898	2365	15612	11619	13595	5640	13633	18491	7314	10053	977	1311	9029	7717	6267	10697	13184	11885	3821	12240	7440	1174
6270	307	5200	774	1564	2527	1433	2683	2758	8422	1148	9642	13458	8703	4988	24286	25572	10590	11233	862	1315	10272	8106	5000	14223	16404	14585	2349	11570	5694	1200
5925	57	5703	1062	1340	3369	1355	2802	3850	8530	1298	8106	15807	7356	4542	26474	24802	12424	13639	994	1087	13034	9378	5641	17462	19098	17483	2345	13895	4419	1333
2737	0	3380	505	756	2324	668	1726	2308	4683	787	4175	9074	3929	2243	19882	25481	7303	8557	418	567	7835	4567	2916	10519	11096	11507	1291	7698	1960	620
849	0	1131	166	301	714	91	564	989	1375	372	1379	2744	1463	958	6469	8923	2174	1868	116	215	2320	1481	1102	3518	3181	3255	506	2230	678	246
