C157B1_3	C157B2_3	C157Di2_1	C157Di1_1	C157LN3_2	C157LN4_3	C157N1_2	C157P10_3	C157P1_3	C157P2_2	C157P3_2	C157P4_3	C157P6_1	C157P9_3	C157TD1_3	C157TD2a_1	C157TD2b_2	C157TD7_3
327	212	124	166	46	61	494	156	73	53	137	118	86	414	88	145	151	92
745	481	292	385	134	152	1073	441	247	215	367	280	262	926	223	339	382	275
1355	873	626	779	270	330	2353	856	628	457	814	513	530	1918	459	766	838	535
2514	1796	989	1410	451	552	4180	1653	1085	733	1309	992	994	3983	880	1490	1440	998
3584	2485	1336	1905	736	985	5446	2411	2288	1255	2283	1795	1797	5350	1632	2338	2520	1648
3807	2724	1384	1943	926	1390	5138	2794	3312	1643	2820	2550	2524	5858	2349	3146	3453	2216
3318	2346	1123	1629	931	1692	3486	2476	3878	1635	2768	2748	2711	4987	2780	3251	3782	2460
2227	1609	716	1030	707	1600	1613	1766	3687	1383	2275	2389	2334	3238	2525	2861	3259	2116
1101	783	344	533	346	1186	730	886	2562	749	1131	1458	1375	1567	1674	1723	1984	1373
444	308	125	203	143	550	195	334	1024	328	516	565	565	627	622	690	847	625
