C12-A_1	C12-AA_1	C12-AB_1	C12-AD_1	C12-AE-T_2	C12-E_2	C12-H-T1_3	C12-H-T2_1	C12-I_1	C12-J_3	C12-K_1	C12-L_3	C12-P-T1_1	C12-V_1	C12-W-L1_3	C12-C-L1_3	C12-Y-C1_3
55	3614	2557	4506	3860	12326	12234	15732	4104	3756	15102	3095	4341	13422	11924	7577	122
65	11449	11045	15614	16655	14712	4776	11626	15533	14871	7590	13192	17027	2101	1744	1219	151
120	8040	6296	9545	13674	9190	7193	1499	7403	9872	8280	8002	6034	4361	3668	3028	138
257	1207	966	1683	1998	1241	1201	220	1162	1556	1368	4074	1116	5418	4298	4191	189
441	194	220	190	83	84	201	194	196	0	127	623	344	435	232	125	260
1151	403	495	400	348	443	422	444	478	257	440	386	613	452	426	234	808
3666	1289	1433	1151	827	1462	1838	1403	1462	800	1257	1124	1690	1263	1074	646	2936
7018	2206	2721	1863	1251	2618	3369	2608	2498	1717	2210	2231	3161	2306	1882	1130	5728
8197	2585	3449	2093	1370	3294	4224	3229	2897	2209	2656	2758	3937	3009	2376	1390	7062
7127	2205	3285	1780	1168	3021	3962	2881	2637	2022	2449	2449	3650	2730	2172	1220	6488
4499	1429	2144	1004	748	1823	2348	1777	1551	1181	1511	1123	2210	1733	1335	629	4068
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
