C12-A_1	C12-AA_1	C12-AB_1	C12-AD_1	C12-AE-T_2	C12-E_2	C12-H-T1_2	C12-H-T2_1	C12-I_3	C12-J_1	C12-K_3	C12-L_1	C12-P-T1_2	C12-V_3
269	0	0	2243	278	0	1059	0	1895	2629	0	3545	729	1302
0	227	0	367	3531	102	0	405	301	390	0	314	299	190
56	0	1009	11150	869	161	4094	1151	7493	11772	259	13602	5751	5082
55	2137	201	1606	8394	635	175	962	1325	2299	0	2571	1247	206
244	689	3826	26153	80	642	12840	5349	15740	29487	1139	29481	14309	5556
0	7428	461	0	193	3132	909	3986	0	150	419	198	1632	492
493	1473	7641	1460	0	4250	20512	16222	1767	1790	2694	3456	1837	10939
0	10245	0	0	0	8386	122	2487	0	0	1276	0	2665	0
2028	951	1179	1690	213	8022	6250	1928	2020	1670	5083	2373	1971	1355
376	413	162	199	0	297	270	220	454	271	781	273	311	116
7155	3171	3437	5191	689	4022	9055	6222	6097	5713	10520	7917	7372	3148
1194	342	472	827	176	303	1081	855	894	670	398	1096	1068	462
14923	7124	6923	10118	1243	7866	18062	13300	12001	11006	8272	15813	15174	6084
