C12-A_3	C12-AA_1	C12-AB_1	C12-AD_2	C12-AE-T_2	C12-E_2	C12-H-T1_3	C12-H-T2_2	C12-I_2	C12-J_2	C12-K_1	C12-L_1	C12-P-T1_1	C12-V_1	C12-W-L1_2	C12-C-L1_2	C12-Y-C1_2
30265	15447	11857	11072	23345	13981	29478	18595	18238	21717	20187	22860	27960	9013	12659	5748	23215
1388	484	1751	7154	1030	9178	820	12494	15957	1164	2943	785	1171	13257	11904	9641	0
0	154	7946	26955	92	2476	3105	12488	6792	3530	5345	3620	129	4215	4390	3423	0
0	706	6145	2543	329	5426	7754	1549	789	7537	1044	7185	381	7314	7578	5172	114
110	2457	394	0	1655	1920	500	0	0	397	85	387	1832	938	737	629	0
360	3536	133	60	3615	2643	166	0	128	0	131	133	3308	74	154	91	167
1187	2976	442	359	5047	2841	524	400	580	270	433	310	3213	180	347	280	953
2839	1612	976	853	4238	2749	1359	1014	1119	573	885	746	1814	504	702	573	1902
3986	1184	1290	1228	1675	2137	1932	1371	1647	863	1184	1049	1473	763	1022	718	2474
4070	1152	1212	1232	443	1597	1899	1360	1549	783	1179	1045	1258	755	1051	650	2510
2639	720	703	783	189	858	1179	799	983	449	704	638	773	516	757	316	1437
