C38-A_2	C38-B_1	C38-C_1	C38-D_3	C38-E_3	C38-F_2	C38-G_1	C38-H_3	C38-I_1	C38-J-N1_3	C38-J-N2_3	C38-K_3	C38-L_3
122	0	157	106	93	0	2509	3262	5423	5281	5550	2146	2016
740	505	1750	702	432	0	9961	9995	15053	15363	21229	8892	8765
3413	2497	7728	3737	1946	53	1231	1023	1999	2293	2249	1728	728
6337	6235	7136	7238	4944	253	309	88	223	367	366	672	50
5401	5763	1728	5242	3289	281	3167	951	407	473	4277	399	2877
7867	6270	9219	5854	6399	586	11862	6187	5445	4420	20748	4027	15354
14305	9647	10843	9503	10154	1581	1909	2834	9753	10384	2364	9848	1795
1421	5295	1320	2636	916	3821	1366	1281	3132	3073	749	2929	604
813	3467	986	856	340	8045	2123	1567	2573	1495	1101	2497	666
1122	2772	1717	987	255	12629	3234	2257	3687	1725	1701	3295	943
1084	2853	1812	1011	421	14016	3356	2311	3964	1896	1932	3213	857
731	2102	1103	644	249	9916	2091	1526	2624	1390	1221	1891	502
0	0	0	0	0	0	0	0	0	0	0	0	0
