C38-A_2	C38-B_1	C38-C_1	C38-D_1	C38-E_2	C38-F_2	C38-H_2	C38-I_1	C38-J-N1_2	C38-J-N2_2	C38-K_2	C38-L_3
331	566	403	262	1185	94	292	313	425	220	869	313
1810	2154	1444	1541	2446	246	730	1632	1776	1710	3338	1011
4627	4628	3533	3877	454	0	1214	4477	4199	4703	690	2084
2034	695	529	779	0	0	143	610	602	659	652	353
2942	721	621	1206	312	67	105	318	249	550	949	107
584	2005	1348	2099	846	406	412	1153	771	1610	1867	380
241	3168	2370	1140	1652	2037	1166	2469	2173	2400	733	982
439	1536	1235	396	1797	6092	1945	3343	3707	1076	1175	1542
676	1653	1413	394	577	9993	1488	2909	2278	1224	1887	1403
78	169	85	55	0	1965	201	350	306	182	221	176
